globalID_A,globalID_B
BY108704,BC34254
AL202795,BM46818
AM60919,AF2841
BE158991,EH88221
BE19148,AD18418
CW94097,AA168361
BK20084,EH895461
EG24042,EG46245
EH258277,CW172884
CR8900,EH220534
BN107294,DE315117
BY452382,BL261200
DS30312,DE112959
BE81597,CW110371
DN83018,AL143731
BW4503,EM37441
EF7727,AC3648
EH346741,DB311153
EF93185,CW627235
CJ36460,BP7554
CS2885,DE216650
DM22778,BD55368
BH52831,AA80257
CH26212,CJ134139
CG97215,CZ80717
DT19203,BN554302
BN250737,BH77616
AL105183,AN208439
BN108129,BN152303
BN322341,DD103899
CW279038,CW246869
CW254096,ED17265
AK52435,EH479860
AL71493,BE116396
BN173430,CN29729
EL41838,EL61969
EH329845,BJ5760
CG24612,EH1039921
AB36022,AW128637
BR51963,EH387012
CG132906,CG132906
AN54193,BR146978
BN27520,BN45149
BL225587,EH229030
BY219008,CW123672
BH8652,DL34322
BY308956,DT75754
CC74642,BC4887
BN282066,AL191539
DZ40801,AN91793
BE39265,BE433883
DB160445,BE469606
DB68673,EL19794
EH574705,BA13569
DA53111,CW447411
ER32779,DE20391
EH272456,EP48257
AB27426,DY36995
BY430938,EP56340
DB209092,DG50023
BG17116,EN60392
BE199199,DZ77177
CR23795,BY498033
DL129079,BR17265
DH43013,DE90112
BE197219,DD41400
BR52768,BR41537
DB233717,CS13855
EH74303,BY32529
DB224418,AK63648
AL82564,BR53523
DT102878,BZ25382
AS51766,EH894871
DL113421,CW220965
BE181632,CG81158
EH97855,EH97855
DZ25529,CW395382
BL102062,EH255817
EH69955,BP3692
DD13695,CH28982
BH127436,DZ62029
EH868667,DB234321
CB51246,DW20881
DD13695,BE261799
DE129592,CP17804
CW290257,CW290732
DE52265,AB4988
AA54334,DB316258
EP24258,CM3162
EH441963,DB137426
BL152968,BL67052
DB226608,EH267235
CG11063,CC41360
AN79450,EH234665
AL212924,EH650133
BY441406,CT18578
BF8117,AP79634
BH146301,BN322055
EH394035,BN493355
EH791092,DL36430
CH15631,DD9268
CW178337,BE9090
EA19865,BN377664
AX45628,EL52364
CH3849,CL2150
EH77846,BH58839
BG15074,DD65898
AS66355,ED54638
AJ18432,AF7025
DA12923,BN349719
AA10948,EH406720
BZ8096,AL4793
CN4618,CJ191229
DL28882,BY143278
BN300272,DW77129
EF136177,EF208909
BE83849,BC57691
CC97962,EH1065269
CW134553,CD6889
BN70274,BN70017
AC2556,CP31700
BN384065,CR5210
AS21652,EH150188
CW262272,CW169440
CN6530,BN226091
AN120714,BY487092
AL33898,CW318910
EH846010,CC28347
CC28576,EH300110
CZ83222,DE157483
BH93024,DL84791
CW277959,CW211647
BY348535,CA105474
DM9864,CH9002
DG4265,AJ11843
AW163177,CN46197
CW387787,CW330807
BE172828,BD84209
BE190291,DZ6592
AW109037,DM35255
EH441050,EM10131
AR2542,CW68562
AL82891,AS27980
DT14744,AL45075
BN261111,BR13673
EH155049,AW60682
CM35601,BD103040
DB41663,DF9187
DS85301,CW1083041
AL126697,EH526949
AT11156,EH79232
BE71891,DL14394
BP3398,EH670748
EH393868,BR7283
DZ30063,EH253670
DT14752,BX18815
AW50179,CW200243
CW349667,EH581702
BW5926,DP10266
CT44755,CW1220203
BR96851,DC22112
EF13342,BL70972
AA2219,DB284432
AW109037,AY24166
EH617805,EH283148
BY178682,BY179569
DN109650,BH65179
EH252979,AA53107
CW345849,CW357056
AA102285,BY219008
BH36355,BL58872
BY106918,BL93994
BY290403,BL230405
EH863013,EH863013
BL52661,EH997103
CP36287,BL194532
DE136790,BP20143
EH343822,BK52432
DL23582,DY8813
DZ9159,ED23764
AA150741,DE142699
BN116880,BL67570
DN36257,DN36257
EH48957,CC23929
CJ36941,BN94157
BP8582,DD68412
CB59075,DR80933
DA43219,BH69054
BN78250,AK20596
EH277018,BZ31550
BH8098,BN12943
DX13099,EH327313
DL62304,EM30923
AL65472,DD179513
AL89469,DZ34195
BN4956,DL18185
DE174350,BE310050
BE320615,DR51588
DE9614,BD134045
DB41663,BD27891
CW146364,BY193875
CT30142,EC15709
AP10598,AT16969
AA121595,EB5636
EP59498,BY346630
AY29958,BY65454
AM46527,BL210404
BD47814,EH267146
CE38760,ER39604
BY243289,BY558005
DE83931,DW28731
BL41548,EN37685
BR4873,BW41434
DE41585,CW289731
AX31664,DE15327
EH450265,CW183012
BN238405,BE128435
BW16012,BE38771
BH137886,EH447216
BN12147,CW562921
BY236750,CW265637
DZ38155,CJ20418
BH145825,CZ19778
CG3996,EB37762
AH15718,EH70636
BL180302,DR41148
EH120918,AL10867
BN108964,ED9544
CW137512,AL69144
BE20665,DZ38011
CB53420,BN298163
AW132298,CW796538
BE175668,CA78099
BN363377,BN390158
DX7757,CT29449
DB178270,EB49626
CW37878,CW16170
CR9710,CT29942
BN273613,DT75865
BY305313,BY239504
CZ60299,BY58766
EF35260,CB92828
EA21447,AW28311
CE9816,AN61158
DR94996,DR129073
CA57427,EH657794
DD130117,DD3730
DS101149,DP48986
AN2940,AE11098
BY433197,EH436540
BE107999,CK7410
