globalID_A,globalID_B
EH966977,EH966977
EH1062395,EH1062395
BP51944,BP51944
BY551551,BY551551
BB9295,EG10598
AL172802,AL172802
AL123212,AL123212
EF122505,EF122505
CW31349,CW31349
CW115096,CW115096
BY236638,BY236638
AA160957,AA160957
BP48284,BP48284
DT14217,DN49756
AL50791,AL50791
BE221549,BE221549
EH920322,EH920322
AL191812,AL191812
EL28028,EL28028
DR37210,DR37210
CW74741,CW74741
DL17888,DL24616
DR68908,DR68908
AN155779,AN155779
CW268322,CW103769
CW518629,CW518629
BW57108,BW57108
BR183769,BR183769
BY57908,BY57908
EH831109,EH831109
BE37761,BE37761
DR38446,DR38446
BL203623,BL203623
CW624062,CW624062
BR46080,BR46080
AL307327,AL307327
CW974582,CW1329056
EF84467,EF84467
AW60873,AW60873
BL492441,BL492441
CW385388,CW385388
CW1331169,CW1301526
BD118351,BD118351
CW619867,CW469118
CT6785,CT6785
EH272340,EH272340
DK29827,DK29827
DE212083,DE212083
CW243761,CW463956
BM5906,BM5906
BR94177,BR94177
BE378062,BE378062
CW999218,CW999218
CW183899,CW183899
DE312178,DE312178
AW89260,AW89260
EH828746,EH828746
EH132556,EH132556
DL36409,EJ13647
EH364316,EH364316
EL63388,EL63388
DE232106,DE232106
AW194282,AW194282
AS80064,AS80064
BL442631,BL442631
BY403009,DL36213
EH804038,EH804038
EH809467,EH809467
AW165443,DD207410
BL406265,BL406265
BR45261,BR45261
CW435005,CW1349982
AK34562,AK34562
CJ159916,CJ159916
EH429752,EH429752
EH681219,EH681219
EF31268,EF31268
CW126325,CW139989
EH638865,EH638865
CW139087,CW1101701
CW837466,CW837466
DE220418,DE220418
BB51051,BB51051
CW882374,CW882374
AN27611,AN27611
CW33521,CW6293
EH988808,EH988808
BN254518,EH298550
DB119814,DB119814
CW105692,CW105692
BL327311,BL327311
DE277843,DE277843
EF130037,CC111653
BN20910,BN65472
EH476751,DB111906
EH204357,EH339114
CW415028,CW415028
EH196091,EH240540
EH908479,EH908479
BN211468,BN211468
AG50361,DH44516
AL279828,AL243163
DT85162,DT85162
DD21129,DD21129
BJ41944,BJ41944
CY29652,CY29652
CW168075,CW168075
DZ70270,DZ70270
AL30602,CP14886
CG140830,CG140830
AL236847,AL236847
BW56516,BW56516
BL407395,BL407395
CW251485,CW1073107
CG162052,BR181215
CW1010123,CW1010123
CW1050054,CW1050054
AN126565,AN126565
DB103490,DB103490
