globalID_A,globalID_B
AS62796,AS62796
CW549185,CW549185
CW76480,CW156677
CW912818,CW912818
CW205884,CW205884
EM103581,EM103581
EH304351,EH304351
AG11788,AG11788
EH368005,EH368005
EH870816,EH870816
CW213367,CW213367
CE48042,CE48042
DG55190,DG55190
AL195582,AL195582
DH46486,DH46486
DP3250,DP3250
BZ49396,BZ49396
CW481064,CW640624
AG8156,AG8156
CW74741,CW74741
AL287574,AL287574
CF6467,CF6467
EF7716,EF7716
BY381420,BY430721
BB102007,BB102007
EH831302,EH831302
BR190622,BR190622
DL91376,DL91376
BZ22486,BZ22486
BY57908,BY57908
BE213282,BE213282
BL203623,BL203623
BB66407,BB66407
CW861696,CW812308
CW727307,CW727307
AA164797,BH109037
BL150420,DL189139
CW85781,CW104580
CW1151570,CW1070006
DH17156,DH17156
DL178245,DL178245
CW395966,CW395966
DS100491,DS100491
DT119118,DT119118
CW894169,CW884776
CW401062,CW401062
BN421006,BN421006
BN426821,BN426821
EH637971,EH637971
DE328188,DE328188
DL242027,DL242027
BY52157,BY407452
AP34327,AP47136
DL184974,DL184974
CH29881,CH29881
BD72385,BD72385
DL230261,DL230261
BL317533,CW299824
BR94177,BR94177
BH70011,BH70011
CJ62240,EG37558
DE312178,DE312178
DL220647,DL244270
AG47512,AG47512
BL433459,BL433459
DS65803,DS65803
DK4219,CH3084
CW173538,CW467784
AB25699,AB25699
AL36761,AL36761
BH152343,BH152343
AG39148,AG39148
CG159386,CG159386
DB128461,DB128461
BD133969,BD133969
CT39246,CT39246
AL265500,AL265500
CW768413,CW768413
BB91929,BB91929
EH444638,EH247167
DB242096,DB242096
DL214829,DL214829
AK4359,AK4359
BY675237,BY675237
CN26063,CN26063
CW882374,CW882374
DN112092,DN112092
CW996867,CW996867
DL148686,DL172418
BL442575,BL442575
DL63721,CC32951
AB37316,EM89726
CW415028,CW415028
EF120102,EF120102
CH38226,CH38226
CT29270,CT29270
EH567556,CM39892
BY417231,BY417231
EH908479,EH908479
DL34983,DL34983
DH30858,DH30858
CW776598,CW776598
CW379317,CW379317
BN419947,BN419947
DZ50452,DZ50452
BN194455,BN194455
DD21129,DD21129
AS67205,AS81200
DD210900,DD210900
CW644997,CW345844
DE105227,DR16273
BN38103,BN149779
EH674331,EH525534
BL149490,BL32665
DA70469,CG72919
AN126565,AN126565
AB13997,AB13997
DE113618,DE164778
BD8217,BD8217
EL2174,EL2174
BN192437,BN192437
DZ18814,EF211874
EL12918,EL12918
DE274634,DE274634
CW26359,CW26359
CJ101368,DA9127
EH575092,EH319648
AA17002,AA32225
EH781500,EH781500
EM89009,EM89009
CJ140032,CJ140032
EH112939,EH112939
DP13353,DP13353
CW947419,CW947419
CJ12200,CJ122849
EH914756,AA131173
BW37291,BW37291
AL230449,AL230449
EF17237,EF17237
AK40448,AK40448
DP40236,DP40236
DD185103,DD185103
EH1033842,EH1033842
AW179598,AW179598
EB21766,EB21766
CW1293495,CW1293495
DL202561,DL202561
CW1039329,CW1039329
CW681287,CW449175
BY621923,BY621923
EH825965,EH825965
AK59810,AK59810
CC63778,CC63778
DL15308,DL15308
CW1369769,CW359465
EH917169,EH917169
DN3241,BN6051
EF3524,EF3524
CW735487,CW690720
BM25593,BM25593
DE220835,DE222366
DL62921,BH25894
CW797664,EF154010
AP62415,AP62415
CW303748,CW317898
CW1074810,CW1074810
EH843267,EH843267
CG157132,CG157132
AL232307,AL232307
DN3369,DN3369
BY571123,BY498456
BL88099,BL88099
BC25040,DL178318
BY532552,BY532552
AL232527,AL232527
BE151464,BE151464
DC9329,DC9329
AB10857,AB10857
AX5856,AX5856
DX21470,DX21470
BN14384,BN39448
DD59518,DD59518
CW555921,CW555921
BN137597,BN137597
DL160478,DL160478
EH605007,EH123036
EH1114905,EH158229
BM16681,BM16681
EG46981,BP43482
CW186433,EF211874
BL261176,BL261176
BH147533,BH147533
CW871366,CG122449
BE453768,BE453768
CW925840,CW513273
EH639090,EH639090
DB206705,DB206705
BY602590,BY602590
DD158483,DD158483
EL48212,EL48212
BL107626,AA37020
CW947355,CW947355
AX6117,AX6117
CT23151,CT23151
CW904262,CW904262
EH972163,EH972163
EP90764,EP90764
EH423740,EH527741
DD123325,DD123325
CW703825,CW301220
EH800799,EH800799
CW577084,DB135677
EH391893,EH391893
EH895399,AA139630
CB69298,CB69298
DT145606,DT145606
BN252175,BN287146
DB244892,DB244892
CW906419,CW906419
EH887549,EH696896
BW24007,BW24007
EH986520,EH986520
BT10583,BT10583
DR50892,DR50892
DB222002,DB222002
DL170866,DL170866
BL406735,BL406735
EH1138452,EH951453
CW1129418,CW1129418
DX9420,DX9420
EH82398,EH82398
DE292031,DE292031
BN493179,BN493179
CB45880,CB45880
CN88415,CN88415
ES28136,ES28136
BE41978,BE41978
AN129658,AN129658
BE159336,BE159336
AP49289,BY155708
DN46205,DN46205
BY52157,BY276080
BL115007,DZ4149
BN367091,BN367091
CW270640,CW512274
EH684343,EH684343
DS104895,DS104895
BY667243,BY667243
EH131460,EH570624
CW919922,CW685210
AG52191,AG52191
CW610319,CD21109
CW254114,CW385872
BY618737,BY292424
BN85826,BN85826
EM31722,EM31722
DT107771,AW83533
EH750114,EH750114
CW998972,CW922107
BZ50438,BZ50438
EH632274,EH632274
DR55302,DR55302
BM18098,BM51787
CW993300,CW54570
CW9537,CW9537
BL455526,BL455526
DW27439,DE165348
CN9692,CN9692
ER15007,ER15007
BE61466,BE61466
EH770566,EH770566
CW170335,CW853794
CW424943,CW424943
EB66732,EB66732
EP23069,EP23069
CN72117,CN72117
CW242741,CW649163
BY135570,BY157375
CW503303,CW216134
CW981148,CW981148
CL32440,CL32440
BG18111,BG26333
AL4921,AL4921
BL450963,BL450963
BY33703,BY33703
BR131103,EH463243
EH329791,EH329791
EH923210,EH923210
EL99337,EL99337
BL397781,BL213836
BR27320,EP16769
AL200990,AL155616
DB134800,EM58995
DD85491,DD85491
EH601226,EH533279
AM28242,AM72703
CW861696,CW861696
AY31552,AY31552
CW583149,CW921551
CL23943,CL23943
DN100461,DN100461
BG39954,BG39954
EH236514,EH164748
EH842621,EH842621
BW42070,BW42070
BE248590,BE248590
BH155358,BH155358
DR77335,DR77335
EH504150,EH504150
DD192810,DD192810
EH323925,EH323925
DR41490,DR41490
CW224892,CW7899
CG156147,CG156147
BC68827,BC68827
BX12478,BX12478
BN370146,EG36517
DD178879,DD178879
BD87906,BD87906
EG58518,EG58518
CW791420,CW791420
BY630746,BY630746
BY538072,BY538072
BY517355,BY517355
BJ36273,BJ36273
DL88847,DL111390
BL454782,BL454782
BW60433,BW60433
AK34180,AK34180
BN324825,BN324825
AL177232,AL46503
DN144807,DN144807
DR62358,EH922454
AS63479,AS63479
DA67240,DA67240
BE392675,BE392675
EH827372,EH827372
EH406610,EH406610
AR5839,AR5839
CW225949,CW111814
EH1143373,EH1143373
AK118794,AK118794
BC27797,BC27797
BD140976,BD140976
CM16228,AP2249
EH813127,EH813127
EH547612,BY298810
EH856684,EH856684
AA174981,AA174981
CW95155,CW95155
CA12955,CA12955
BK12141,BK12141
AL57034,AL57034
AY29030,AY8288
BE85598,BE85598
CW926904,CW791928
EH828717,EH828717
CW235816,CW235816
EL82167,EL82167
CW491586,CW91047
DW28113,DW28113
EH683813,EH683813
EA32260,EA32260
BY392298,BY405644
DP42527,DP42527
EH132050,EH132050
EH805595,EH805595
BN384619,BN384619
BN118102,BN6051
AB37833,AB37833
EH35641,EH26802
DB196614,EH405323
DL199224,CG42958
CW603566,CW603566
CW225725,CW225725
DS83313,DS83313
EH174163,EH174163
AH11105,AH11105
CW747167,CW747167
CW845761,CW845761
CW883043,CW1062919
AA158588,AA158588
CW871699,CW871699
AK3349,AK3349
AN125275,AN125275
EL46925,EL46925
EH736474,EH736474
DB175468,DB106227
CN54600,CN54600
EH374434,EH374434
BR153533,BR153533
AA133298,AA133298
EF71325,EF71325
AN175177,AN175177
BB76430,BB64120
AG34464,AG34464
BH47544,BH47544
EA18391,EA18391
DJ11514,DJ11514
BY656922,BY674367
DT49625,DT49625
CW479279,CW377123
BZ63610,BZ63610
DS41188,DS41188
BH67024,BH67024
CJ12521,CJ41175
BH143336,BH143336
CP43862,CP43862
DE134778,DE159183
AW93116,AW93116
AA148654,AA148654
BP66320,BP66320
AN54478,AN54478
BL522176,BL522176
DE149246,DE149246
CS24892,CS24892
EH173580,EH836303
AB24417,AB24417
EF29077,EF29077
EH979672,EH979672
