globalID_A,globalID_B
DR36474,DR40802
EF188190,EF188190
AL159341,BH177176
CW495460,CW175943
CG51539,CG46473
AB37048,CW798355
DB55478,DB188583
AW24175,AW24175
BE221549,BE221549
EL28028,EL28028
DD123510,DD123510
AG54716,AG54716
CW518629,CW518629
DW66211,DW66211
AA137667,AA137667
DZ62297,CW846716
CW1285276,AM85582
EH913278,EH913278
CJ145457,CJ145457
EH481198,EH469596
CM53974,AP52403
CW624062,CW624062
CM4359,CM6578
CG28136,CG28136
BY238759,BY179135
CW1027600,CW1204073
BE378062,BE378062
BN447228,BN447228
BE87237,BE42940
DZ58219,DZ58219
BN423369,BN359541
CW506340,BY39530
BF25658,BF25658
EH809467,EH809467
CW919639,CW919639
EA35184,EA35014
CA34373,CA74216
EH485559,EH688954
CW188197,CW677580
CW141876,CW93007
EH853505,AM5896
EH926427,EH926427
DL129280,AW116545
DX16641,DX16641
CW477316,CW251338
BA3915,BA3915
EL20729,EH422695
DE309126,DE309126
BB82034,BB82034
DE248413,DE248413
DB58817,DB135377
AL226912,CW357266
CW69291,CW357922
AP61717,BE134518
CK15539,CK15539
CA90685,CA90685
EH1141675,EH1141675
AN28974,AN34235
EH752482,EH592817
DR97753,DR97753
CW825630,CW825630
EH461708,EH198186
BZ9813,BZ9813
DT85162,DT85162
AS17280,ED3446
CW371144,CW371144
BY67746,BY67746
AW216892,AW216892
DN94774,DN94774
AL239767,AL352083
BL407395,BL407395
CW936240,CW936240
AW133111,AW55764
CW378947,CW711352
CJ164657,CJ164657
CW142092,CW142092
EH1128123,EH1128123
AA133612,AA133612
BR98705,EH679930
EN60968,EN60968
DR116965,DR116965
BN209620,BN161083
BE159113,BE198872
EH67677,EH336914
DE38480,CA19914
EH752482,AM11426
BD140010,BD140010
DD113381,DD113381
BL143806,BL143806
BM74817,BM74817
CZ102324,CZ102324
EE4704,EE4704
DD188242,EP73553
AX65279,AX65279
DE183725,DE58813
EH558974,CD9436
CT43106,CT43106
AL183305,AL183305
BM63157,BM52885
CW710028,CW804624
CW210484,CW204913
EH365156,EH232135
AB37048,CW619737
CW658296,CW375136
CW227603,CW207764
CW1056141,CW53441
CW304651,CW304651
DR120235,DR120235
CW949093,CW949093
AL230206,CW1099568
EL93094,EL93094
BR45622,BR45622
CW504869,BE76040
DB248490,DB248490
CW659537,CW659537
CW808414,CW808414
CW975190,CW489212
AL50677,AL50677
CW39782,CW140443
AL7748,AL247878
BY253857,BY286357
EH708998,DT155471
BY625354,BY347354
CW93112,CW494839
CW424685,CW160924
DL56603,DL113638
CW659716,CW452348
AL51882,AL341184
EH259815,AZ12846
EL55049,AN35216
AL71882,CW383511
BG15572,BG15572
CW997238,CW175943
EH134705,EH138719
EG3633,EG3633
CJ144032,CJ144032
BE404622,BE371840
EH325311,BY55068
CW993501,CW1199132
DR61228,DR61228
BN406925,BN406925
AT17694,DB111906
EH981233,EH981233
BN474804,BN474804
EL20729,AW116545
AK90051,AK90051
BH83746,BH83746
BE277553,BE43232
CW129019,CW129019
DB239871,DS87655
CW99104,CW99104
EF102075,EF54992
CJ35795,BY272701
EH825348,EH825348
EM103999,EM103999
BY544363,DD55297
EH992734,EH992734
DR36581,DR36581
BZ17782,BZ17782
BZ32827,BZ32827
BN71907,DN94463
CG10726,CG10726
EH853505,CH59695
AW39232,AW50641
BR198729,DA85045
BL376898,BL376898
EH137019,EH137019
BN362595,BN362595
CW623302,CW623302
EH714467,EH503015
CW185291,CW185291
CW440245,CW440245
EH64874,EH422258
CW959542,CW959542
DT40570,DT40570
BL281242,BR82973
DB141095,DB67568
BL468512,BL468512
DT138264,DT138264
CW282378,CW468426
CN21106,EH348783
BC56303,BC54870
BL499123,BL499123
AW50394,AW50394
EH295412,EH952718
BE311866,BE174584
DL254223,EH1093480
DL236630,CC81163
CJ117183,DB311692
BE286190,BE304692
CJ80670,CY19773
DW36030,EH299713
BR135765,BR135765
CW413473,CW947489
AL270956,AL270956
EH984031,EH984031
BE79881,BE79881
BR98849,BR38313
BY704038,BY704038
DB28440,DH21545
CW204913,CW204913
BW48386,BW48386
AB38092,CC54185
CW1177056,CW1177056
CW1139764,CW1139764
EH421263,BH99038
BZ10704,BZ10704
BL296007,BL296007
AJ39844,AJ8572
BB85846,CW1204073
CW462577,CW462577
BL357527,EG39766
BE267457,BE420495
EH63122,EH301784
DT52454,DT52454
BN400782,BN87755
DE134607,BK17892
BY632696,BY658290
BN90400,BN90400
BZ21255,BZ21255
DB200226,DB249415
EH171287,EH348783
BH138723,BH138723
CW420451,CW446277
BL206364,BL206364
EH844960,EL48801
CJ132175,CJ132175
BY541759,BY541759
