globalID_A,globalID_B
AL208077,AL228383
DB234035,BR113988
DS76846,BM46494
BP51944,BP51944
CJ41519,CJ204581
EH1067588,EH1067588
CW915211,CW929855
AL172802,AL172802
EH1153059,EH109401
AL323924,AL46024
EH811333,EH811333
BD122699,CL33463
EH489266,EN29987
CW441887,CW272129
BY524274,BY179135
CW1116687,CW521161
DR68700,DR18756
EH55622,EH382190
AA160957,AA160957
CW396737,CW266357
BE221549,BE221549
CW147748,CW296022
BL354529,BL218508
DT140810,DT140810
EH1157055,EH98619
CW9963,AL42157
BR183769,BR183769
EH831109,EH831109
CZ53920,BC15142
BY446415,DS64363
CW954457,CW859806
CW974582,CW1329056
AS53491,AS53491
CW894444,CW292484
BL492441,BL492441
AA49632,AA26224
BY26738,BY276493
BY309282,DD78451
BY723495,BY723495
CW679293,CW409415
CW625203,CW507995
CZ34331,DZ9621
CW585430,CW661667
EF119040,AL169111
DT29550,DE158988
AA137785,EH963597
BE281276,CM59685
CW488975,EH646111
BR192583,BR140083
AE16597,AS17045
AW194282,AW194282
AE16597,CN45217
EA35184,EA35014
AL86480,AL21708
EG42335,EG41402
DE281454,DE281454
EJ25249,CW802880
BY431141,BY423471
CW465488,CW417157
BN295747,BN76408
DE240433,DE74866
EH889705,EH886264
CW33521,CW6293
DS73304,AN28002
CW990481,DE168620
EH106946,EH174810
AL226912,CW357266
CW1032843,CW461498
BN20910,BN65472
EH302433,EL31786
DE120366,DE8023
CW466998,CW261874
AL60739,AL104882
DB112866,DB120428
BY489059,BY63612
DR97753,DR97753
DL38872,AW82801
BE161496,BW48570
CW225043,CW81863
CW826514,CW254581
DE272432,DE272432
BL154205,EH316004
BW56516,BW56516
CW893134,CW453847
CW1010123,CW1010123
BY104273,BY136053
CW695560,EH783747
CW835385,CW1106420
CA66987,BR51277
CW225345,CW463966
AL152810,AL127090
CW599774,CW337759
AY30004,BE269235
CW1050742,CW970514
CW749468,CW749468
DE159623,BL307531
CW94152,CW1038317
BD57517,BD32737
BN204249,BN246117
BM74817,BM74817
BF40563,BN327023
EH289965,EH214726
BE39238,BE39238
DE183725,DE58813
BE59354,BE59354
EH495025,CZ63532
BN359783,BN214072
CW887185,CW887185
DN128596,AW183431
CW422517,CW780983
BY23499,BY23498
CW37792,CW8634
CW240237,CW904054
CW500016,CW897802
CW395349,AN130384
CW908668,CW879595
CW217034,CW217139
EH606989,EH430846
DN142787,EH528673
CW901299,CW873079
CW349223,CW390766
CW211852,CW135387
CW882192,CW242380
EH787662,EH787662
BE169854,BE96407
CW779817,CW126536
CW1035413,CW904682
AA25409,AA31178
DR116028,DR116028
CW1169564,CW712487
CW275274,CW207023
BN39851,BN8748
BZ55615,DD205775
DE87317,AZ19395
EB6701,EB19786
EH767480,AR10820
BY215384,BY215383
BD86992,BD63461
EH276610,EH368727
CW93112,CW494839
AA108645,AA75847
BN537574,BN537574
CW457984,BR3520
DT57437,DT108446
CW758307,CW680127
BN307819,BN29536
AW88886,EH291285
EH93791,EH85815
BL63882,BW41865
BL108873,CW905168
CH2842,CW113757
CZ110535,CX3361
CW310825,CW690014
BY489152,BY450935
BL235605,BR157341
EH234034,EH185925
CW890098,CW331152
CW704699,CW582593
CJ88729,CG104009
CW98690,CW71363
CW240237,CW561081
EH299846,EH129126
BN30732,BN10333
BY216737,BY460594
CJ28620,CJ28620
CN32636,CN4744
CZ33252,CS25808
CW176372,CW133066
BX21218,BX21218
DA87354,BM58816
CJ165257,BE101888
BY341421,BY252390
BL494708,BL183913
CJ148169,DT155805
CW440151,CW241655
CW938114,CW237818
DE230305,AA87314
DB102624,DB99101
BY657962,BY657962
DB305844,AA110860
BY418086,AP42576
EH529551,EH320415
CW127631,CW339630
DT131303,DX14528
CW767325,CW381870
CW268736,CW523129
CW611143,CW744108
CN11251,CN79451
CW144558,CW152646
BE403321,BE403321
AL226912,EF112956
DE232673,EL68332
AA7254,AA99580
BD149318,BD158371
AN40864,AN40864
BY526410,BY526410
CW162600,CW162600
CW984585,BF21094
BY408845,BY168843
CC79806,CC66543
BR152491,BR148333
CC90061,EH245924
CW721019,CW307668
BE311866,BE174584
DT46239,DT158783
CW1193088,CW897210
EH231056,EH231056
AK137571,AK137571
BE381483,BE381483
DB248153,BH54346
EH252159,EH675656
CW975643,CW244533
CW656225,CW655766
DW37791,AW85892
BY438770,BY633111
