globalID_A,globalID_B
EH810848,EH810848
BY527776,DB171625
ED21799,ED21799
EH985577,EH985577
CW975285,CW975285
CW884142,CW884142
DA15866,DA15866
EF23597,EF23597
AL112206,AL112206
BN447804,BN447804
EH630724,EH500550
CW153633,CW153633
BL334719,BL334719
EH870816,EH870816
BE206671,BE206671
CC88093,CC88093
AR2201,AR2201
BY653038,BY653038
CW498346,CW182216
AL22485,AL22485
DZ56302,DZ56302
CT50873,CT50873
CW1029109,AG25348
CW280837,CW280837
BG51026,BG51026
CW155476,CW155476
EH72162,BL408601
CW457722,CW457722
DT75935,DT75935
BR120347,BR120347
CF6467,CF6467
BM16086,BM16086
CA92530,CA92530
DL240899,DL240899
DX57928,DX57928
DL172573,DL81480
BN429588,BN429588
AJ34682,AJ34682
CW878620,CW878568
AW63421,AW63421
BH127126,BH127126
BB93378,BB93378
BB66407,BB66407
CW598042,CW598042
BR46080,BR46080
CB57612,EP54654
EH62435,EH62435
AL307327,AL307327
EB65470,EB65470
DB175291,CD26640
DL172573,DL172573
EH868352,EH868352
DT119118,DT119118
EN39269,EN39269
BE175147,BE242209
EH694232,EL21583
AL75962,AL75962
BW45817,BW45817
AL249025,AL249025
BK31031,BK31031
DL95097,DL193139
CW14142,CW14142
BZ20455,BZ20455
DA50942,DA50942
BS7724,BS7724
BN424781,BN344937
ES8935,ES8935
CZ75363,CZ75363
BE242209,BE242209
AK124076,AK124076
AA144911,AA144911
EP86086,EP86086
CK2833,CK2833
CS20276,CS20276
EH527678,EH527678
CG122323,CG196937
AS31118,AS31118
EH518951,EH518951
BR213340,BR197613
BB91929,BB91929
BY361026,BY361026
DR128971,DR128971
BJ36441,BJ36441
BL322975,BL322975
DW19821,DW19821
EK21037,EK21037
CW859849,CW859849
BZ52758,BZ52758
EM62755,EM62755
CW251623,CW251623
DA92857,DA92857
EH908479,EH908479
DA90486,DA90486
AM3824,AM3824
AK26411,AK26411
AN85506,AN85506
EH971518,EH971518
AP9295,AP9295
AL140343,AL211491
DS104104,DS104104
DD210900,DD210900
CW362608,CW362608
CY32092,CY32092
EL5299,EL5299
AJ34556,AJ34556
AS74778,AS74778
DL223360,DL223360
DD130357,DD130357
BN390697,BN390697
DL163925,BL422292
ES21692,ES21692
EH1004146,EH1004146
EP92215,EP92215
CW102115,CW1114430
CJ194978,CJ194978
BN452330,BN289775
BP2983,BP2983
EL2174,EL2174
CC102983,CC102983
CJ135591,CJ135591
DL163925,DL163925
EH222773,EH222773
DZ39465,DZ39465
CW432350,CW432350
BH129643,BH118569
BN360441,BN256869
EH84853,EH84853
EF26246,EF26246
EH826959,EH826959
DL224427,DL251358
BH97702,BH97702
BN483084,BN483084
BE315682,BE315682
EM89009,EM89009
EH435343,EH435343
BE395199,BE395199
BY375908,BY375908
DD154178,DD154178
AG45253,AG45253
CW102115,CW151254
BN303754,BN139982
CW525855,CW492018
BL500698,BL500698
DE310141,DE310141
AM24690,AM24690
CW903332,CW903332
BL359382,BL359382
EB21766,EB21766
EE3742,EE3742
BY378905,DD127318
CW505192,CW505192
DE231038,EH682756
BZ60024,BZ60024
EH1023291,EH643869
CW383679,CW383679
BC52971,BC52971
BN356503,BN396022
CG143089,CG143089
AK59810,AK59810
DB243492,DB243492
BB51760,BB51760
CL40545,CL40545
DH55815,DH55815
DN131984,DN131984
DZ7494,DZ7494
BB91646,BB91646
CW983442,CW983442
BH147695,BH147695
EF113457,EF113457
CW319321,CW131498
CN84187,CN84187
BR179213,BR179213
BH119063,BH119063
BN370670,BN370670
DR89025,DR89025
CW934876,CW934876
EM54718,EM79651
DA104899,DA104899
EP23371,EP23371
BN202055,BN202055
CW62064,CW62064
CW1171504,CW1171504
DD59518,DD59518
DA53207,DA53207
EH605007,EH123036
AL186993,AL186993
BE82258,BE310324
BM5670,BM5670
BR127462,BR127462
BY121700,BY121700
AN59080,AN59080
CW235286,CW235286
BH107320,BH107320
EH1008164,EH1008164
BL451813,BL451813
CW411627,CW718055
DB206705,DB206705
AW137558,AW137558
EL81857,EL81857
CW1042915,CW1042915
AM63894,AM63894
DD158483,DD158483
EH859195,EH859195
CT34358,CT34358
CW1250217,CW1250217
AL59455,AL59455
EH850631,DD74928
EH57062,EH129954
BN159023,BN159023
CJ138652,CJ138652
AL86303,AL86303
CW1147572,CW1147572
DN106232,DN106232
BY650401,BY650401
CJ38516,CJ38516
DY10425,DY10425
DC19548,DC19548
BG22444,BG22444
DL236328,DL236328
BL359968,BL359968
CW562451,CW562451
EH391893,EH391893
AP73094,AP73094
CW989013,CW989013
AS83961,AS83961
BY254277,BY463526
BN312062,BN312062
EH464028,EH464028
CW491960,CW491960
EH465851,EH465851
BE128977,BE145263
CG8956,CG10810
CW643738,CW643738
CW73100,CW171740
EH520104,EH236688
CA104445,CA104445
AB39882,AB39882
AL239900,AL239900
BY140049,BY140049
DX9420,DX9420
BZ36138,BZ36138
DL150666,DL150666
AK47868,AK47868
BY5723,EH169521
CW565247,CW565247
CW94090,CW94090
EN35764,EN35764
DT141805,DT141805
EL23438,AE30807
CR18008,EH27918
EH480837,EH480837
BB91400,BB91400
EH392334,EH741121
BR171911,BR171911
AL323227,AL323227
DR50776,DR50776
BR127228,BR127228
BL415486,BL415486
BY181577,BY181577
AL94316,AL94316
CH43042,CH43042
CJ27493,CJ27493
EH973192,EH973192
CW771626,CW771626
BY667243,BY667243
BD103266,BD103266
EF95569,EH643869
BB67175,BB67175
EH1103381,EH1103381
BN501331,BN501331
BY545789,BY545789
EH1251878,EH1251878
DB174172,DB174172
CW271945,CW271945
EC18966,EC18966
CW845499,CW845499
CW1194746,CW753400
CW1277932,CW1277932
CA14448,CA14448
BN20823,BN20823
BN372081,BN281346
CW805714,CW805714
BY479597,BY479597
CF8025,CF8025
EM80537,EM80537
CW158531,CW158531
BL455526,BL455526
BE61466,BE61466
AC7961,AC7961
CA100715,CA100715
CW424943,CW424943
BM4017,BM4017
BE423573,BE420885
CW460541,CW460541
CJ121337,CJ121337
CW482805,CW482805
DL237222,DL237222
BY325841,BY325841
AA175835,AA175835
EH1161687,EH1161687
CW223081,CW223081
CN72866,CN72866
BL422292,BL422292
DE84245,DE109731
AW198936,AW198936
CN89942,CN89942
CG169793,BN439635
BM39749,BM39749
EF4165,EF4165
BH124664,BH124664
CW662372,CW662372
DB250128,DB250128
BY471480,BY362325
EH853847,EH180607
EH842621,EH842621
CW1260631,CW1260631
BE94541,BE94541
BH121038,BH121038
CJ128277,CJ128277
CM47799,CM47799
CN59243,CN59243
BZ23179,BZ23179
AL131243,AL131243
CH40009,CH40009
CA62442,BY527776
BZ28717,BZ28717
DR87343,DR87343
BD106874,BD106874
AL167943,AL167943
AT18808,AT18808
EH696511,DK37463
DB14608,DB21330
CW993300,CW111155
CZ86402,CZ86402
DR87318,DR87318
BF32614,BF32614
BR186298,BR186298
CG20933,EM51862
BW63343,CB61407
BX12478,BX12478
AH21997,AH21997
EH1006682,AP37707
EP95854,EP95854
AF25646,AF25646
DR17449,DR17449
BN216639,BN216639
EH902777,EH902777
AA168958,AA168958
BN324825,BN324825
EH605007,EH605007
CW134612,CW134612
BY532349,EF147498
BL461542,BL461542
DA67240,DA67240
CW703048,CW703048
BL424309,BL424309
BE227491,BE227491
DG21307,DG21307
CW259394,EH182206
EH62561,DN25245
EH229597,EH229597
AL13771,AL13771
EL6179,EL6179
EM86383,EM86383
DL163300,DL163300
BE15887,BE64709
EH856684,EH856684
AF11193,AF11193
CW253025,CW253025
ER31672,ER31672
AW55391,AW45720
EH765407,EH765407
BE85598,BE85598
CW628670,CW628670
EH828717,EH828717
DS73034,DS73034
BL24618,BL23287
CW589261,CW190857
BY662045,BY662045
EL82167,EL82167
DJ7884,DJ7884
EM9238,EM9238
CE34789,CE34789
EH560496,EH560496
EF142857,EF142857
BD102882,BD102882
DE256565,DE294131
DL139502,DL139502
EH595254,EH595254
DH2523,DH2523
AW47903,AW47903
BG4474,BG4474
EF98568,EF98568
BN456091,BN456091
BN160571,BN77407
CW1094796,CW1094796
BN384619,BN384619
EJ2511,AZ5528
CW678760,CW62634
AN156600,AN156600
CW486577,CW304482
CW1173816,CW1173816
EH605007,EH442838
EH601958,EH601958
DS83313,DS83313
CW1006933,CW613594
AA158588,AA158588
CW54860,CW54860
EH47939,EH47939
BY548862,BY548862
DL136527,DL136527
CN40621,CN40621
AN125275,AN125275
CW1122659,CW1122659
EH335989,EH335989
CW1018658,CW1018658
AD24719,AD13335
BM39865,BM39865
DL190561,DL198758
AK104207,AK104207
CJ161288,CJ161288
CW705102,CW705102
BN335862,BN335862
CW154721,CW154721
CW322984,CW873496
BE349955,BE349955
CH51943,CH51943
DA32860,DA32860
CW18973,CW18973
BL329779,BL237631
BH67648,BH67648
DB292315,DB292315
AY7969,CW201916
CW254043,CW416469
DC25922,DC25922
CT39373,CT39373
BH67024,BH67024
AN176287,AN176287
AK58275,AK58275
CW46740,CW46740
EP89469,EP89469
DG27642,DG27642
AA148654,AA148654
EH765542,EH765542
BH51948,BH51948
EH271439,EH271439
BL9638,BL93317
AN174340,AN174340
DB157369,DB157369
EF3218,EF3218
CS10500,CS10500
BW50859,BW50859
AK38659,AK38659
BK13609,BK13609
AM26989,AM26989
BM9036,BM9039
CP38180,CP38180
CW910673,CW716761
BM7628,BM7628
AN4094,AN4094
CW1004573,CW1004573
BR178501,BR178501
CW1167761,CW1167761
AG13654,AG13654
BE21294,BE21294
CZ111303,CZ111303
EM63582,EM63582
DS50670,DS50670
BE267512,BE267512
BE149924,BE149924
BK22922,BK22922
BR99716,BR99716
BY600338,BY600338
DR92419,DR92419
DB100145,DB100145
DT160348,DT160348
DL182913,DL182913
CW654225,CW654225
CW43440,CW43440
AS21529,AS21529
BL309974,BL309974
BN441466,BN441466
BL365529,BL365529
DD22387,DD22387
DX46570,DX46570
DN132564,DN132564
CW1066598,CW1066598
AA36080,AA102534
DB289638,DB289638
DR116959,DR116959
BC52449,BC52449
CW823262,CW823262
DD15705,DD15705
BD126564,BD126564
EH608794,EH608794
BN89622,BN218071
BB91980,BB91980
DA52287,DA52287
DR118702,DR118702
EN53413,EN53413
BG9679,BG9679
DS43676,DS43676
CA16343,CA16343
AL15081,AL15081
BE369710,BE369710
EC13641,EC13641
ER31511,ER31511
EH800818,EH800818
AL73324,AL73324
BF12921,BF12921
CX6195,CX6195
AH20386,AH20386
DZ34824,DZ34824
EH1183727,EH1183727
AJ9940,AJ9940
EH1144649,EH1144649
AB14835,AB14835
EH18768,EH18768
BL396277,BL396277
DK26432,DK26432
BL279493,DE230170
DZ60422,DZ60422
EB72986,EB72986
CW1036897,CW1036897
BE299613,BE299613
EM11039,EM11039
DS86609,DS86609
CW878691,CW878691
EH482583,EH482583
DE269221,DE269221
BN297105,BN297105
BN271109,BN271109
CW779642,CW779642
DA102473,DA102473
DB57264,DB57264
CW338058,CW338058
AL148640,AL148640
EH546550,EH546550
BN369310,BN369310
DE229793,DE229793
BN526940,BN526940
BN537857,BN537857
AL11968,AL11968
CA59819,CA59819
CW565527,CW565527
EH108748,EH108748
CG114645,CG114645
AL114668,AL330791
BR111612,BR111612
CA74513,CA74513
DE268974,DE268974
BB96761,BB96761
DR92281,DR92281
DP27712,DP27712
DP19594,DP19594
DP8571,DP8571
EH1100035,EH1100035
CW1067328,CL34694
CW886145,CW886145
BM60936,BM60936
BK47859,BK47859
BH17505,EG23637
AK107636,AK107636
AK53044,AK53044
CW151254,CW151254
BN494878,BN494878
DZ39055,DZ39055
CW364985,CW364985
BJ12917,BJ12917
DB226239,DB226239
EH410629,EH410629
DG34909,DG34909
AX25576,AX25576
EH856018,EH856018
CW894462,CW894462
EB59936,BN448550
CW998320,CW998320
BW32620,AH7788
AL252945,AL252945
CN71398,CN71398
BB97920,BB97920
CP46378,BY649530
CW619251,CW619251
DC23223,DC23223
BE315492,BE315492
AM54999,AM54999
CW824797,CW824797
EN78317,EN78317
AE18356,AE18356
DT41126,DT41126
CP14594,CP14594
BN200008,BN230793
BB75093,BB75093
AG55940,AG55940
CW756860,CW756860
CW524785,CW524785
CW1184634,CW297159
BL407652,BL407652
DB201110,DB201110
DA93886,DA93886
DS79741,DS79741
EF80093,EF80093
BD141575,BD141575
CW729954,CW729954
BH86031,BH86031
CW958824,CW958824
CW407634,CW407634
CY28413,CY32354
CA47672,DB164920
CW914516,CW914516
DL187661,DL187661
CW151254,CW1114430
EP54371,EP54371
CW348113,CW348113
BR156774,BR156774
CW983941,CW983941
BL436534,BL436534
DL235323,DL235323
CW1292334,CW1292334
BB43544,BB43544
AL294758,AL294758
EF53130,EF53130
CW863325,CW863325
CW803606,CW449010
EH402665,EH402665
CW436617,CW177121
DR27989,DR27989
CJ10227,CJ10227
BN474707,BN474707
CW29098,CW29098
EH939685,EH939685
CS28246,CS28246
DR61776,DR61776
BE224904,BE224904
DX43185,DX43185
BE381020,BE381020
BH8236,BH8236
AM94812,AM94812
EE3398,EE3398
EL80769,EL80769
DW33911,DW33911
EH667466,EH667466
CW607979,CW607979
EH955135,EH955135
BH74757,BH74757
DE291861,DE291861
EG48552,EG48552
BY594566,BY742574
DB250432,DB250432
CW790826,CW790826
BY619957,BY619957
CW1265044,CW1265044
CW141096,CW770756
DB175291,CW894462
EH809259,EH809259
DL99192,BW63343
EH949897,EH949897
EL46264,EG13035
CW194267,CW194267
BM24643,BM24643
DD137368,DD137368
BR180039,BR180039
CW731374,CW591823
CJ24692,CJ24692
DW32662,DW42546
DH56990,DH56990
DE81304,DE81304
BW59658,BW59658
AN5471,AN5471
CW72729,CW457722
DS76128,BN322456
DX7120,DX7120
BM72914,BM72914
CP5134,CP5134
DD156193,DD156193
BB77033,BB77033
BL300134,BL300134
AE24176,AE24176
EH600607,EH600607
CW958108,CW710137
DR119894,DR119894
DB52178,DB52178
EH741121,EH258369
CW577153,CW577153
CW651362,CW600679
DE196331,DE196331
AL232785,AL232785
DX37016,DX37016
AA98456,AA98456
BN452330,BN390697
AK40051,AK40051
CW658757,CW658757
DR86551,DR86551
AW56604,AW56604
BY372666,BY372666
CW212719,CW1037380
BE48160,BE48160
BR108768,BR108768
DN116484,DN116484
DA100296,DA100296
CW518470,CW948660
CW666540,CW666540
BY671110,BY671110
AL39818,AL39818
BM67762,BM67762
BY358094,BY358094
CW788513,CW788513
CW829944,CW829944
CZ19551,CZ19551
EM28908,EM28908
DH17641,DH17641
DP25217,DT92351
EH419249,EH419249
CY5734,CY7629
EP31495,EP31495
