globalID_A,globalID_B
BE71396,BE210862
EF188190,EF188190
BL32387,CA77695
DZ10356,CY19773
CW495460,CW175943
AL43236,DE59802
CG51539,CG46473
AB37048,CW798355
DB55478,DB188583
AW24175,AW24175
BJ37967,BE107303
BN288037,DL124411
BE221549,BE221549
EL28028,EL28028
BP18718,DE168620
DD123510,DD123510
AG54716,AG54716
CW518629,CW518629
DW66211,DW66211
AA137667,AA137667
CJ35795,AC16498
AW99634,AW90682
DB242998,DE250019
DZ62297,CW846716
AA189574,BD96556
CW1285276,AM85582
EH913278,EH913278
CJ145457,CJ145457
EH481198,EH469596
CM53974,AP52403
CW624062,CW624062
EH449035,CW228359
BY415517,BY252913
CM4359,CM6578
CG28136,CG28136
BY238759,BY179135
CW1027600,CW1204073
BE378062,BE378062
BN447228,BN447228
BE87237,BE42940
DZ58219,DZ58219
DH33738,BL397259
BN451474,BN112633
BN423369,BN359541
CW506340,BY39530
BF25658,BF25658
BE233590,AP42576
EH809467,EH809467
CW919639,CW919639
EA35184,EA35014
CA34373,CA74216
EH485559,EH688954
CW188197,CW677580
EH853505,AM5896
EH926427,EH926427
DL129280,AW116545
DX16641,DX16641
CW477316,CW251338
CW896312,AW183768
BA3915,BA3915
DE309126,DE309126
BB82034,BB82034
DE248413,DE248413
DB58817,DB135377
EH829463,EH299713
CK15539,CK15539
CA90685,CA90685
EA20728,EH422695
EH1141675,EH1141675
EH752482,EH592817
DR97753,DR97753
CW825630,CW825630
EH461708,EH198186
BZ9813,BZ9813
DT85162,DT85162
AS17280,ED3446
CW371144,CW371144
BY67746,BY67746
AW216892,AW216892
DN94774,DN94774
AL239767,AL352083
BL407395,BL407395
CW936240,CW936240
AW133111,AW55764
CW378947,CW711352
AP67200,CC54185
CJ164657,CJ164657
CW142092,CW142092
EH1128123,EH1128123
AA133612,AA133612
AG32312,BL337576
BR98705,EH679930
EN60968,EN60968
DR116965,DR116965
BE159113,BE198872
EH67677,EH336914
DE38480,CA19914
ER39069,CC158119
EH752482,AM11426
AG32312,AW197422
BD140010,BD140010
DD113381,DD113381
EH714467,DE225246
BY239848,CJ171005
BL143806,BL143806
AJ41471,DR119757
BM74817,BM74817
CZ102324,CZ102324
EE4704,EE4704
AX65279,AX65279
EH1231253,EA35014
CT43106,CT43106
CW182991,CW670545
AL183305,AL183305
CW65582,CW135517
BM63157,BM52885
CW210484,CW204913
EH365156,EH232135
AB37048,CW619737
DH27060,DE64875
CW658296,CW375136
CW227603,CW207764
CW1056141,CW53441
CW309629,CW29158
DR120235,DR120235
EH942021,EH96756
CW949093,CW949093
AL230206,CW1099568
BY43132,DE19900
BY162261,BY9793
EL93094,EL93094
BR45622,BR45622
CW134940,CW154216
CW651072,CW231402
BY507036,BH184479
DB248490,DB248490
DL243230,EH923798
CW659537,CW659537
CW808414,CW808414
CW975190,CW489212
AL50677,AL50677
CG187003,DX15549
CW39782,CW140443
EH844960,DK23138
CY28721,BL266141
AL7748,AL247878
CW197822,CW385333
EH708998,DT155471
BY625354,BY347354
AN157578,BL219910
CW93112,CW494839
CW424685,CW160924
DL56603,DL113638
BY539940,CC78713
CW659716,CW452348
AL51882,AL341184
AB18480,AW129801
EL55049,AN35216
BG15572,BG15572
CW533037,CW7124
CW997238,CW175943
EH134705,EH138719
EG3633,EG3633
CW510810,CW668288
CJ144032,CJ144032
BE404622,BE371840
AB37048,CW407077
EH325311,BY55068
CW235083,DR97753
CW993501,CW1199132
CJ80670,CW798355
DR61228,DR61228
EH257635,EH213097
BN406925,BN406925
AT17694,DB111906
DX59832,BL266141
EH981233,EH981233
DK37880,AN96554
EH662743,EH742294
BN474804,BN474804
EL20729,AW116545
AK90051,AK90051
BH83746,BH83746
CW158598,AP50078
BE277553,BE43232
CW324557,CW385333
BB63966,AN69766
AS46032,AS102828
CW129019,CW129019
DB239871,DS87655
CW99104,CW99104
EF102075,EF54992
CJ35795,BY272701
EH825348,EH825348
EM103999,EM103999
DR122639,DR122639
BY544363,DD55297
EH992734,EH992734
DR36581,DR36581
BZ17782,BZ17782
BZ32827,BZ32827
BN71907,DN94463
CG10726,CG10726
EH853505,CH59695
BR198729,DA85045
BL376898,BL376898
EH137019,EH137019
DW36030,DT155471
DN101376,BZ62734
BN362595,BN362595
CW623302,CW623302
EH714467,EH503015
CW185291,CW185291
DG62480,BL78335
CW440245,CW440245
EH64874,EH422258
CW959542,CW959542
DT40570,DT40570
BL281242,BR82973
DB141095,DB67568
BL468512,BL468512
DT138264,DT138264
CW282378,CW468426
CN21106,EH348783
BC56303,BC54870
BL499123,BL499123
BY365393,BY546515
AW50394,AW50394
EH295412,EH952718
BE311866,BE174584
CN21106,CW111986
CW986710,CW856420
CG101583,AM5896
DL254223,EH1093480
CW171148,CW642175
AX2926,AX3151
CJ117183,DB311692
BE286190,BE304692
CJ80670,CY19773
BR135765,BR135765
CW413473,CW947489
BE342718,BE294204
AL270956,AL270956
EH984031,EH984031
BE79881,BE79881
BR98849,BR38313
BY704038,BY704038
EA35184,DX63302
DB28440,DH21545
CW204913,CW204913
BB57377,BE141599
BW48386,BW48386
AB38092,CC54185
CW1177056,CW1177056
CW1139764,CW1139764
EH489266,CW175943
BZ10704,BZ10704
BL296007,BL296007
AJ39844,AJ8572
BY700943,BY43720
CW462577,CW462577
BL357527,EG39766
BN378421,BN536417
BE267457,BE420495
BY439514,BY240656
EH63122,EH301784
DT52454,DT52454
BN400782,BN87755
DX59832,CW324123
DE134607,BK17892
BY632696,BY658290
BN90400,BN90400
BZ21255,BZ21255
DB200226,DB249415
EH171287,EH348783
BH138723,BH138723
CW420451,CW446277
BL206364,BL206364
EH844960,EL48801
CJ132175,CJ132175
BY541759,BY541759
CW442386,CW118997
CW623302,CW710335
DD95751,DD186768
BE251804,CG43697
AN58488,AN32936
DW36030,EH1024710
