globalID_A,globalID_B
AL208077,AL228383
DB234035,BR113988
DS76846,BM46494
BP51944,BP51944
CJ41519,CJ204581
EH1067588,EH1067588
AL172802,AL172802
EH1153059,EH109401
EH811333,EH811333
EH489266,EN29987
CW1116687,CW521161
DR68700,DR18756
EH55622,EH382190
AA160957,AA160957
CW396737,CW266357
CW553389,CW1183326
BE221549,BE221549
CW147748,CW296022
BL354529,BL218508
CW185427,CW257892
DP8259,EH688954
DT140810,DT140810
EH1157055,EH98619
CW9963,AL42157
BR183769,BR183769
EH831109,EH831109
CZ53920,BC15142
BY446415,DS64363
BH163207,CS18090
BM10410,DH44286
CW954457,CW859806
CS14102,BL452978
CW974582,CW1329056
EH294190,AX29272
AS53491,AS53491
CW894444,CW292484
BL492441,BL492441
AA49632,AA26224
BY26738,BY276493
BY309282,DD78451
BY723495,BY723495
CW679293,CW409415
CW915532,CW423127
CW625203,CW507995
CW585430,CW661667
EF119040,AL169111
DT29550,DE158988
AA137785,EH963597
BE281276,CM59685
CW488975,EH646111
CG139442,BW26209
BR192583,BR140083
BR55421,BY458753
AW194282,AW194282
AE16597,CN45217
EA35184,EA35014
AL86480,AL21708
EG42335,EG41402
DE281454,DE281454
CW629752,CW574641
BY431141,BY423471
CW465488,CW417157
CW1123554,DS99879
BN295747,BN76408
DE240433,DE74866
CW33521,CW6293
EH106946,EH174810
CW1032843,CW461498
BN20910,BN65472
DE120366,DE8023
CW466998,CW261874
AL60739,AL104882
CW623784,CW716597
BY489059,BY63612
DR97753,DR97753
EH489266,DE269401
DL38872,AW82801
BE161496,BW48570
CW225043,CW81863
CW826514,CW254581
BL154205,EH316004
BW56516,BW56516
CW893134,CW453847
CW1010123,CW1010123
BY104273,BY136053
CW695560,EH783747
CW835385,CW1106420
EP65516,EM34946
DL231341,CW751076
CA66987,BR51277
ES19978,AF12194
CW225345,CW463966
AL152810,AL127090
CW599774,CW337759
AY30004,BE269235
CW1050742,CW970514
CW749468,CW749468
DE159623,BL307531
BD57517,BD32737
BM74817,BM74817
EH289965,EH214726
BE39238,BE39238
DE183725,DE58813
BE59354,BE59354
BH171852,DH32937
BN359783,BN214072
CW887185,CW887185
AP85254,ER36927
CW422517,CW780983
BY23499,BY23498
CW37792,CW8634
EH323219,EH615296
CW500016,CW897802
CS28362,CS16208
CW395349,AN130384
CW908668,CW879595
CW217034,CW217139
EH606989,EH430846
CW901299,CW873079
CW349223,CW390766
BZ55934,AA167578
CW211852,CW135387
CW882192,CW242380
CW152277,CW232417
EH787662,EH787662
BE169854,BE96407
AA25409,AA31178
DR116028,DR116028
BS14774,EH407264
AN138734,DK23138
CW1169564,CW712487
CW275274,CW207023
BD86740,EP99592
BN39851,BN8748
BY81216,BY172071
BZ55615,DD205775
BY355980,BY485748
BN231639,EP36395
EH484581,BC67419
EB6701,EB19786
EH767480,AR10820
BY230864,AL103378
BY215384,BY215383
BD86992,BD63461
EH276610,EH368727
CW93112,CW494839
AA108645,AA75847
BN537574,BN537574
CW457984,BR3520
CW758307,CW680127
BN307819,BN29536
CW565706,CW292258
BR150029,BY409682
BL108873,CW905168
CZ110535,CX3361
CW310825,CW690014
BN397368,DB178205
CC136333,AF19206
CW890098,CW331152
CW704699,CW582593
CW98690,CW71363
BY216737,BY460594
CJ28620,CJ28620
CN32636,CN4744
DC4232,AX14269
CZ33252,CS25808
CW176372,CW133066
BX21218,BX21218
DA87354,BM58816
CJ165257,BE101888
BY341421,BY252390
EA37759,EL27176
CJ148169,DT155805
CW440151,CW241655
CW938114,CW237818
DE230305,AA87314
DB102624,DB99101
BY657962,BY657962
CW127631,CW339630
CW767325,CW381870
AD2805,BR6704
CW268736,CW523129
EH423281,EH515404
CN11251,CN79451
CC90061,EH376204
CW144558,CW152646
BE403321,BE403321
DE232673,EL68332
CT54738,CT29660
EH499774,EA34224
AN40864,AN40864
BY526410,BY526410
DA79093,DA39189
CW162600,CW162600
BY408845,BY168843
CC79806,CC66543
BR152491,BR148333
CC90061,EH245924
BN104007,BN302384
BE311866,BE174584
DT46239,DT158783
CW1193088,CW897210
EH231056,EH231056
AK137571,AK137571
BE381483,BE381483
DB248153,BH54346
EH252159,EH675656
CW975643,CW244533
BB78144,DS89739
DW37791,AW85892
BY438770,BY633111
CW125384,CW804661
CW1172859,CW573462
DE274205,CW380714
CW42183,CW237818
