globalID_A,globalID_B
AL208077,AL228383
DB234035,BR113988
DS76846,BM46494
BP51944,BP51944
CW144274,CW451160
EH1067588,EH1067588
AL172802,AL172802
EH1153059,EH109401
AL323924,AL46024
EH811333,EH811333
EH489266,EN29987
CW1116687,CW521161
DR68700,DR18756
AA160957,AA160957
CW441751,DH24301
CW553389,CW1183326
BE221549,BE221549
CW147748,CW296022
BL354529,BL218508
CW185427,CW257892
DT140810,DT140810
EH1157055,EH98619
CW9963,AL42157
BR183769,BR183769
EH831109,EH831109
BY446415,DS64363
CW954457,CW859806
CS14102,BL452978
CW974582,CW1329056
AS53491,AS53491
CW894444,CW292484
BL492441,BL492441
AA49632,AA26224
BY309282,DD78451
BY723495,BY723495
CW679293,CW409415
CW915532,CW423127
CW111425,CW351571
CW625203,CW507995
CW585430,CW661667
AZ11604,DN55551
DT29550,DE158988
AA137785,EH963597
BE281276,CM59685
CW488975,EH646111
CG139442,BW26209
BR192583,BR140083
EH917959,CE27208
CB46305,CZ69937
AW194282,AW194282
AE16597,CN45217
EB52417,BJ29186
EA35184,EA35014
AL86480,AL21708
CW378167,CW264889
EG42335,EG41402
DE281454,DE281454
BY431141,BY423471
CW1123554,DS99879
BN295747,BN76408
DE240433,DE74866
CW33521,CW6293
DS73304,AN28002
BL215110,BL241649
EH106946,EH174810
CW1032843,CW461498
BN212016,BN52651
BL280511,CJ134598
BN20910,BN65472
CW228611,CW777384
CW466998,CW261874
DB112866,DB120428
BY489059,BY63612
DR97753,DR97753
AY2466,DE231040
EH489266,DE269401
DL38872,AW82801
CW225043,CW81863
CW826514,CW254581
DE272432,DE272432
EH171287,EH1303021
BW56516,BW56516
CW893134,CW453847
CW1010123,CW1010123
BY104273,BY136053
CW695560,EH783747
BY209532,BY491083
CW491033,BR113988
CW835385,CW1106420
EP65516,EM34946
CA66987,BR51277
AL152810,AL127090
EP69790,EP90637
EH458323,DA50805
CW599774,CW337759
CW1050742,CW970514
CW749468,CW749468
DE159623,BL307531
BD57517,BD32737
EH107182,EH164075
BM74817,BM74817
EH289965,EH214726
BE39238,BE39238
BE59354,BE59354
EH495025,CZ63532
EH365156,EH232135
AB3723,AA34621
CW555464,CW707605
BN359783,BN214072
CW887185,CW887185
DN128596,AW183431
AP85254,ER36927
CW422517,CW780983
BY23499,BY23498
EH1228616,EH604745
CW37792,CW8634
EH323219,EH615296
CW500016,CW897802
BL276211,BL176114
CW395349,AN130384
DE190886,DE228203
CW908668,CW879595
CW217034,CW217139
DN142787,EH528673
CW901299,CW873079
CW349223,CW390766
AG47395,BL530731
BZ55934,AA167578
DA89185,DE269401
DA77479,AA136962
CW211852,CW135387
CW882192,CW242380
CW152277,CW232417
EH787662,EH787662
BE169854,BE96407
CW779817,CW126536
CW1035413,CW904682
AA25409,AA31178
DR116028,DR116028
CW275274,CW207023
BD86740,EP99592
BN39851,BN8748
BY81216,BY172071
BZ55615,DD205775
BN231639,EP36395
CW1000479,CW27432
EH484581,BC67419
DE87317,AZ19395
EB6701,EB19786
EH767480,AR10820
BY230864,AL103378
CW712759,CW204374
BY215384,BY215383
BD86992,BD63461
CW599400,CW314893
EH276610,EH368727
CW93112,CW494839
AA108645,AA75847
BN537574,BN537574
CW457984,BR3520
DT57437,DT108446
CW758307,CW680127
BN307819,BN29536
CW565706,CW292258
CS27913,BN354038
CZ110535,CX3361
BE284336,AK104830
BL235605,BR157341
EH234034,EH185925
CW890098,CW331152
CT44124,BL234245
CW537925,EH927126
CW704699,CW582593
CW98690,CW71363
EH806546,EH317452
CJ28620,CJ28620
CN32636,CN4744
CZ33252,CS25808
AW88886,BZ34427
CW176372,CW133066
BX21218,BX21218
DA87354,BM58816
CJ165257,BE101888
BY341421,BY252390
CJ148169,DT155805
CW440151,CW241655
CW938114,CW237818
BB46564,DX33847
DE230305,AA87314
CW218379,AS87974
BY657962,BY657962
BY418086,AP42576
CW127631,CW339630
DT131303,DX14528
AL247242,EH697544
CW767325,CW381870
CW268736,CW523129
CW611143,CW744108
EH423281,EH515404
CW144558,CW152646
BE403321,BE403321
AL226912,EF112956
DE232673,EL68332
AA7254,AA99580
BD149318,BD158371
BE390268,DN55551
EH499774,EA34224
CW824733,CW456450
AN40864,AN40864
BY526410,BY526410
DA79093,DA39189
CW162600,CW162600
CC79806,CC66543
BR152491,BR148333
CC90061,EH245924
