globalID_A,globalID_B
AL208077,AL228383
DS76846,BM46494
BP51944,BP51944
EH1067588,EH1067588
CW507414,CW132971
CW915211,CW929855
AL172802,AL172802
EH1153059,EH109401
AL323924,AL46024
EH811333,EH811333
EH489266,EN29987
CW441887,CW272129
CW1116687,CW521161
DR68700,DR18756
EH55622,EH382190
AA160957,AA160957
CW396737,CW266357
CW553389,CW1183326
BE221549,BE221549
CW147748,CW296022
BL354529,BL218508
CW185427,CW257892
DT140810,DT140810
EH1157055,EH98619
BL475236,BC69683
CW9963,AL42157
BR183769,BR183769
EH831109,EH831109
BY446415,DS64363
CW954457,CW859806
CS14102,BL452978
CW974582,CW1329056
EE5899,BD64342
AS53491,AS53491
CW894444,CW292484
BL492441,BL492441
AA49632,AA26224
BY26738,BY276493
BY309282,DD78451
BY723495,BY723495
CW679293,CW409415
CW915532,CW423127
CW111425,CW351571
CW625203,CW507995
CW585430,CW661667
CW717075,CW716700
DT29550,DE158988
AA137785,EH963597
BE281276,CM59685
CW488975,EH646111
CG139442,BW26209
BR192583,BR140083
AE16597,AS17045
AW194282,AW194282
AE16597,CN45217
EA35184,EA35014
AL86480,AL21708
EG42335,EG41402
BY431141,BY423471
EP15535,CJ36059
CW1123554,DS99879
BN295747,BN76408
DE240433,DE74866
CW33521,CW6293
EH106946,EH174810
AL226912,CW357266
BN20910,BN65472
CW228611,CW777384
CW466998,CW261874
AL60739,AL104882
DB112866,DB120428
AW51606,AW40221
BY489059,BY63612
DR97753,DR97753
EH489266,DE269401
DL38872,AW82801
CW225043,CW81863
DE272432,DE272432
EH171287,EH1303021
BW56516,BW56516
CW893134,CW453847
CW1010123,CW1010123
BY104273,BY136053
BY209532,BY491083
CW724721,EH379551
CW835385,CW1106420
BN209620,BN161083
DL231341,CW751076
CA66987,BR51277
CW225345,CW463966
AL152810,AL127090
EP69790,EP90637
CW599774,CW337759
CW1050742,CW970514
CW749468,CW749468
BD57517,BD32737
BM74817,BM74817
BE39238,BE39238
BE59354,BE59354
EH365156,EH232135
AB3723,AA34621
BN359783,BN214072
CW887185,CW887185
BY23499,BY23498
EH1228616,EH604745
CW37792,CW8634
EH323219,EH615296
CW240237,CW904054
CW500016,CW897802
CW395349,AN130384
CW908668,CW879595
AL205310,DK21684
CW217034,CW217139
DN142787,EH528673
CW901299,CW873079
CW349223,CW390766
CW211852,CW135387
CW882192,CW242380
EH787662,EH787662
BE169854,BE96407
CW1035413,CW904682
CW543181,BE301683
AA25409,AA31178
DR116028,DR116028
BS14774,EH407264
CW275274,CW207023
BN39851,BN8748
BZ55615,DD205775
BY355980,BY485748
BN231639,EP36395
EH484581,BC67419
DE87317,AZ19395
EB6701,EB19786
CW1121713,ER34345
BY215384,BY215383
CW93112,CW494839
AA108645,AA75847
BN537574,BN537574
DT57437,DT108446
CW758307,CW680127
BN307819,BN29536
CW565706,CW292258
CS27549,BY532255
BL108873,CW905168
CZ110535,CX3361
BY489152,BY450935
BL235605,BR157341
EH234034,EH185925
CW890098,CW331152
EF56983,EH125342
CW704699,CW582593
BL216696,CW137807
CW98690,CW71363
CW240237,CW561081
BY216737,BY460594
CJ28620,CJ28620
CW1074120,CW906608
CN32636,CN4744
CW176372,CW133066
BX21218,BX21218
DA87354,BM58816
CJ165257,BE101888
BY341421,BY252390
CJ148169,DT155805
CW440151,CW241655
CW938114,CW237818
DB102624,DB99101
BY657962,BY657962
CW127631,CW339630
DT131303,DX14528
CW767325,CW381870
CW268736,CW523129
CW611143,CW744108
EH423281,EH515404
CN11251,CN79451
CW144558,CW152646
BS6205,EH273509
BE403321,BE403321
DE232673,EL68332
BD149318,BD158371
CW824733,CW456450
AN40864,AN40864
DD159068,CJ144879
BY526410,BY526410
DA79093,DA39189
CW162600,CW162600
CW320471,CW147931
BY408845,BY168843
CC79806,CC66543
BR152491,BR148333
BN104007,BN302384
BE311866,BE174584
CW1193088,CW897210
AK137571,AK137571
BE381483,BE381483
CW178221,CW1245881
DB248153,BH54346
EH252159,EH675656
CW975643,CW244533
DW37791,AW85892
BY438770,BY633111
CW125384,CW804661
CW495460,DY8413
CW1172859,CW573462
CW42183,CW237818
BN472754,BN256559
CW64270,CW64270
CL56439,CL56439
CW688280,CW990080
CW137805,CW269161
DB257049,DB10080
BP57611,EH925679
BY152664,BY203880
CW397352,CW432710
AM77025,AM77025
DT143213,DT143213
AN43765,AN43765
EH773192,EH906576
CW68874,CW105783
DD143778,DD225606
AS47087,EH488092
CW667191,CW488760
DL88121,DL88121
EH825545,EH825545
CW1111344,CW1107665
BD50597,AP51678
CW725370,CW190878
AN157578,BR218797
DB197051,DB136040
CJ132175,CJ132175
EH145673,EH299185
EH898015,EH914493
DA87354,EB45789
CW96439,CW229250
EP71377,EP71377
CW533847,CW550719
EH32311,EH32311
EH274659,EH181475
EH194945,EH194945
CW340120,CW363076
CW484153,CW665802
CW946697,CW996207
AL204383,DN123519
EH837598,EH260806
CA66987,BY392382
AL96891,AL155300
BY68163,BY54315
BC54982,BC54982
DL205437,CW1370224
BN153265,BN93773
CA23666,BJ23437
DB58236,DB58236
EH10792,EH10792
BE390268,EH478771
DS76846,CW527932
CW1024756,CW732623
DD125420,DD125420
CW947585,CW377484
CW1123554,CW550610
CW220618,CW330854
BL217511,CZ63532
CW365024,CW1373697
AK78486,EP3639
BB80232,DE319090
EH577003,EH237871
BL163124,BL170045
CW182635,CW257892
AJ20351,EF146675
CW157483,CW1236194
DB253591,DB45828
CA7189,CA7189
BH84930,BH84930
BN282680,BN74644
CW652338,CW518400
CW94348,CW61953
CW397643,CW252898
CW159839,CW925307
CE53311,CW1299243
DB295139,DS87655
CW240248,CW276958
CW877497,CW235329
CW728147,AS64985
BY85286,BY257863
CW699701,CW906879
EH827821,EH827821
EF81996,EF32942
EH419376,EM58262
CY29047,CY29047
BE407698,BE382976
EN46398,BB80368
DD159068,CW453847
BZ14230,BZ18916
AK40025,AK90434
EH645871,EH645871
CW28574,CW127883
CW482214,EF120086
BY446917,BY294257
EH907959,EH907959
BH102187,BH102187
EN65128,AM72262
BN477275,BN477275
DE76506,EH405750
BN376886,BN376886
CW201824,CW423350
BE235772,BE68972
EH1099515,EH1099515
CW98196,CW268067
CW1064046,CW1064046
CW1280305,CW628059
EH185791,EH478771
CW218122,DS39544
DL169153,DL165504
EH960354,EH960354
DJ14337,DJ14337
CW1137809,CW805691
CW43650,CW182000
CW1072329,CW760807
EH970300,EH970300
CW1285276,CW783615
CW319145,CW1315418
BY573452,BY402353
CW289162,CW179424
BN37357,BN2193
AN158705,AN158705
EH476650,EH883082
CW116672,CW392585
EH823504,EH823504
CW946124,CW946124
CW411032,CW346754
DA111398,DA111398
BE379566,BE379566
EH845976,EH1112630
ES11956,AJ16046
CG143185,CG106389
DL82120,DL106068
AZ16280,AZ16280
AS48913,AS8111
CW545005,CW209707
CW405795,CW418360
DL19984,EM3611
CW975643,CW231746
CW127324,CW358253
CA80070,AX29272
EL53033,ES20584
BN384681,CG46467
CZ98711,CZ33923
CW698384,CW521161
CG131749,DA13314
DB48317,DB163976
CW174865,CW1028070
CW404564,CW254744
AL249688,AL336292
CW862478,CW862478
CW920153,CW460898
EH234290,EH1303209
BY571914,BY588174
BD36854,BD33439
DB154720,DB294168
CW332022,CW386644
BL131579,BL120247
CW630978,CW298208
CW1232729,CW1261494
AS50841,AS76981
AF23166,DP31890
AG31722,CC68211
CW505223,CW505223
CB18664,DB57505
AL67515,AL67515
CW864402,CW864402
CW918713,CW506529
CW408607,CW408607
CG152339,CG85204
BL358713,BL358713
ES19278,ES19278
DD179359,DD179359
DE102200,DZ52242
CW172557,CW262898
CW453158,CW141587
BJ29091,DT82831
AA85511,AA37894
CW578879,CW432338
AW124345,AW197422
CE35160,CE13149
AL143110,AL143110
AK107633,AK74498
CW398017,CW416177
AX17665,EL44365
DB190100,DY33049
EH831111,EH1213700
DD190861,EH501178
EH854291,EH1264755
BN406608,BN406608
CG154270,CG154270
CW1164984,CW1221401
CW32816,CW146560
AA143651,AA169664
BY554848,CW740059
CW349669,CW445635
CG33435,CG2527
CW1213092,CW1213092
BL258096,CC89087
CW811612,CW811612
AL226912,AL222925
CW169432,CW801792
CW441751,EH423288
EA43006,EB7957
EH857910,EH425852
BB49707,CB11523
BY200155,BY565125
CW843262,CW843262
CW668312,CW1323573
AL24756,BR31933
DL189769,EH913534
BB119379,DS89531
CW760587,CW1376524
AP5086,AP5086
CC2450,CC18071
BR91454,DD66891
CW438070,CW438070
EH473899,EH560886
CW531363,CW121594
AL52341,EH325461
DN71937,DN97537
CW68694,CW68694
CL54352,CL47637
AA100490,AP8782
EH235248,EH276576
CW67754,CW245150
CW840875,CW814868
CW307237,CW798775
CW262700,CW615394
BY224644,BY367242
CW456741,CW1027837
DB253062,DB183449
CW894985,CW309536
EH735724,EM62794
CW782902,CW647529
BN372790,BN372790
DB236679,CJ109498
DE186891,CA73956
AL49719,AL49719
BM59798,BM59798
CW733202,CW132501
DN55427,CP50170
CW787273,CW529006
BE42816,BE155831
BY462451,AA201398
DH64416,DX49626
BN278709,EH656251
EH889283,AS86973
DS102387,DB129961
DL112382,DL105773
BJ26547,BJ22121
BY595475,AA196520
AL205310,AL49939
BE137684,BE168105
CW1103258,CW804661
AL317891,CC153196
CW949504,CW1026384
CW481038,CW481038
CW669881,CW1206794
BY527695,BY511282
CW162962,CW204252
BY68163,BY12826
CW629923,CW743918
CG24903,BE157097
CW135499,CW14535
BN330484,EH147762
DD35153,EL47655
EH811765,EH486537
CW991014,CW1229091
EH674375,EH674375
CW578879,EH423288
BY528269,BY335740
BE157839,BE206692
CW94348,CW669025
CW499286,CW421880
BY34062,BY244797
CW251386,CW216625
CW1145433,AR6305
CW222591,CW1373395
CJ12593,AM74150
CB81733,EH246448
CW81408,CW66114
CW1071603,CW159839
EM115857,EM115857
CW203602,CW274239
CA67473,CC121521
BL207081,DL125824
DE307249,DL244422
AN172461,BN330390
CN11880,AA3724
CW48387,CW48387
EH76687,EH213277
CW537961,CW290240
CW595151,CW458497
BN362159,BY377019
AL248775,AL189245
CW195154,CW347067
DY26769,DT119363
BY495705,BY505496
CW932561,CW423906
CA3318,CA3318
CW760807,CW798226
CW67754,CW485534
CW1146259,CW1296754
DR150899,BE156646
CW543857,CW1096449
CW150117,CW147931
BZ7480,BZ7480
BE60539,BE60539
DB277571,DB12853
BY449916,BY441197
AK26781,AK26781
CW136971,CW231936
EF80551,EF31772
CW623770,CW549177
EH788905,BN288869
CJ142021,DE151670
DS76334,CJ194318
EH485559,EH802835
AM107743,DL256578
EM98363,EH181659
EH994599,EH994599
CW861001,CW861001
CC25432,CC73178
CW1203746,CW1203746
CW826559,CW826559
CT38359,CT38359
CW1102154,CB93093
AP79072,AP79072
BR98849,BR113140
EA47865,EA47865
BY687351,BY687351
BE59199,BE158036
CL45999,CL45999
CW38724,CW755455
BY406633,BY406633
CW954145,CW562049
BY308634,BY449772
CG24014,CG96414
DD176361,DD102279
CE26342,BH173211
CG128725,CG106430
CZ94282,DL240764
BH46612,BH165568
CZ89387,CZ89387
DZ49321,EH341549
BH134382,CN9691
BE199547,BE199547
CG148016,CZ57785
BH87532,BH162941
DL101470,CW380714
DL129280,CW448950
EH82814,DE33656
CW348082,CW524370
AK97196,AK97196
DL126339,BY379489
BH168735,CB85724
EF141831,BK39505
AW5538,AW5538
CH7216,CH7216
CW265354,CW391000
DW44403,CB41635
CW806196,CW1296798
EF122025,EH1294069
EF164405,EN55133
CW60957,CW576484
CW688944,CW1100627
BY655873,BY655873
AM87514,CG62752
CW984585,CW595661
AA65398,EL53966
CW25925,CW36860
CW302043,CW1042241
BH171852,BY367972
CW402368,CW556421
DE125910,EH658188
DE254916,DE67962
CW885700,CW1096273
CW905919,CW252237
BN205998,EH295967
CW643614,CW660582
DM8159,BL132788
EP4342,EP3143
CW892303,CW118563
EH312024,EH216171
CW671607,CW671607
EH87082,EH131868
CW233197,CW399512
CW491449,CW688412
BL123562,BL361873
EH945728,EH333214
CW543117,CC127514
CW506408,CW549177
BD119535,BD16116
DN36881,EN3449
CW1018970,CW543667
EH703748,EH234170
EM20628,EM20628
BY238456,EH1303021
EH489266,CW244533
DT139152,AW227835
CW840203,CW840546
EH549759,BL270057
CW420913,CW420913
CW520319,CW540602
CW653213,CW433609
CW995836,CW1326908
BH45390,BN183440
CW139738,CW561760
DL181923,BY532255
CW1242459,CW582593
BL121951,BN218005
AL179735,DH37074
AT20417,CA80045
CW192012,CW1343646
BL448521,CW602700
DR69699,DR69699
AW178044,AW178044
EH1149962,EH46070
EH447343,EH447343
CW148745,CW222332
EH716083,EH422695
CA16130,CA16130
BL248976,BL163050
BY164668,BY184509
CW1232560,CW823008
CW640073,CW640073
DE219364,EH506337
DL16478,DL21764
CW469073,CW806028
EH2863,EH55017
CJ130332,CJ130332
CW842985,CW842985
AL79366,AL12646
CA120121,AP17823
EF17489,EF17489
CW629462,CW742845
AW128357,AW128357
DB55044,CW110315
CW346209,CW795339
CW1126916,CW707245
BN41161,BN233305
EH925732,EH661631
BR115775,EH159476
EF158529,EF158529
CW860377,CW1037319
EH337976,DL171797
CW293435,CW491547
CW458020,CW886963
CW892257,CW571235
CW765985,CW867985
AZ11604,EH478771
DY12360,DY12360
DB20165,DB47519
CW1193215,CW602700
BN349632,BN459329
CW543117,AA117610
EH394387,EH128338
AM85563,EN58195
AA19595,AA115005
BN317669,BN434881
BN378857,BN378857
CW33610,CW102143
DR54313,DR46399
BE380384,BE369294
BY226909,CL38948
ED55171,AN85765
BN49276,BN26998
CW1040990,CW1085851
BE126714,BE54218
CW1195574,CW1343846
CW549347,CW523104
AD24384,AD25112
CW144503,CW120542
CW805407,CW579985
AB6392,AB6392
CW1020874,CZ105639
DE301910,AT16946
BN164191,BN225046
CW892257,CW508356
CW2426,CW399512
DN59995,AA117610
EH636114,EH367083
BN193926,BN30537
AN77613,AN133509
EH257635,DT100576
CW1112512,CW1112512
EH961360,BX20950
BY675123,CG2857
CW293601,CW402759
CW69898,BK13433
CY16112,DX14528
CW961269,CW820309
