globalID_A,globalID_B
AL208077,AL228383
DB234035,BR113988
DS76846,BM46494
BP51944,BP51944
CJ41519,CJ204581
EH1067588,EH1067588
CW507414,CW132971
CW915211,CW929855
AL172802,AL172802
EH1153059,EH109401
AL323924,AL46024
EH811333,EH811333
EH489266,EN29987
CW1116687,CW521161
DR68700,DR18756
EH55622,EH382190
AA160957,AA160957
CW396737,CW266357
CW553389,CW1183326
BE221549,BE221549
CW147748,CW296022
BL354529,BL218508
CW185427,CW257892
DT140810,DT140810
EH1157055,EH98619
CW9963,AL42157
BR183769,BR183769
EH831109,EH831109
CZ53920,BC15142
BY446415,DS64363
CW974582,CW1329056
EH294190,AX29272
AS53491,AS53491
BL492441,BL492441
AA49632,AA26224
BY309282,DD78451
BY723495,BY723495
CW679293,CW409415
CW915532,CW423127
CW111425,CW351571
CZ34331,DZ9621
CW585430,CW661667
DT29550,DE158988
AA137785,EH963597
BE281276,CM59685
CW488975,EH646111
CG139442,BW26209
BR192583,BR140083
CB46305,CZ69937
AW194282,AW194282
AE16597,CN45217
EA35184,EA35014
AL86480,AL21708
EG42335,EG41402
DE281454,DE281454
CW629752,CW574641
BY431141,BY423471
EP15535,CJ36059
BN295747,BN76408
DE240433,DE74866
EH889705,EH886264
CW33521,CW6293
EH106946,EH174810
EH544854,BJ29186
AL226912,CW357266
CW1032843,CW461498
BL280511,CJ134598
BN20910,BN65472
CW228611,CW777384
DE120366,DE8023
CW466998,CW261874
AL60739,AL104882
EF167421,DB139313
AW51606,AW40221
BY489059,BY63612
DR97753,DR97753
EH489266,DE269401
DL38872,AW82801
BE161496,BW48570
CW225043,CW81863
DE272432,DE272432
EH171287,EH1303021
BW56516,BW56516
CW1010123,CW1010123
BY104273,BY136053
CW724721,EH379551
CW835385,CW1106420
DL231341,CW751076
CA66987,BR51277
CW225345,CW463966
AL152810,AL127090
CW599774,CW337759
CW1050742,CW970514
CW749468,CW749468
DE159623,BL307531
BD57517,BD32737
EH107182,EH164075
BM74817,BM74817
EH289965,EH214726
BE39238,BE39238
EH925732,EH651166
BE59354,BE59354
EH495025,CZ63532
EH365156,EH232135
BN359783,BN214072
CW887185,CW887185
CW422517,CW780983
BY23499,BY23498
CW37792,CW8634
EH323219,EH615296
CW240237,CW904054
CW500016,CW897802
BL276211,BL176114
CW395349,AN130384
CW908668,CW879595
CW217034,CW217139
EH606989,EH430846
DN142787,EH528673
CW901299,CW873079
CW349223,CW390766
AL91413,AL106065
BZ55934,AA167578
DA89185,DE269401
CW211852,CW135387
EH787662,EH787662
BE169854,BE96407
CW779817,CW126536
AA25409,AA31178
DR116028,DR116028
CW275274,CW207023
BN39851,BN8748
BY81216,BY172071
BZ55615,DD205775
BN231639,EP36395
EH484581,BC67419
EB6701,EB19786
BY215384,BY215383
EH1038590,AZ19578
BD86992,BD63461
EH276610,EH368727
CW93112,CW494839
AA108645,AA75847
BN537574,BN537574
DT57437,DT108446
CW758307,CW680127
BN307819,BN29536
BL75296,BL337282
CZ110535,CX3361
CW310825,CW690014
BY489152,BY450935
EF158196,DB253480
EH234034,EH185925
CW890098,CW331152
CW704699,CW582593
CW98690,CW71363
EH806546,EH317452
EH105924,EH1127210
BN30732,BN10333
BY216737,BY460594
CJ28620,CJ28620
CN32636,CN4744
DC4232,AX14269
CZ33252,CS25808
CW176372,CW133066
BX21218,BX21218
DA87354,BM58816
CJ165257,BE101888
BY341421,BY252390
BL494708,BL183913
CJ148169,DT155805
CW440151,CW241655
CW938114,CW237818
DE230305,AA87314
CW218379,AS87974
BY657962,BY657962
DB305844,AA110860
BY418086,AP42576
CW127631,CW339630
CN20865,BE107386
AL247242,EH697544
CW767325,CW381870
CW268736,CW523129
EH423281,EH515404
CN11251,CN79451
BE403321,BE403321
DE232673,EL68332
CT54738,CT29660
BD149318,BD158371
BL207966,BL66775
AN40864,AN40864
BY526410,BY526410
DA79093,DA39189
CW162600,CW162600
CW320471,CW147931
BY408845,BY168843
BR152491,BR148333
CC90061,EH245924
BN104007,BN302384
BE311866,BE174584
DT46239,DT158783
CW1193088,CW897210
AK137571,AK137571
BE381483,BE381483
CW975643,CW244533
DW37791,AW85892
BY438770,BY633111
CW125384,CW804661
CW1172859,CW573462
DE274205,CW380714
BY707956,BY637006
CW42183,CW237818
BN472754,BN256559
CW64270,CW64270
CL56439,CL56439
