globalID_A,globalID_B
DR81938,DR93149
DD37260,CD11763
AL248483,AL250181
EH1062395,EH1062395
EH966977,EH966977
DH44127,BY272701
CW520319,CW561179
BP51944,BP51944
BY551551,BY551551
EH1067588,EH1067588
BY369026,BY253939
DE275293,CA105232
ED4064,ED11345
AA189574,DP27040
CC88093,CC88093
CJ182539,CJ182539
CW98491,CW166896
BL417902,BL417902
BY490572,BY591114
AA160957,AA160957
DA53281,DA36802
AL207969,DB123626
BE221549,BE221549
CW147748,CW296022
EH920322,EH920322
BL354529,BL218508
EH905489,EH401455
CN12626,EH42990
AP57157,AP4410
AW190909,AW190909
AW29846,AW29846
CW574243,CW110251
CW893381,BC69683
AG54716,AG54716
BL199299,BL135903
DT140810,DT140810
DW66211,DW66211
EH378084,EH578641
CG47557,CG47557
BE231565,BE231565
BR183769,BR183769
CP17424,CP17424
CJ145457,CJ145457
EH831109,EH831109
CW754004,CW45392
EH530432,EH506792
CW974582,CW1329056
AS53491,AS53491
AW60873,AW60873
DT119118,DT119118
BL492441,BL492441
CW687093,EF118714
CW1081189,CW1043592
CW866344,BN491151
DE328188,DE328188
CW259451,CW407343
BD118351,BD118351
CW675832,CW290239
CT6785,CT6785
AG27268,AG33542
BL101144,AA132686
CW198229,CW198229
CT48303,BY472436
CL38142,BY682517
EH467363,EH467363
EH556208,CW211638
CW64270,CW243351
BR142662,BC36376
AW89260,AW89260
EH828746,EH828746
BR192583,BR140083
DT106904,AN168168
CJ154523,CJ87808
CW881624,CW881624
EH889283,AA71863
CW104613,CW643370
BN423369,BN359541
CW605615,CW644425
EH779557,EH1274844
DT134409,DT134409
AH16932,DE116694
CW515236,CW620460
EH804038,EH804038
CW1001109,CW1059781
AW165443,DD207410
AL86480,AL21708
CW513289,CW459243
AG39148,AG39148
BE144544,BE144544
AS73977,DW18054
CW1054664,CW534607
BY248722,CW429971
EG42335,EG41402
BY69826,BY97529
EH638865,EH638865
EH651093,EH651093
AK61851,BL230092
CW431406,CW61953
DT5009,DT5009
AN27611,AN27611
BN20910,BN24403
AT28393,CD24486
EH106946,EH174810
CW362921,CW720353
CW182206,CW155887
CW314113,CW886560
DE277843,DE277843
BN50676,BN46418
BN20910,BN65472
EH143392,EH102117
EH302433,EL31786
CW846716,DN90936
CW577021,CW258787
AL60739,AL104882
BY548146,BY548146
CW69842,CW73355
BE342264,CJ144702
AS17280,ED3446
CG8405,CG47603
DN128183,DN128183
DS94592,AS14280
CW1037165,CW140814
CW759597,CW657942
CC106084,ED45201
DH56057,DH56057
BW56516,BW56516
EH887753,BY20295
AS74778,AS74778
CW1137856,CW1339043
DY5869,DY5869
DB124955,BH184479
BL385927,CG84760
EP90416,EH431108
BN141976,BN202444
BH12664,BH12664
AL176062,AL52201
AN87181,AN68750
CW39782,CW1207758
CW225345,CW463966
CW1050742,CW970514
AL38082,AL38082
EP62058,EP38660
EH476437,EH476437
CW749468,CW749468
DA6565,DA7491
DB198915,DB284432
DD119712,DD123063
EH646111,EH646111
CW917113,CW807933
CW637663,CW648514
BY324728,BY411267
AL120780,AL120780
BN450842,BN195003
EH482097,EH417018
EH764187,EH576280
EH984627,EH16200
BL245904,CA144046
AA150797,AL233116
BE59354,BE59354
CW524744,CW463194
BY598256,BY567896
BE192563,BE225119
EM26961,EH712628
CW597292,CW939564
DR105769,DR105769
EH881686,EA26172
EH355683,EH310324
BY529858,BY624963
EP70338,AS77044
BY23499,BY23498
EB65191,EB65191
DE116886,DE119005
BY278731,BY50262
EH692770,EH692770
BN39851,BN24767
BE79892,BE219326
CW449197,CW1053024
BL31372,BL132647
EP45545,BR77897
AL293420,AL293420
BN38130,BN22695
BY279891,EH79409
AN183167,AN183167
CW302927,CW236850
DL154946,DL172131
EP62058,AS14565
CW1019452,BL403518
AN67057,BR132112
DN142787,EH528673
DR21362,DR21362
BZ15932,BZ15932
BN159700,CN24909
DL247273,EP30087
BN240634,DE86624
BN50818,BN10753
DD187750,DB237181
AM15698,AM15698
CW882192,CW242380
AF23986,AS73674
CW504869,BE76040
BH124866,BC11685
DA99525,CB73958
EH787662,EH787662
BN80005,BN178342
BN435574,BN463132
BY435597,BY449228
AA25409,AA31178
EH108033,EH210162
AL232307,AL232307
CM54386,CA140630
EN12635,DW19953
CW417581,CW267543
BL511942,BL511942
AZ4507,CW825224
CJ88729,CJ84152
BL439856,BL439856
DA8282,EH176253
AL77675,AL36090
CW1121713,ER34345
AL16800,CG42688
CW39782,CW140443
BR55038,BR4722
CW697209,BD83599
DL56603,DL113638
AJ19932,AJ19932
DL198087,DL198087
CW1105940,CW172823
CT48303,EN78292
CW693462,CW1037184
CW1110016,CW1355749
CW150222,CW302447
AP77888,AP77888
CZ39870,EP60461
BL453733,BL538401
EH972074,EH972074
CA66987,DA84049
AW112258,DS65059
CZ31223,CG72847
CZ40285,AW48799
CW390262,CW161858
CW586362,CW443541
CW947355,CW947355
BG15572,BG15572
CW755899,CW1281957
DB4264,DB68497
DB52421,DB198349
DL251423,ER34345
AL318435,CM29334
CC98529,CC98529
BM61917,BM61917
DH44127,EA26503
CB69298,CB69298
CA67865,CA67865
DB150145,DS68139
CW890098,CW331152
DB194477,DB209115
EH994868,BE234591
DB244892,DB244892
