globalID_A,globalID_B
AL208077,AL228383
DB234035,BR113988
DS76846,BM46494
BP51944,BP51944
CJ41519,CJ204581
CW144274,CW451160
EH1067588,EH1067588
CW507414,CW132971
CW915211,CW929855
AL172802,AL172802
EH1153059,EH109401
EH499987,EH109844
AL323924,AL46024
DZ19456,BA18709
EH811333,EH811333
EH489266,EN29987
CW1116687,CW521161
DR68700,DR18756
AA160957,AA160957
CW396737,CW266357
CW553389,CW1183326
BE221549,BE221549
CW147748,CW296022
BL354529,BL218508
AL279211,CN27305
DT140810,DT140810
EH1157055,EH98619
CW9963,AL42157
BR183769,BR183769
EH831109,EH831109
CZ53920,BC15142
BY446415,DS64363
CW954457,CW859806
CS14102,BL452978
CW974582,CW1329056
EH294190,AX29272
AS53491,AS53491
CW894444,CW292484
BL492441,BL492441
AA49632,AA26224
DA87631,DB131800
BY309282,DD78451
BY723495,BY723495
CW679293,CW409415
CW915532,CW423127
CW111425,CW351571
CZ34331,DZ9621
CW585430,CW661667
CW717075,CW716700
EF119040,AL169111
AM73402,CW253569
DT29550,DE158988
AA137785,EH963597
BE281276,CM59685
CW488975,EH646111
CG139442,BW26209
BR192583,BR140083
BY557463,BY147589
AE16597,AS17045
AW194282,AW194282
AE16597,CN45217
EB52417,BJ29186
EA35184,EA35014
AL86480,AL21708
EG42335,EG41402
DE281454,DE281454
EJ25249,CW802880
CW629752,CW574641
BY431141,BY423471
CW465488,CW417157
BN295747,BN76408
DE240433,DE74866
EH889705,EH886264
CW33521,CW6293
DS73304,AN28002
EH544854,BJ29186
AL29442,AS50853
CW1032843,CW461498
BN20910,BN65472
EH302433,EL31786
CW466998,CW261874
BY101450,BY101455
AL60739,AL104882
EH213052,EB38438
DB112866,DB120428
EF167421,DB139313
AW51606,AW40221
BY489059,BY63612
DR97753,DR97753
EH489266,DE269401
DL38872,AW82801
BE161496,BW48570
CW225043,CW81863
DE272432,DE272432
EH171287,EH1303021
BW56516,BW56516
CW893134,CW453847
CW1010123,CW1010123
BY104273,BY136053
CW695560,EH783747
CW835385,CW1106420
EP65516,EM34946
DL231341,CW751076
CA66987,BR51277
ES19978,AF12194
CW225345,CW463966
AL152810,AL127090
EP69790,EP90637
CW599774,CW337759
AY30004,BE269235
CW749468,CW749468
BD57517,BD32737
BN204249,BN246117
BM74817,BM74817
EH289965,EH214726
BE39238,BE39238
BE59354,BE59354
EH495025,CZ63532
EH365156,EH232135
AB3723,AA34621
BH171852,DH32937
BL391927,CW724104
BN359783,BN214072
CW887185,CW887185
EP70338,AS77044
CW422517,CW780983
BY23499,BY23498
EH1228616,EH604745
CW37792,CW8634
EH323219,EH615296
CW500016,CW897802
CW395349,AN130384
CW908668,CW879595
CW217034,CW217139
CW901299,CW873079
CW349223,CW390766
DB77239,DB130227
AL91413,AL106065
BZ55934,AA167578
CW211852,CW135387
CW882192,CW242380
EH787662,EH787662
BE169854,BE96407
CW779817,CW126536
CW1035413,CW904682
CW543181,BE301683
AA25409,AA31178
DR116028,DR116028
BS14774,EH407264
CE48074,AN224683
CW275274,CW207023
BD86740,EP99592
BN39851,BN8748
BZ55615,DD205775
BY355980,BY485748
BL4978,EH653835
EH484581,BC67419
DE87317,AZ19395
EB6701,EB19786
CW1121713,ER34345
CW1115814,EH295967
BY215384,BY215383
BD86992,BD63461
BN406981,EH933186
EH276610,EH368727
CW93112,CW494839
AA108645,AA75847
CW220618,BE8156
BN537574,BN537574
DT57437,DT108446
CW758307,CW680127
BN307819,BN29536
EH93791,EH85815
BL108873,CW905168
CH2842,CW113757
CZ110535,CX3361
CW310825,CW690014
BE284336,AK104830
BL235605,BR157341
EH234034,EH185925
CW890098,CW331152
BL216696,CW137807
CW98690,CW71363
BY216737,BY460594
CJ28620,CJ28620
CN32636,CN4744
AL71436,AN49955
CZ33252,CS25808
DB253460,DE10509
CW176372,CW133066
BX21218,BX21218
DA87354,BM58816
CJ165257,BE101888
BY341421,BY252390
CJ148169,DT155805
CW440151,CW241655
CW938114,CW237818
BB46564,DX33847
DE230305,AA87314
DB102624,DB99101
CW218379,AS87974
BY657962,BY657962
DB305844,AA110860
BY418086,AP42576
CW127631,CW339630
DT131303,DX14528
AL247242,EH697544
CL43764,DE327453
CW767325,CW381870
CW268736,CW523129
CN11251,CN79451
EH179176,BD21074
BS6205,EH273509
BE403321,BE403321
