globalID_A,globalID_B
EH662346,EH196597
EF188190,EF188190
DT92246,EH116155
BL32387,CA77695
AL159341,BH177176
CW495460,CW175943
AL43236,DE59802
CW640511,CW453036
CG51539,CG46473
AB37048,CW798355
DB55478,DB188583
EL80380,CW963671
DL185261,AS12397
AW24175,AW24175
BJ37967,BE107303
BE221549,BE221549
EL28028,EL28028
BW36965,DZ28345
DD123510,DD123510
AG54716,AG54716
CW518629,CW518629
DW66211,DW66211
AA137667,AA137667
DZ62297,CW846716
CW1285276,AM85582
EH913278,EH913278
CJ145457,CJ145457
EH481198,EH469596
CM53974,AP52403
CW624062,CW624062
CT18463,DL67396
EH708998,BK23792
BY415517,BY252913
CM4359,CM6578
CG28136,CG28136
BY238759,BY179135
CW1027600,CW1204073
BE378062,BE378062
BN447228,BN447228
BE87237,BE42940
EH171287,AW118794
DZ58219,DZ58219
DH33738,BL397259
DD145581,DD210171
CW506340,BY39530
BF25658,BF25658
CW919639,CW919639
EA35184,EA35014
CA34373,CA74216
EH485559,EH688954
CW188197,CW677580
EH853505,AM5896
EH926427,EH926427
DL129280,AW116545
DX16641,DX16641
BA3915,BA3915
ES22319,CT53115
EH752482,EM46418
DE309126,DE309126
BB82034,BB82034
DB58817,DB135377
AL226912,CW357266
CK15539,CK15539
CA90685,CA90685
EA20728,EH422695
EH1141675,EH1141675
AN28974,AN34235
EH752482,EH592817
BL211158,CW651363
DR97753,DR97753
CW825630,CW825630
BZ9813,BZ9813
DT85162,DT85162
CW575864,EH576962
AS17280,ED3446
CW371144,CW371144
BY67746,BY67746
AW216892,AW216892
DN94774,DN94774
AL239767,AL352083
BL407395,BL407395
CW936240,CW936240
CW378947,CW711352
AP67200,CC54185
CJ164657,CJ164657
CW142092,CW142092
DL177947,CL41408
EH1128123,EH1128123
AA133612,AA133612
CW1237253,CW424342
BR98705,EH679930
AL201906,DB38140
EN60968,EN60968
DR116965,DR116965
BE159113,BE198872
DE38480,CA19914
ER39069,CC158119
BR189741,EH1024710
EH752482,AM11426
AG32312,AW197422
BD140010,BD140010
DD113381,DD113381
EH714467,DE225246
BL143806,BL143806
AJ41471,DR119757
BM74817,BM74817
CZ102324,CZ102324
EE4704,EE4704
AX65279,AX65279
CT43106,CT43106
AL183305,AL183305
CW65582,CW135517
BM63157,BM52885
CW210484,CW204913
EH365156,EH232135
AB37048,CW619737
BL261589,CB47656
CW658296,CW375136
CW227603,CW207764
CW1056141,CW53441
CJ23577,EH592817
DT169378,DT122251
CW309629,CW29158
CW304651,CW304651
DR120235,DR120235
CW949093,CW949093
AL230206,CW1099568
AA167121,AA147905
EL93094,EL93094
