globalID_A,globalID_B
EH165749,EH165749
BY527776,DB171625
AL208077,AL228383
AM100162,AM100162
CW549185,CW549185
EH1188661,EH968953
DB234035,BR113988
DS76846,BM46494
CW168139,CW70360
CW951919,CW1328479
CL51754,CW1062548
CB19041,BH151572
BL521995,AL255328
EH1219523,EH1219523
DL242076,DL242076
BN365996,BN365996
EG9843,EH97265
CJ56898,CJ24432
EM48430,AA48440
AM37972,AN52092
AL283971,AL283971
BY263960,EH1049876
CW629462,AA107809
DB316252,DB95294
EN69441,EN69441
CW486914,BH106405
CJ145457,CJ145457
ES12234,DL70372
BZ17465,BZ17465
DT33249,DT33249
CA20527,AW158497
CS14102,BL452978
CW762165,CW172263
EH294190,AX29272
CW925747,CW925747
BG16026,CK9827
AL346165,AL167817
EH536622,DL166992
DA101146,CS30949
EM104516,CB77432
CW972079,CW815830
CW801897,BY594630
EF38231,DE113376
EN50049,EL36247
EN50049,BX20950
EH405491,EH662837
DT29550,DE158988
CH41467,DB13402
DR56090,DL95209
AP55497,AP55497
BR142662,BC36376
BE281276,CM59685
DA100642,DA100642
BR192583,BR140083
EH917959,CE27208
BY85907,BY130505
BR111812,CH17032
AE16597,CN45217
BJ29318,BJ29318
CW241382,BR49561
EH981634,EP84986
EH205131,EH349030
AL42015,AL48962
CJ159916,CJ159916
EH421821,BY292827
AF6410,DB17304
BE263713,BE263713
EH887753,BY478908
BY433214,BD99588
EH1021567,EH1021567
CW852414,CW1357394
BL385307,BL385307
CW365823,BP27446
BL280511,CJ134598
DD123481,DD123481
EH567556,CM39892
AN122319,DL164955
DD95451,EH496373
AR5867,BD69812
CM54342,CM59927
AA136491,AN157171
DZ47457,CW453847
EH515748,DE218898
DE163530,DB168725
EH481198,CW925849
CW273810,CW523292
EH370781,EH162441
DT29550,BC30516
BN478063,AW104979
CW674598,CW421552
CW270572,CW1231309
CW275096,BC9089
EH281382,CP15843
BY379075,DD175122
EP90416,EH431108
EH105759,EH332023
BY226909,EH518484
DB195347,DX46401
CW498346,CW491199
EH458323,DA50805
DE113391,BE208676
AA210000,AA69260
CW111543,CW1115680
AL122142,AL122142
AA210000,EH50468
BL127802,DA10217
CW440888,CW531572
CW144184,CW257242
AK157341,AK157341
DA77505,DH43701
AL32880,AL32838
CW975481,CW862738
EM121654,EM121654
DE230305,EH479716
DE318098,DE314993
CA30275,EL13836
BE395199,BE395199
EM107290,EM107290
BY569775,CG41773
BN553104,AA87016
BN282581,BN457767
EA34901,AN159237
BL498496,BL532233
BY265178,BY426715
BD99432,BD58659
BY378905,DD127318
AA168842,DL134548
EH458323,DE218898
