globalID_A,globalID_B
CW758081,CW106106
BY527776,DB171625
CW549185,CW549185
EH1188661,EH968953
CW951919,CW1328479
AY5883,DN55160
EH1219523,EH1219523
BY122059,DZ63008
DN93603,EH431830
CC88093,CC88093
DL242076,DL242076
BN365996,BN365996
AB37048,CW798355
CW594016,CW707658
BN288037,DL124411
BE221549,BE221549
DB60959,DB60959
BY436493,AA69206
BP18718,DE168620
DR68908,DR68908
DS94999,CM25997
BE329908,BE141599
CA91133,DD119232
DB316252,DB95294
CC28677,BY719837
CW558045,CW613922
CJ145457,CJ145457
AJ23115,DE171336
BP39837,EH364416
CY27525,BY380671
CS14102,BL452978
CW884962,EF159127
CW925747,CW925747
BG16026,CK9827
AN176040,AL219648
EG34927,EH783747
CW676989,CW378060
DL241511,BN474709
CE10495,EH179497
CZ64380,BH131437
CW227960,CW331335
DS90817,DS104748
AL279828,EG44459
EH134705,AW103591
AP55497,AP55497
EH570040,AT16946
BR142662,BC36376
EH285265,EH316924
EH194386,CW515155
DH33738,BL397259
DA100642,DA100642
DT106904,AN168168
CW901730,CW1173984
EH490290,EH642965
BY266127,BL259145
CW168583,CW168850
CG167067,DD96032
EH1040533,EH1040533
BN471129,EH1038122
AL42015,AL48962
CJ159916,CJ159916
EH366954,EH238034
AL285381,CE35446
BY433214,BD99588
ER27172,BN239361
CW993501,CW885278
BL385307,BL385307
EH666831,AX56728
AA117057,AA109112
BL89006,BY530916
DD123481,DD123481
DE299413,DH63738
BR187432,BR202877
EF208864,BP34570
AL170112,CC56814
CW517959,CW501481
CM54342,CM59927
BJ25701,BJ25701
BD89443,BD89443
BG7935,BG7935
DM22502,CC77739
EH678904,EP55976
EH481198,CW925849
CJ32494,BH86355
BY469121,DN111057
AX71812,AX71812
CW517873,CW1292564
AA60664,BL438651
ES14361,CG106828
CN86136,AZ17600
EG55706,BL325765
EH887753,BY20295
CW528393,CW877948
EF105615,BJ15683
AG9007,DL18373
CW695560,EH783747
DT115196,EL57912
CW81598,CW179470
EP65516,EM34946
CJ35795,EL47655
EH392334,EM51100
CZ107629,CG152936
DE265680,DE265680
CW655811,CW199905
AP50741,DB139738
CW917113,CW807933
AK157341,AK157341
CC77777,CN62636
CW724012,CW933188
EM121654,EM121654
AX57450,DE201045
DE207257,BL519779
EH670280,DE81715
CW1001164,BY335235
EM107290,EM107290
CP28261,CH14927
BN553104,AA87016
AP85254,ER36927
AL215435,EF73706
BY265178,BY426715
BY378905,DD127318
CW577084,CW1070675
AA168842,DL134548
CW778486,AL326332
BN258016,BN258016
AM25974,BD12034
CW213470,CW613922
CW702002,CW303830
CW425693,CW509829
CD23101,CD23101
DE263381,AG46221
EF208319,DD123069
DJ12367,DJ12367
EH106404,EH247373
CW735487,CW690720
BB99804,EH884343
EH787662,EH787662
CW1176083,CW960015
CG202206,CA123270
AN136043,AM78765
DZ13174,BD58451
EH280682,EH388244
BN231639,EP36395
EH484581,BC67419
AK108990,AK27972
CW871195,CW305703
BN323252,CW684933
BE195441,BL290404
DB165030,ED43141
CW1071199,CW935247
CW197933,BJ37857
BN433234,BN411064
CS22553,BN214288
BY554848,AS12397
EF166295,EF166295
CW633781,CW982272
BR150029,BY409682
EH415605,EH693104
CW486577,CW807585
DB235761,AG35227
EH564625,BN330387
CW947355,CW947355
DL133583,BL103167
CW609916,BE116232
BY672063,BY614260
CW157844,CW759424
EN74533,EH769815
