globalID_A,globalID_B
AK6489,AK155230
DH20458,DH20458
EH1062395,EH1062395
EF23597,EF23597
EH1267922,EH17259
AS41946,AS41946
EH475589,EH884709
EH1067588,EH1067588
AR4660,AR4660
AY5883,DN55160
AP79283,AP79283
BL334719,BL334719
BL372966,EH1044101
AR2201,AR2201
AW25270,AW25270
CT24903,CT24903
DX3975,DX3975
BL407930,BL407930
BL417902,BL417902
CT50873,CT50873
BL452859,BL402037
EF52087,EF52087
CA91688,EH704163
BL202597,BL202597
BL354529,BL218508
BB91135,BB91135
BL297032,BL297032
AW190909,AW190909
AW29846,AW29846
BL342522,BL342522
EF7716,EF7716
BS5930,BS5930
DX50321,DX50321
CN78022,CN78022
BB93378,BB93378
BL385965,BL272172
BL203623,BL203623
BR8783,BR8783
BR46080,BR46080
CA9805,CA37986
EB65470,EB65470
CA100380,CA100380
EF84467,EF84467
DD109464,DD109464
BL492441,BL492441
BL101080,BL101080
DZ75310,DZ75310
EH637971,EH637971
DD35707,DD30287
BL511619,BL511619
CB32958,CB33199
EH307348,EH307348
CA58131,CZ20644
AK2897,AK2897
AA36052,AA36052
BL101144,AA132686
CH29881,CH29881
AP67731,AP67731
BB95698,BB95698
BB97032,BB97032
CN55086,CN55086
AW89260,AW89260
EH828746,EH828746
AA193097,AA193097
BL509940,BL531259
BL434639,BL434639
EL91399,EL90990
BL433459,BL433459
CB32958,CY21303
DS65803,DS65803
EH1076626,EH1076626
BL302256,BK19920
CJ196900,CJ130297
BL406265,BL406265
AP97067,AP97067
BL4672,CB62731
BC58286,BC58286
BL221584,BL124895
EF80341,EF148851
CT39246,CT39246
AP23451,AP23451
EF205869,EF203501
CB55006,CB55006
BB91929,BB91929
BL163380,BL163380
EL33263,EL33263
EH1045729,EP40896
CA97889,CA97889
AL215340,AL215340
CN26063,CN26063
AA70580,AA70580
DD43956,DD43956
BL327311,BL327311
BL323361,BL323361
BL442575,BL442575
BF31365,EH698198
BR156741,EF73129
BL210048,BL210048
EH302433,EL31786
EH646956,EH646956
BB18323,BB18323
DL34983,DL34983
EL90728,EL90728
DH30858,DH30858
EH186317,EH363741
AT13382,BL166957
AG50361,DH44516
EH124124,EH256195
BL83971,BL89063
DM26588,BL6559
AA207456,AA207456
BL261971,BL263370
CY29652,CY29652
EH637441,BL182325
EH1128333,EH1128333
EF230444,EF230444
EL97747,EL97747
EH252839,BL137487
BL373204,BL373204
BW56516,BW56516
BL407395,BL407395
AY31330,AY31330
EH649357,EH649357
BL149490,BL32665
BL310173,BL310173
DY5869,DY5869
CH17028,CH17028
EH1109327,EH704163
EH921146,EH921146
EL2174,EL2174
EL12918,EL12918
AL112630,AL112630
EP69790,EP90637
CA109646,CA109646
AA210000,AA69260
EF14460,EF14460
CA79888,CA79888
BB11026,BB11026
EP62058,EP38660
EF26246,EF26246
EP39482,CY21303
EA43978,EA43978
EM121654,EM121654
EH1223790,EH1223790
BE39238,BE39238
DE300148,DE300148
EL93973,EL90771
BL439773,BL439773
DP13353,DP13353
BL364729,BL364729
BL458382,BL458382
BW37291,BW37291
BL339299,BL342703
EF183304,EF183304
CJ134789,CJ134789
EF76916,EL10081
EH413244,EH413244
DE186057,DE186057
EL31992,EL31992
BL25646,BL228771
AK97846,AK97846
BL498496,BL532233
DP40236,DP40236
AW127615,AW127615
AL335288,AL335288
EH1033842,EH1033842
AW151071,AW151071
BB92339,BB95798
BL31372,BL132647
EF158053,EF158053
EH1123098,EH1123098
BL411248,BL411248
EA44824,EA44824
EH825965,EH825965
AA192913,AA192913
CT48303,BL450967
CB89474,CB13052
EF163638,EF163638
EF216894,EF216894
EH1128142,EH1128142
EF210024,EF210024
EH421378,DT10791
BL415979,BL415979
EF3524,EF3524
AL111317,AL111317
EK22691,EK22691
BB36972,EP32950
BL221406,AL112630
AP62415,AP62415
EH1128109,EH1128109
AA146746,AA72466
BL217889,BL217889
BL331112,BL263846
EL6434,EL6434
BL421950,BL421950
BL88099,BL88099
BL511942,BL511942
EH1201484,EH1201484
AK154929,AK154929
BL439856,BL439856
DC18333,DC18333
BE193296,DL142071
EH520249,EH520249
BB14445,BB14445
EH1114905,EH158229
DX22458,DX22458
EP102069,EP102069
BL352034,BL352034
DX56875,DX56875
AA108645,AA75847
BB88692,DD126817
EH1201945,EH1201945
CJ105773,CJ105773
EP101514,EP101514
CA25398,CA25398
AA176552,AA176552
EL53294,EL63838
BB42501,BR76677
CN83873,CN83873
AP77888,AP77888
BB40811,AC3675
EH1008164,EH1008164
BL171526,EP25112
BL406395,BL406395
BL102313,BL87630
BL509977,BL509977
AT29401,AT29401
BL453733,BL538401
EF66913,EF26675
EF166295,EF166295
BL318040,BL318040
BL399655,BL399655
BL282719,BL282719
DM32159,DM32159
AP80765,AP80765
EL48212,EL48212
BL461116,AP83676
EH702759,EH702759
EH57062,EH129954
CJ138652,CJ138652
CT23151,CT23151
BL130884,EM128965
CB12244,CB12244
CJ38516,CJ38516
DY10425,DY10425
DC19548,DC19548
BL338651,BL338651
BL247518,BL321813
BL210309,BL26358
CJ149747,CJ149747
CA27105,CA27105
DR61228,DR61228
CB69298,CB69298
CA67865,CA67865
BB18986,BB18986
