globalID_A,globalID_B
CW758081,CW106106
BY527776,DB171625
CW549185,CW549185
EH1188661,EH968953
CW951919,CW1328479
AY5883,DN55160
DE275293,CA105232
EF119540,BJ13569
EH1219523,EH1219523
BY122059,DZ63008
DN93603,EH431830
CC88093,CC88093
DL242076,DL242076
BN365996,BN365996
AB37048,CW798355
BE221549,BE221549
DR111401,BR181385
DB60959,DB60959
DR68908,DR68908
DE198962,EH310701
CA91133,DD119232
DB316252,DB95294
EF86109,DA88065
CW558045,CW613922
CJ145457,CJ145457
AJ23115,DE171336
CS14102,BL452978
CW884962,EF159127
CW925747,CW925747
BG16026,CK9827
CW686133,BZ36519
CW676989,CW378060
CZ64380,BH131437
AL279828,EG44459
EH462808,EH462808
AM48399,BD12034
AP55497,AP55497
BR142662,BC36376
EH285265,EH316924
EH194386,CW515155
DH33738,BL397259
DA100642,DA100642
DT106904,AN168168
DB135981,DL155551
CW901730,CW1173984
EH490290,EH642965
BY266127,BL259145
BD96200,DB226610
CW168583,CW168850
CG167067,DD96032
EH1040533,EH1040533
AL42015,AL48962
CJ159916,CJ159916
AP95942,BC67419
EH366954,EH238034
DS117646,BL119722
BN317657,BM26019
BY433214,BD99588
EP59696,AL150442
ER27172,BN239361
CW993501,CW885278
BL385307,BL385307
EH666831,AX56728
BL280511,CJ134598
DD123481,DD123481
CW517959,CW501481
DD95451,EH496373
CW575610,CW575610
CM54342,CM59927
BJ25701,BJ25701
BD89443,BD89443
BG7935,BG7935
DM22502,CC77739
CJ32494,BH86355
BY469121,DN111057
AX71812,AX71812
CW517873,CW1292564
AA60664,BL438651
ES14361,CG106828
CN86136,AZ17600
EH171287,EH1303021
EG55706,BL325765
CW528393,CW877948
CW275096,BC9089
AL254970,AL99280
CZ107629,CG152936
DE265680,DE265680
CZ37587,CW309286
CW655811,CW199905
CW917113,CW807933
AK157341,AK157341
CC77777,CN62636
CW724012,CW933188
EM121654,EM121654
AX57450,DE201045
DE207257,BL519779
AA189175,DE99356
EH670280,DE81715
BL391927,CW724104
AL215435,EF73706
AL81600,BR215267
BY378905,DD127318
CW577084,CW1070675
AA168842,DL134548
CR21169,BC67458
DX45629,AR5782
CW778486,AL326332
EH436536,AL155616
CW213470,CW613922
AM25974,BD12034
CW702002,CW303830
CD23101,CD23101
DE263381,AG46221
CW218122,DE147021
BL405809,EH1085470
DJ12367,DJ12367
EH106404,EH247373
CW735487,CW690720
BB99804,EH884343
EH787662,EH787662
CW1176083,CW960015
CG202206,CA123270
AN136043,AM78765
EH280682,EH388244
BN231639,EP36395
BF7078,AK29001
EF155158,BB79967
EH484581,BC67419
CW1121713,ER34345
AK108990,AK27972
CW871195,CW305703
EM61971,CW703973
CW1071199,CW935247
CW197933,BJ37857
BE314225,BE314225
CS22553,BN214288
BY554848,AS12397
EF166295,EF166295
CW633781,CW982272
EH415605,EH693104
CW486577,CW807585
CW947355,CW947355
EH692476,AL228383
ES21395,AM85451
BY672063,BY614260
CW157844,CW759424
EN74533,EH769815
DD123325,DD123325
EH863439,EH280558
CC136333,AF19206
BY379075,AM84233
EH695754,DE92770
BP62854,EH392472
AL169362,AL169362
AL301969,EH1252520
CW23027,ES8811
DB150145,DS68139
CW704699,CW582593
EH554130,EH818103
EB75350,EB75350
AL185428,CG83163
DL170866,DL170866
EH703951,EH149790
CN76262,BL519779
DB124646,DB88871
EL19501,EL19501
BY5723,EH169521
