globalID_A,globalID_B
BY530028,BY10052
CJ140315,CJ140315
EH360931,EH360931
DR96172,DR96172
EH304351,EH304351
AL61981,AL173994
DP8077,DP8077
DB182130,DB298138
EH970630,EH970630
CW363789,CW398817
AK26386,AK26386
CW889000,EF162982
AL345102,AL345102
DH46486,DH46486
BL407930,BL407930
EH1103953,EH1103953
CW553389,CW1183326
AL50791,AL50791
AN155779,AN155779
BL501956,BL501956
DT140810,DT140810
BE231565,BE231565
DL91376,DL91376
CP17424,CP17424
BL20939,BL36453
CM10721,EF72451
CA100380,CA100380
DB37898,DB64056
EF84467,EF84467
BL317389,BL317389
DL221209,DL221209
AL64429,AL64429
BN421006,BN421006
EH637971,EH637971
EH89597,EH50787
CW823018,CW823018
AG27268,AG33542
CM55995,CM55995
BE17635,BE27853
DL215300,DL215300
EH1034484,EH1034484
BB104380,BB104380
AN227595,AN227595
EH132556,EH132556
EH1066260,EH1066260
AN138457,AN138457
BH152343,BH152343
BC58286,BC58286
AL35451,AL35451
CW89197,CW89197
CW931050,CW931050
EH176876,AW47767
EF31268,EF31268
AN2873,AN30826
DE220418,DE220418
CW181229,CW47789
AW181378,AW181378
BB51051,BB51051
CW751916,CW728180
DN94629,DN94629
EM101244,EM101244
DT5009,DT5009
CN26063,CN26063
BL412093,BL412093
BB100773,BB100773
CW135211,CW560973
CN65421,BD109766
DL93775,DL93775
BL323361,BL323361
DE277843,DE277843
BJ41963,BJ41963
AL225552,AL225552
CW226824,CW479284
AP65936,AB24442
BH143488,BH143488
CA39366,CA39366
CW805794,CW805794
CW159531,CW91267
BZ45369,BZ45369
EP71685,EP71685
ES13131,ES13131
CC68522,BH156707
DZ54112,DZ54112
BN413811,BN413811
DT38579,DT38579
EL12918,EL12918
CW934598,CW722360
DE244531,DE244531
CW432350,CW432350
DE274634,DE274634
EH476437,EH476437
EH826959,EH826959
DB113117,DB278891
BH78663,BH78663
EH58846,EH58846
BC60177,BC60177
BE39238,BE39238
CJ140032,CJ140032
BY272735,BY446783
DB169160,DB169160
BZ35201,BZ35201
BE367609,BE367609
DL107979,DW36438
EF158053,EF158053
EH1123098,EH1123098
CW395349,AN130384
DL193638,DL193638
BB51760,BB51760
CW659770,CW156677
BY96030,BY446783
CG64654,CG64654
CW523595,CW523595
CW930476,CW537640
EH1271624,EH1271624
CW882192,CW242380
CW174980,CW42843
CW303748,CW317898
DL146308,DB67018
AL211124,AL211124
BB68067,BB68067
CN88818,CN88818
AN113911,AN113911
EH305604,EH305604
DB289560,DB6237
DX21470,DX21470
CC135874,CC135874
BN306933,BN306933
BL352034,BL352034
EH969155,EH969155
BD142297,BD142297
AP80765,AP80765
DL83096,DL83096
AG32336,AG32336
BY421006,BY486966
EH43014,EH43014
EN72244,EN72244
CW1237679,CW343034
DS110419,DS110419
AX53493,AX53493
CW1037909,CW1037909
BT10583,BT10583
EH937393,EH937393
BZ59347,BZ59347
AW181933,AW181933
EH228794,EH228794
BN298573,BN85710
CW677583,CW677583
BN16936,BN172452
CW147547,CW147547
EN70319,EN70319
BY624495,BY624495
BN407096,BN407096
CC26737,CC26737
EM101498,EM101498
BX21218,BX21218
DZ41682,DZ41682
CA24577,CC25223
CW602467,CW977388
CW1057866,CW770761
AA110354,AA110354
EH1032534,EH1032534
BN265187,BN265187
EH741157,EH741157
CW633761,EH603618
DS104895,DS104895
BY667243,BY667243
DB219233,DB219233
DE223918,DE121651
CW163022,CW286279
CW49667,CW67517
AL110658,AL189635
DJ6373,DB65655
DK42426,DK42426
CC131545,CC131545
BN302733,BN302733
DZ71015,DT64036
AX41776,AX41776
BA11802,BA11802
CW97584,CW97584
CW49232,CW49232
AW50394,AW50394
BY33703,BY33703
DB46059,DB98620
BE319441,BE365803
EL77135,EL77135
CW629137,CW629137
CW916514,CW916514
BL392822,BL392822
BL414281,BL414281
BC47902,BC47902
EK6886,EK6886
AL278384,AL278384
EF112369,EF15341
BR135765,BR135765
EH842621,EH842621
DX52757,DX52757
AL203386,AL203386
CM54586,CM54586
EH781322,EH781322
CW649975,CW649975
CH40009,CH40009
BE121214,BE23132
DE303216,DE92016
CW284827,CW288374
CG156147,CG156147
EH999436,EH999436
EL97402,EL97402
BK38167,BK38167
DX48366,DX48366
EF79690,EF79690
BD79668,BD79668
AM95308,AM95308
CW691693,AN130384
EH828965,EH828965
DT135154,DT135154
AR5839,AR5839
DB37845,DB37845
DB196934,DB139887
DL161446,AL11687
CW218115,CW204908
CW194810,CW44529
