globalID_A,globalID_B
EH165749,EH165749
BY527776,DB171625
AL208077,AL228383
CW549185,CW549185
EH1188661,EH968953
DB234035,BR113988
DS76846,BM46494
CW168139,CW70360
CW951919,CW1328479
BL521995,AL255328
EH1219523,EH1219523
DL242076,DL242076
BN365996,BN365996
DK40964,AA171084
EG9843,EH97265
CJ56898,CJ24432
EM48430,AA48440
BH151931,AL167940
BL296847,BL238216
CC93785,EF92565
AL283971,AL283971
CC37539,CT16743
CW629462,AA107809
DB316252,DB95294
EN69441,EN69441
CW486914,BH106405
CJ145457,CJ145457
ES12234,DL70372
BZ17465,BZ17465
DT33249,DT33249
CA20527,AW158497
CS14102,BL452978
DE197415,CG142776
CW877849,CJ211683
CW762165,CW172263
EH294190,AX29272
CW925747,CW925747
CG160762,EH764246
BG16026,CK9827
AL346165,AL167817
EH536622,DL166992
DA101146,CS30949
EM104516,CB77432
CW972079,CW815830
AA150286,DB114312
EN50049,BX20950
DT29550,DE158988
DR56090,DL95209
AP55497,AP55497
BR142662,BC36376
CA50488,AH7788
BE281276,CM59685
DA100642,DA100642
BR192583,BR140083
BR111812,CH17032
AE16597,CN45217
BJ29318,BJ29318
EH981634,EP84986
EH205131,EH349030
AL42015,AL48962
EH730973,DJ12658
CJ159916,CJ159916
AF6410,DB17304
BE263713,BE263713
EH887753,BY478908
DC6956,DE146243
BL385307,BL385307
CW561659,CW809749
DD123481,DD123481
EH567556,CM39892
CW575610,CW575610
CM54342,CM59927
CJ17981,BR15418
DZ47457,CW453847
EH515748,DE218898
DE163530,DB168725
CW225043,CW81863
BH46181,CP18039
CW273810,CW523292
EH370781,EH162441
CS32096,AA192243
DT29550,BC30516
CW674598,CW421552
CW270572,CW1231309
CW275096,BC9089
EH281382,CP15843
BY379075,DD175122
EP90416,EH431108
EH105759,EH332023
BY226909,EH518484
DB195347,DX46401
CW498346,CW491199
CJ10702,CP24437
AA210000,AA69260
AL122142,AL122142
AA210000,EH50468
EH23706,EH322352
DL130829,BN183253
BL127802,DA10217
CW440888,CW531572
CW144184,CW257242
AK157341,AK157341
DA77505,DH43701
AL32880,AL32838
EM121654,EM121654
DE318098,DE314993
CA30275,EL13836
BE395199,BE395199
EM107290,EM107290
EK14551,BR210371
BY569775,CG41773
EA34901,AN159237
BL498496,BL532233
BD99432,BD58659
BY378905,DD127318
AA168842,DL134548
DX45629,AR5782
EH458323,DE218898
CW778486,AL326332
BL334866,BL334866
CW602226,AN163898
EH384288,EH1217505
DE190886,DE228203
BE47029,BY222155
AM25974,BD12034
CW213470,CW613922
CW217034,CW217139
EH678092,EH778582
