globalID_A,globalID_B
DE239383,DE289799
BE166723,BE23464
AS62796,AS62796
EH595848,EH595848
EH1062395,EH1062395
EH735642,EH735642
EM103581,EM103581
AW61892,AW62301
ED26466,BR91012
DZ42365,DZ42365
EH1067588,EH1067588
AW102710,AW66278
BY623885,BY406043
CW915211,CW929855
BL32387,CA77695
EH458960,DE60507
EH362496,BL216775
CW757729,CW431609
DB233966,DB261653
CG138041,CG145830
CW1053435,DE87731
EH980499,EG15321
DD167494,DD95086
CW147748,CW296022
DR37210,DR37210
CW753901,CW1119942
DL97387,EH451358
BH24125,BH24125
DB142399,DB165256
EH396455,EH353534
DL157732,DL157732
BN398951,BN398951
CW874562,CW465413
CW1189886,CW175501
BY647067,BY705410
EH710463,EH553334
AM59523,AM59523
EH530432,EH506792
CW743111,CW743111
CW1067898,CW1355923
BH28653,BH28653
BE279329,BE298489
BL424711,BL424711
CW895103,CW895103
DZ75310,DZ75310
EH585351,EH585351
DE328188,DE328188
CS28447,CS28447
AN126635,AN126635
BE46173,BE106998
EH307348,EH307348
AW131021,AW131021
CW829236,CW1033023
BD72385,BD72385
CW702892,CW658019
DE160960,CW716086
CW1153432,CW1360316
DA50942,DA50942
DW79972,DW79972
CS10710,CW327473
CN55086,CN55086
AG41496,AG41496
AL100628,AL100628
EL63388,EL63388
EL91399,EL90990
CG12461,BH50464
EM105433,EM105433
BL433459,BL433459
AN117577,AN112847
BY557433,BY557433
CG159386,CG159386
BR138007,DL125940
BD133969,BD133969
CT39246,CT39246
EH638865,EH638865
CW768413,CW768413
BN339745,AL325111
CW67410,CW270955
BY732200,BY732200
CL23383,CL23383
EH651093,EH651093
CH51923,CH51923
AG46958,BH130365
CW197920,CW658032
EH148779,EH852464
EH828406,EH828406
EF47465,EF47465
DL78651,DL100854
BR194692,BR194692
DE326645,DE326645
DL148686,DL172418
CW1153432,CW1223807
BY636136,BY636136
CW906865,CW1204000
BW12388,BW5309
BK14738,BK14738
DB241093,DB241093
BE379416,BE379416
CW928853,CW928853
CW141759,CW1352414
BY101450,BY101455
DB112866,DB120428
DA90486,DA90486
AW51606,AW40221
BD75212,BD75212
CW776598,CW776598
CW826383,CW826383
CW85160,CW127449
CY29652,CY29652
CW1055893,CW1055893
AL268316,AL268316
AP87576,AP96781
CW1037165,CW140814
DH56057,DH56057
DB182074,DB182074
DR108830,DR108830
EH1025069,EH1025069
EH1131326,EH1131326
BR164452,BR178639
CW950849,CW1065423
CW502409,CW555469
CW1076229,CW898905
CW1158874,BY518224
AL309687,AL268839
EH512297,EH545907
CW432417,CW345670
EF14460,EF14460
CA79888,CA79888
CW616547,CW616547
BP30494,BP30494
BN259763,BN259763
CM44063,EP9835
DA6565,DA7491
DD119712,DD123063
AN15761,AN15761
CM33485,CM33485
BN159949,BN159949
AL168201,AL168201
BA12691,CB61228
EH182619,EH693911
AX65279,AX65279
DA31070,AN221105
EM31517,EM17616
BY686583,BY686583
BE59354,BE59354
BY342496,BY373553
BL458382,BL458382
CW210484,CW204913
CG44882,CG144359
EH1076508,EH1076508
AB3723,AA34621
CW914383,CW569345
DL184707,DL184707
DE324337,DE324337
DE116886,DE119005
DE240420,DE240420
BM77849,BM77849
AN166497,AN166497
DE297919,DE297919
CW37792,CW8634
DZ53085,DN14297
CW304651,CW304651
EH323219,EH615296
AJ40188,BR200785
BY382514,BY404915
BB90345,BB80584
CJ138907,AL82874
CW865344,CW865344
BY636820,BY636820
CW500016,CW897802
CW222823,CW494813
CW383679,CW383679
CW182635,CW665829
CP27150,BH114293
CC68841,CC68841
BN487808,BN487808
CB67624,CB67624
DB25907,DB12509
EH767982,EH767982
EH1128142,EH1128142
CW571093,CW114375
BL415979,BL415979
EH148252,EH148252
DA36452,DA36452
CW939603,CW734473
DN106812,EH285475
EG41117,EG41117
BE362686,BE142116
BE169854,BE96407
CW1103561,CW1073712
CW832187,CW286860
EH1107194,EH1107194
CW1074810,CW1074810
CW129362,CW129362
AP10190,CA34983
BR138007,DM22422
DX33074,DX33074
DL173912,DL173912
EH1084413,EH1100444
CW381260,CW238235
EH506430,EH613133
CW486012,CW486012
CW502419,CW593285
BH33435,CC58725
CT30896,AP5006
BN421649,BN443645
CW698536,CW379161
BL294417,BL294417
DC9329,DC9329
CW336746,CW731041
AN22363,AN22363
DB270355,CC159622
CA51639,BY222663
EP85515,EP85515
DR94354,DR94354
CA105068,CA78628
AL51675,AL51675
CW1085552,CW1085552
DT120216,DT120216
BL423292,BL423292
DC22669,BN205373
CW93112,CW494839
EP101514,EP101514
CE18668,CE18668
DD68650,CH46341
