globalID_A,globalID_B
AK12554,AK12554
EH870816,EH870816
EH813149,EH490528
EH418323,EH550380
EH920322,EH920322
CG158660,CG158660
AG8156,AG8156
AW146145,AW147500
EH399677,EH252755
DR68908,DR68908
CF6467,CF6467
AG54716,AG54716
CW518629,CW518629
EH832350,EH832350
CL49159,CL49159
EH484301,EH422141
EH294190,AX29272
AN154416,AN154416
EH151909,EH234170
AW60873,AW60873
EH854439,EH854439
EH1124168,EH1124168
EH1103953,EH252598
CZ50330,CZ50330
DT134121,EH659569
AW131021,AW131021
BD128610,BD128610
BM5906,BM5906
EH401556,EH401556
EH132556,EH132556
AW194282,AW194282
BJ29318,BJ29318
EH171189,EH171189
EH1040533,EH1040533
CJ159916,CJ159916
EH421758,EH807119
CM44073,CH52636
EH1271528,EH1271528
CH51923,CH51923
EM101244,EM101244
DN160666,DN160666
DN112092,DN112092
BB100773,BB100773
EH292709,EH167488
CM9761,CM9761
EH988808,EH988808
CH15647,CH15647
BR178747,BR178747
BK14738,BK14738
DD94216,DD94216
CT29270,CT29270
EH346403,EH346403
BD137298,BD137298
DX15051,DX15051
BD148139,BD148139
EH953055,EH450970
BR155360,BR155360
CA39366,CA39366
EH872473,EH872473
DN128183,DN128183
AS74778,AS74778
EH1122420,EH1122420
EH637239,EH72203
EH959608,EH74285
AS97681,AS97681
CZ87658,CZ87658
CJ72768,CJ72768
EH1125874,EH1125874
AW159928,AW102822
AL246516,AL246516
EH476975,EH62826
BP2983,BP2983
BD108853,BD108853
DN117998,DN117998
BD84572,BD116768
EH214938,EH223424
DE265680,DE265680
CL31997,CL31997
DR25408,DR25408
AW109481,AW109481
EK18353,EK18353
EG40334,EE5931
CJ123925,CJ123925
CP26875,CC88735
EH966264,EH485046
AN183137,EH1015988
EH424735,EH1303488
EH477778,EH1026795
DE230305,AM74690
ED21893,ED21596
DR105769,DR105769
CW887185,CW887185
AE14506,AE14506
EH692770,EH692770
AN166497,AN166497
EH641878,EL58969
EC22570,EC22570
EH874952,EH160971
DN65795,DN63018
DJ12367,DJ12367
DR116028,DR116028
EH1084413,EH1100444
EH818487,EP99286
BD138946,BD138946
CM47008,BR97394
EH630130,EH856934
EH581420,CZ32732
CP50377,CP50377
DX21470,DX21470
EJ3049,EJ3049
AL90892,AL90892
BD86992,BD63461
BR43938,EH341765
BN500172,BN500172
EH1023322,EH1023322
AJ19932,AJ19932
BD137466,BD137466
AN135951,AN135951
EH639090,EH639090
EH730258,EH730258
EH1212845,EH1212845
AN140099,AN140099
CW962031,CW962031
EH1038941,EH421202
EH43014,EH43014
EM100317,EM100317
EH1157652,EH1157652
EH503159,EH276786
EH913507,EH913507
EH556926,EH556926
EH994868,BE234591
CJ10043,CJ10043
EH228794,EH228794
EH782350,EH713292
EH1131676,EH1131676
CJ28620,CJ28620
AN128412,AN128412
CC95998,CC95998
CL54184,CL54184
EH785472,EH785472
AL157981,AL157981
AN129658,AN129658
EH480837,EH480837
EH24900,EH52891
DR85465,DR110978
BR127228,BR127228
AA110354,AA110354
