globalID_A,globalID_B
CW758081,CW106106
BY527776,DB171625
CW549185,CW549185
EH1188661,EH968953
CW951919,CW1328479
EF197408,EH730417
CB19041,BH151572
BL390704,BR174150
AY5883,DN55160
DH33738,EG35557
EF119540,BJ13569
EH1219523,EH1219523
BY122059,DZ63008
DN93603,EH431830
CC88093,CC88093
DL242076,DL242076
BN365996,BN365996
AB37048,CW798355
BN288037,DL124411
BE221549,BE221549
DB60959,DB60959
BY436493,AA69206
CT30695,CW1090658
BP18718,DE168620
DR68908,DR68908
EH939343,BR82859
BE329908,BE141599
DB316252,DB95294
CW558045,CW613922
CJ145457,CJ145457
ES12234,DL70372
CW1024308,AW98653
BP39837,EH364416
CS14102,BL452978
CW925747,CW925747
BG16026,CK9827
CW686133,BZ36519
CW676989,CW378060
CE10495,EH179497
CW227960,CW331335
EH890578,EM108788
EH462808,EH462808
DN54267,EH558682
AP55497,AP55497
BR142662,BC36376
EH194386,CW515155
DH33738,BL397259
DA100642,DA100642
DT106904,AN168168
BR172654,DB223964
CW901730,CW1173984
BN304006,CC62272
EH490290,EH642965
BY266127,BL259145
CW168583,CW168850
BN397515,EH551952
DS113175,EA56638
CG167067,DD96032
EH1040533,EH1040533
AL42015,AL48962
CJ159916,CJ159916
EJ25249,CW802880
EH366954,EH238034
DS117646,BL119722
EH887753,BY478908
ER27172,BN239361
CW993501,CW885278
BL385307,BL385307
EH666831,AX56728
CW862372,BL216701
EH544854,BJ29186
BL280511,CJ134598
DD123481,DD123481
AL170112,CC56814
CW517959,CW501481
DD95451,EH496373
CM54342,CM59927
BJ25701,BJ25701
BD89443,BD89443
BG7935,BG7935
CC115679,CE27421
DM22502,CC77739
CZ110535,DL121521
EH678904,EP55976
EH481198,CW925849
AN161320,BW55571
EH735724,CM25074
CJ32494,BH86355
BY469121,DN111057
AX71812,AX71812
CW517873,CW1292564
AA60664,BL438651
ES14361,CG106828
CN86136,AZ17600
EH171287,EH1303021
CW533974,BM26019
EG55706,BL325765
EH887753,BY20295
CW528393,CW877948
AG9007,DL18373
ES21744,AP68630
CW81598,CW179470
EP90416,EH431108
AT13382,BE107890
AL254970,AL99280
DE265680,DE265680
CW655811,CW199905
DL182355,AA61606
CW917113,CW807933
AK157341,AK157341
BP62854,EH354506
CW724012,CW933188
BN553104,BY490162
EM121654,EM121654
AX57450,DE201045
DE207257,BL519779
CW806772,CW520784
DS34766,BL206131
EM107290,EM107290
EH495025,CZ63532
EL70860,BL155814
CC29635,CZ69648
BN553104,AA87016
BL391927,CW724104
DN128596,AW183431
BE287460,BE106455
AP85254,ER36927
CG114016,BE149692
CE33254,EH927551
AL215435,EF73706
BY265178,BY426715
BY378905,DD127318
CW442660,CG154057
CW577084,CW1070675
AA168842,DL134548
CR21169,BC67458
EB38685,EH622632
CW778486,AL326332
EH734374,DE177499
EH436536,AL155616
AM25974,BD12034
CW213470,CW613922
CW702002,CW303830
ES14141,CL34680
CE52720,EH1217505
CD23101,CD23101
DE263381,AG46221
DJ12367,DJ12367
EH106404,EH247373
CW735487,CW690720
BB99804,EH884343
EH787662,EH787662
DL283920,EF160308
CW1176083,CW960015
EH288254,BL277449
CG202206,CA123270
CW1365817,EH365510
AL71882,CM25929
AW196793,CW1063356
AN136043,AM78765
EH280682,EH388244
DL269632,CW511403
BN231639,EP36395
EF155158,BB79967
EH484581,BC67419
CW1121713,ER34345
AK108990,AK27972
