globalID_A,globalID_B
BY165918,CD12343
CK9764,EH378793
BH178674,BH178674
EH150999,DZ19888
AS41946,AS41946
CW835753,CW835753
AP81205,AP81205
CW741168,CW286660
AL168520,AL168520
EF126854,EF126854
CW257970,CW119876
BL417902,BL417902
CW1033010,CW1285209
BC66583,BC66583
BL354529,BL218508
CW119177,CW806028
AL287574,AL287574
AW190909,AW190909
DL236630,EA45574
EH478887,EH701350
EH363478,EJ3148
DX50321,DX50321
CG143335,CG143335
DD112074,DD112074
CW954457,CW859806
BL457941,BL458986
BR169047,BR169047
BC62925,BC62925
CE50754,CE50754
CA9805,CA37986
DW50291,DM36931
BW6884,BW2836
BL366436,BL366436
DB258859,DB280215
EH378291,EH972628
BR88074,AP47867
DB232628,DB232628
BL101080,BL101080
AB17771,AW116506
BN433260,BN433260
DD80424,EH663861
EH739450,EH739450
BD118351,BD118351
AN170606,AN170606
CW585430,CW661667
DK29827,DK29827
EH1072823,CG90004
AN3079,AN3079
BH70011,BH70011
BE378062,BE378062
BB97032,BB97032
EH663561,EH337695
AW93171,AW93171
AW194282,AW194282
BW46209,BW46209
EH990812,EH990812
EH804038,EH804038
BL2828,BD82676
AP97067,AP97067
AK111837,AK111837
CK2833,CK2833
DS86488,EA32109
DX50948,DX50948
EH421758,EH807119
AP66948,AP66948
BR126676,BR126676
CW477316,CW251338
BY277184,BY277184
DD202483,DD202483
CW899267,CW899267
DH30105,DH30105
BY84763,BY50413
CW340536,CW735367
BY417231,BY417231
BN211468,BN211468
DT96032,DT96032
DB261597,BL291948
DH30858,DH30858
AL25400,AL49241
DE230400,DE230400
BY731636,BY732210
DT85162,DT85162
BE47568,BE36596
DB162966,DB162966
CW441872,CW1278742
BY525196,BY525196
BL407395,BL407395
DX13005,DX13005
AJ42659,AJ42659
CW883875,CW469733
CA124955,CA124955
AA133612,AA133612
EH493937,EH493937
EH864691,EH864691
EP21695,BR56823
BY594386,BY275012
BG50638,BG50638
CW234986,CW234986
CW917753,CW917753
BM32614,BM32614
EM104893,EM104893
CW819777,CW1083159
CW26359,CW26359
BD140010,BD140010
BY722506,BY722506
ER35336,ER35336
BD126520,BD94908
CW186575,CW186575
CW375076,CW344088
BH97702,BH97702
BN483084,BN483084
CW890603,CW1332368
BM74817,BM74817
DT67849,DT67849
DE300148,DE300148
CW1034810,CW1034810
AA97132,AA97132
AK100658,AK136320
BE48565,BL38381
CR9226,CR9226
BW26876,BW26876
BC60980,BC60980
EB2943,EB2943
EH1086377,EH1086377
EB21766,EB21766
BN318714,BN318714
CW1293495,CW1293495
CJ170541,CJ170541
CW1208470,CW1208470
CW505192,CW505192
CW949093,CW949093
EH313770,EH313770
AN138480,AN138480
DD213967,DD213967
BY619684,BY618157
AW69900,AW69900
BL25789,BD103187
BR22957,BR22957
EH967975,EH967975
CH36030,CH36030
AA150365,AA150365
CG157132,CG157132
CW1230168,CW452030
DB12742,DB43922
BY571123,BY498456
CN75514,CN75514
CM67058,CM67651
EH351672,EH351672
CL45452,CL45452
BR76238,BR76238
CW994895,CW994895
CD15273,CD15273
EH324104,EH337695
DE311823,DE311823
CW492594,CW403432
DX56875,DX56875
EN63595,EN63595
EH1046372,EH1046372
CW426103,CW426103
EH1008164,EH1008164
AB18731,AB18731
EH127044,EH134680
EL81857,EL81857
DR133227,DR133227
CW435005,CW354481
CW861048,CW861048
CW361709,CW17928
CW670331,CW670331
CW1119100,CW1119100
CW265073,CW432710
AS71249,AS71249
DE308708,DE320243
BE61427,BE195578
EP90764,EP90764
CJ158690,CJ158690
EH503159,EH276786
BH152450,BH152450
DC19548,DC19548
BL338651,BL338651
CG9668,AL69237
BL210309,BL26358
BG50123,BG50123
CA27105,CA27105
EH308395,EH308395
AW5185,AW5185
BA15657,BA15657
CW906419,CW906419
EF5293,EF5293
EH1103101,EH1103101
CW641516,CW641516
CW1094950,CW354406
BL406735,BL406735
BN325603,BN325603
EH876076,EH876076
EL67621,EL67621
EH677425,EH677425
CJ28620,CJ28620
EH729943,EH729943
ED33491,ED33491
EP28858,DD50105
DL208541,DL208541
CW613847,CW613847
BD31227,BD31227
DR35830,DR35830
ES28136,ES28136
EL73124,EL73124
EH480837,EH480837
BW35601,BW35601
DB306913,DB306913
CW352270,EH322558
AA173842,AA173842
CW505192,CW491905
EH1031467,EH1031467
BY32077,BN158356
CW278059,CW104176
BN365850,BN365850
EH827040,EH827040
CW889948,CW889948
EH211651,EH211651
BN292129,BN158428
BY530060,EG6663
CW1062035,CW1062035
BM35848,AP43122
CA46639,CA46639
DX23525,DX23525
CY17610,CY17610
BN85826,BN85826
BJ12712,BJ12712
DL237742,DL237742
CW646827,CW916755
CW609540,EH631273
CW805747,CW805747
BY591720,BY591720
AW150617,AW150617
BL361158,BL361158
BN88949,BN200910
AW128120,AW128120
CW73550,CW232787
EH134318,EH134318
BY141739,BY354179
BK29037,BK29037
BN321745,BN355544
EC21516,EC21516
CN97014,CN97014
CD26148,CD26148
DN102784,DN102784
CE46142,CE46142
EH826811,EH291492
DB229704,DB229704
BY526410,BY526410
EM111552,EM111552
DS75915,BN367628
BW38185,BW38185
EH154466,BW69489
BY588273,BY533528
CW1293139,CH55573
DB42558,DB42558
BL504619,BL504619
BZ23558,BZ23558
EF13847,EF13847
BN268455,BN268455
EH1230378,EH1230378
EH44297,BY159369
CW910064,BG43493
CN59243,CN59243
CW868003,CW357012
AK100092,AK100092
BL250705,BL250705
EH314394,EH314394
BY739476,BY739476
CW871146,CW871146
EH1201025,EH1201025
AL62078,AL62078
CA3341,CA3341
EH640174,EH640174
DG9561,DG2425
CW841295,CW420804
DD178879,DD178879
CX18595,CX3771
EH1241074,EH1241074
AK95527,AK95527
EH157899,EH157899
AJ15940,DT60341
BR161248,BY681721
DP5383,DL178731
AL261543,AL261543
BP66661,BP66661
CW207974,CW207974
DL143051,DL143051
DJ5516,DJ5516
BE227491,BE227491
EH846921,EH846921
CW1031095,CW1031095
CW249608,CW249608
AP60938,AP60938
CM34706,CM34706
CG166722,CG166722
CW30364,CW30364
DD145267,DD145267
BZ21255,BZ21255
AL274209,AL274209
CS28277,DX52175
DR30076,DR30076
EH856684,EH856684
EG37827,EG37827
CW1049577,CW469733
CB61283,CB61283
CW631767,CW1016862
DK34694,DK34694
AL163501,AL69076
DB75755,DB111045
BL186106,BL186106
CW813382,CW813382
AX7283,AX7283
BA14853,CW964302
CS11677,CS11677
EH331324,EH331324
CW819511,CW819511
CW1202454,CW1044857
CW137166,CW420845
CW971741,CW1083150
