globalID_A,globalID_B
EH165749,EH165749
BY527776,DB171625
AL208077,AL228383
CW549185,CW549185
EH1188661,EH968953
DB234035,BR113988
DS76846,BM46494
CW168139,CW70360
CW951919,CW1328479
DE275293,CA105232
BL521995,AL255328
EH1219523,EH1219523
DL242076,DL242076
BN365996,BN365996
CB70187,AL200357
EG9843,EH97265
CJ56898,CJ24432
EM48430,AA48440
EH570209,EH405290
AM37972,AN52092
CW441751,DH24301
AL283971,AL283971
CW629462,AA107809
DB316252,DB95294
EM120744,BZ67855
EN69441,EN69441
CW486914,BH106405
CJ145457,CJ145457
BZ17465,BZ17465
AM12221,AW77463
DT33249,DT33249
CS14102,BL452978
BY99203,BN157951
CW762165,CW172263
CW925747,CW925747
CG160762,EH764246
AL346165,AL167817
EH536622,DL166992
DA101146,CS30949
EM104516,CB77432
CE10495,EH179497
EN50049,EL36247
AA150286,DB114312
DT29550,DE158988
DR56090,DL95209
AP55497,AP55497
BR142662,BC36376
BE281276,CM59685
DA100642,DA100642
BR192583,BR140083
EH917959,CE27208
BY85907,BY130505
AE16597,CN45217
BJ29318,BJ29318
EH981634,EP84986
BN397515,EH551952
EH205131,EH349030
AL42015,AL48962
EH730973,DJ12658
CJ159916,CJ159916
BE263713,BE263713
DL198943,AS46613
EH1021567,EH1021567
BL385307,BL385307
CW561659,CW809749
CW365823,BP27446
BL280511,CJ134598
DD123481,DD123481
EH567556,CM39892
AN122319,DL164955
DD95451,EH496373
AR5867,BD69812
CM54342,CM59927
AA136491,AN157171
DZ47457,CW453847
EH515748,DE218898
EH501045,DE329918
DE163530,DB168725
CW225043,CW81863
CW273810,CW523292
EH370781,EH162441
CS32096,AA192243
EH883512,EH979324
CR19481,CC25702
DT29550,BC30516
AL244569,AG23493
CW674598,CW421552
CW270572,CW1231309
CW275096,BC9089
DL223003,BL395966
EP90416,EH431108
DA8132,EH631457
EH105759,EH332023
BY226909,EH518484
DB195347,DX46401
CW498346,CW491199
BE355597,BD154053
EH458323,DA50805
DE113391,BE208676
BL325563,BA9867
EM28207,BS8488
BK42245,DY33049
CJ10702,CP24437
AA210000,AA69260
AL122142,AL122142
AA210000,EH50468
BL127802,DA10217
CW440888,CW531572
CW144184,CW257242
AK157341,AK157341
DA77505,DH43701
AL32880,AL32838
EM121654,EM121654
BN553104,CJ131524
BE355597,CA91688
DE230305,EH479716
DE318098,DE314993
CA30275,EL13836
EH966264,EH485046
BE395199,BE395199
BE285164,AL232663
EM107290,EM107290
EH495025,CZ63532
BY569775,CG41773
CW555464,CW707605
EA34901,AN159237
BL498496,BL532233
BD99432,BD58659
