globalID_A,globalID_B
DD37260,CD11763
AN172832,AN172832
EH150999,DZ19888
CW257970,CW119876
DY16420,DY16420
BE307730,BE230648
BW50632,BY754590
CW105988,CW16941
BB91135,BB91135
CW637115,CW637115
AW190909,AW190909
CW518629,CW518629
CW789903,CW789903
AM85720,AM85720
DD112074,DD112074
BR183769,BR183769
CW675364,CW428324
CL49159,CL49159
EG44625,DE283950
BL457941,BL458986
CW624062,CW624062
BR169047,BR169047
AG49812,EA30411
AN88841,AN88841
DX26275,DX26275
CW394806,CW318902
EN39269,EN39269
AM41631,AM41631
EH739450,EH739450
EF127458,EH583547
CB55193,CB55193
EH747889,EH1174878
CW502417,CW502417
AK2897,AK2897
CW222518,CW200904
CW808452,CW808452
BH70011,BH70011
AL155807,AL155807
AW93171,AW93171
AW194282,AW194282
EH990812,EH990812
BN336585,BY390879
EH804038,EH804038
EH171189,EH171189
DB233852,DB233852
CJ182776,AW189991
BY277184,BY277184
AK4359,AK4359
BY361026,BY361026
DE240433,DE74866
CW890603,CW1007548
DD12044,DD12044
CW899267,CW899267
AN230245,AN230245
BE398514,BE398514
BR178747,BR178747
BN211468,BN211468
DT123077,DT123077
CW69842,CW73355
BY598237,BY598237
AN159245,AN159245
BH139862,BH139862
EH644076,EH644076
DT85162,DT85162
DB162966,DB162966
DT145187,DT145187
AL272923,AL272923
BE55991,BE135948
BN310138,BN300382
DX13005,DX13005
BH126818,AA137981
EM33338,EM33338
CW1249331,CW1033802
AN126565,AN126565
CN47754,DX11680
EH959608,EH74285
BY514730,BY514730
DE21378,DE81391
DD130357,DD130357
CW738850,CW308787
EH493937,EH493937
EH864691,EH864691
BY594386,BY275012
EH411601,EH411601
CZ65099,CZ65099
CW948946,CW948946
CW1063360,CW1063360
CW1122349,CW1122349
BW48306,EH634762
CW1016418,CW439800
BD140010,BD140010
DA77290,DA77290
ER35336,ER35336
CW186575,CW186575
BH97702,BH97702
EH125088,EH125088
BM74817,BM74817
CJ123925,CJ123925
AT2856,AT2856
CT43106,CT43106
BE397676,BE397676
AW157174,EH535595
EB2943,EB2943
DE254031,DE254031
CW811089,CW957324
CW573572,CW596066
DB243572,DB243572
CJ170541,CJ170541
CW1208470,CW1208470
CW949093,CW949093
EH340837,EH317248
EH1084687,BL467271
CW845786,CW247238
DD99868,DD99868
DL15308,DL15308
EF163638,EF163638
AW69900,AW69900
CW599171,CW599171
EH967975,EH967975
BE27382,BE27382
DB314367,DB54347
EH843267,EH843267
AL232307,AL232307
CN75514,CN75514
AF24870,AF24870
CW1160343,BY336135
CW96492,CW71686
BE86183,BE398514
AL285687,AL285687
EH351672,EH351672
BR76238,BR76238
BE377408,BE366163
DC18333,DC18333
CW994895,CW994895
EF21398,AK85484
EH684315,EH684315
CC116789,CC13975
DX56875,DX56875
CW35549,AK85484
AW225635,AW225635
BY323987,BY569045
BY567591,BY151251
DX31172,DX31172
EL81857,EL81857
EF66913,EF26675
DR67161,DR67161
CW861048,CW861048
BE356311,BE356311
DT53742,DT53742
BN123448,BN182206
DN60046,DN78991
BR168285,BR154725
EH597553,EH597553
CR10369,CN19024
AX6117,AX6117
AS71249,AS71249
EP90764,EP90764
CL28434,CL12964
CW495550,CW495550
CJ38516,CJ38516
DE80194,CP44883
DC19548,DC19548
EH308395,EH308395
BN26827,BN26827
EH556926,EH556926
EH1114663,EH612204
DN112280,DN112280
AL109233,AL109233
BE318126,BE318126
BN325603,BN325603
EH1225990,EH1225990
DL20889,DL61936
DL208541,DL208541
BY433903,BY433903
BD31227,BD31227
DB306913,DB306913
BM57071,BN168742
CW352270,EH322558
EH958509,EH958509
CW79224,CW615505
BE58063,BE58063
BL387448,BL387448
DB122498,DB11603
CA105086,CA105086
CW278059,CW104176
BN365850,BN365850
CW889948,CW889948
EH211651,EH211651
BD103266,BD103266
CW307185,CW588878
AW128818,BX3302
DX23525,DX23525
BN501331,BN501331
BE77307,BE77307
BL458252,AA171877
BN85826,BN85826
AP80353,AP80353
EP83002,EN55186
