globalID_A,globalID_B
CW265597,CW380291
AS62796,AS62796
EH735642,EH735642
DG59833,DG59833
EM94564,EM86537
DZ42365,DZ42365
AL123212,AL123212
AP79283,AP79283
EH603161,EH969251
CW853050,CW280023
BD95129,EM37237
CT24903,CT24903
EH805596,EH805596
DB275340,DB325237
CW147748,CW296022
CW343181,CW70865
AW124127,AW138784
CW1118883,CW860522
BY721085,BY717391
AG8156,AG8156
CW1109744,CW1109744
CW574243,CW110251
AK39344,AK69339
DW66211,DW66211
BW57108,BW57108
BE316218,DH46701
EH13539,EH1273534
BB93378,BB93378
CW99478,CW99478
AM59523,AM59523
EH1192948,EH1192948
CW391891,CW234820
EH282505,EH302467
CW1152135,CW1152135
CW895103,CW895103
EH585351,EH585351
BN325396,BN105983
BW18916,EH261587
AP33668,AP8929
AN126635,AN126635
AL249025,AL249025
AP67731,AP67731
EH958627,EH958627
CW1162640,CW1083292
DC25684,DC25684
CN55086,CN55086
BY557004,BY553935
AG41496,AG41496
EL63388,EL63388
CW104613,CW643370
DT134409,DT134409
EM74101,EM74101
EH779557,EH1274844
EM105433,EM105433
BB20755,CR16196
EH803867,EH803867
ES17990,EN45403
CW189661,CW1304156
BE144544,BE144544
CW807199,CW807199
AN160664,AN160664
CS20276,CS20276
CW741981,CW723466
EH429752,EH429752
CT39246,CT39246
EH518951,EH518951
EH638865,EH638865
CW768413,CW768413
BY732200,BY732200
EH651093,EH651093
DD125063,DD125063
EB57940,EB57940
EM44930,EM44973
BE309955,BE309955
EH106946,EH174810
BS6734,BS6734
DL148686,DL172418
BL442575,BL442575
DB241093,DB241093
AN149015,AN149015
CW824034,CW824034
AL60739,AL104882
CW30868,CW41902
EH1051494,BE371016
BY489059,BY63612
CW776598,CW776598
CW188412,CW325055
DD21129,DD21129
CY29652,CY29652
CW1055893,CW1055893
CW845894,CW845894
DR107964,DR68349
CH45851,CH45851
CW410476,CW574243
CJ180866,CJ180866
CW1037165,CW140814
CY32092,CY32092
CW1010123,CW1010123
EH1025069,EH1025069
DL187086,DL187086
BN449928,BN347194
CW895107,CW774506
DL204454,DL204454
AW169976,AW47130
EH977127,EH977127
CW1067073,CZ86513
CW187450,CW574162
CW457164,CW163238
CW616547,CW616547
BP30494,BP30494
BR75055,EF25110
DR112666,DR71170
CW749468,CW749468
CW1087095,CW1087095
DB198915,DB284432
EH820766,EH820766
DD119712,DD123063
AN15761,AN15761
CM33485,CM33485
CW701803,AK102055
BN204249,BN246117
DX37502,DX7202
CW1022438,CW1174460
AL32958,AL32958
AE16727,AE16727
EH182619,EH693911
AX40229,AL127842
EH714142,CL51047
BL245904,CA144046
CW109695,CW353475
BE128293,BE212913
BN531979,BJ36271
CW524744,CW463194
EG51000,EG51000
BY451629,BY186733
CW999830,CW999830
CW209337,CW391302
CG30014,AN98182
EH1076508,EH1076508
CW715279,CW715279
CW914383,CW569345
DR130877,CJ3454
AL71323,AL39498
DL184707,DL184707
DE324337,DE324337
EH866775,EH866775
DB59182,AM29207
EF186740,EF186740
CW398799,CW381690
CW422517,CW780983
CJ50158,DL245107
BM77849,BM77849
BE308058,BE277070
AN166497,AN166497
EH692770,EH692770
AW179598,AW179598
CW37792,CW8634
EH543584,DD190605
CW304651,CW304651
CW740889,CW1210805
EH323219,EH615296
EM6171,EM6171
BY382514,BY404915
CW865344,CW865344
CJ62870,CJ32684
CW531621,CW385872
EH339444,EH282923
DR66971,DR66971
CB67624,CB67624
EH877580,EH1321691
CW928262,CW928262
CW352046,CW331313
BY435702,BY440885
DL160751,EM43292
CW583381,CW583381
EF216894,EF216894
EM18350,EM37430
EH1128142,EH1128142
EF210024,EF210024
BN50818,BN10753
BN418977,BN418977
CW571093,CW114375
BL415979,BL415979
DA36452,DA36452
CW134844,CW1113033
CW373461,CG185092
EG41117,EG41117
BY548824,BY548824
EH636173,EH636173
DB259254,DB259254
CM71831,CM59940
EH1107194,EH1107194
DW38541,AL325111
CW1074810,CW1074810
CW1067328,BR168514
CW75997,CW189914
DE156305,DE255735
AM94614,CT58292
CW291800,CW291800
AL290041,AL290041
BE391120,BE391120
DX33074,DX33074
DL173912,DL173912
CW947216,CW888487
BL328558,BL328558
CT30896,AP5006
BE151464,BE151464
CW917262,CW1344673
DB242998,DB242998
BL294417,BL294417
BE277378,BE277378
EH754081,EH824791
AW120426,AW120426
DB270355,CC159622
CP50377,CP50377
CX20257,EH194744
DR94354,DR94354
AL51675,AL51675
EH229106,BL124900
DT120216,DT120216
AN129908,CT16150
CW818789,CW339221
BY625354,BY347354
CE46667,CS34486
BE125548,AL25307
BN309162,BN388126
BB89718,BB89718
EH996301,EH996301
BL220687,BL68358
AL148133,AL148133
BE272891,BE272891
EH557279,CW1096339
CH2842,CW113757
BY570699,BY570699
CW70945,CW111514
BR187883,BR187883
CW245871,CW415422
EH321769,EH321769
CA99085,BL299718
CW325723,CW58162
CW361962,CW361962
BX22876,BX22876
DB276062,DB83535
CW836167,DT61982
CT16183,CT18297
AG28569,AA71218
BY333629,BY333629
EH431619,EH84838
DB284759,DB284759
DH62822,DH62822
BM61917,BM61917
EH895399,AA139630
CW58080,CW58080
CW537925,EH927126
CW381555,CW802242
CW914424,CW1099542
CW528476,CW908787
CW412941,CW305757
CW524744,CW1339134
CG12310,EG41909
DL39448,CC63968
DL232533,DL232533
EF182947,EF182947
BY660872,BY660872
AW133487,AW154540
BB93639,BB93639
CW150050,CW1070027
AL274324,AL274324
CA104445,CA104445
BN432206,BN432206
DT65790,DT65790
DB224690,DB224690
BY140049,BY140049
DL68105,AS53191
CW96227,CW175636
DX47360,DX47360
CW680137,CW680137
CW1074120,CW906608
CW1016544,CW194314
CW908210,CW908210
BE40588,BE208328
DP31366,DP31366
BL417183,BL417183
AN172103,AN172103
CW512505,CW438613
AL174561,AL174561
CB45880,CB45880
EL27598,EL27598
BY95417,BY494484
AK144618,BH186704
EH785472,EH785472
CW75997,CW75997
CW1290087,CW454495
CW1063349,CW1063349
