globalID_A,globalID_B
CW758081,CW106106
BY527776,DB171625
CW549185,CW549185
EH1188661,EH968953
CW951919,CW1328479
EF197408,EH730417
BL428148,AL305072
AY5883,DN55160
DH33738,EG35557
EH1219523,EH1219523
BY122059,DZ63008
CC88093,CC88093
DL242076,DL242076
BN365996,BN365996
AB37048,CW798355
BE221549,BE221549
DB60959,DB60959
DR68908,DR68908
CW754562,CW1259043
DS94999,CM25997
BE329908,BE141599
CW558045,CW613922
CJ145457,CJ145457
ES12234,DL70372
CW1024308,AW98653
BP39837,EH364416
CY27525,BY380671
CS14102,BL452978
CW925747,CW925747
BG16026,CK9827
BL166601,EF38094
CW686133,BZ36519
CW676989,CW378060
DL241511,BN474709
CZ64380,BH131437
CW227960,CW331335
DS90817,DS104748
AL279828,EG44459
EH462808,EH462808
AP55497,AP55497
BR142662,BC36376
EH285265,EH316924
EH194386,CW515155
DH33738,BL397259
DA100642,DA100642
DB135981,DL155551
BR111812,CH17032
CW901730,CW1173984
EH490290,EH642965
BY266127,BL259145
CW168583,CW168850
CG167067,DD96032
EH1040533,EH1040533
AL42015,AL48962
CJ159916,CJ159916
EH366954,EH238034
CW852414,CW1357394
CW993501,CW885278
BL385307,BL385307
EH666831,AX56728
AA117057,AA109112
DD123481,DD123481
AL170112,CC56814
CW517959,CW501481
CM54342,CM59927
BD89443,BD89443
BG7935,BG7935
DM22502,CC77739
CZ110535,DL121521
DB184398,CW690720
EH735724,CM25074
CJ32494,BH86355
AA84269,EF38094
AX71812,AX71812
CW517873,CW1292564
AA60664,BL438651
ES14361,CG106828
EH171287,EH1303021
CW528393,CW877948
CW275096,BC9089
CJ35795,EL47655
AL254970,AL99280
CZ107629,CG152936
CJ10702,CP24437
DE265680,DE265680
CW655811,CW199905
EH777247,DN132564
BY360005,DR119640
CW917113,CW807933
AK157341,AK157341
CW724012,CW933188
EM121654,EM121654
AX57450,DE201045
DE207257,BL519779
EH670280,DE81715
EM107290,EM107290
BN553104,AA87016
CE33254,EH927551
AL215435,EF73706
BY265178,BY426715
BY378905,DD127318
CW577084,CW1070675
AA168842,DL134548
CW778486,AL326332
AM25974,BD12034
CW213470,CW613922
CW702002,CW303830
CD23101,CD23101
DE263381,AG46221
DA77479,AA136962
CC162292,EH1222048
DJ12367,DJ12367
EH106404,EH247373
CW735487,CW690720
CB3194,AW41308
BB99804,EH884343
EH787662,EH787662
CW1176083,CW960015
CG202206,CA123270
CW1365817,EH365510
AL71882,CM25929
BN231639,EP36395
AK108990,AK27972
CW871195,CW305703
BE195441,BL290404
DB165030,ED43141
CW1071199,CW935247
CW197933,BJ37857
EP85338,CE28886
BE314225,BE314225
CS22553,BN214288
BY554848,AS12397
EF166295,EF166295
CW633781,CW982272
EH415605,EH693104
CW486577,CW807585
DB235761,AG35227
CW947355,CW947355
ES21395,AM85451
BY672063,BY614260
CW157844,CW759424
EN74533,EH769815
DD123325,DD123325
EH863439,EH280558
CC136333,AF19206
AL169362,AL169362
DB150145,DS68139
CW704699,CW582593
BN497783,EH1252290
EH554130,EH818103
EB75350,EB75350
BB57377,BD131461
DL170866,DL170866
CN76262,BL519779
DB124646,DB88871
EL19501,EL19501
AN128412,AN128412
BL482528,EH1311832
BN493179,BN493179
EG31399,BY209950
BH85348,CM22234
BE159336,BE159336
AM74133,EH22185
CJ148169,DT155805
CW1150257,CW1150257
DE230305,AA87314
EF6686,EF6686
