globalID_A,globalID_B
EH165749,EH165749
BY527776,DB171625
AL208077,AL228383
AM100162,AM100162
CW549185,CW549185
EH1188661,EH968953
DB234035,BR113988
DS76846,BM46494
CW168139,CW70360
CW951919,CW1328479
DE275293,CA105232
BL521995,AL255328
EH1219523,EH1219523
DL242076,DL242076
BN365996,BN365996
EH533164,CY19114
CB70187,AL200357
CJ56898,CJ24432
EM48430,AA48440
AM37972,AN52092
AL283971,AL283971
CW629462,AA107809
CG27358,AW92758
DB316252,DB95294
EN69441,EN69441
CJ145457,CJ145457
ES12234,DL70372
BZ17465,BZ17465
DT33249,DT33249
CA20527,AW158497
CS14102,BL452978
BY99203,BN157951
CW762165,CW172263
EH294190,AX29272
CW925747,CW925747
CG160762,EH764246
BG16026,CK9827
AL346165,AL167817
EH536622,DL166992
DA101146,CS30949
EM104516,CB77432
AA150286,DB114312
DT29550,DE158988
AP55497,AP55497
BR142662,BC36376
BE281276,CM59685
DA100642,DA100642
BR192583,BR140083
BY85907,BY130505
BR111812,CH17032
AE16597,CN45217
BJ29318,BJ29318
AL156427,AL345972
EH205131,EH349030
AL42015,AL48962
CJ159916,CJ159916
AL244569,CW771104
BE263713,BE263713
BY433214,BD99588
BR126750,BE199027
BL385307,BL385307
DD123481,DD123481
EH567556,CM39892
CM54342,CM59927
EH515748,DE218898
DE163530,DB168725
CW225043,CW81863
CW273810,CW523292
EH370781,EH162441
CS32096,AA192243
CA96534,EF173239
CW674598,CW421552
EP36652,BL197078
CW270572,CW1231309
CW275096,BC9089
EH281382,CP15843
BY379075,DD175122
EP90416,EH431108
DA8132,EH631457
EH105759,EH332023
AM53014,DB39372
CW498346,CW491199
EH458323,DA50805
DE113391,BE208676
AA210000,AA69260
AL122142,AL122142
AA210000,EH50468
EH23706,EH322352
BL127802,DA10217
CW440888,CW531572
CW144184,CW257242
AK157341,AK157341
DA77505,DH43701
AL32880,AL32838
EM121654,EM121654
DE230305,EH479716
DE318098,DE314993
CA30275,EL13836
AN60822,EH360031
BE395199,BE395199
EM107290,EM107290
EH495025,CZ63532
EH710264,EF91352
CW547958,EH525872
BY569775,CG41773
BN282581,BN457767
EA34901,AN159237
BL498496,BL532233
BY265178,BY426715
BD99432,BD58659
BY378905,DD127318
AA168842,DL134548
EH458323,DE218898
CW778486,AL326332
BH62707,DE100310
BL334866,BL334866
EH384288,EH1217505
CW498885,BL330406
AM25974,BD12034
CW213470,CW613922
CW217034,CW217139
EH678092,EH778582
CW884962,CW1173415
AL237708,DN101806
DA77479,AA136962
DJ12367,DJ12367
EH787662,EH787662
CW855896,CW855896
AA151692,AA141177
