globalID_A,globalID_B
BY527776,DB171625
DB186674,DB186674
EH1316870,EH1316870
BP51944,BP51944
BY151960,BY151960
BY551551,BY551551
BL501032,BL501032
BH148364,BH148364
BH6503,BH6503
CG50576,CG198387
DE275792,AX55080
DE55875,DE223323
AA191487,AA191487
EC14970,EC14970
DW66211,DW66211
CG47557,CG47557
CG143335,CG143335
BN210598,BY231476
DB232628,DB232628
AA49632,AA26224
EH585351,EH585351
BY723495,BY723495
EB34098,CA90184
EH747889,EH1174878
BY52157,BY407452
DL243230,BY527742
AA150286,DB114312
BW57225,BW57225
BH70011,BH70011
BY325860,BY323673
CG25159,CG49634
CG118687,CG118687
DE309051,DE309051
BY609463,BY20014
AN217158,AN217158
AG39148,AG39148
AA144911,AA144911
BR45261,BR45261
AR16012,AR16012
CG124581,CG124581
EH638865,EH638865
DB11022,DB48713
BY277184,BY277184
BY361026,BY361026
BL385307,BL385307
CG114255,CG114255
BS6734,BS6734
DL93775,DL93775
DE326645,DE326645
CG138777,EH615180
CB28275,CB21398
BN194455,BN194455
DB312947,BA16092
BY191991,BN124013
BY525196,BY525196
BR171006,BR171006
EH171287,EH1303021
DE97259,DE97259
DA70469,CG72919
EB54573,EB54573
BE88695,BE88695
EH1128123,EH1128123
CG98020,BH116679
CG10880,CG10880
BH12664,BH12664
DB295707,DB252306
DL163925,DL163925
DB58047,DB114839
CN42808,CN35356
DB223295,DB223295
AA156628,AA122276
BY144436,DE255735
BH97702,BH97702
BM74817,BM74817
DB199588,DB121313
BA12691,CB61228
BN78510,CC114816
EB71918,EB71918
DB169160,DB169160
DB189321,DB165183
AL34470,AL34470
ES18690,ES18690
DB285649,DB285649
DL184707,DL184707
EH866775,EH866775
EB2943,EB2943
BY403002,BY398575
DA23918,BM31203
EB65191,EB65191
BY278731,BY50262
EB21766,EB21766
DH22019,DH30814
BY279891,EH79409
DL197465,DL211254
DL189769,BY510211
CG143089,CG143089
BB51760,BB51760
CG64654,CG64654
BY82469,BY82469
DB122540,DB110285
AG42087,AG42087
DA36452,DA36452
BM25593,BM25593
BY571123,BY498456
BY532552,BY532552
DB244639,DB325900
AX5856,AX5856
AG57419,AG57419
BY306201,BY255084
BY625354,BY347354
DL238423,DL238423
EH1271350,EH1271350
BY719768,BY530034
CJ116400,CJ116400
BY514143,BY541119
BY288993,BY118164
EH557133,DT99043
AX6117,AX6117
DP41515,DP41515
BM52167,BM52167
DB52421,DB198349
DB284759,DB284759
AX53493,AX53493
DB244892,DB244892
BA15657,BA15657
EH1277633,EH1277633
DB12742,DB269479
CA104445,CA104445
DS34766,DE127114
DB99269,DB99269
BY337422,BY274168
DB46847,DB46847
EB14878,EB14878
BY341247,BY324212
CN36679,DL95690
AB8599,AB8599
CG71177,CG71177
DE49926,DE12975
AA173842,AA173842
DB225641,DB225641
BN71907,DN94463
BY657962,BY657962
DS104895,DS104895
DE223918,DE121651
EF18347,EF18347
DL225768,DL191382
BY628378,BY284712
BY563553,BY347253
CN59157,CN59157
CG72945,BH169709
DB263907,DB272913
DL164831,DL164831
EH732149,DB263907
EN25836,EA13468
BY714645,BY714645
EB66732,EB66732
AT3876,AL15674
DA121556,DA89412
BA11802,BA11802
EL31912,EL31912
EH1027469,EH1027469
DB229704,DB229704
DB42558,DB42558
DB250128,DB250128
BY470387,BY470387
CG66410,DS60351
CS30024,CS9771
EH612318,BC49960
DL173993,DL173993
BY3220,BY416750
BL250705,BL250705
DS73864,DP37105
AG3154,AG22391
BY97359,BY97359
AW150575,BY534031
BY677877,BY677877
DE300599,DE300599
BY517355,BY517355
BY403751,BY403751
AN172722,AN172722
CS35464,CS35464
DE292090,DE292090
DA67240,DA67240
BN333408,BY334595
BH16415,BH16434
DB179009,DB179009
BY367529,BY367529
AN41352,AN41352
BY95896,BY351673
DE291085,DE291085
DL232903,DL232903
DB235434,DB234406
BY391044,BY391044
BK12141,BK12141
DB274558,DB247863
BY669267,BY669267
DE251655,DE251655
DW43285,DW43285
DB75755,DB111045
ES4636,DL205195
BY662045,BY662045
DW28113,DW28113
EH683813,EH683813
EB18643,EB18643
DB139296,DB139296
CN53513,CN53513
EH1064868,AA191487
AG50829,AG50829
BC54982,BC54982
DB58236,DB58236
DE218150,DE218150
DL240735,DL223360
BW27358,EH269238
DB25321,DB25321
DB7265,DB20515
DL229843,DL229843
CG121913,CG121913
CX23375,CX23375
BY611253,BY611253
DB207829,EH1271079
BY403067,BY403067
DB37149,DB37149
DB180356,DB158985
BY441300,BY441300
BY550941,BY550941
BY568479,BY568479
EN27266,DY23050
EN56965,DX48880
DE97052,DE80562
DL152719,DL203940
BY588307,BY588307
AN175177,AN175177
BY179021,BY176635
DE115184,DE26023
DE290491,DE290491
BY94939,BY252053
DB261492,DB261492
DE242315,DE242315
DS41188,DS41188
DL256039,DL256039
BY315186,BN228258
BR98178,BR98178
DP24306,DP24306
BY514143,BY544726
DL242496,DL242496
DE294911,DE306605
DL252217,DL210151
