globalID_A,globalID_B
DE239383,DE289799
BE166723,BE23464
AS62796,AS62796
EH595848,EH595848
EH1062395,EH1062395
EH735642,EH735642
EM103581,EM103581
AW61892,AW62301
CW375143,CW848210
EH1067588,EH1067588
AW102710,AW66278
BL32387,CA77695
EH406583,EH132080
EH458960,DE60507
EH362496,BL216775
DL139221,AL162034
CW757729,CW431609
CG138041,CG145830
EH980499,EG15321
DD167494,DD95086
CW147748,CW296022
DR37210,DR37210
CW753901,CW1119942
DL97387,EH451358
BH24125,BH24125
BL234414,EP40559
DB142399,DB165256
EH396455,EH353534
DL157732,DL157732
BN398951,BN398951
CW874562,CW465413
CM53974,AP52403
CW1189886,CW175501
BY647067,BY705410
EH710463,EH553334
AM59523,AM59523
EH530432,EH506792
BE393364,BE200568
CW743111,CW743111
EH232620,DE120517
DL228620,DL228620
BH28653,BH28653
BE279329,BE298489
BL424711,BL424711
CW895103,CW895103
DZ75310,DZ75310
EH585351,EH585351
DE328188,DE328188
CS28447,CS28447
AN126635,AN126635
BE46173,BE106998
CW625203,CW507995
CC40748,BW5309
BJ36915,BJ36915
EH307348,EH307348
AW131021,AW131021
CW829236,CW1033023
BD72385,BD72385
EG23083,EP99633
CW702892,CW658019
DE160960,CW716086
CW1153432,CW1360316
EH980173,EH390566
DA50942,DA50942
DW79972,DW79972
CN55086,CN55086
CB66454,AL311592
AG41496,AG41496
AL100628,AL100628
EL63388,EL63388
EL91399,EL90990
CG12461,BH50464
EM105433,EM105433
BL433459,BL433459
AN117577,AN112847
EL69580,EL31358
BY557433,BY557433
EG42238,BJ19924
CG159386,CG159386
CW807265,CW1014643
BR138007,DL125940
BD133969,BD133969
CT39246,CT39246
EH689390,EH196251
EH638865,EH638865
BE225969,CE41572
CW768413,CW768413
BN339745,AL325111
CW67410,CW270955
BY732200,BY732200
CL23383,CL23383
EH651093,EH651093
CH51923,CH51923
AG46958,BH130365
BL391181,BL391181
CW197920,CW658032
EH148779,EH852464
EH828406,EH828406
EF47465,EF47465
DL78651,DL100854
CW862338,CW1365380
BR194692,BR194692
DE326645,DE326645
DL148686,DL172418
CW1153432,CW1223807
BY636136,BY636136
CW906865,CW1204000
BL6069,DK25597
BW12388,BW5309
BK14738,BK14738
DB241093,DB241093
AP44657,AP27456
BE379416,BE379416
CW369263,CW454495
CW928853,CW928853
CW141759,CW1352414
DB112866,DB120428
DA90486,DA90486
AW51606,AW40221
BD75212,BD75212
CW776598,CW776598
CW826383,CW826383
CW85160,CW127449
CY29652,CY29652
CW1055893,CW1055893
DE249409,DE250245
AL268316,AL268316
AP87576,AP96781
CW1037165,CW140814
DH56057,DH56057
DB182074,DB182074
CW1033645,EF161798
DR108830,DR108830
EH1025069,EH1025069
EH34919,EH575109
EH1131326,EH1131326
CW889066,CW745574
BR164452,BR178639
CW950849,CW1065423
CW502409,CW555469
BN293245,AW2493
CW1076229,CW898905
CW1158874,BY518224
EH512297,EH545907
CW730038,CW670413
EF14460,EF14460
CA79888,CA79888
CW616547,CW616547
BP30494,BP30494
BN259763,BN259763
DA6565,DA7491
DD119712,DD123063
AN15761,AN15761
BN300772,BN168058
CM47365,CM47365
CM33485,CM33485
BN159949,BN159949
EA23187,DK37773
CW843347,CW182685
AL168201,AL168201
BA12691,CB61228
AX65279,AX65279
BL74010,BL197238
CW184462,CW556315
CW50827,CW130975
EM31517,EM17616
BY686583,BY686583
BE59354,BE59354
CW85160,CW1313061
BY342496,BY373553
BL458382,BL458382
CW210484,CW204913
CG44882,CG144359
EH1076508,EH1076508
AB3723,AA34621
CW914383,CW569345
DL184707,DL184707
DE324337,DE324337
EP88882,DD102829
DE116886,DE119005
BM77849,BM77849
AN166497,AN166497
DE297919,DE297919
CW37792,CW8634
CW304651,CW304651
EH323219,EH615296
AJ40188,BR200785
BY382514,BY404915
AL189031,EH204254
BB90345,BB80584
CW865344,CW865344
BY636820,BY636820
CW500016,CW897802
CW383679,CW383679
CW182635,CW665829
CJ128280,CJ128280
CP27150,BH114293
CW531621,CW385872
CC68841,CC68841
BN487808,BN487808
CB67624,CB67624
DB25907,DB12509
EH1128142,EH1128142
BN418977,BN418977
BL415979,BL415979
EH148252,EH148252
DA36452,DA36452
CW939603,CW734473
DN106812,EH285475
EG41117,EG41117
BE169854,BE96407
CW1074810,CW1074810
CW129362,CW129362
DX33074,DX33074
DL173912,DL173912
CW1169564,CW712487
EH1084413,EH1100444
CW947216,CW888487
CW381260,CW238235
EH506430,EH613133
CW486012,CW486012
CW502419,CW593285
CT30896,AP5006
BN421649,BN443645
CW698536,CW379161
