globalID_A,globalID_B
CW758081,CW106106
BY527776,DB171625
CW549185,CW549185
EH1188661,EH968953
CW951919,CW1328479
AY5883,DN55160
EH1219523,EH1219523
BY122059,DZ63008
DN93603,EH431830
CC88093,CC88093
DL242076,DL242076
BN365996,BN365996
AB37048,CW798355
BE221549,BE221549
DB60959,DB60959
BY436493,AA69206
DR68908,DR68908
CW754562,CW1259043
BE329908,BE141599
BY508170,BY312578
CA91133,DD119232
DB316252,DB95294
CW558045,CW613922
CJ145457,CJ145457
CS14102,BL452978
CW925747,CW925747
BG16026,CK9827
CW686133,BZ36519
CW676989,CW378060
CW850548,DA92071
EH462808,EH462808
AP55497,AP55497
BR142662,BC36376
EH285265,EH316924
AS26227,BG16742
DH33738,BL397259
DA100642,DA100642
DT106904,AN168168
CW901730,CW1173984
EH490290,EH642965
BY266127,BL259145
CW168583,CW168850
CG167067,DD96032
EH1040533,EH1040533
AL42015,AL48962
CJ159916,CJ159916
EH366954,EH238034
CW993501,CW885278
BL385307,BL385307
DA66105,CH47173
EH666831,AX56728
AA117057,AA109112
DD123481,DD123481
CW517959,CW501481
CM54342,CM59927
BJ25701,BJ25701
BD89443,BD89443
BG7935,BG7935
CC115679,CE27421
DM22502,CC77739
CZ110535,DL121521
EH678904,EP55976
CJ32494,BH86355
AX71812,AX71812
CW517873,CW1292564
AA60664,BL438651
ES14361,CG106828
CN86136,AZ17600
EH171287,EH1303021
CW528393,CW877948
CW275096,BC9089
CW81598,CW179470
EP90416,EH431108
AL254970,AL99280
CJ10702,CP24437
DE265680,DE265680
CW655811,CW199905
CW917113,CW807933
AK157341,AK157341
CW724012,CW933188
EM121654,EM121654
AX57450,DE201045
CW806772,CW520784
CW1001164,BY335235
EM107290,EM107290
CC29635,CZ69648
AL215435,EF73706
BY265178,BY426715
BY378905,DD127318
CW577084,CW1070675
AA168842,DL134548
CW778486,AL326332
AM25974,BD12034
CW213470,CW613922
CW702002,CW303830
CD23101,CD23101
DE263381,AG46221
DJ12367,DJ12367
CW735487,CW690720
EH787662,EH787662
CG202206,CA123270
CW1365817,EH365510
EH280682,EH388244
BN231639,EP36395
EF155158,BB79967
EH484581,BC67419
CW1121713,ER34345
AK108990,AK27972
BE195441,BL290404
CW1071199,CW935247
CW197933,BJ37857
BE314225,BE314225
CS27549,BY532255
BY554848,AS12397
EF166295,EF166295
CW633781,CW982272
EH415605,EH693104
CW486577,CW807585
DB235761,AG35227
CW947355,CW947355
BY672063,BY614260
EH528003,AM88865
CW157844,CW759424
DD123325,DD123325
BL235605,BR157341
AL169362,AL169362
AL301969,EH1252520
DB150145,DS68139
EM99859,EH1027144
CW704699,CW582593
EH554130,EH818103
EB75350,EB75350
DL170866,DL170866
CN76262,BL519779
DB124646,DB88871
EL19501,EL19501
AN128412,AN128412
BN493179,BN493179
BL461391,BL221662
BE159336,BE159336
AM74133,EH22185
CJ148169,DT155805
CW1150257,CW1150257
EF6686,EF6686
AN77849,AN60514
AM96385,DB95918
BN36337,BN343625
EH479708,EH621518
CR18360,CR18360
CJ131792,CJ66702
DT131303,DX14528
BH118252,BL312578
AA75035,AA75035
CW767325,CW381870
CN59157,CN59157
CW517329,CW1031628
CL39785,AR14474
EH794622,EH322447
EH429287,EH389255
EH770566,EH770566
CW56300,CW387785
BG21138,BN332003
BL168369,BL105599
EH234963,CC31247
DD159068,CJ144879
BL450963,BL450963
