globalID_A,globalID_B
AK12554,AK12554
EH468738,CE55727
DB144606,DB144606
EH870816,EH870816
CA75468,CA111211
CW17209,CW17274
EH1123347,EH1123347
CW759542,CW306377
CW449954,CW222695
DH46486,DH46486
CC21826,CC130660
CW553389,CW1183326
AN155779,AN155779
BM16086,BM16086
DB67401,DB67401
DB294757,DB294757
BH24380,BH37095
BE37761,BE37761
BB66407,BB66407
CW727307,CW727307
CW1176107,CW1176107
CW375204,CW375204
EH1082102,EH1158876
BL317389,BL317389
DL221209,DL221209
AL64429,AL64429
CW585117,CW109914
CW457288,CW483147
DE311707,DE311707
CW1233498,CW1233498
CW823018,CW823018
CW982379,CW982379
CW280313,CW421054
CW204269,CW182746
EH509512,BH133752
DL215300,DL215300
CW651321,CW651321
CW948341,CW744976
AK23924,AK15754
CW183899,CW183899
BY66034,BY535755
AN227595,AN227595
EH132556,EH132556
DK26119,DK26119
CA75500,CA39520
DR104607,DR104607
DB89630,DB89630
AN138457,AN138457
AA144911,AA144911
BR45261,BR45261
CW538137,CW130482
BR158972,BR158972
EH681219,EH681219
CW337859,CW1320672
BE381880,BE381880
AP23451,AP23451
DE230128,BL144887
AN152337,AN138018
DE220418,DE220418
EM92698,EP96448
BY81201,BY160526
AN27611,AN27611
DX55241,DX55241
BJ41963,BJ41963
DB186475,DB186475
EH953055,EH450970
BN194455,BN194455
EH324034,EH510063
DB219506,DB219506
AA207456,AA207456
BJ41944,BJ41944
DN128183,DN128183
DE272432,DE272432
BY67746,BY67746
BE283515,BE283515
CW61662,CW45148
AN224057,AN194828
EH1141614,EH1141614
CW170671,CW139685
AS97681,AS97681
EH302645,EH530384
EH590952,BY454357
AL246516,AL246516
BY493396,BY493396
BN413811,BN413811
CW1016874,CW1016874
BN452869,BN179200
CC111145,CC111145
DE244531,DE244531
CW432350,CW432350
AL38082,AL38082
CW967401,CW967401
CP28199,AK58897
EF26246,EF26246
CW26788,CW185755
EH476437,EH476437
AM61150,AM61150
CW824801,CW824801
CW984093,CW1346817
CW1038580,CW726102
EA43978,EA43978
AL52649,AL47763
AL120780,AL120780
EH58846,EH58846
BY674021,BY244404
EA22769,EA22769
DB60636,DB38511
EM118798,EM118798
EH413244,EH413244
EH656080,EH656080
AK40448,AK40448
BN245673,BN374316
AN155596,AN155596
AW127615,AW127615
CW236665,CW373648
BN128448,BN314357
CW841524,CW486645
AN104154,AN104154
AL293420,AL293420
CW231608,CW231608
AA121354,AA131783
DA119704,DA119704
BH7348,BH28856
CG143089,CG143089
CG64654,CG64654
AA114879,AA114879
CW99271,CW6734
CW133300,CW133300
BH119063,BH119063
CW476085,CW214690
CW401625,CW820971
AL211124,AL211124
BB68067,BB68067
DA3991,DA3991
CN88818,CN88818
AN113911,AN113911
CW181152,AP97952
BD138946,BD138946
DX21470,DX21470
CW555921,CW555921
EH876622,EH876622
BR29065,BR29061
EH1023322,EH1023322
BY327241,BY478621
EM99703,EM99703
EH1271350,EH1271350
DL56603,DL113638
EH39646,BR93193
CN83873,CN83873
BD142297,BD142297
CW270479,CW666601
BH4915,BH4914
CL63275,CL63275
EH715892,EH715892
CB12244,CB12244
BE14319,BE7656
BY650401,BY650401
CW1064717,CW1064717
AN20942,AN20942
CZ23671,CZ73655
DR61228,DR61228
