globalID_A,globalID_B
EH165749,EH165749
BY527776,DB171625
AL208077,AL228383
CW549185,CW549185
EH1188661,EH968953
DB234035,BR113988
DS76846,BM46494
CW168139,CW70360
CW951919,CW1328479
DE275293,CA105232
EH1219523,EH1219523
DL242076,DL242076
BN365996,BN365996
CJ56898,CJ24432
EM48430,AA48440
EH570209,EH405290
AM37972,AN52092
DR111401,BR181385
DE198962,EH310701
AL283971,AL283971
CW629462,AA107809
DB316252,DB95294
EN69441,EN69441
CC53510,CB53528
CJ145457,CJ145457
BZ17465,BZ17465
DT33249,DT33249
CA20527,AW158497
CS14102,BL452978
BY99203,BN157951
CW762165,CW172263
CW925747,CW925747
CG160762,EH764246
BG16026,CK9827
AL346165,AL167817
EH536622,DL166992
EM104516,CB77432
CW972079,CW815830
AA150286,DB114312
EH405491,EH662837
DT29550,DE158988
AM48399,BD12034
CH41467,DB13402
AP55497,AP55497
BR142662,BC36376
CA50488,AH7788
BE281276,CM59685
DA100642,DA100642
BR192583,BR140083
BY85907,BY130505
AE16597,CN45217
BJ29318,BJ29318
BD96200,DB226610
EH205131,EH349030
AL42015,AL48962
CJ159916,CJ159916
BE263713,BE263713
DS117646,BL119722
BY433214,BD99588
BR126750,BE199027
BL385307,BL385307
CW561659,CW809749
CW365823,BP27446
BL280511,CJ134598
DD123481,DD123481
EH567556,CM39892
DD95451,EH496373
AR5867,BD69812
CW575610,CW575610
CM54342,CM59927
DZ47457,CW453847
EH515748,DE218898
CW225043,CW81863
CW273810,CW523292
EH370781,EH162441
DT29550,BC30516
CW674598,CW421552
CW270572,CW1231309
CW275096,BC9089
BY379075,DD175122
EH105759,EH332023
DH41148,AM73867
CW498346,CW491199
DE113391,BE208676
DF14541,CG154057
AA210000,AA69260
AL122142,AL122142
BL127802,DA10217
CW440888,CW531572
CW144184,CW257242
AK157341,AK157341
AL32880,AL32838
EM121654,EM121654
BB63551,BY198581
BN553104,CJ131524
CA30275,EL13836
BE395199,BE395199
EA34901,AN159237
BL498496,BL532233
BD99432,BD58659
BY378905,DD127318
AA168842,DL134548
DX45629,AR5782
EH458323,DE218898
CW778486,AL326332
BL334866,BL334866
EH384288,EH1217505
AM25974,BD12034
CW213470,CW613922
CW217034,CW217139
CW884962,CW1173415
CW218122,DE147021
AL237708,DN101806
DJ12367,DJ12367
EH1100325,EP22439
EH787662,EH787662
CW855896,CW855896
AA151692,AA141177
DB176793,DB195326
EH280682,EH388244
AD26014,AD30160
BF7078,AK29001
EH484581,BC67419
EP70688,BP33914
CW1121713,ER34345
CW619648,CW793258
EH862821,EH439087
AK108990,AK27972
