globalID_A,globalID_B
DD86797,DD86797
AL202795,BM46818
EM8972,EH12322
BK20084,EH895461
EH258277,CW172884
BH32481,CA132120
BW4503,EM37441
EF93185,CW627235
CW260613,CW262823
DL99603,DL99603
BD45434,BN403155
BH114311,BK24266
AP24857,EF104971
CG33532,DD179694
BN177809,CW415226
BR65340,BE185325
AD7718,CM13803
BN108129,BN152303
BN322341,DD103899
BP10434,BL15019
EH729630,DX49402
CW279038,CW246869
CN69809,CN69809
EL41838,EL61969
CG132906,CG132906
BN27520,BN45149
BN282066,AL191539
DD77714,BH91721
BE39265,BE433883
BN407297,BN407297
EH338388,EL37443
BN54486,BN31827
DE95274,EH111367
DB209092,DG50023
CS16659,EH293203
EH380532,EH380532
BD101020,BD26483
AL82564,BR53523
AS51766,EH894871
CN74621,CW867734
BE184669,BM56538
DL113421,CW220965
BE181632,CG81158
EH97855,EH97855
EH412551,EH404736
BL92893,BL92893
EG24586,EG24586
CW290257,CW290732
EH424525,BR15602
EH843274,BN171514
AA54334,DB316258
DE210089,DB91865
EH441963,DB137426
BY115006,AD9906
BY515286,BY515286
BY441406,CT18578
AZ9875,BD81356
BH146301,BN322055
DE115038,AN47393
CH15631,DD9268
EH77846,BH58839
BG15074,DD65898
AL219639,AL203094
DA12923,BN349719
AA58582,DS31126
BG38472,BY239000
EF136177,EF208909
CB5668,CB5668
BN70274,BN70017
AY16462,CX9841
BN28208,BN4867
BN384065,CR5210
CW262272,CW169440
EM5877,DZ7360
DL92983,EH743061
AL33898,CW318910
EM43163,BY199666
EH846010,CC28347
CZ83222,DE157483
CW277959,CW211647
DT55952,DT55952
CW387787,CW330807
AW109037,DM35255
EH441050,EM10131
BD105947,DR82293
DT14744,AL45075
AT24316,AT24316
AL126697,EH526949
BE71891,DL14394
BB49697,EH158246
AY20703,EH688298
CG102338,CG102338
ES17035,CE36449
BM58573,BM58573
AA2219,DB284432
DZ58422,BY541913
BN150391,BR131861
EH617805,EH283148
DN109650,BH65179
CW345849,CW357056
DE45931,BE21732
BN90967,DE169063
EH863013,EH863013
BL52661,EH997103
EH343822,BK52432
BG20523,BG20523
BY39357,DW45001
EH452926,DT96474
DN36257,DN36257
CJ36941,BN94157
DZ47203,DZ47203
DE134816,BW68348
BN309284,DT149995
CM53634,CE31728
DE171522,CW259111
EH277018,BZ31550
CM15628,CM15628
EH754253,EH754253
EH368328,BP39502
DL37750,AA25793
AY29958,BY65454
BD47814,EH267146
BY243289,BY558005
EH235225,EH235225
AX31664,DE15327
BW16012,BE38771
BH137886,EH447216
EG26747,DB180859
DN27026,EF194276
BN108964,ED9544
BE20665,DZ38011
BG27319,BL110067
AA91846,CW1330815
EH282835,EB32853
CW37878,CW16170
CR9710,CT29942
DA49119,AA41500
BN313027,BN151728
BN273613,DT75865
CK11929,EH833495
BD64478,BP49635
EH860901,EL34433
AN161028,BY562639
EH408502,EH111782
BY433197,EH436540
BE45821,BY211613
CX12021,CX12021
EH508500,EH266072
BE219561,AA138864
DD40508,CC29546
CP11399,BN371217
EH45798,AM90074
DL129884,AN70538
BL251566,EF157468
CJ139618,CL37014
BN351308,AN28011
EF106637,BH55418
BL200632,AP41039
DN92675,DT50165
EA34452,BY165961
BL385580,BN282033
DT134602,DT134602
ES14411,EC10674
DE58224,DZ7360
CW690993,CW255405
AG32624,DS117726
DE210089,AS48089
DD14446,DD14446
AS23951,AS10743
EH758813,AL92504
CW87579,CW1346414
BN104008,DA6575
CS20699,EB46217
CR2258,AX50977
DR69448,BE283803
AW121721,AW91519
EH521175,BN432302
BH123944,AP71014
BN85449,AA32774
EH379367,DE137748
BR36073,BR36073
BE113862,CL37014
