globalID_A,globalID_B
DD86797,DD86797
AL202795,BM46818
EM8972,EH12322
AN129463,CW1075508
BK20084,EH895461
EH258277,CW172884
CR8900,EH220534
EN59398,DC7212
EH767214,CJ132220
BW4503,EM37441
CW260613,CW262823
BN257523,AN130861
DL99603,DL99603
BH114311,BK24266
DB201074,BR138481
CG33532,DD179694
BJ15320,DL109444
BN177809,CW415226
AD7718,CM13803
BN108129,BN152303
BN322341,DD103899
BP10434,BL15019
EH729630,DX49402
CW279038,CW246869
CN69809,CN69809
DR83305,EP82326
EL41838,EL61969
CT31295,DE69229
CG132906,CG132906
BN27520,BN45149
BE39265,BE433883
BN407297,BN407297
EH338388,EL37443
BM35990,DA6075
BN54486,BN31827
AL86167,EF101917
DB209092,DG50023
BY430938,EP56340
BR52768,BR41537
CS16659,EH293203
EH380532,EH380532
AL82564,BR53523
DT102878,BZ25382
AS51766,EH894871
BE181632,CG81158
EH97855,EH97855
EH412551,EH404736
BL92893,BL92893
EG24586,EG24586
CW290257,CW290732
EH424525,BR15602
AA54334,DB316258
DE210089,DB91865
EH441963,DB137426
EF141542,AZ14702
BY515286,BY515286
BH146301,BN322055
DE115038,AN47393
CH15631,DD9268
EH77846,BH58839
BG15074,DD65898
AL219639,AL203094
BG38472,BY239000
CB5668,CB5668
BN70274,BN70017
AY16462,CX9841
BN28208,BN4867
BN384065,CR5210
AL33898,CW318910
EH846010,CC28347
CZ83222,DE157483
CW277959,CW211647
BY348535,CA105474
DT55952,DT55952
CW387787,CW330807
AW109037,DM35255
EH441050,EM10131
DN127831,DE284012
DT14744,AL45075
EA27898,EH463094
EH204731,DT101113
CM35601,BD103040
AT24316,AT24316
AW77090,AP14607
BE71891,DL14394
DX33420,DN86201
CG102338,CG102338
ES17035,CE36449
BM58573,BM58573
AA2219,DB284432
DZ58422,BY541913
EH617805,EH283148
DN109650,BH65179
CW345849,CW357056
DE45931,BE21732
EH863013,EH863013
DE136790,BP20143
BG20523,BG20523
BY39357,DW45001
CW110198,AA70698
EH452926,DT96474
DN36257,DN36257
DZ47203,DZ47203
DE134816,BW68348
DE171522,CW259111
EH277018,BZ31550
CM15628,CM15628
EH754253,EH754253
DE113620,DE269281
EH368328,BP39502
DL37750,AA25793
AY29958,BY65454
BY243289,BY558005
EH235225,EH235225
AX31664,DE15327
DZ38155,CJ20418
EG26747,DB180859
CG3996,EB37762
DN27026,EF194276
BE20665,DZ38011
BG27319,BL110067
BE175668,CA78099
AA91846,CW1330815
EH282835,EB32853
CW37878,CW16170
CR9710,CT29942
BY274534,BM39631
CK11929,EH833495
DT91881,CW419017
BN415521,CZ67030
CE9816,AN61158
EH860901,EL34433
AN161028,BY562639
BY433197,EH436540
AW181260,BD132006
CX12021,CX12021
EH508500,EH266072
BL310249,CG159486
DG5432,EG4756
BE219561,AA138864
DD40508,CC29546
CP11399,BN371217
EH45798,AM90074
DL129884,AN70538
BL251566,EF157468
CJ139618,CL37014
BN351308,AN28011
CT36563,BH14618
BL385580,BN282033
DT134602,DT134602
BD117392,AS85064
DE58224,DZ7360
DD14446,DD14446
CW87579,CW1346414
BN104008,DA6575
CS20699,EB46217
AW121721,AW91519
EH521175,BN432302
BN85449,AA32774
EH379367,DE137748
BR36073,BR36073
EH456740,DZ28077
CG128813,EH669343
BE169999,BE169999
EH451024,AL244546
DD32860,DD32860
DP21566,CW323095
DL157380,AW68694
BN74639,EH657666
BN15341,BN322536
BR57791,BR57791
DE180193,BD80083
DH44982,DH44982
BJ6933,AK62689
CW87981,CW176729
BE300110,CW590193
AL101044,CP16316
DZ48987,DB52472
DZ5000,EH1068217
AA80092,BP23908
EH95490,EH225089
