globalID_A,globalID_B
DD86797,DD86797
CC25806,CC25806
EM8972,EH12322
BJ31211,BJ31211
BK20084,EH895461
EH424512,EH152866
EH258277,CW172884
CW893573,DN117766
EH613350,AW95516
BW4503,EM37441
CN26565,DB296970
EH788088,EB78820
AG38068,AP74429
CW260613,CW262823
DL99603,DL99603
EP69010,EP69010
CS2885,DE216650
BH111834,AH12452
BB50031,AE18601
AD7718,CM13803
DN45063,EE2546
AN60483,AN44281
BN108129,BN152303
BP10434,BL15019
EH729630,DX49402
CW279038,CW246869
CN69809,CN69809
CW303741,CA90969
EL41838,EL61969
CN70617,CC75010
CG132906,CG132906
ES15089,ES15089
BN27520,BN45149
EH7682,BP37733
AL66096,DD109207
DD77714,BH91721
AN88052,AN56949
BE39265,BE433883
BN407297,BN407297
EH338388,EL37443
BM35990,DA6075
BN54486,BN31827
EH216042,BL266745
AJ29299,EH404939
DB209092,DG50023
EH518665,DG28565
BY505647,BY505647
DH36777,CC19668
CS16659,EH293203
BR7628,BR7626
EH380532,EH380532
EP65461,AW154607
AH3597,AA155475
AS51766,EH894871
CN74621,CW867734
BE181632,CG81158
EH97855,EH97855
EH412551,EH404736
BL92893,BL92893
DL213448,DL213448
EH643576,DB288857
EG24586,EG24586
CW290257,CW290732
EH668242,DX51781
EH424525,BR15602
EH393953,EH1101589
EH441963,DB137426
CB72146,EF29772
BY515286,BY515286
BH146301,BN322055
DE115038,AN47393
DZ18810,AW40669
CW163962,BL206966
CM55903,CM55903
CW271509,CW91267
AL219639,AL203094
CG43923,CG43923
EH170073,EH262897
EH264006,EH263426
AM84359,AP81513
CL20650,CL20650
BY335300,BY346477
BW13771,EF17372
CW263666,CW518625
CB5668,CB5668
BN70274,BN70017
DR41900,DR52070
AY16462,CX9841
AA49790,CL23111
BN384065,CR5210
AS21652,EH150188
AL33898,CW318910
BL79433,CH28910
CZ83222,DE157483
BL166619,EH364830
AP36420,AW18922
CW277959,CW211647
AM71277,BB81091
EH276558,AA95810
BH74244,DN51035
DT55952,DT55952
CL40838,CL40838
DD83466,DD83466
CG49534,EH791092
CW387787,CW330807
AW109037,DM35255
CW877078,EH2112
EH441050,EM10131
BN27507,BN67526
DN127831,DE284012
AP47782,AL105078
AS64549,BN438103
DT14744,AL45075
AT24316,AT24316
EA23743,CC95200
BB44966,EH695612
CG102338,CG102338
BL218454,AL11180
ES17035,CE36449
AN101640,DB137426
BM58573,BM58573
EP72286,DZ30130
DZ58422,BY541913
DL23582,DL3076
EH617805,EH283148
DN109650,BH65179
CW345849,CW357056
DE45931,BE21732
AW183536,AW183536
EH863013,EH863013
EF106268,AL223727
CW406262,CW1124900
BG20523,BG20523
DY16554,CC21645
AS68732,EH192550
DN36257,DN36257
DZ47203,DZ47203
DF5350,AA199269
DE134816,BW68348
BN5662,BN5662
CM53634,CE31728
DE171522,CW259111
EH277018,BZ31550
CM15628,CM15628
EH754253,EH754253
CW125202,AM98354
DE181659,DE181659
AM81395,DR35032
DE113620,DE269281
BY560392,BY560392
EH368328,BP39502
DL37750,AA25793
BY243289,BY558005
CA48545,BE40268
EH235225,EH235225
ED12031,BL34787
BY96276,CZ11502
AS10563,DB47340
CP33037,CP33037
EH112343,EH112343
EF60964,AN142108
BN261419,BN421459
DN27026,EF194276
BE20665,DZ38011
BN30642,BN70729
AA91846,CW1330815
DL182966,EB59493
CP25650,DD77714
CW37878,CW16170
CC120095,EF158829
DT70749,DT70749
EH872850,EH872850
EH72459,EH72459
DR23116,DR134796
BN273613,DT75865
DZ37887,BZ3685
EM100654,BY537128
BL51372,BL51372
DE147751,AM50368
CG6740,CG6740
CR19980,AS28318
EH487161,EH487161
AN161028,BY562639
AA123412,BP12412
BY433197,EH436540
CX12021,CX12021
AW60785,DE168984
BL196112,CZ90304
DZ19244,DE192890
EH508500,EH266072
DD40508,CC29546
CP11399,BN371217
EH45798,AM90074
AE29442,DE236852
DR20685,DT116757
EB34304,CW214722
DJ4365,DJ4365
BR107126,BW21882
BL385580,BN282033
DZ28077,EC4052
DB84985,DB166078
AW128858,EH1062461
DT134602,DT134602
DE58224,DZ7360
ER2162,BH38820
DD14446,DD14446
EH141882,EH141882
EF9299,EF9299
EH758813,AL92504
CW87579,CW1346414
BN104008,DA6575
CS20699,EB46217
EH408533,EH408533
DD20108,AN60411
DT80514,DT80514
BR168704,AM101577
DE212480,DE212480
CW622547,CW375845
AW121721,AW91519
EH116141,EH74299
DW22221,BE40268
EH521175,BN432302
EH51658,EH384299
BR36073,BR36073
DC6367,DC6367
CW404349,CW253653
EH456740,DZ28077
CG128813,EH669343
DL189379,DL189379
BN167721,AN99051
BE169999,BE169999
EH451024,AL244546
DE217101,DE189871
DD32860,DD32860
CW16024,CW88389
BR166916,BR166916
BD23141,CW281000
CG118861,DD185952
BN15341,BN322536
BR57791,BR57791
AN89537,AM63424
DH44982,DH44982
AC13977,AC13977
EH149110,EH482971
EH658365,EN55633
BL278653,AG38730
CW658637,EH327445
BE300110,CW590193
BY532056,BY139783
EH79865,BY213302
EH95490,EH225089
BC58554,BY671052
EF145780,CW785763
CW457556,CW457556
BN343163,EH768613
EH52747,BR43001
AW75531,DX21503
BE20193,DL17139
CG85126,CG91140
EH608667,DS92507
EH704768,BP16411
AF17591,AA80927
DH44127,CW253920
DL81666,DW48093
EF54215,BL100099
BN19528,BN19544
CW424562,BN172364
AW36002,AW36002
EH35721,EH71088
AW119116,EH409672
EF68929,CW170217
BN60798,BN60102
CW126062,CW46279
AN159351,EH759801
DS24838,BH61809
BN406028,BN406028
CW830121,CW830121
DR68524,DH36071
BE155553,BE32984
CW34939,CW1345046
EH714547,AP5300
EF148295,DX50762
BL345541,BL345541
CW850159,DL86005
CG112884,CG112884
EH188664,EH188664
DL158320,AB27410
BN120897,BN124864
CG18411,CG195620
AN118442,CW239742
DD120195,BE233289
DL18766,BY484252
CC51772,BB49478
BN238044,BL213955
BL337810,BL160937
BN334110,BN334110
BR45934,BR45934
EH740008,DZ33075
DB194687,DB194687
CZ48669,CL23930
AA108793,DD141811
DR88468,DR88468
CB45732,BC50262
AW149232,BY404156
CW326789,CW449067
CC37456,CW685847
AM64268,DE196338
EF60065,EH895171
BG18988,BG18988
CW732033,AG38068
DD18969,EH373536
EH566601,EH934766
EM91108,EM91108
EM36513,EM36513
BN27520,BN68631
EN61592,EN61592
BN261058,EA23565
CW852300,CW852300
AA131677,AA79843
BL309129,BL309129
CW279853,CW428293
CP38136,DH54777
AM19800,AM19800
BD78788,DL160377
CW847537,CW847537
BN364055,DW30378
AA120923,AG38623
BB20023,EF33922
CX18607,CX18607
BE305918,BE305918
EG12168,EG4350
BC51873,BC51873
CM48747,CM48747
CP8034,CC50230
BN7066,BN8551
ED45159,ED45159
CW115478,CW802280
BY130864,BY162808
BK6759,BL32554
EH851699,EH851699
BL211187,BL357610
DW45889,EC3786
DB233480,DB233480
