globalID_A,globalID_B
DD86797,DD86797
CC25806,CC25806
EM8972,EH12322
BJ31211,BJ31211
BK20084,EH895461
EH424512,EH152866
CN26565,DB296970
EH788088,EB78820
CW260613,CW262823
DL99603,DL99603
EP69010,EP69010
AD7718,CM13803
AN60483,AN44281
BP10434,BL15019
EH729630,DX49402
CW279038,CW246869
CW303741,CA90969
EL41838,EL61969
CN70617,CC75010
BR51963,EH387012
CG132906,CG132906
ES15089,ES15089
BN27520,BN45149
AL66096,DD109207
AN88052,AN56949
BE39265,BE433883
BN407297,BN407297
EH338388,EL37443
BN54486,BN31827
EH216042,BL266745
AJ29299,EH404939
DH36777,CC19668
CS16659,EH293203
BR7628,BR7626
EH380532,EH380532
CE37402,BY320599
EP65461,AW154607
AL82564,BR53523
AH3597,AA155475
EH97855,EH97855
EH412551,EH404736
BL92893,BL92893
DL213448,DL213448
EH643576,DB288857
EG24586,EG24586
CW290257,CW290732
EH393953,EH1101589
AA54334,DB316258
BY394581,EP29500
EF141542,AZ14702
BY515286,BY515286
DE115038,AN47393
CW163962,BL206966
CM55903,CM55903
CW271509,CW91267
AL219639,AL203094
CG43923,CG43923
EH170073,EH262897
EH264006,EH263426
AM84359,AP81513
CL20650,CL20650
BY335300,BY346477
BW13771,EF17372
CW263666,CW518625
CB5668,CB5668
BN70274,BN70017
BA3607,CP8349
DR41900,DR52070
AY16462,CX9841
AA49790,CL23111
EP35555,AG17755
EH99342,EG19656
DL92983,EH743061
CW277959,CW211647
AM71277,BB81091
BH74244,DN51035
DT55952,DT55952
CL40838,CL40838
DD83466,DD83466
CW387787,CW330807
EH441050,EM10131
BN27507,BN67526
AP47782,AL105078
AS64549,BN438103
DT14744,AL45075
AT24316,AT24316
EA23743,CC95200
BY407011,DR70933
BB44966,EH695612
AY20703,EH688298
CG102338,CG102338
ES17035,CE36449
AN101640,DB137426
BM58573,BM58573
EP72286,DZ30130
DZ58422,BY541913
EH617805,EH283148
DN109650,BH65179
CW345849,CW357056
BN90967,DE169063
AW183536,AW183536
EH863013,EH863013
EF106268,AL223727
CW406262,CW1124900
BG20523,BG20523
DY16554,CC21645
DN36257,DN36257
DZ47203,DZ47203
BN5662,BN5662
DE171522,CW259111
EH277018,BZ31550
CM15628,CM15628
EH754253,EH754253
BY103377,AP49117
CW125202,AM98354
DE181659,DE181659
EH566103,AA94003
BY560392,BY560392
DL37750,AA25793
AY29958,BY65454
BY243289,BY558005
CA48545,BE40268
EH235225,EH235225
DA64517,BH66508
CP33037,CP33037
EH112343,EH112343
EH328153,AN86839
BN30642,BN70729
DL182966,EB59493
CW37878,CW16170
CC120095,EF158829
DT70749,DT70749
EH872850,EH872850
EH72459,EH72459
EM100654,BY537128
BL51372,BL51372
CG6740,CG6740
BZ11463,CM5983
EH487161,EH487161
AA123412,BP12412
CX12021,CX12021
AW60785,DE168984
EH508500,EH266072
DG5432,EG4756
DD40508,CC29546
CW891442,BJ29166
EH45798,AM90074
DL129884,AN70538
DR20685,DT116757
EF106637,BH55418
CT36563,BH14618
DJ4365,DJ4365
BR107126,BW21882
DB84985,DB166078
AW128858,EH1062461
DT134602,DT134602
DT119775,DL113325
DD14446,DD14446
EH312261,EH486243
EH141882,EH141882
EF9299,EF9299
CW87579,CW1346414
BN104008,DA6575
CS20699,EB46217
DD20108,AN60411
DT80514,DT80514
DE212480,DE212480
CW622547,CW375845
AW121721,AW91519
EH116141,EH74299
DW22221,BE40268
EH521175,BN432302
EH51658,EH384299
BR36073,BR36073
DC6367,DC6367
AL118382,AW58010
EH456740,DZ28077
DL189379,DL189379
BN167721,AN99051
BE169999,BE169999
EH451024,AL244546
DE217101,DE189871
DD32860,DD32860
CW16024,CW88389
BR166916,BR166916
DB22590,BG9213
BD23141,CW281000
BN15341,BN322536
BR57791,BR57791
DH44982,DH44982
AC13977,AC13977
EH658365,EN55633
BL278653,AG38730
BE300110,CW590193
AL101044,CP16316
DT37702,DB8755
BY532056,BY139783
EH95490,EH225089
AP63803,BM39077
EF145780,CW785763
CW457556,CW457556
EH52747,BR43001
EH608667,DS92507
EH704768,BP16411
BH65534,EN62814
AF17591,AA80927
DH44127,CW253920
AA148039,CG33532
DL81666,DW48093
BN19528,BN19544
AW36002,AW36002
EH35721,EH71088
CW126062,CW46279
BN406028,BN406028
CW830121,CW830121
DR68524,DH36071
CW34939,CW1345046
EH714547,AP5300
BL345541,BL345541
CH27717,CW553167
CG112884,CG112884
EH188664,EH188664
BN120897,BN124864
CG18411,CG195620
DL18766,BY484252
CC51772,BB49478
BN334110,BN334110
EH218563,CA24120
BR45934,BR45934
EH740008,DZ33075
DB194687,DB194687
CZ48669,CL23930
DN78998,EH424140
AA108793,DD141811
DR88468,DR88468
CB45732,BC50262
CW326789,CW449067
CC37456,CW685847
AM64268,DE196338
BG18988,BG18988
EH566601,EH934766
EM91108,EM91108
AE26817,AL212178
EM36513,EM36513
BN27520,BN68631
EN61592,EN61592
CW852300,CW852300
BL309129,BL309129
AM19800,AM19800
CW847537,CW847537
EP42104,EH207434
CX18607,CX18607
BE305918,BE305918
BC51873,BC51873
CM48747,CM48747
CP8034,CC50230
BH76789,BL238727
BN7066,BN8551
ED45159,ED45159
CW115478,CW802280
BK6759,BL32554
EH851699,EH851699
BL211187,BL357610
DB233480,DB233480
DE14660,BY95912
EH703984,BY463642
DZ52593,DB126192
CM24302,DE227424
BL221467,CW374865
BY268691,BY268691
BL78773,DY39170
EH232352,BR116266
BE300110,BL314163
CG97159,CG97159
EH736105,AL253755
BY258217,DA38891
CT17108,DA75280
EH71674,EH71674
EH263622,EH263622
CC95200,BN438103
CG113090,CG101235
AJ18428,EM89664
BN11668,BN31073
BL293908,BL293908
AS63703,DL122533
AL205851,AL205851
BL174323,BL98865
BD63014,EH352380
AN58414,AN58414
CN36051,AR3931
DR73654,DE208540
AM23719,AW105006
EN38325,EN38325
EH686958,BN438103
DE115424,CW632532
DD124420,AL190564
AN141865,AN141865
CP14553,CP14553
DW38568,DW38568
BC22207,CA41213
BN164155,AY38104
AW85425,AW85425
BP49627,BL398338
AP70439,AP70439
AW121721,BR60883
CC92336,BH8511
DE60658,DE176797
AN94296,DN84574
DE217503,EH743608
EF101776,EF101776
CB14275,DE138845
EH406151,EH424140
DA49166,DA61186
EM92393,EH1307303
ER33214,CW331262
BH5656,EC10445
BL129501,CZ64246
AX32031,EF106832
CM49534,CG136728
EF44403,EL29259
BE269031,AF23976
BN257375,BN257375
DS90476,AY28673
EH149822,EH149822
BR144771,CT28279
BE5610,BE5610
EH406151,EH733600
CG130689,ED23163
AP80085,AP80085
EH39233,EH39233
BL291058,BL291058
DT61465,DT61465
BL189526,CJ47482
EH575309,EH343478
BJ33458,BJ33458
AE19873,AE19873
CZ56809,AL177126
CW554526,CW554526
DL216113,DL216113
CA96953,BD105519
AX15167,AK104601
BW40521,CC127526
DE25314,EH207434
