globalID_A,globalID_B
DD86797,DD86797
AL202795,BM46818
CC25806,CC25806
EM8972,EH12322
BJ31211,BJ31211
BK20084,EH895461
EH424512,EH152866
CW893573,DN117766
DN48050,CW861955
EH613350,AW95516
CN26565,DB296970
EH788088,EB78820
AG38068,AP74429
CW260613,CW262823
DL99603,DL99603
EP69010,EP69010
BD45434,BN403155
BH111834,AH12452
BR65340,BE185325
DX3285,CN4263
AD7718,CM13803
AN60483,AN44281
BN108129,BN152303
BP10434,BL15019
BY395533,CW642295
CW279038,CW246869
CW303741,CA90969
EL41838,EL61969
CN70617,CC75010
CG132906,CG132906
ES15089,ES15089
BN27520,BN45149
AN88052,AN56949
BE39265,BE433883
BN407297,BN407297
EH338388,EL37443
BM35990,DA6075
BN54486,BN31827
AJ29299,EH404939
DE95274,EH111367
BL188910,DE100221
DB209092,DG50023
EH518665,DG28565
BY505647,BY505647
BY335355,BL289927
DH36777,CC19668
CS16659,EH293203
BR7628,BR7626
BL312052,BY704889
EH380532,EH380532
EP65461,AW154607
AH3597,AA155475
AS51766,EH894871
BE181632,CG81158
EH97855,EH97855
EH412551,EH404736
BL92893,BL92893
BL102062,EH255817
DL213448,DL213448
EH643576,DB288857
EG24586,EG24586
CW290257,CW290732
EH668242,DX51781
EH424525,BR15602
EH393953,EH1101589
AA54334,DB316258
DE210089,DB91865
EH441963,DB137426
BY394581,EP29500
CB72146,EF29772
BY515286,BY515286
BH146301,BN322055
DE115038,AN47393
CW163962,BL206966
CM55903,CM55903
CW271509,CW91267
AL219639,AL203094
CG43923,CG43923
EH170073,EH262897
EH264006,EH263426
AM84359,AP81513
BG38472,BY239000
CL20650,CL20650
BY335300,BY346477
BW13771,EF17372
CW263666,CW518625
CB5668,CB5668
BN70274,BN70017
DR41900,DR52070
AY16462,CX9841
BN28208,BN4867
AA49790,CL23111
AW100761,CA46832
BN384065,CR5210
CW262272,CW169440
EM5877,DZ7360
AL33898,CW318910
EH846010,CC28347
CZ83222,DE157483
BL166619,EH364830
CW277959,CW211647
AM71277,BB81091
BY348535,CA105474
BH74244,DN51035
DT55952,DT55952
CL40838,CL40838
DD83466,DD83466
CW387787,CW330807
EH441050,EM10131
BN27507,BN67526
AP47782,AL105078
DZ30463,BN169382
AS64549,BN438103
DT14744,AL45075
AT24316,AT24316
EA23743,CC95200
CJ71874,BY346362
BY407011,DR70933
BB44966,EH695612
BE71891,DL14394
DR82815,DL60541
CG102338,CG102338
BL218454,AL11180
ES17035,CE36449
AN101640,DB137426
BM58573,BM58573
AW109037,AY24166
DZ58422,BY541913
DL23582,DL3076
EH617805,EH283148
DN109650,BH65179
CW345849,CW357056
DE45931,BE21732
BN90967,DE169063
AW183536,AW183536
EH863013,EH863013
EF106268,AL223727
BG20523,BG20523
DY16554,CC21645
EP75867,DD116108
BL79727,DN47425
DN36257,DN36257
DZ47203,DZ47203
DE134816,BW68348
BN5662,BN5662
DE171522,CW259111
EH277018,BZ31550
CM15628,CM15628
EH754253,EH754253
BY103377,AP49117
CG136151,BY456456
BY283428,CW718547
DE181659,DE181659
DE113620,DE269281
BY560392,BY560392
DL37750,AA25793
AY29958,BY65454
BY243289,BY558005
CA48545,BE40268
EH235225,EH235225
ED12031,BL34787
DN74562,CW699179
DA64517,BH66508
AX31664,DE15327
CP33037,CP33037
EH112343,EH112343
EF60964,AN142108
DN27026,EF194276
BN108964,ED9544
BE20665,DZ38011
BY194493,BN38373
BG27319,BL110067
BN30642,BN70729
DL182966,EB59493
EH282835,EB32853
CW37878,CW16170
CC120095,EF158829
ES23864,AN137851
DT70749,DT70749
EH872850,EH872850
EH72459,EH72459
CK11929,EH833495
