globalID_A,globalID_B
DD86797,DD86797
CC25806,CC25806
EM8972,EH12322
BJ31211,BJ31211
BK20084,EH895461
EH424512,EH152866
BH32481,CA132120
AA77697,BN119103
BW4503,EM37441
CN26565,DB296970
EH788088,EB78820
AG38068,AP74429
CW260613,CW262823
DL99603,DL99603
EP69010,EP69010
BY122211,BY747443
CS2885,DE216650
AD7718,CM13803
AN60483,AN44281
BN108129,BN152303
BN322341,DD103899
BP10434,BL15019
EH729630,DX49402
CW279038,CW246869
CN69809,CN69809
CW303741,CA90969
EL41838,EL61969
CN70617,CC75010
CG132906,CG132906
ES15089,ES15089
BN27520,BN45149
DD77714,BH91721
AN88052,AN56949
BE39265,BE433883
BN407297,BN407297
EH338388,EL37443
BN54486,BN31827
AJ29299,EH404939
DE95274,EH111367
EH518665,DG28565
BY505647,BY505647
DH36777,CC19668
CS16659,EH293203
BR7628,BR7626
EH380532,EH380532
EP65461,AW154607
AH3597,AA155475
BE181632,CG81158
EH97855,EH97855
EH412551,EH404736
BL92893,BL92893
DL213448,DL213448
EH643576,DB288857
EG24586,EG24586
CW290257,CW290732
EH424525,BR15602
EH393953,EH1101589
AA54334,DB316258
EH441963,DB137426
BY394581,EP29500
BY515286,BY515286
DE115038,AN47393
CW163962,BL206966
CM55903,CM55903
CW271509,CW91267
EH77846,BH58839
AL219639,AL203094
CG43923,CG43923
EH170073,EH262897
AA58582,DS31126
EH264006,EH263426
AM84359,AP81513
BG38472,BY239000
CL20650,CL20650
BY335300,BY346477
CW263666,CW518625
CB5668,CB5668
BN70274,BN70017
BA3607,CP8349
DR41900,DR52070
AY16462,CX9841
BN28208,BN4867
AA49790,CL23111
BN384065,CR5210
EP35555,AG17755
CZ83222,DE157483
AM71277,BB81091
BY348535,CA105474
DT55952,DT55952
CL40838,CL40838
DD83466,DD83466
CW387787,CW330807
EH441050,EM10131
BN27507,BN67526
AP47782,AL105078
AS64549,BN438103
DT14744,AL45075
DN37559,BL291754
AT24316,AT24316
EA23743,CC95200
BB44966,EH695612
BE71891,DL14394
CG102338,CG102338
EH167905,EH20188
ES17035,CE36449
BM58573,BM58573
EP72286,DZ30130
AA2219,DB284432
DZ58422,BY541913
EH617805,EH283148
DN109650,BH65179
CW345849,CW357056
BN90967,DE169063
AW183536,AW183536
EH863013,EH863013
EF106268,AL223727
CW406262,CW1124900
BG20523,BG20523
DY16554,CC21645
EH452926,DT96474
DN36257,DN36257
DZ47203,DZ47203
DA61285,EH369363
BN5662,BN5662
DE171522,CW259111
EH277018,BZ31550
CM15628,CM15628
EH754253,EH754253
BY103377,AP49117
CW125202,AM98354
DE181659,DE181659
BY560392,BY560392
EH368328,BP39502
DL37750,AA25793
AY29958,BY65454
BY243289,BY558005
EH235225,EH235225
DA64517,BH66508
CP33037,CP33037
EH112343,EH112343
EF60964,AN142108
BE20665,DZ38011
BN30642,BN70729
DL182966,EB59493
CW37878,CW16170
CC120095,EF158829
DT70749,DT70749
EH872850,EH872850
EH72459,EH72459
DZ37887,BZ3685
EM100654,BY537128
BL51372,BL51372
CG6740,CG6740
CG63464,EH238844
EH860901,EL34433
EH487161,EH487161
AA123412,BP12412
BY433197,EH436540
AW181260,BD132006
CX12021,CX12021
EF111327,CT41371
EH508500,EH266072
DD40508,CC29546
EH715063,BH100372
CW891442,BJ29166
EH45798,AM90074
AE29442,DE236852
DR20685,DT116757
BL200632,AP41039
DJ4365,DJ4365
BR107126,BW21882
BL385580,BN282033
DB84985,DB166078
DT134602,DT134602
BY320599,BL277310
DD14446,DD14446
EH141882,EH141882
EF9299,EF9299
EH658464,CE13289
CW87579,CW1346414
BN104008,DA6575
CS20699,EB46217
DD20108,AN60411
DT80514,DT80514
DE212480,DE212480
CW622547,CW375845
AW121721,AW91519
EH116141,EH74299
EH521175,BN432302
EH51658,EH384299
BR36073,BR36073
DC6367,DC6367
CW404349,CW253653
EH456740,DZ28077
DL189379,DL189379
BN167721,AN99051
BE169999,BE169999
EH451024,AL244546
AP46487,DR79603
AE11054,AL274588
DE217101,DE189871
DD32860,DD32860
CW16024,CW88389
BR166916,BR166916
DB22590,BG9213
BN15341,BN322536
BR57791,BR57791
DE180193,BD80083
DH44982,DH44982
AC13977,AC13977
EH658365,EN55633
BE300110,CW590193
AL101044,CP16316
BY532056,BY139783
EH95490,EH225089
CW457556,CW457556
BY74274,EH185364
EH52747,BR43001
BJ11380,AA61367
EH608667,DS92507
BN190178,BL156586
AF17591,AA80927
DH44127,CW253920
AA148039,CG33532
CX19614,EH629241
BN19528,BN19544
DL213448,EH1253971
AW36002,AW36002
EH35721,EH71088
AW119116,EH409672
EF68929,CW170217
DL81415,AN17857
CW126062,CW46279
AN159351,EH759801
BN406028,BN406028
CW830121,CW830121
DR68524,DH36071
BE155553,BE32984
CW34939,CW1345046
EH714547,AP5300
EF148295,DX50762
BL345541,BL345541
CG112884,CG112884
EH188664,EH188664
BN120897,BN124864
CG18411,CG195620
CC51772,BB49478
BL337810,BL160937
BN334110,BN334110
BR45934,BR45934
EH740008,DZ33075
DB194687,DB194687
CZ48669,CL23930
DN78998,EH424140
AA108793,DD141811
DR88468,DR88468
CB45732,BC50262
AW149232,BY404156
CW326789,CW449067
CC37456,CW685847
AM64268,DE196338
EF60065,EH895171
BG18988,BG18988
CW732033,AG38068
DD18969,EH373536
EH566601,EH934766
EM91108,EM91108
ES16967,BB117664
AE26817,AL212178
EM36513,EM36513
BN27520,BN68631
EN61592,EN61592
BN261058,EA23565
CW852300,CW852300
BL309129,BL309129
CW279853,CW428293
AM19800,AM19800
EG45592,DE255889
CW847537,CW847537
AJ10600,BZ34358
CF4591,EF51754
AN35560,CN25765
BB20023,EF33922
CX18607,CX18607
BE305918,BE305918
BC51873,BC51873
CM48747,CM48747
CP8034,CC50230
BH76789,BL238727
BN7066,BN8551
ED45159,ED45159
CW115478,CW802280
BK6759,BL32554
EH851699,EH851699
BL211187,BL357610
DB233480,DB233480
EH703984,BY463642
DZ52593,DB126192
CW178966,AA115863
CM24302,DE227424
BY268691,BY268691
BL78773,DY39170
EH232352,BR116266
DB192183,DB192183
BE300110,BL314163
EB34150,AP33827
ER15224,BE198028
CG97159,CG97159
BL310172,BY753095
EH71674,EH71674
EH263622,EH263622
BH76789,DE174688
CC95200,BN438103
AJ18428,EM89664
BN11668,BN31073
BL293908,BL293908
AL205851,AL205851
BY160085,AN51804
BL174323,BL98865
BD63014,EH352380
BG15518,CF5749
AN58414,AN58414
DR73654,DE208540
EN38325,EN38325
EH686958,BN438103
EH720083,EH184618
DD124420,AL190564
AN141865,AN141865
CP14553,CP14553
DW38568,DW38568
EM6090,DS7206
DE52247,EH26520
BN164155,AY38104
AW85425,AW85425
AP70439,AP70439
AW121721,BR60883
DE60658,DE176797
EF101776,EF101776
CB14275,DE138845
EH406151,EH424140
DA49166,DA61186
EM92393,EH1307303
BL129501,CZ64246
