globalID_A,globalID_B
DD86797,DD86797
EM8972,EH12322
AN129463,CW1075508
BK20084,EH895461
EH258277,CW172884
EH767214,CJ132220
AA77697,BN119103
BW4503,EM37441
EF93185,CW627235
CW260613,CW262823
BN257523,AN130861
DL99603,DL99603
AD7718,CM13803
BN108129,BN152303
BN322341,DD103899
BP10434,BL15019
CW279038,CW246869
CN69809,CN69809
DR83305,EP82326
EL41838,EL61969
CT31295,DE69229
CG132906,CG132906
BN27520,BN45149
DD77714,BH91721
BE39265,BE433883
BN407297,BN407297
EH338388,EL37443
BM35990,DA6075
BN54486,BN31827
AL86167,EF101917
DE95274,EH111367
DB209092,DG50023
BY430938,EP56340
CW11351,DD138695
BY335355,BL289927
CS16659,EH293203
EH380532,EH380532
AL82564,BR53523
AS51766,EH894871
BE184669,BM56538
EH97855,EH97855
EH412551,EH404736
BL92893,BL92893
DD13695,CH28982
EG24586,EG24586
CW290257,CW290732
EH424525,BR15602
AA54334,DB316258
DE210089,DB91865
EH441963,DB137426
BY115006,AD9906
EF141542,AZ14702
BY515286,BY515286
AZ9875,BD81356
BH146301,BN322055
DE115038,AN47393
CH15631,DD9268
AL219639,AL203094
EH530054,BG56602
CB5668,CB5668
BN70274,BN70017
AY16462,CX9841
BN384065,CR5210
CW262272,CW169440
EH99342,EG19656
EM5877,DZ7360
AL33898,CW318910
EH846010,CC28347
CZ83222,DE157483
CW277959,CW211647
BY348535,CA105474
DT55952,DT55952
CW387787,CW330807
CC55218,DL148923
AW109037,DM35255
EH441050,EM10131
DN127831,DE284012
DT14744,AL45075
EH204731,DT101113
BL27599,AA19808
AT24316,AT24316
BE71891,DL14394
DX33420,DN86201
BB49697,EH158246
CG102338,CG102338
ES17035,CE36449
BM58573,BM58573
AA2219,DB284432
DZ58422,BY541913
BN150391,BR131861
EH617805,EH283148
DN109650,BH65179
CW345849,CW357056
DE45931,BE21732
BN90967,DE169063
EH863013,EH863013
EH343822,BK52432
BG20523,BG20523
BY39357,DW45001
AL128196,BY414586
EH452926,DT96474
DN36257,DN36257
DZ47203,DZ47203
BN309284,DT149995
CM53634,CE31728
DE171522,CW259111
EH277018,BZ31550
CM15628,CM15628
EH754253,EH754253
EH368328,BP39502
DL37750,AA25793
AY29958,BY65454
BY243289,BY558005
EH235225,EH235225
AX31664,DE15327
DZ38155,CJ20418
EG26747,DB180859
CG3996,EB37762
DN27026,EF194276
BE20665,DZ38011
BG27319,BL110067
EH166211,BY585949
DR41391,CW699013
EH282835,EB32853
CW37878,CW16170
EH860901,EL34433
AN161028,BY562639
DR94996,DR129073
EH408502,EH111782
BY433197,EH436540
BE45821,BY211613
CX12021,CX12021
EH508500,EH266072
DG5432,EG4756
BE219561,AA138864
DD40508,CC29546
CP11399,BN371217
