globalID_A,globalID_B
DD86797,DD86797
CC25806,CC25806
EM8972,EH12322
BJ31211,BJ31211
BL123955,BD10235
BK20084,EH895461
EH424512,EH152866
DN48050,CW861955
EH613350,AW95516
BW4503,EM37441
CN26565,DB296970
EH788088,EB78820
CW260613,CW262823
DL99603,DL99603
EP69010,EP69010
BH111834,AH12452
AS50653,CW144381
BR65340,BE185325
AD7718,CM13803
BN322341,DD103899
BP10434,BL15019
EH729630,DX49402
BY395533,CW642295
CW279038,CW246869
CN69809,CN69809
CN70617,CC75010
CG132906,CG132906
ES15089,ES15089
BN27520,BN45149
AN88052,AN56949
BE39265,BE433883
EH338388,EL37443
BN54486,BN31827
AJ29299,EH404939
BY505647,BY505647
DH36777,CC19668
CS16659,EH293203
BR7628,BR7626
EH380532,EH380532
AH3597,AA155475
AS51766,EH894871
EH97855,EH97855
EH412551,EH404736
BL92893,BL92893
DL213448,DL213448
EH643576,DB288857
EG24586,EG24586
CW290257,CW290732
EH393953,EH1101589
AA54334,DB316258
EH441963,DB137426
BY394581,EP29500
EF141542,AZ14702
BY515286,BY515286
DE115038,AN47393
CH15631,DD9268
CW163962,BL206966
CM55903,CM55903
CW271509,CW91267
AL219639,AL203094
CG43923,CG43923
EH170073,EH262897
EH264006,EH263426
AM84359,AP81513
CL20650,CL20650
BY335300,BY346477
BW13771,EF17372
CW263666,CW518625
CB5668,CB5668
BN70274,BN70017
DR41900,DR52070
AY16462,CX9841
AA49790,CL23111
CW277959,CW211647
AM71277,BB81091
BH74244,DN51035
DT55952,DT55952
CL40838,CL40838
DD83466,DD83466
CG49534,EH791092
CW387787,CW330807
BN260995,BY234002
EH441050,EM10131
BN27507,BN67526
AP47782,AL105078
AS64549,BN438103
DT14744,AL45075
AT24316,AT24316
EA23743,CC95200
BB44966,EH695612
BE71891,DL14394
CG102338,CG102338
AN101640,DB137426
BM58573,BM58573
DZ58422,BY541913
DL23582,DL3076
EH617805,EH283148
DN109650,BH65179
CW345849,CW357056
BN90967,DE169063
AW183536,AW183536
EH863013,EH863013
BG20523,BG20523
BY39357,DW45001
DY16554,CC21645
AS68732,EH192550
DN36257,DN36257
DZ47203,DZ47203
BN5662,BN5662
DE171522,CW259111
EH277018,BZ31550
CM15628,CM15628
EH754253,EH754253
CW125202,AM98354
BY283428,CW718547
DE181659,DE181659
BY560392,BY560392
DL37750,AA25793
AY29958,BY65454
BY243289,BY558005
CA48545,BE40268
EH235225,EH235225
ED12031,BL34787
DN74562,CW699179
CP33037,CP33037
EH112343,EH112343
BN261419,BN421459
BE20665,DZ38011
BN30642,BN70729
DL182966,EB59493
CW37878,CW16170
DT70749,DT70749
EH872850,EH872850
EH72459,EH72459
DZ37887,BZ3685
EM100654,BY537128
BL51372,BL51372
CG6740,CG6740
CG63464,EH238844
CE9816,AN61158
EH487161,EH487161
AA123412,BP12412
BY433197,EH436540
DX49932,EH1060562
CX12021,CX12021
EH508500,EH266072
DD40508,CC29546
DN4116,CW17887
EH45798,AM90074
BL251566,EF157468
DJ4365,DJ4365
BR107126,BW21882
BL385580,BN282033
DB84985,DB166078
AW128858,EH1062461
DT134602,DT134602
BY320599,BL277310
DD14446,DD14446
EH141882,EH141882
EF9299,EF9299
CW87579,CW1346414
BN104008,DA6575
CS20699,EB46217
DD20108,AN60411
DT80514,DT80514
DE212480,DE212480
CW622547,CW375845
AW121721,AW91519
DW22221,BE40268
EH521175,BN432302
EH51658,EH384299
BR36073,BR36073
DC6367,DC6367
EH456740,DZ28077
DL189379,DL189379
BN167721,AN99051
BE169999,BE169999
EH451024,AL244546
AP46487,DR79603
DE217101,DE189871
DD32860,DD32860
CW16024,CW88389
BR166916,BR166916
CW684795,DD187178
BN15341,BN322536
BR57791,BR57791
DH44982,DH44982
AC13977,AC13977
EH658365,EN55633
BL278653,AG38730
CW658637,EH327445
BE300110,CW590193
DT37702,DB8755
BY532056,BY139783
EH95490,EH225089
AP63803,BM39077
CW457556,CW457556
EH52747,BR43001
CG85126,CG91140
EH608667,DS92507
AF17591,AA80927
DH44127,CW253920
EF54215,BL100099
BN19528,BN19544
EH402815,EA38640
AW36002,AW36002
EH35721,EH71088
EF68929,CW170217
BN60798,BN60102
CW126062,CW46279
AN159351,EH759801
BN406028,BN406028
CW830121,CW830121
DR68524,DH36071
BE155553,BE32984
CW34939,CW1345046
EH714547,AP5300
EF148295,DX50762
BL345541,BL345541
CW850159,DL86005
CG112884,CG112884
EH188664,EH188664
BN120897,BN124864
CG18411,CG195620
DL18766,BY484252
CC51772,BB49478
BL337810,BL160937
BN334110,BN334110
BR45934,BR45934
EH740008,DZ33075
DB194687,DB194687
CZ48669,CL23930
DR88468,DR88468
CB45732,BC50262
CW326789,CW449067
CC37456,CW685847
BG18988,BG18988
EH566601,EH934766
EM91108,EM91108
EM36513,EM36513
BN27520,BN68631
EN61592,EN61592
CW852300,CW852300
BL309129,BL309129
AM19800,AM19800
BD78788,DL160377
EG45592,DE255889
CW847537,CW847537
CF4591,EF51754
CX18607,CX18607
BE305918,BE305918
BL89757,BL91559
BC51873,BC51873
CM48747,CM48747
BN7066,BN8551
ED45159,ED45159
CW115478,CW802280
BY130864,BY162808
BK6759,BL32554
EH851699,EH851699
BL211187,BL357610
DB233480,DB233480
CM24302,DE227424
BY268691,BY268691
BL78773,DY39170
DB192183,DB192183
BE300110,BL314163
CG97159,CG97159
EH736105,AL253755
DL17733,DL9543
CT17108,DA75280
CG90748,AF15585
EH71674,EH71674
EH263622,EH263622
CC95200,BN438103
CW250534,CW431364
AJ18428,EM89664
BN11668,BN31073
BL293908,BL293908
AS63703,DL122533
AL205851,AL205851
BL174323,BL98865
BD63014,EH352380
AN58414,AN58414
EN38325,EN38325
EH686958,BN438103
DE115424,CW632532
EH241833,EH310644
AN141865,AN141865
CP14553,CP14553
DW38568,DW38568
BN164155,AY38104
AW85425,AW85425
AP70439,AP70439
EF103239,CW854731
AW121721,BR60883
CC92336,BH8511
DE60658,DE176797
BE259469,BE85471
AN94296,DN84574
EH290216,EH983899
EF101776,EF101776
CB14275,DE138845
EH406151,EH424140
EM92393,EH1307303
BL129501,CZ64246
CW623949,CW485667
CM49534,CG136728
EF44403,EL29259
AA81099,BY421225
DB190426,AW127759
BN257375,BN257375
DS90476,AY28673
EH149822,EH149822
BE5610,BE5610
EH406151,EH733600
CT17509,BN145492
AP80085,AP80085
EH39233,EH39233
BL291058,BL291058
DT61465,DT61465
BL189526,CJ47482
CP8428,AW83533
BJ33458,BJ33458
AE19873,AE19873
CZ56809,AL177126
CW554526,CW554526
DL216113,DL216113
AX15167,AK104601
BW40521,CC127526
DE25314,EH207434
ER18457,DZ30110
AL246500,AL246500
DE181406,DE181406
BH24266,BN49418
DA62387,DB201327
BE183349,BE183349
DE221451,DE149128
AT16011,AL161314
BL285413,AA111860
CW670848,CW134299
CW445848,CW393229
AA17187,AA175810
