globalID_A,globalID_B
DD86797,DD86797
EM8972,EH12322
AN129463,CW1075508
BK20084,EH895461
EH258277,CW172884
DB201074,AK82654
EH767214,CJ132220
BW4503,EM37441
EF93185,CW627235
CW260613,CW262823
DL99603,DL99603
CS2885,DE216650
BY79897,AL11067
BN177809,CW415226
AD7718,CM13803
BN108129,BN152303
BN322341,DD103899
BP10434,BL15019
EH729630,DX49402
CW279038,CW246869
CN69809,CN69809
EL41838,EL61969
CG132906,CG132906
BN27520,BN45149
BN282066,AL191539
DD77714,BH91721
BE39265,BE433883
BN407297,BN407297
EH338388,EL37443
BM35990,DA6075
BN54486,BN31827
DB209092,DG50023
BY430938,EP56340
CW11351,DD138695
AS47988,EH1255121
BR52768,BR41537
CS16659,EH293203
EH380532,EH380532
BD101020,BD26483
AL82564,BR53523
AS51766,EH894871
BE181632,CG81158
EH97855,EH97855
EH412551,EH404736
BL92893,BL92893
EG24586,EG24586
CW290257,CW290732
EH424525,BR15602
EH843274,BN171514
AA54334,DB316258
DE210089,DB91865
EH441963,DB137426
BY115006,AD9906
EF141542,AZ14702
BY515286,BY515286
BF8117,AP79634
BH146301,BN322055
DE115038,AN47393
CH15631,DD9268
AL219639,AL203094
AA10948,EH406720
AA58582,DS31126
BG38472,BY239000
CB5668,CB5668
BN70274,BN70017
AY16462,CX9841
BN28208,BN4867
BN384065,CR5210
BE156186,BE116892
EM5877,DZ7360
DL92983,EH743061
AL33898,CW318910
EH846010,CC28347
CZ83222,DE157483
CW277959,CW211647
BY348535,CA105474
DT55952,DT55952
CW387787,CW330807
CC55218,DL148923
AW109037,DM35255
EH441050,EM10131
DN127831,DE284012
DT14744,AL45075
AT24316,AT24316
AW77090,AP14607
AY20703,EH688298
CG102338,CG102338
ES17035,CE36449
BM58573,BM58573
AA2219,DB284432
DZ58422,BY541913
BN150391,BR131861
EH617805,EH283148
DN109650,BH65179
CW345849,CW357056
DE45931,BE21732
BN90967,DE169063
EH863013,EH863013
BG20523,BG20523
BY39357,DW45001
EH452926,DT96474
DN36257,DN36257
DZ47203,DZ47203
DE134816,BW68348
DE171522,CW259111
EH277018,BZ31550
CM15628,CM15628
EH754253,EH754253
EH368328,BP39502
DB41663,BD27891
DL37750,AA25793
AY29958,BY65454
BD47814,EH267146
BY243289,BY558005
EH235225,EH235225
AX31664,DE15327
BW16012,BE38771
EB47668,CZ38335
DZ38155,CJ20418
EG26747,DB180859
CG3996,EB37762
DN27026,EF194276
BE20665,DZ38011
BG27319,BL110067
CB53420,BN298163
AA91846,CW1330815
CP25650,DD77714
EH282835,EB32853
CW37878,CW16170
DA49119,AA41500
BN313027,BN151728
BN273613,DT75865
CK11929,EH833495
EH860901,EL34433
AN161028,BY562639
BY433197,EH436540
