globalID_A,globalID_B
DD86797,DD86797
CC25806,CC25806
EM8972,EH12322
BJ31211,BJ31211
BL123955,BD10235
DN126780,CG124887
BK20084,EH895461
EH424512,EH152866
EH258277,CW172884
BW4503,EM37441
CN26565,DB296970
EH788088,EB78820
CN5293,AA111505
CW260613,CW262823
DL99603,DL99603
EP69010,EP69010
BH111834,AH12452
AP24857,EF104971
AD7718,CM13803
AN60483,AN44281
BN108129,BN152303
BN322341,DD103899
BP10434,BL15019
EH729630,DX49402
CW279038,CW246869
CN69809,CN69809
CW303741,CA90969
EL41838,EL61969
CN70617,CC75010
CG132906,CG132906
ES15089,ES15089
BN27520,BN45149
AL66096,DD109207
DD77714,BH91721
BE39265,BE433883
BN407297,BN407297
EH338388,EL37443
BN54486,BN31827
AJ29299,EH404939
EH518665,DG28565
BY505647,BY505647
DH36777,CC19668
CS16659,EH293203
BR7628,BR7626
EH380532,EH380532
CE37402,BY320599
EP65461,AW154607
AH3597,AA155475
EH97855,EH97855
EH412551,EH404736
BL92893,BL92893
DL213448,DL213448
EH643576,DB288857
EG24586,EG24586
CW290257,CW290732
EH668242,DX51781
EH424525,BR15602
EH393953,EH1101589
AA54334,DB316258
BY394581,EP29500
EF141542,AZ14702
DE66248,AN35251
BY515286,BY515286
BH146301,BN322055
DE115038,AN47393
CH15631,DD9268
CW163962,BL206966
CM55903,CM55903
CW271509,CW91267
AL219639,AL203094
CG43923,CG43923
EH170073,EH262897
EH264006,EH263426
AM84359,AP81513
BN278724,BN272621
CL20650,CL20650
BY335300,BY346477
BW13771,EF17372
CW263666,CW518625
CB5668,CB5668
BN70274,BN70017
DR41900,DR52070
AY16462,CX9841
AA49790,CL23111
BN384065,CR5210
EP35555,AG17755
AS21652,EH150188
EH846010,CC28347
CZ83222,DE157483
BL166619,EH364830
CW277959,CW211647
AM71277,BB81091
DT55952,DT55952
CL40838,CL40838
DD83466,DD83466
CW387787,CW330807
CW877078,EH2112
EH441050,EM10131
BN27507,BN67526
AP47782,AL105078
DT14744,AL45075
BB44966,EH695612
BE71891,DL14394
CG102338,CG102338
BM58573,BM58573
EP72286,DZ30130
AA2219,DB284432
DZ58422,BY541913
EH617805,EH283148
DN109650,BH65179
CW345849,CW357056
DE45931,BE21732
AP34497,CM21377
BN90967,DE169063
AW183536,AW183536
EH863013,EH863013
EF106268,AL223727
BL52661,EH997103
DE136790,BP20143
BG20523,BG20523
BY39357,DW45001
DY16554,CC21645
EP75867,DD116108
AS68732,EH192550
DN36257,DN36257
DZ47203,DZ47203
BN5662,BN5662
DE171522,CW259111
CM15628,CM15628
EH754253,EH754253
BY103377,AP49117
BY283428,CW718547
DE181659,DE181659
BY560392,BY560392
EH368328,BP39502
DL37750,AA25793
AY29958,BY65454
BY243289,BY558005
CA48545,BE40268
EH235225,EH235225
ED12031,BL34787
DA64517,BH66508
BY96276,CZ11502
CP33037,CP33037
EH112343,EH112343
EG26747,DB180859
BN261419,BN421459
BE20665,DZ38011
BG27319,BL110067
BN30642,BN70729
AA91846,CW1330815
DL182966,EB59493
CW37878,CW16170
CC120095,EF158829
DT70749,DT70749
EH872850,EH872850
EH72459,EH72459
BN273613,DT75865
DZ37887,BZ3685
EM100654,BY537128
BL51372,BL51372
DB158931,EN37070
CG6740,CG6740
CG63464,EH238844
BZ11463,CM5983
EH487161,EH487161
AN161028,BY562639
AA123412,BP12412
BY433197,EH436540
CX12021,CX12021
EH508500,EH266072
DG5432,EG4756
DD40508,CC29546
EH45798,AM90074
BL251566,EF157468
AE29442,DE236852
DR20685,DT116757
BL200632,AP41039
EB34304,CW214722
CT36563,BH14618
DJ4365,DJ4365
BR107126,BW21882
BL385580,BN282033
DB84985,DB166078
AW128858,EH1062461
DT134602,DT134602
DT119775,DL113325
BY320599,BL277310
DD14446,DD14446
EH141882,EH141882
EF9299,EF9299
EH658464,CE13289
CW87579,CW1346414
BN104008,DA6575
CS20699,EB46217
DD20108,AN60411
DT80514,DT80514
DE212480,DE212480
CW622547,CW375845
AW121721,AW91519
EH116141,EH74299
DW22221,BE40268
EH521175,BN432302
EH51658,EH384299
BR36073,BR36073
DC6367,DC6367
EH456740,DZ28077
CG128813,EH669343
DL189379,DL189379
BN167721,AN99051
BE169999,BE169999
EH451024,AL244546
DE217101,DE189871
DD32860,DD32860
CW16024,CW88389
BR166916,BR166916
CW684795,DD187178
DB22590,BG9213
CG118861,DD185952
BN15341,BN322536
BR57791,BR57791
EB45153,AS36922
DH44982,DH44982
AC13977,AC13977
DT10250,CM13173
EH658365,EN55633
CW658637,EH327445
BE300110,CW590193
AL101044,CP16316
EH63784,BN542102
BY532056,BY139783
EH95490,EH225089
EF145780,CW785763
DE143413,DB323058
CW457556,CW457556
EH52747,BR43001
CG85126,CG91140
EH608667,DS92507
CW443542,AT12197
AF17591,AA80927
DH44127,CW253920
EF54215,BL100099
BN19528,BN19544
EH402815,EA38640
AW36002,AW36002
EH35721,EH71088
CW401786,BL235885
BN60798,BN60102
DL81415,AN17857
BN223411,BL179292
CW126062,CW46279
BN406028,BN406028
CW830121,CW830121
DR68524,DH36071
EH714547,AP5300
EF148295,DX50762
BL345541,BL345541
CG112884,CG112884
EH188664,EH188664
BN120897,BN124864
CG18411,CG195620
DL18766,BY484252
CC51772,BB49478
BN334110,BN334110
BR45934,BR45934
EH740008,DZ33075
DB194687,DB194687
CZ48669,CL23930
AA108793,DD141811
DR88468,DR88468
CB45732,BC50262
AW149232,BY404156
CW326789,CW449067
CC37456,CW685847
BN370912,EH687079
EF60065,EH895171
BG18988,BG18988
EH566601,EH934766
EM91108,EM91108
ES16967,BB117664
AE26817,AL212178
EM36513,EM36513
BN27520,BN68631
EN61592,EN61592
CW852300,CW852300
BL309129,BL309129
AM19800,AM19800
CW847537,CW847537
BN364055,DW30378
EM86383,BR164253
AN35560,CN25765
AA120923,AG38623
CX18607,CX18607
BE305918,BE305918
EG12168,EG4350
BC51873,BC51873
DL12257,DN9488
CM48747,CM48747
CP8034,CC50230
BN7066,BN8551
ED45159,ED45159
CW115478,CW802280
BY130864,BY162808
BY333016,CL28625
BK6759,BL32554
EH525991,AH18733
EH851699,EH851699
BL211187,BL357610
DB233480,DB233480
DZ52593,DB126192
BL221467,CW374865
BY268691,BY268691
BL78773,DY39170
EH232352,BR116266
DB192183,DB192183
BE300110,BL314163
EB34150,AP33827
ER15224,BE198028
CG97159,CG97159
EH736105,AL253755
BL310172,BY753095
CT17108,DA75280
EH71674,EH71674
EH263622,EH263622
CC95200,BN438103
EH398795,AN57808
CG113090,CG101235
AJ18428,EM89664
EH145787,AL69107
BL28615,DB4885
BN11668,BN31073
BL293908,BL293908
AS63703,DL122533
DR86109,BH167823
AL205851,AL205851
BY160085,AN51804
DS81212,DX31461
BL174323,BL98865
BD63014,EH352380
AN58414,AN58414
EN38325,EN38325
EH686958,BN438103
EH720083,EH184618
DE115424,CW632532
