globalID_A,globalID_B
DD86797,DD86797
CC25806,CC25806
EM8972,EH12322
BJ31211,BJ31211
BL123955,BD10235
BK20084,EH895461
EH424512,EH152866
EH258277,CW172884
AH18521,BN268419
CW893573,DN117766
CR8900,EH220534
EH613350,AW95516
EH767214,CJ132220
BW4503,EM37441
CN26565,DB296970
EH788088,EB78820
AG38068,AP74429
CW260613,CW262823
DL99603,DL99603
EP69010,EP69010
BY122211,BY747443
BH111834,AH12452
DB201074,BR138481
AS50653,CW144381
AD7718,CM13803
BN108129,BN152303
BN322341,DD103899
BP10434,BL15019
BY395533,CW642295
CW279038,CW246869
CW303741,CA90969
EL41838,EL61969
CN70617,CC75010
CT31295,DE69229
CG132906,CG132906
ES15089,ES15089
BN27520,BN45149
DZ42635,DE4980
AN88052,AN56949
BE39265,BE433883
BN407297,BN407297
EH338388,EL37443
BM35990,DA6075
BN54486,BN31827
AY20320,AL29186
AJ29299,EH404939
AL86167,EF101917
BL188910,DE100221
DB209092,DG50023
EH518665,DG28565
DB195488,EP75728
BY505647,BY505647
DH36777,CC19668
CS16659,EH293203
BR7628,BR7626
EH380532,EH380532
CG48216,EH524068
AH3597,AA155475
AS51766,EH894871
EH97855,EH97855
EH578096,EH923436
EH412551,EH404736
BL92893,BL92893
DL213448,DL213448
EH643576,DB288857
EG24586,EG24586
CW290257,CW290732
EH668242,DX51781
EH424525,BR15602
EH393953,EH1101589
AA54334,DB316258
EH441963,DB137426
BY394581,EP29500
CB72146,EF29772
BY515286,BY515286
BH146301,BN322055
DE115038,AN47393
CW163962,BL206966
CM55903,CM55903
CW271509,CW91267
EH77846,BH58839
AL219639,AL203094
CG43923,CG43923
EH170073,EH262897
EH264006,EH263426
AM84359,AP81513
CL20650,CL20650
BY335300,BY346477
BW13771,EF17372
CW263666,CW518625
CB5668,CB5668
BN70274,BN70017
BA3607,CP8349
DR41900,DR52070
AY16462,CX9841
BN28208,BN4867
AA49790,CL23111
BN384065,CR5210
EP35555,AG17755
AL33898,CW318910
EH846010,CC28347
CZ83222,DE157483
BL166619,EH364830
CW277959,CW211647
AM71277,BB81091
BY348535,CA105474
BH74244,DN51035
DT55952,DT55952
CL40838,CL40838
DD83466,DD83466
CW387787,CW330807
EH441050,EM10131
BN27507,BN67526
AP47782,AL105078
AS64549,BN438103
DT14744,AL45075
EA27898,EH463094
AT24316,AT24316
EA23743,CC95200
BY407011,DR70933
DE115038,AM65154
BB44966,EH695612
BE71891,DL14394
CG102338,CG102338
ES17035,CE36449
BM58573,BM58573
EP72286,DZ30130
DZ58422,BY541913
DL23582,DL3076
EH617805,EH283148
DN109650,BH65179
CW345849,CW357056
AW183536,AW183536
EH863013,EH863013
EF106268,AL223727
CW406262,CW1124900
BG20523,BG20523
BY39357,DW45001
CW110198,AA70698
EP75867,DD116108
AS68732,EH192550
DN36257,DN36257
DZ47203,DZ47203
BN5662,BN5662
DE171522,CW259111
EH277018,BZ31550
CM15628,CM15628
EH754253,EH754253
BY103377,AP49117
CW125202,AM98354
DE181659,DE181659
EH566103,AA94003
BY560392,BY560392
EH368328,BP39502
DL37750,AA25793
AY29958,BY65454
BY243289,BY558005
CA48545,BE40268
EH235225,EH235225
DN74562,CW699179
DA64517,BH66508
AS10563,DB47340
AX31664,DE15327
CP33037,CP33037
EH112343,EH112343
DZ38155,CJ20418
EG26747,DB180859
EF60964,AN142108
BN212811,BH87176
BN261419,BN421459
BE20665,DZ38011
BG27319,BL110067
BN30642,BN70729
DC9124,AW101976
AA91846,CW1330815
DL182966,EB59493
CW37878,CW16170
CC120095,EF158829
ES23864,AN137851
DT70749,DT70749
EH872850,EH872850
EH72459,EH72459
CK11929,EH833495
DZ37887,BZ3685
EM100654,BY537128
BL51372,BL51372
DB158931,EN37070
CG6740,CG6740
CG63464,EH238844
EH860901,EL34433
BN57980,AH9448
EH487161,EH487161
AN161028,BY562639
AA123412,BP12412
BY433197,EH436540
DX49932,EH1060562
AW181260,BD132006
CX12021,CX12021
EF111327,CT41371
AN158802,CE62836
EH508500,EH266072
DG5432,EG4756
DD40508,CC29546
CP11399,BN371217
CW891442,BJ29166
EH45798,AM90074
AW128033,DZ6577
AE29442,DE236852
CJ139618,CL37014
DR20685,DT116757
BN351308,AN28011
EB34304,CW214722
CT36563,BH14618
DJ4365,DJ4365
BR107126,BW21882
BL385580,BN282033
DZ28077,EC4052
DB84985,DB166078
AW128858,EH1062461
DT134602,DT134602
BD117392,AS85064
DE58224,DZ7360
ER2162,BH38820
BY320599,BL277310
DD14446,DD14446
EH141882,EH141882
EF9299,EF9299
CW87579,CW1346414
BN104008,DA6575
CS20699,EB46217
DD20108,AN60411
AA152591,DE32136
DT80514,DT80514
EF135752,AH4976
DE212480,DE212480
CW622547,CW375845
AW121721,AW91519
EH116141,EH74299
DW22221,BE40268
EH521175,BN432302
CZ7572,BY119140
BN85449,AA32774
EH51658,EH384299
BR36073,BR36073
DC6367,DC6367
EH456740,DZ28077
EF47055,EF88313
DL189379,DL189379
BN167721,AN99051
BE169999,BE169999
EH451024,AL244546
DE217101,DE189871
DD32860,DD32860
CW16024,CW88389
BR166916,BR166916
DB22590,BG9213
EH784757,EH434166
DA15274,CW125226
BN74639,EH657666
CG118861,DD185952
BN15341,BN322536
BR57791,BR57791
AP34763,BY440627
DE180193,BD80083
DH44982,DH44982
AC13977,AC13977
EH658365,EN55633
BL278653,AG38730
CW658637,EH327445
BE300110,CW590193
AL101044,CP16316
DT37702,DB8755
BY532056,BY139783
EH95490,EH225089
AP63803,BM39077
BC58554,BY671052
EF145780,CW785763
DE143413,DB323058
CW457556,CW457556
EH52747,BR43001
EH23938,AX83335
CG85126,CG91140
EH608667,DS92507
EH704768,BP16411
AF17591,AA80927
DH44127,CW253920
AA148039,CG33532
DL81666,DW48093
CX19614,EH629241
BN19528,BN19544
CW424562,BN172364
AW36002,AW36002
EH35721,EH71088
EF68929,CW170217
BN60798,BN60102
CW126062,CW46279
AN159351,EH759801
DE189965,CC65125
DS24838,BH61809
BN406028,BN406028
CW830121,CW830121
DR68524,DH36071
BE155553,BE32984
CZ66804,CZ66804
CW34939,CW1345046
EH714547,AP5300
EF148295,DX50762
BL345541,BL345541
CW850159,DL86005
CH27717,CW553167
CG112884,CG112884
EH188664,EH188664
BN120897,BN124864
CG18411,CG195620
DL18766,BY484252
CC51772,BB49478
AW114499,CE54516
BL337810,BL160937
BN334110,BN334110
BR45934,BR45934
EH740008,DZ33075
DB194687,DB194687
CZ48669,CL23930
AA108793,DD141811
DR88468,DR88468
CB45732,BC50262
AW149232,BY404156
CW326789,CW449067
CC37456,CW685847
AM64268,DE196338
EF60065,EH895171
BG18988,BG18988
CW732033,AG38068
DD18969,EH373536
EH566601,EH934766
EM91108,EM91108
CG64361,DE3499
ES16967,BB117664
EM36513,EM36513
BN27520,BN68631
BL229261,EP48257
EN61592,EN61592
BN261058,EA23565
