globalID_A,globalID_B
DD86797,DD86797
CC25806,CC25806
EM8972,EH12322
BJ31211,BJ31211
BL123955,BD10235
DN126780,CG124887
BK20084,EH895461
EH424512,EH152866
EH258277,CW172884
AM26773,AA48493
EH613350,AW95516
EH767214,CJ132220
BW4503,EM37441
CN26565,DB296970
EH788088,EB78820
AG38068,AP74429
CW260613,CW262823
DL99603,DL99603
EP69010,EP69010
BY122211,BY747443
BD45434,BN403155
BH111834,AH12452
AP24857,EF104971
BN177809,CW415226
BR65340,BE185325
AD7718,CM13803
AN60483,AN44281
BN108129,BN152303
BN322341,DD103899
BP10434,BL15019
EH729630,DX49402
BY395533,CW642295
CW279038,CW246869
CN69809,CN69809
CW254096,ED17265
CW303741,CA90969
EL41838,EL61969
CN70617,CC75010
CG132906,CG132906
ES15089,ES15089
BN27520,BN45149
AL66096,DD109207
DD77714,BH91721
AN88052,AN56949
BE39265,BE433883
BN407297,BN407297
EH338388,EL37443
BN54486,BN31827
AJ29299,EH404939
BL188910,DE100221
EH518665,DG28565
BY505647,BY505647
DH36777,CC19668
BR52768,BR41537
CS16659,EH293203
BR7628,BR7626
AA79260,CW723591
EH380532,EH380532
BL135109,AN35131
CE37402,BY320599
EP65461,AW154607
AH3597,AA155475
AS51766,EH894871
EH97855,EH97855
EH412551,EH404736
BL92893,BL92893
DL213448,DL213448
EH643576,DB288857
EG24586,EG24586
CW290257,CW290732
EH668242,DX51781
EH424525,BR15602
EH393953,EH1101589
EH843274,BN171514
AA54334,DB316258
EH441963,DB137426
BY394581,EP29500
EF141542,AZ14702
DZ54110,BH82865
CB72146,EF29772
DE66248,AN35251
BY515286,BY515286
BH146301,BN322055
DE115038,AN47393
CH15631,DD9268
CW163962,BL206966
CM55903,CM55903
CW271509,CW91267
AL219639,AL203094
CG43923,CG43923
EH170073,EH262897
EH264006,EH263426
AM84359,AP81513
BN278724,BN272621
CL20650,CL20650
BY335300,BY346477
BW13771,EF17372
CW263666,CW518625
CB5668,CB5668
BN70274,BN70017
DR41900,DR52070
AY16462,CX9841
BN28208,BN4867
AA49790,CL23111
BN384065,CR5210
EP35555,AG17755
AS21652,EH150188
EH846010,CC28347
CZ83222,DE157483
BL166619,EH364830
CW277959,CW211647
AM71277,BB81091
DT55952,DT55952
CL40838,CL40838
DD83466,DD83466
CW387787,CW330807
BN260995,BY234002
CW877078,EH2112
EH441050,EM10131
BN27507,BN67526
AP47782,AL105078
DT14744,AL45075
BL27599,AA19808
DN37559,BL291754
BB44966,EH695612
BE71891,DL14394
DR82815,DL60541
AY20703,EH688298
CG102338,CG102338
BM58573,BM58573
EP72286,DZ30130
AA2219,DB284432
DZ58422,BY541913
DL23582,DL3076
EH617805,EH283148
DZ29781,BH60493
DN109650,BH65179
CW345849,CW357056
DE45931,BE21732
AP34497,CM21377
BN90967,DE169063
AW183536,AW183536
EH863013,EH863013
EF106268,AL223727
BL52661,EH997103
DE136790,BP20143
EH343822,BK52432
BG20523,BG20523
BY39357,DW45001
DY16554,CC21645
EP75867,DD116108
AS68732,EH192550
DN36257,DN36257
CJ86883,AA150723
DZ47203,DZ47203
BN5662,BN5662
DE171522,CW259111
CM15628,CM15628
EH754253,EH754253
BY103377,AP49117
CW125202,AM98354
BY283428,CW718547
DE181659,DE181659
BY560392,BY560392
EH368328,BP39502
DL37750,AA25793
AY29958,BY65454
BY243289,BY558005
CA48545,BE40268
EH235225,EH235225
ED12031,BL34787
DA64517,BH66508
BY96276,CZ11502
AX31664,DE15327
CP33037,CP33037
EH112343,EH112343
EG26747,DB180859
EF60964,AN142108
AW40782,AN68802
BE20665,DZ38011
BG27319,BL110067
EH166211,BY585949
BN30642,BN70729
AA91846,CW1330815
DL182966,EB59493
CW37878,CW16170
CC120095,EF158829
DT70749,DT70749
EH872850,EH872850
EH72459,EH72459
DZ37887,BZ3685
EM100654,BY537128
CL36372,EH347239
BL51372,BL51372
DB158931,EN37070
CG6740,CG6740
CG63464,EH238844
EH487161,EH487161
AN161028,BY562639
AA123412,BP12412
BY433197,EH436540
AW181260,BD132006
CX12021,CX12021
EH508500,EH266072
DG5432,EG4756
EF21273,EF142025
BE219561,AA138864
DD40508,CC29546
CW891442,BJ29166
BY189663,BL88640
EH45798,AM90074
DL129884,AN70538
BL251566,EF157468
AE29442,DE236852
DR20685,DT116757
DB226865,DA85504
BL200632,AP41039
EB34304,CW214722
CT36563,BH14618
DJ4365,DJ4365
BR107126,BW21882
EA34452,BY165961
BL385580,BN282033
DB84985,DB166078
AW128858,EH1062461
DT134602,DT134602
DT119775,DL113325
DD14446,DD14446
EH312261,EH486243
EH141882,EH141882
EF9299,EF9299
EH658464,CE13289
CW87579,CW1346414
BN104008,DA6575
CS20699,EB46217
DD20108,AN60411
DT80514,DT80514
DE212480,DE212480
CW622547,CW375845
AW121721,AW91519
EH116141,EH74299
DW22221,BE40268
EH521175,BN432302
EH51658,EH384299
CW884279,CW884279
CA26948,AG38623
BR36073,BR36073
DC6367,DC6367
AY16463,AY28736
EH456740,DZ28077
CG128813,EH669343
CW198844,CW459797
EF47055,EF88313
DL189379,DL189379
BN167721,AN99051
BE169999,BE169999
EH451024,AL244546
DE217101,DE189871
DD32860,DD32860
CW16024,CW88389
BR166916,BR166916
CW684795,DD187178
DB22590,BG9213
CG118861,DD185952
BN15341,BN322536
DD77714,CP25650
EB45153,AS36922
DH44982,DH44982
AC13977,AC13977
DT10250,CM13173
EH658365,EN55633
BL278653,AG38730
CW658637,EH327445
BE300110,CW590193
AL101044,CP16316
EH63784,BN542102
BY532056,BY139783
EH95490,EH225089
AP63803,BM39077
EF145780,CW785763
DE143413,DB323058
CW457556,CW457556
EH302547,DE46349
DP17056,BN69559
EH52747,BR43001
CG85126,CG91140
EH608667,DS92507
BN190178,BL156586
BH65534,EN62814
AF17591,AA80927
DH44127,CW253920
EF54215,BL100099
BN19528,BN19544
DN7721,BL124683
EH402815,EA38640
AW36002,AW36002
EH35721,EH71088
CW401786,BL235885
BN60798,BN60102
DL81415,AN17857
BN223411,BL179292
CW126062,CW46279
AN159351,EH759801
BN406028,BN406028
CW830121,CW830121
BR94676,AN81035
DR68524,DH36071
BE155553,BE32984
CZ66804,CZ66804
CW34939,CW1345046
EH714547,AP5300
EF148295,DX50762
BL345541,BL345541
EH728761,DA96629
CG112884,CG112884
EH188664,EH188664
BN120897,BN124864
DE260222,AA131996
CG18411,CG195620
DL18766,BY484252
CC51772,BB49478
AW114499,CE54516
BN238044,BL213955
BN334110,BN334110
BR45934,BR45934
EH740008,DZ33075
DB194687,DB194687
CZ48669,CL23930
DN78998,EH424140
AA108793,DD141811
DR88468,DR88468
CB45732,BC50262
AW149232,BY404156
CW326789,CW449067
CC37456,CW685847
CW330807,EF177433
EF60065,EH895171
BG18988,BG18988
CW732033,AG38068
EH566601,EH934766
EM91108,EM91108
ES16967,BB117664
AE26817,AL212178
