globalID_A,globalID_B
EH151184,EH151184
CW473734,CW52778
EH56486,EH56486
BL201822,CW320039
CW511026,CW511026
AM57296,AM57296
EK7168,EK7168
EH787576,EH787576
AS77904,AS77904
BD116047,BD94843
DN50936,DY22362
DB169186,DB169186
DS94541,DS94541
AZ16116,AZ16116
BE29628,BE29628
CT31825,CT31825
AS77989,AS77989
BN266580,DH41329
EF50524,EF50524
CW805055,CW922573
BY338985,BY414520
CW155332,CW155332
DR73681,DR73681
EP69010,EP69010
AY17504,AY17504
EF117840,EF117840
AP21240,AK78047
BB89968,EL72729
BN29489,BN34242
DN126939,DN126939
BY304949,AY44120
DT2452,DT2452
BN289908,BY474240
BR168122,BR168122
BY521180,BY521180
BY414520,BY414520
AK74639,AK74639
DB194971,DB194971
DK28956,BL533995
EL41838,EL61969
BN223950,BN185086
DH4448,DH4448
ES15089,ES15089
AG51525,AG51525
EH434636,EH434636
EH365498,EH365498
CG82837,CG82837
CM39591,CM39591
BE39265,BE433883
AP58651,AP58651
AL11180,BN104008
DP41364,DP41364
AN124301,AN124301
BW51353,BW51353
DL134326,DL134326
DZ38155,DY17204
CG6273,CG61527
AL224155,AL224155
AA4937,DN11117
AA74808,AA74808
ES3009,ES3009
BL92893,BL92893
CC24102,CC112145
CW296476,CW265926
AF23823,AF23823
BY551305,BY551305
CC58977,CC87300
BH17555,BH17555
CW354492,CW354492
BL177805,BL190717
BL354495,BL293416
BN121196,BN121196
BN12147,BN12147
AN121781,AN121781
DL205027,DL205027
CW768042,CW1123576
EH729202,EH729202
CW781517,CW781517
BE32632,BE222168
DH51748,DH51748
CW887403,CW887403
CW163962,BL206966
CM55903,CM55903
BY327127,BY327127
CL31571,CL31571
BY404739,DN89213
DZ33075,BL167111
EP77790,EP77790
BN283834,DY16519
CG43923,CG43923
BL300067,BL300067
EM14299,AH12452
CW581195,CW581195
CL20650,CL20650
AJ33568,AJ33568
DR22879,DR22879
AA17772,BB42699
CR18910,CR18910
BY335300,BY346477
EL40288,EL40288
CB5668,CB5668
EH656202,EH656202
DR41900,DR52070
CZ14969,CZ14969
BH24423,BH24423
BH136490,BN229222
BN203848,AW92889
BF25021,BF25021
BY98565,BY98565
EF143277,EF143277
EH359982,EH218246
BG5318,BG5318
DR76533,DR76533
BL368125,BL368125
BB44966,EH695612
EH787658,EH787658
BL338442,BL338442
CG85067,CG85067
EJ25707,EJ25707
CW221746,CW1108119
BK33455,BK33455
DW12856,DW12856
CG133452,CN74087
AL198072,AL198072
AX14358,AX14358
EH773731,EH773731
CC81948,CC81948
DZ26064,DZ26064
BL357344,BL357344
DB204847,DB204847
CB56576,CB56576
AL159083,AL159083
EF52768,EF52768
BJ24126,CC63127
BY282932,BY191002
BH74814,BC26095
EH840726,EH840726
EH863013,EH863013
AZ14389,BY399672
BG20523,BG20523
DR81870,DR81870
DC7410,DC7410
DZ47203,DZ47203
BN415113,AT15543
BY72050,BY72050
ER4034,ER4034
BN27507,BN63958
EH277018,BZ31550
BN336661,BN336661
BP22538,BP22538
CW788042,CW788042
AK11746,AK11746
CW877763,CW877763
DT95476,DT95476
DT33606,DT33606
EH186583,EH186583
BH77517,BH106281
ED20019,AN60411
CM60653,DB156306
EM86079,EM86079
CD23525,CD23525
AY29958,BY65454
CJ7843,CJ7843
CW535441,CW366424
DX44900,CP21409
CW902737,CW902737
CW289346,CW289346
CC48326,CC48326
BG41246,BG41246
DE106809,ER30679
DH49646,DH49646
BH86420,BH86420
EP78840,EP78840
BR149670,BR149670
EH112343,EH112343
BN88029,CC116864
CG55639,CG55639
DE119361,DE115905
DP46396,EF109801
BN381145,BN381145
EG25998,EG25998
CJ127640,CJ127640
CA46746,CA46746
DL99316,DL99316
BH147016,BH147016
BN36439,BN36439
CW56129,CW56129
CN76446,CN76446
CZ85510,CZ85510
CT46144,CT46144
AA108793,CC63127
BN342701,BN342701
EH745476,EH256074
DT70749,DT70749
BY122211,BY111914
EH72459,EH72459
AA76026,AA76026
DY32401,DY32401
EH267235,EH279698
