globalID_A,globalID_B
EH151184,EH151184
EH418231,EH418231
DD86797,DD86797
CW511026,CW511026
EP78771,EP78771
AB18435,AB18435
DJ8635,DJ8635
DB228447,DB228447
BE29628,BE29628
CT31825,CT31825
EF50524,EF50524
EL33580,EL33580
AW40064,AP59444
DL99603,DL99603
BY326471,EH338282
AY17504,AY17504
AP21240,AK78047
BY246442,BY246442
AD7718,CM13803
BY47271,BY47575
BY521180,BY521180
BL368478,BL368478
BN9394,BN9499
CW279038,CW246869
DB194971,DB194971
BN223950,BN185086
CG132906,CG132906
ES15089,ES15089
AG51525,AG51525
BN27520,BN45149
EH434636,EH434636
EH365498,EH365498
CW849942,CW318130
CW188641,CW188641
DB227894,DB227894
AP58651,AP58651
AL11180,BN104008
DX46551,CZ77003
BZ49649,BZ49649
CW640260,CW640260
AL224155,AL224155
AT4324,DT31559
BL92893,BL92893
EP82845,EP82845
AA166290,AA166290
AF23823,AF23823
CW354492,CW354492
BN121196,BN121196
AN121781,AN121781
DK34694,DK34694
CW330807,CW387787
CZ79263,CZ79263
EH729202,EH729202
DZ39465,DZ39465
DL209293,DL209293
EH776358,EH776358
CM55903,CM55903
CZ43980,CZ43980
CL31571,CL31571
BY560111,BY560111
DL59155,DL59155
BN37138,BN37138
DB184748,AM82571
CG43923,CG43923
BL300067,BL300067
BN72734,BN72734
EH170073,EH262897
BL311230,BL311230
BE144544,BE144544
AA104169,BN315935
AM84359,AP81513
AJ33568,AJ33568
AA17772,BB42699
EJ12559,AG20383
EL40288,EL40288
CB5668,CB5668
AN90639,AN90639
CZ14969,CZ14969
CW710403,CW710403
BH24423,BH24423
BN47702,BN47702
BN203848,AW92889
CB58012,CB58012
CL40838,CL40838
DD83466,DD83466
CW387787,CW330807
BY98565,BY98565
EH292492,EH292492
EF118685,EF118685
EH224786,EH148332
ED30155,ED30155
EF143277,EF143277
BY320876,BY320876
DR76533,DR76533
BD20346,BD20346
DL174194,EH589061
BL368125,BL368125
BB44966,EH695612
EH787658,EH787658
CG132474,CZ78310
AK90987,AK90987
CG102338,CG102338
DX48273,DX48273
BL267975,BL267975
EH230660,EH230660
BM58573,BM58573
CC107467,CC107467
AX14358,AX14358
CC81948,CC81948
CC51209,CC51209
EH395375,EH398572
AL140778,AL140778
DB204847,DB204847
DE86050,DE86050
AW102232,AW102232
EH786136,EH447216
EM3445,EM3445
CB56576,CB56576
AL159083,AL159083
EF52768,EF52768
AK8150,AK8150
EH840726,EH840726
EH863013,EH863013
DE249033,DE249033
BG20523,BG20523
CW114776,CW451161
CM57403,CM57403
CG43844,CG43844
EP75638,EP75638
DC7410,DC7410
DN36257,DN36257
AL70302,AL244116
EF112323,EF112323
BN5662,BN5662
BN27507,BN63958
EF66397,EF66397
AK48244,AK127274
EG2920,EG2920
EH754253,EH754253
CW690694,CW698307
CW373754,CW461431
CW273225,CW427176
AK11746,AK11746
DE181659,DE181659
DT33606,DT33606
BD109966,BD109966
BY560392,BY560392
CW329439,CW650361
BY410771,BW34398
CW535441,CW366424
DT54818,DT54818
CW902737,CW902737
CW289346,CW289346
CC48326,CC48326
CP30242,CP30242
EH463331,EH463331
CW46275,CW46275
AK11553,BL88385
DH49646,DH49646
BL336632,BL336632
DA52033,DA3134
EP78840,EP78840
EH112343,EH112343
DR111203,DR111203
BN88029,CC116864
CB8926,CB8926
DM28048,DM28048
BN410607,BN410607
CJ127640,CJ127640
CA46746,CA46746
BL365840,BL365840
BH147016,BH147016
CW133204,CW390456
AX2754,AX2754
BN36439,BN36439
CW56129,CW56129
CZ85510,CZ85510
CW732290,CW732290
CT46144,CT46144
AN61738,AN61738
BN342701,BN342701
DE192953,DE192953
AP54699,EH421210
DT70749,DT70749
EH72459,EH72459
DY32401,DY32401
EF153177,EF153177
BN282033,BN282033
BD16570,BD16570
DL164521,AN58164
CW884726,CW884726
BG3063,BG3063
BL51372,BL51372
EM10913,BN303475
CG6740,CG6740
EH340019,EH340019
CW657136,CW657136
BY145185,BY145185
EH487161,EH487161
BD64478,BD64478
EH419249,EH419249
CW150776,CW150776
DR100883,CJ35247
BN395280,BN395280
DL174862,DL174862
DR46023,DR46023
BL382773,BL382773
EH508500,EH266072
EH136282,EH136282
CW751764,CW751764
CW902135,CW902135
EH877335,EH877335
BR65461,BR236972
EM5909,EM5909
DJ4365,DJ4365
AS50723,AS50723
DN71932,DN71932
CW855555,CW855555
BL389867,BL389867
BL291754,BL207618
DZ31059,DZ31059
CA95930,CA95930
EH181299,EH181299
BH123172,BD116047
DB84985,DB166078
CK5351,CK5351
AA157690,AA157690
DT134602,DT134602
EH877270,EH877270
DS50845,DS50845
BN39218,BN31736
DD14446,DD14446
EF9299,EF9299
EH652271,EH652271
CN44604,CN44604
AK11198,AK11198
AW179535,AW179535
CD3736,CD3736
EM103738,EM103738
CG118392,CG118392
DE212480,DE212480
DE217595,DE217595
BN413234,BN413234
EN38711,EN38711
AK26715,AK26715
CG74876,CG74876
AW168513,BR149342
BR36073,BR36073
DB176645,DB176645
DC6367,DC6367
AN79555,AN79555
AN60160,AN60160
CG94422,CG94422
BY553504,BY553504
BE169999,BE169999
DG50189,DG50189
CC50232,CC50232
AG47212,AG47212
EM70944,EM70944
BZ4278,BZ4278
EH414864,EH414864
EM18376,EM18376
AK68043,AK68043
CW365647,CW200043
DH44982,DH44982
DB216884,DB216884
EH47599,EH47599
BZ55150,BZ55150
CZ66335,CZ66335
AK84814,AK84814
EH605267,EH605267
EH716572,EH716572
BH62806,BH62806
DR97898,DR97898
CC89044,CC89044
BN35463,BN35463
BN42704,BN42704
DN120335,DN120335
CW457556,CW457556
DK33028,DK33028
BL282325,BL282325
DB14585,DB14585
EF92884,DZ52037
BN296706,BN296706
DD24780,BY95598
AL122341,AL122341
BY523412,BE299289
CA50424,CA50424
CW798631,CW798631
AL109525,AL109525
EH240780,EH240780
BN19528,BN19544
DB157995,DB157995
AN38356,AN38356
DL193686,DL193686
AW36002,AW36002
BE248379,BE248379
ES12642,ES12642
BY248340,BY248340
CW684795,AN155794
BY100804,BY100804
CW126062,CW46279
BN406028,BN406028
BL31024,BL31024
EF83425,EF83425
BC44650,BC44650
CW830121,CW830121
AD11120,AD11120
AL129377,AL129377
CA56879,CA56879
BN84037,BN122364
CJ62264,CJ62264
EH211477,EH211477
CG112884,CG112884
CW73515,CW669973
CM36915,CM36915
EH177250,EH177250
EH188664,EH188664
DT91428,DT91428
EH760554,EH760554
CN29729,CN29729
EH273744,EH273744
ES9222,ES9222
AW114454,AW82162
CJ140452,CJ140452
EH643060,EH643060
BR45934,BR45934
DL212865,BS15380
DB65621,DB65621
CW137365,CW137365
AK98013,AK98013
EF114370,EF114370
DR88468,DR88468
CW326789,CW449067
BG18988,BG18988
DL83668,DL83668
BY529899,BN419407
DS101987,DS101987
AL130996,AL130996
EM36513,EM36513
BN27520,BN68631
BE201494,BE201494
BL203120,DE235340
CP14530,CP14530
BE326252,BE326252
EP3443,EP3443
CG97909,EH587547
EH853198,EH853198
AN38634,AN219443
AW152165,AW152165
AW162497,AW162497
CW847537,CW847537
EH246613,EH246613
EG17482,EG17482
CC63716,CC63716
EP19314,EP19314
DR58965,DR58965
AK23547,AK23547
EF18529,EF18529
CG62232,CG194111
CM48747,CM48747
EH554470,EH554470
CH10039,CH10039
ED45159,ED45159
EH729505,EH729505
BN384479,BN384479
AX32380,AX32380
DB233480,DB233480
DR9484,DR9484
BY436875,BY436875
BZ28167,BZ28167
BD28205,BD28205
BB57319,BB57319
BY268691,BY268691
EH566872,EH566872
EP84099,EP84099
BL240575,AS51460
DR14997,DR14997
CW292798,CW292798
EH390136,EH390136
BY499127,BY499127
DR79170,DR79170
CW477477,CW477477
EH71674,EH71674
BG42398,BG42398
EH263622,EH263622
AA138993,CW715378
AL220030,AL220030
AN136076,AN136076
EH128906,EH128906
EH106326,EH106326
DN66117,DN66117
BL37460,BL37460
BY494466,BY494466
DE11747,DE11747
DP22550,DP22550
DH50088,DH50088
DB188900,DB188329
BE65056,BY169043
BN68450,BN63958
CR8973,CR8973
DR82293,DR82293
BL190137,BL190137
BL359888,BL359888
BN388671,BN388671
EH140420,EH140420
BK5127,BK5127
CW240896,CW600752
AN58414,AN58414
BN122169,BN122169
CM19862,CM19862
CW898011,CW898011
CW726840,CW726840
AN141865,AN141865
CP14553,CP14553
DW38568,DW38568
EF133658,EF133658
BK42397,BK42397
BY406832,BY406832
EH841431,EH841431
AK104387,AK104387
AP70439,AP70439
BN168019,BE191368
DW61362,DW61362
BN329492,BN329492
DA64717,DA64717
BW23286,BW23286
EH858829,EH858829
AS68327,AS68327
DW42013,DW42013
AJ10600,AJ10600
BN96390,BN96390
BN367302,BN367302
EF101776,EF101776
EF143185,EF143185
AE26235,AE26235
ES4767,ES4767
EH74666,EH74666
BY125544,BY125544
CW901055,CW901055
CW330807,CW268900
DR42479,DR42479
CM49534,CG136728
EM71385,EM71385
EK5823,EK5823
EF44403,EL29259
AA155835,AA155835
DY19054,DY19054
BN257375,BN257375
DS90476,AY28673
BX17910,BX17910
EH149822,EH149822
BE5610,BE5610
CG53220,CG53220
AK49367,AK49367
AA14837,AA14837
DG48558,DG48558
BY139759,BY139759
DX50199,DX50199
BK36529,BK36529
EH644182,EH644182
BN24779,BN24779
EH39233,EH39233
DD46645,DD46645
DT61465,DT61465
EH492982,EH492982
CW777954,CW777954
BE181467,BE181467
EH631977,EH631977
EH692808,EH692808
BY89341,BY89341
AN103422,AN103422
BJ33458,BJ33458
EF68232,EF68232
AW164246,AW164246
DL83891,DL83891
DB153361,DB153361
EF161779,EF159788
CG16379,CG16379
AX15167,AK104601
CS15465,CS15465
CW223816,CW1262225
BY503475,BY503475
BY567101,BY567101
DS77765,DS77765
BE317309,BE317309
EH600187,CN55919
DL208570,DL208570
AL246500,AL246500
DE181406,DE181406
AA94962,AA94962
CW439843,CW439843
DE221451,DE149128
EF111327,EF111327
CN4466,CN4466
DJ7933,DJ7933
EL34275,EL34275
BX14549,BX14549
EH446052,DA59654
EH198412,EH198412
DT94358,DT94358
CW728603,CW248544
DR86324,DR60429
EG49847,EG49847
BL390173,BL390173
EH261214,EH261214
BZ13087,BZ13087
BN403504,BN403504
BH71449,BH32925
AS67392,AS67392
DB232390,DB232390
AJ34229,AJ34229
EA43153,EA43153
CJ22610,CJ22610
DZ5000,DZ5000
BY218124,BY200762
EF35779,EF35779
DH2317,BD69656
DT24997,DT50724
DL128015,DL128015
CW113140,CW113140
EH12968,EH12968
BN352105,BN352105
CA94384,CA94384
CW619749,CW619749
EH107105,EH107105
AW184144,AW184144
CJ25908,CJ25908
BN83964,BN333150
CW805590,CW996384
AN128489,AN128489
EH854558,EH854558
BM16556,BM16556
CC105135,CC105135
ED44629,ED44629
CW650581,CW650581
AW86058,AW86058
BN233128,BN233128
BL216211,BL216211
CW869324,CW869324
EH321367,EH321367
BN57835,BN57835
DB221991,DB221991
CW443379,CW443379
BH66611,BH66611
EL58571,EL58571
BC54437,BC54437
EG14345,EG14345
AA154916,AA154916
BL318240,BL318240
AN66532,AN66532
EH667698,EH667698
EH574501,EH574501
BN339847,BN339847
DB60813,DB60813
CM22160,CM22160
ED40152,ED40152
BE229894,BE229894
BH132299,BH132299
CW347801,CW347801
EH85302,EH1287247
EM12586,EM12586
EH536815,BR72344
BJ3946,BJ3946
BX19521,BX19521
AB4031,AB4031
DZ51407,DZ51407
BL156174,BZ23540
EH345742,EH345742
EG7806,EG7806
ES5429,ES5429
EH846010,EH846010
AY19209,DR105588
DE225514,DE225514
EF163999,EF163999
CW893608,CW893608
BN88029,BN60881
CW845296,CW845296
BR174083,BR174083
CW841214,CW841214
CW456308,CW456308
BN262545,BN262545
CZ78406,CZ78406
BY560487,CW868297
DY16390,AA41388
BM18101,BM18101
DW31117,DW31117
AW165631,AW165631
CH41914,CH41914
