globalID_A,globalID_B
AS62796,AS62796
CW1055619,CW420485
CW520319,CW291805
CW597970,CW445483
DS66719,EH130659
DR96172,DR96172
BP53557,BP53557
BR107935,BR107935
CW915211,CW929855
CW876308,CW876308
CW363789,CW398817
EH458960,DE60507
DB26445,DH51165
CW896146,CW859559
EH1154213,EH1154213
CH36563,AL173589
EH331060,BL165307
CW757729,CW431609
EH41064,BK10717
CE55285,CE55285
DP3250,DP3250
BC66583,BC66583
AL50791,AL50791
CW155476,CW155476
EH940689,EH285464
DR68908,DR68908
DL236630,EA45574
DH58307,DL76801
DB149771,DB169978
CC101148,CC101148
DA31077,DA89003
AG51425,BN497178
CW99478,CW99478
BR8783,BR8783
CW27845,CW10655
EH1074354,EH1074354
CW1176107,CW1176107
AL119535,AL87291
CW1258811,CW467725
BR64768,BR136678
DD145581,DX40893
EP16580,BY205059
CG35865,CC75864
EH694232,EL21583
CW1331169,CW1301526
AX19084,EH454420
BL197712,CW403385
CW1155935,CW110184
EH637971,EH637971
CB32958,CB33199
DL242027,DL242027
BW45817,BW45817
EL23028,CB52532
BW36965,CG128534
CL38142,BY682517
BE378062,BE378062
BB95698,BB95698
CW425693,CW231806
EH57349,EH166062
CW958322,CW501481
CW38730,CW175451
EH225065,EH225065
EH481271,EH438758
BR192583,BR140083
BJ35687,BJ35687
EM98363,CW231025
DT134409,DT134409
AE16597,CN45217
AK124076,AK124076
CW1252681,CW581381
BN336585,BY390879
BN265698,BN205495
EH171189,EH171189
BY557433,BY557433
BR45261,BR45261
BB55638,BB72493
AA108035,EF100296
EJ25249,CW802880
EH681219,EH681219
DB163773,EA35447
EH638865,EH638865
DE48730,DE51356
CW475722,CW1182829
DN94629,DN94629
BK10331,CW184004
EP45233,EP102555
AL67333,CP30043
DN61565,BB59852
EH62497,CJ27858
CW733706,CW766653
EH321861,EH423288
BN451653,BN451653
CW513825,CW181271
BE342264,CJ144702
CW575864,EH576962
CW845894,CW845894
BN147276,BY268324
DN94774,DN94774
CW92175,CW59498
BL281242,AW150647
CW514885,AK78826
BN157081,BN15521
BL407395,BL407395
DB9462,DB9462
ER17295,CP4198
DX13014,CX17061
EH1125874,EH1125874
AL246516,AL246516
EM11064,EM89043
BE45738,BE453043
CW343889,CW812867
CW976327,CW976327
CW72702,CW72702
BR164452,BR178639
CJ135591,CJ135591
CA66987,BR51277
BL96360,BL90942
EF26246,EF26246
CW74855,CW502718
DB198915,DB284432
BH184408,BH184408
BL142648,BL164487
BE30483,BE30474
BL144640,BL199212
EH132911,EH110713
CA30275,EL13836
CG174441,CG160700
BN74650,BN74638
DS102387,EH424990
EM31517,EM17616
EG51000,EG51000
AW157174,EH535595
DB189321,DB165183
EH1076508,EH1076508
BL236897,EP30641
DN48937,DN25855
BH3865,BH5742
EH768829,EH768829
BK45997,BK45997
AG24128,EH473435
CW247148,CW1260625
BN462678,BN171018
CW1086292,CW889176
DL194974,DL194974
DK28923,CL34680
DL202138,DT114697
AJ37696,DB101583
DS30074,DS25040
DD65015,BL182975
EH339444,EH282923
EH1243288,EF36177
BE72140,BE88616
DB2611,DB71323
AN69894,AN206936
CW661780,CW867793
CW394441,CW373482
BN418977,BN418977
EH897325,EH897325
AL111317,AL111317
AN66456,AN66456
CH36030,CH36030
AA59653,AA103068
BH119063,BH119063
AA146746,AA72466
CW142482,CW142482
CM22138,DZ52813
CN88818,CN88818
EH260245,DK17994
EH864237,EH864237
CW254180,CW211575
CW96492,CW71686
BE68604,BE68604
AD17849,AN98814
BN421649,BN443645
BN412411,BN412411
AL50677,AL50677
DE87317,AZ19395
BM69394,DA110731
EJ3049,EJ3049
CA105068,CA78628
AL59263,AL106772
AZ8548,EH110713
DN111991,DN111991
CJ35795,EF100296
BR4076,CG73199
EH840564,EH1110202
EH484217,AL244492
EH247088,EH181659
EN36969,EN36969
BL102313,BL87630
CW733706,CW1097021
BL509977,BL509977
CW661767,CW1332591
CW517755,CW347111
EH905393,EH1161314
CG50551,AL239832
AW180489,CZ47542
EP29512,EP95261
BB113130,BY532055
CW1207523,CW1207523
CW1075446,CW989338
CW128684,CW63905
DE308708,DE320243
EN74533,EH769815
BY505473,BY370202
EH432428,EH533862
BS10103,BL168138
CJ149747,CJ149747
CB74430,BA4731
CW668832,CW462215
AS83961,AS83961
DL129280,CZ33909
CW528476,CW908787
CG73177,CG73177
DL232533,DL232533
CW887565,CW1220151
AL109233,AL109233
CW138868,CW672046
CG13040,CG13041
BY53046,BY460011
EH299846,EH129126
EH478083,BB80368
CW1131562,CW432710
CW464435,CW552002
CW96227,CW175636
CW180028,CW1171033
DS34766,DE127114
DD149197,DD149197
BK44569,BK44569
DE292031,DE292031
EB20218,BC58923
BL447257,BL447257
CN42600,BM44636
DK19150,CW1080464
EH480837,EH480837
EH189952,EH245924
EG51649,BL89823
BY341421,BY252390
CW537925,CW1372055
AF23986,CN80083
CW169490,CW245163
EH570904,BL218077
CW805787,CW805787
BR172315,AS87974
AA154332,AA154332
CL48787,CB61784
EH172292,EH1159839
EH1090476,BY221590
CW127631,CW339630
EH957431,EH409522
BS7867,DN41692
BL381779,AA132878
BM23449,CZ81443
EH957483,EH957483
CG117666,BY401575
BE68994,CW151982
CW646827,CW916755
DT142452,DT142452
CW379796,CW267006
CW500809,CW339066
CH53126,CH53126
CW56209,CW119932
CW122110,CW54931
DZ71015,DT64036
CW140341,CW1090500
DE322127,DE322127
CW1110012,CW430951
BY714645,BY714645
EH773803,EH773803
EP23069,EP23069
DR55603,DR83488
AS96646,AS96646
AN40864,AN40864
EH996292,EH321357
AM27154,AM27154
DN130546,EH936288
BE137881,CB84333
DE186891,DE201045
AM87508,CB31258
BY588273,BY533528
CW820495,CW820495
BL397781,BL213836
BN366675,BN121712
DB197105,DB107399
BE286190,BE304692
CW50802,EA55379
CW603343,CW604640
CW347558,CW318872
EH236514,EH164748
CW961375,CW806092
DB228152,DB300760
CW67410,CW923189
BL317080,BB59237
BN334881,BN341904
DE287233,DE326043
AE29558,AE29558
CW458430,CW267006
AA85510,AA137238
CW78789,CW52867
CW176529,DS69672
CW505774,CW1076955
CC134300,BY303065
CW1126819,CW1126819
BZ36404,BZ36404
EH439249,BL292001
AA88476,EJ10437
CW883502,CW412811
