globalID_A,globalID_B
AW195754,AW195754
BL243547,BL243547
CZ73644,CZ73644
DR96172,DR96172
BM22369,BM22369
DW54149,DW54149
CW799927,CW799927
CE35351,CE35351
BJ24128,BJ24128
BR107935,BR107935
CW876308,CW876308
CW241655,CW241655
EF176854,EF176854
AA138924,AA138924
CC74493,CC74493
AP81632,AP81632
BY303933,BY303933
AM90512,AM90512
CW690925,CW690925
BB95704,BB95704
EL73289,EL73289
BH137229,BH137229
CW189489,CW189489
CW872988,CW872988
BC66583,BC66583
CW280837,CW280837
BG51026,BG51026
ES14809,ES14809
EH839097,EH839097
DB171510,DB171510
CW457722,CW457722
CW1141642,CW1141642
BY417827,BY417827
CX12963,CX12963
CW537329,CW537329
AL303170,AL303170
EF99933,EF99933
BM15957,BM15957
CP39084,CP39084
CW813802,CW813802
EH411853,EH411853
EH1193485,EH1193485
CW99478,CW99478
BR8783,BR8783
EH1074354,EH1074354
AX29263,AX29263
AN92250,AN92250
BE221968,BE221968
DT170839,DT170839
CW135088,CW135088
EM52636,EM52636
CS32613,CS32613
BY389180,BY389180
CA7407,CA7407
EH868352,EH868352
BR130951,BR130951
CJ110394,CJ110394
AL237577,AL237577
AL85094,AL85094
EH637971,EH637971
DX28506,DX28506
BK48029,BK48029
AL303521,AL303521
BE309090,BE309090
AL249025,AL249025
DN159650,DN159650
EH872139,EH872139
EH921178,EH921178
DN137363,DN137363
DB262140,DB262140
CW1066928,CW1066928
BB95698,BB95698
DR123152,DR123152
EH225065,EH225065
EH584881,EH584881
BC29839,BC29839
DA55812,DA55812
DL173280,DL173280
AA182478,AA182478
BR45261,BR45261
EH592895,EH592895
CW796386,CW796386
BZ53623,BZ53623
AK60086,AK60086
BR132731,BR132731
DP42623,DP42623
CW851651,CW333889
CW613388,CW613388
BB89109,BB89109
EH47777,EH47777
DP57559,DP57559
EP91822,EP91822
BE308776,BE308776
EG47732,EG47732
CJ161353,CJ161353
DR113248,DR113248
AN18924,AN18924
CG155070,CG155070
BE346449,BE346449
AA158604,AA158604
EF24027,EF24027
CW83523,CW83523
BL380304,BL380304
DL139617,DL139617
BN367562,BN367562
AM87215,AM87215
CW476397,CW476397
DR7756,DR7756
ER32830,ER32830
DB14338,DB14338
CW845894,CW845894
BE10393,BE10393
EM130890,EM130890
BC57897,BC57897
BL407395,BL407395
AM85257,AM85257
DJ15874,DJ15874
CJ24663,CJ24663
BR172252,BR172252
AL67383,AL67383
CT10420,CT10420
CW250849,CW250849
BE290060,BE290060
EH824791,EH824791
BH155790,BH155790
BR157116,BR157116
BN508538,BN508538
DL147940,DL147940
BY597494,BY597494
BH184408,BH184408
BN8167,BN8167
BH23048,BH23048
BE405326,BE405326
AX36048,AX36048
DT37847,DT37847
BD90453,BD90453
CC125450,CC125450
EP103820,EP103820
BL408291,BL408291
BE359046,BE298891
EH473481,EH473481
CJ126141,CJ126141
DB135911,DB135911
EG51000,EG51000
BL483843,BL483843
EM126110,EM126110
CW1073992,CW1073992
DB252389,DB252389
BL508422,BL508422
BY620105,BY620105
DC21791,DC21791
CL15194,CL15194
EH768829,EH768829
DB12484,DB12484
BG12665,BG12665
CW1067856,CW1067856
EF152082,EF152082
CW1014351,CW1014351
BY569278,BY569278
DK8732,DK8732
DL194974,DL194974
DB6783,DB6783
EH602036,EH602036
DD7265,DD7265
CW517485,CW517485
CJ190315,CJ190315
DC25836,DC25836
CJ44410,CJ44410
EH732722,EH732807
DK21921,DK21921
BH82711,BH82711
EH1116031,EH1116031
ED43675,ED43675
BY514246,BY514246
BP18002,BP18002
CW778355,CW778355
AZ9598,AZ9598
BK37156,BK37156
AG46854,AG46854
CC131667,CC131667
CW1263528,CW1263528
AL46656,AL46656
BK15621,BK15621
DX5078,DX5078
CW769188,CW769188
BN418977,BN418977
EM57140,EM57140
