globalID_A,globalID_B
CK5176,BZ10879
CW520319,CW291805
CW758975,CW632324
BM22369,BM22369
DR96172,DR96172
BR107935,BR107935
CW915211,CW929855
CW876308,CW876308
BN165704,BN215214
CC74493,CC74493
AA138924,AA138924
CW1190636,DL168310
CW369833,CW229887
CW819661,CW419689
EH1154213,EH1154213
CH36563,AL173589
EH331060,BL165307
BH137229,BH137229
EH41064,BK10717
CW872988,CW872988
DP3250,DP3250
CE55285,CE55285
BC66583,BC66583
CW280837,CW280837
BG51026,BG51026
AN85314,AN214341
DB171510,DB171510
CW457722,CW457722
AL303170,AL303170
EF99933,EF99933
EH828885,EH828885
CW320471,CW163905
DB149771,DB169978
CP39084,CP39084
EH614787,EH461907
AG51425,BN497178
EH2833,EH25537
CW99478,CW99478
CW1122379,CW1122379
BR8783,BR8783
CW27845,CW10655
EH1074354,EH1074354
AM49163,AM49163
AL119535,AL87291
CW1258811,CW467725
CW727586,CW122703
DD145581,DX40893
CG35865,CC75864
EH868352,EH868352
BY187154,BN246901
EH694232,EL21583
EH637971,EH637971
BW45817,BW45817
EH54636,EH188583
BE309090,BE309090
AL249025,AL249025
BE284336,BE456245
BH112284,BH88895
EL23028,CB52532
AW97330,AW97330
CW350114,CW1290228
DB262140,DB262140
CL38142,BY682517
CW1066928,CW1066928
CW379796,CW263319
BB95698,BB95698
BN80095,BN59008
CW958322,CW501481
CW38730,CW175451
EH225065,EH225065
EH481271,EH438758
DL234603,DT169326
AE16597,CN45217
CW1252681,CW581381
CW601334,CW601334
BE187931,BE307040
BN265698,BN205495
DA55812,DA55812
EH171189,EH171189
BP52629,BP52629
BY557433,BY557433
AA182478,AA182478
BR45261,BR45261
BB55638,BB72493
AA108035,EF100296
DE270687,DE270687
BR132731,BR132731
BY543711,BH136593
CW639155,CW469837
BB89109,BB89109
EH681219,EH681219
EH126615,DE52178
EA32643,EA32643
DL223468,DL57250
DE48730,DE51356
CW475722,CW1182829
CW1121259,CW659406
CJ84376,CP25134
BL417047,BL417047
AA158604,AA158604
CM64960,BP56712
AA86039,CW135006
CW368088,CW283513
AK21293,DL227027
EH64849,AN43267
DN61565,BB59852
DN35997,DN3746
CW733706,CW766653
EH755944,BD110413
BR160469,BR160469
BN451653,BN451653
AS67129,BY3943
DL80087,DL65645
