globalID_A,globalID_B
AS62796,AS62796
EH360931,EH360931
EH1005220,EH1005220
DR96172,DR96172
CW935955,CW935955
BR107935,BR107935
AG11788,AG11788
BH148364,BH148364
AP79283,AP79283
EH870816,EH870816
DN93603,EH431830
AW25270,AW25270
DE55589,DE55589
EH1154213,EH1154213
DH46486,DH46486
CJ82061,CJ82061
BL417902,BL417902
DP3250,DP3250
CE55285,CE55285
BC66583,BC66583
AL50791,AL50791
CW971677,CW971677
BL202597,BL202597
CW155476,CW155476
CW1118883,CW860522
DR37210,DR37210
CW1109744,CW1109744
DR68908,DR68908
BG6201,BG6201
BL501956,BL501956
DX57928,DX57928
CW518629,CW518629
BL325058,BL325058
DX50321,DX50321
BE275934,BE275934
CN78022,CN78022
EH1013050,EH1013050
EH173623,EH173623
CE31323,CE31323
CW99478,CW99478
BR8783,BR8783
EH1074354,EH1074354
AL312812,AL312812
CN98682,CN98682
CW1176107,CW1176107
AL119535,AL87291
BN515859,BN515859
DD145581,DX40893
CW1317769,CW1317769
EH694232,EL21583
EH637971,EH637971
BL511619,BL511619
AN170606,AN170606
DL242027,DL242027
BW45817,BW45817
AL249025,AL249025
AG38030,AG38030
BD128610,BD128610
EH272340,EH272340
EH467363,EH467363
CW808452,CW808452
BR94177,BR94177
BH70011,BH70011
BB95698,BB95698
BE378062,BE378062
CW1026698,CW1026698
DW79972,DW79972
EH225065,EH225065
BD88943,BD88943
EH828746,EH828746
AG41496,AG41496
BJ35687,BJ35687
DL220647,DL244270
DT134409,DT134409
CW827821,CW827821
AK124076,AK124076
EH990812,EH990812
DB89630,DB89630
BL406265,BL406265
EH1189594,EH1189594
EH171189,EH171189
BY557433,BY557433
EH593681,EH593681
AN217158,AN217158
AG39148,AG39148
BR45261,BR45261
BB55638,BB72493
DE281454,DE281454
CW639155,CW469837
EH681219,EH681219
EH638865,EH638865
AP66948,AP66948
EH651093,EH651093
CH51923,CH51923
CW475722,CW1182829
BN419071,BN419071
DN94629,DN94629
DD12044,DD12044
DN160666,DN160666
AN27611,AN27611
EH828406,EH828406
DD202483,DD202483
CE41677,CE41677
BR194692,BR194692
BL385307,BL385307
CW1243468,CW1243468
BS6734,BS6734
AN230245,AN230245
CW378693,CW340776
BK14738,BK14738
AS59214,AS59214
BN451653,BN451653
BD137298,BD137298
AN4402,AN4402
CW776598,CW776598
DB186689,DB186689
BL497251,BL497251
CW845894,CW845894
CG140830,CG140830
DW36346,DW36346
CJ180866,CJ180866
CW92175,CW59498
EL97747,EL97747
CM52088,CM52088
BW56516,BW56516
BL407395,BL407395
AY31330,AY31330
EH1122420,EH1122420
BE363367,BE363367
DB9462,DB9462
ER17295,CP4198
EH1131326,EH1131326
CJ72768,CJ72768
CW27539,CW143256
EH864691,EH864691
AL246516,AL246516
CW976327,CW976327
EH874774,EH874774
CW72702,CW72702
CC102983,CC102983
CJ135591,CJ135591
BN192437,BN192437
BE298480,BE298480
BG50638,BG50638
CW1035390,CW1035390
EF14460,EF14460
CW616547,CW616547
CL31997,CL31997
EF26246,EF26246
CW1087095,CW1087095
CW824801,CW824801
BH184408,BH184408
BL142648,BL164487
AL228705,AL228705
AL120780,AL120780
AL32958,AL32958
CJ153184,CJ153184
DE300148,DE300148
DZ59217,DZ59217
EG51000,EG51000
DE220496,DE220496
EM118798,EM118798
EH1076508,EH1076508
CR9226,CR9226
BE429682,BE429682
EH866775,EH866775
EH768829,EH768829
DB153840,DB153840
DE254031,DE254031
EH1021621,EH1021621
DN119870,DN119870
AK97846,AK97846
AK40448,AK40448
BH76847,BH76847
BK45997,BK45997
AN155596,AN155596
EH1033842,EH1033842
BE367609,BE367609
DL194974,DL194974
EM6171,EM6171
CW949093,CW949093
EA44824,EA44824
EH641878,EL58969
EH820028,EH820028
DM29495,DM29495
ER28949,ER28949
DZ25589,DZ25589
CC63778,CC63778
EH339444,EH282923
AK110749,AK110749
CX10774,CX10774
EH967975,EH967975
BN418977,BN418977
CD26640,BY553717
DA36452,DA36452
EH897325,EH897325
AK142289,AK142289
AL111317,AL111317
AN66456,AN66456
AS63442,AS63442
BY587561,BY587561
AA59653,AA103068
BH119063,BH119063
EH636173,EH636173
DB259254,DB259254
EH794859,EH794859
EH1107194,EH1107194
DR89025,DR89025
AA150365,AA150365
CW855896,CW855896
CW142482,CW142482
CN88818,CN88818
EH864237,EH864237
BL88099,BL88099
DE117832,DE117832
BE68604,BE68604
BD138946,BD138946
BN412411,BN412411
DB242998,DB242998
AL50677,AL50677
EH520249,EH520249
BZ8032,BZ8276
CW555921,CW555921
DR94354,DR94354
EJ3049,EJ3049
AL51675,AL51675
DE311823,DE311823
DN111991,DN111991
BN306933,BN306933
EP102069,EP102069
DX53346,DX53346
DY9351,CZ81935
BY538632,BY538632
EH1074535,EH1074535
CN83873,CN83873
EN36969,EN36969
DB263927,DB263927
BL509977,BL509977
CW517755,CW347111
DB257443,DB257443
DB48890,DB48890
CZ70506,CZ70506
CW1207523,CW1207523
CW774113,CW774113
CW374336,CW374336
BN505632,BN505632
BX22876,BX22876
CJ144032,CJ144032
DN106232,DN106232
EM100317,EM100317
AS81868,AS81868
EH432428,EH533862
DY10425,DY10425
AA164934,EH1027144
CJ149747,CJ149747
DZ13036,DZ13036
CW58080,CW58080
AS83961,AS83961
EH827897,EH827897
AM83579,AM83579
CG73177,CG73177
CN58853,CN58853
BH57030,EH199707
DL232533,DL232533
DB237192,DB237192
AK121180,AK121180
BR128112,BR109620
BL283169,BL283169
BB25088,BB25088
CW1025058,CW402823
EH677425,EH677425
EH729943,EH729943
DD149197,DD149197
BK44569,BK44569
DE292031,DE292031
CW99104,CW99104
CC26737,CC26737
BL447257,BL447257
DB193821,DB193821
AL157981,AL157981
CA125464,CA125464
EH480837,EH480837
AL101744,AL101744
BE159336,BE159336
AJ42900,AJ42900
BY582279,BY582279
DX23799,DX23799
CA105086,CA105086
BN367091,BN367091
BN344500,BN344500
EH562884,EH562884
CW805787,CW805787
EH1075800,EH1075800
AA154332,AA154332
CW889948,CW889948
BD103266,BD103266
EH757836,EH757836
BR34647,BR34647
BB98596,BB98596
CW1069135,CW1069135
EF18347,EF18347
DL256119,DL256119
EM31722,EM31722
BL455875,BL455875
EH957483,EH957483
CW440245,CW440245
EM27169,EM27169
DT142452,DT142452
BN302733,BN302733
EH770566,EH770566
DZ71015,DT64036
DE322127,DE322127
AX41776,AX41776
EM73620,EM73620
BY714645,BY714645
EH773803,EH773803
BR141334,BR141334
EP23069,EP23069
EH1116492,EH1116492
DA107842,DA107842
AS96646,AS96646
EC21516,EC21516
AG63515,AG63515
CN97014,CN97014
CW958344,CW958344
AN40864,AN40864
AW212216,AW212216
BL450963,BL450963
AM27154,AM27154
EM88867,EM88867
AN154371,AN154371
BY369175,BY369175
DX53253,DX53253
CW820495,CW820495
DB42558,DB42558
BL504619,BL504619
BE381483,BE381483
BH123451,AS59257
EF13847,EF13847
EP92296,EP92296
CW662372,CW662372
BE286190,BE304692
AW125487,AW125487
CW658012,CW658012
BN449562,BN449562
DE287233,DE326043
BW42070,BW42070
AE29558,AE29558
DB188586,DB188586
AP18277,CZ12769
DB221068,DB221068
DB235739,DB235739
DD192810,DD192810
EH323925,EH323925
BZ28717,BZ28717
ER40003,DH54460
BE174026,BE174026
BZ36404,BZ36404
CW143256,CW143256
CW105342,CW105342
CW127382,DZ9688
BN246132,BN246132
BC68827,BC68827
AL119948,AL119948
BY677877,BY677877
EH895217,EH895217
EH395687,EH395687
DE300599,DE300599
CW1072015,CW1101312
CW826293,CW826293
DD178879,DD178879
EH214495,EH214495
AM77025,AM77025
EH157899,EH157899
ER30357,EH568865
BL454782,BL454782
AF5004,AF2122
EF79690,EF79690
EH903175,EH903175
AK34180,AK34180
BN324825,BN324825
CW687847,CW687847
CW299279,CW299279
BL312578,BL312578
CZ44838,CZ44838
EH572052,EH572052
DR37710,DR37710
AL27439,AL27439
CW847903,CW847903
EH1229189,EH1229189
AR5839,AR5839
EL85567,EL85567
EH171754,EH713403
CW1156618,CW1156618
BE53550,BE53550
EH825545,EH825545
EH1318623,EH1318623
CM34706,CM34706
AN228269,AN228269
BY471169,BY471169
CW809104,CW955472
CW30364,CW30364
EH1143373,EH1143373
CJ72265,CJ72265
DE291085,DE291085
BY542202,BY542202
BL517432,BL517432
DZ6946,DZ6946
DL163300,DL163300
CW1159872,CW1159872
CW961551,CW961551
BL206364,BL206364
BY391044,BY391044
BZ66793,BZ66793
CJ132175,CJ132175
BB91819,BB91819
EA31499,EA31499
EH783702,EH783702
BL493311,BL493311
DK34694,DK34694
BN59401,BN59401
DT142240,DT142240
EH1110202,EH1110202
DX13417,DX13417
ED37292,ED37292
BE339631,BE339631
EM52744,EM52744
CW745359,CW745359
DB179405,DB179405
DR98517,DR98517
EH817831,EH817831
CW980612,CW980612
CW78484,CW78484
EH683813,EH683813
AN153798,AN153798
EH194945,EH194945
EH775110,EH906916
CW1057101,CW1057101
EH1318377,EH1318377
AA191791,AA191791
EB34098,AC16498
BB74053,BB74053
EH796033,EH796033
BE403246,BE312417
EH1009066,EH1009066
DE213703,DE213703
BN315027,BN315027
BN456091,BN456091
EH834895,EH834895
EH732691,EH732691
DH46852,DH46852
EH630246,EH630246
BE357149,BE357149
BM26061,BM26061
EH1080847,EH1080847
BP20041,BP20041
CJ62722,CJ62722
EF133366,EF133366
CW843687,CW843687
DR87595,DR87595
EH1204577,EH1204577
AA165504,AA165504
CW728982,CW109670
BZ16025,BZ16025
DR134353,DR134353
EF107271,EF107271
CG100392,CG100392
DX61767,DX61767
DD154790,DD154790
AP77086,AP77086
EF130503,EF130503
CW448665,CW448665
EH47939,EH47939
DR129831,DR129831
BE435184,BE435184
AK3349,AK3349
AL60170,AL60170
AK56531,AK56531
DC18353,DC18353
EH621333,EH621333
AP80227,AP80227
EH609676,EH609676
CN54600,CN54600
BY492079,BY73814
AN64436,AN64436
DP17347,DP17347
CJ161288,CJ161288
