globalID_A,globalID_B
AS62796,AS62796
EH360931,EH360931
CW520319,CW291805
DR96172,DR96172
EH985577,EH985577
BP53557,BP53557
BR107935,BR107935
AG11788,AG11788
CW915211,CW929855
BH148364,BH148364
CW876308,CW876308
AP79283,AP79283
EH1154213,EH1154213
DH46486,DH46486
CJ82061,CJ82061
BL417902,BL417902
DP3250,DP3250
CE55285,CE55285
BC66583,BC66583
AL50791,AL50791
CW971677,CW971677
BL202597,BL202597
CW155476,CW155476
DR37210,DR37210
DR68908,DR68908
DX57928,DX57928
DB149771,DB169978
CC101148,CC101148
BY381420,BY430721
DX50321,DX50321
EH1013050,EH1013050
CE31323,CE31323
CW99478,CW99478
BR8783,BR8783
EH1074354,EH1074354
CW1176107,CW1176107
AL119535,AL87291
CW1258811,CW467725
BR64768,BR136678
DD145581,DX40893
EH694232,EL21583
EH637971,EH637971
EB34098,CA90184
DL242027,DL242027
BW45817,BW45817
AG38030,AG38030
EH272340,EH272340
BB95698,BB95698
BE378062,BE378062
CW958322,CW501481
DW79972,DW79972
EH225065,EH225065
BD88943,BD88943
AG41496,AG41496
BJ35687,BJ35687
DT134409,DT134409
AK124076,AK124076
DB89630,DB89630
EH171189,EH171189
BY557433,BY557433
AN217158,AN217158
AG39148,AG39148
BR45261,BR45261
BB55638,BB72493
EJ25249,CW802880
EH681219,EH681219
EH638865,EH638865
EH651093,EH651093
DE220418,DE220418
CW475722,CW1182829
DN94629,DN94629
DD12044,DD12044
DN160666,DN160666
EH828406,EH828406
AN230245,AN230245
BN451653,BN451653
BD137298,BD137298
AN4402,AN4402
BN304755,BN304755
CW776598,CW776598
CW845894,CW845894
DN94774,DN94774
CW92175,CW59498
EL97747,EL97747
CM52088,CM52088
BL281242,AW150647
BL407395,BL407395
DB9462,DB9462
ER17295,CP4198
EH1131326,EH1131326
CJ72768,CJ72768
EH1125874,EH1125874
DX13014,CX17061
EH864691,EH864691
AL246516,AL246516
CW976327,CW976327
EH874774,EH874774
CW72702,CW72702
CJ135591,CJ135591
BN192437,BN192437
CW1035390,CW1035390
CW616547,CW616547
CL31997,CL31997
EF26246,EF26246
CW1087095,CW1087095
BH184408,BH184408
BL142648,BL164487
AL228705,AL228705
AL120780,AL120780
AL32958,AL32958
CJ153184,CJ153184
CF7338,CF7338
DS102387,EH424990
EG51000,EG51000
DE220496,DE220496
EH1076508,EH1076508
CR9226,CR9226
EH768829,EH768829
DE254031,DE254031
EH1021621,EH1021621
BK45997,BK45997
AN155596,AN155596
EH1033842,EH1033842
BE367609,BE367609
DL194974,DL194974
CW949093,CW949093
AJ37696,DB101583
DL202138,DT114697
EH820028,EH820028
ER28949,ER28949
EH339444,EH282923
AK110749,AK110749
EH967975,EH967975
BN418977,BN418977
CW394441,CW373482
EH897325,EH897325
AK142289,AK142289
AL111317,AL111317
AN66456,AN66456
CH36030,CH36030
AS63442,AS63442
BY587561,BY587561
AA59653,AA103068
BH119063,BH119063
DB259254,DB259254
AA146746,AA72466
CW142482,CW142482
CN88818,CN88818
EH864237,EH864237
DE117832,DE117832
BE68604,BE68604
BD138946,BD138946
BN421649,BN443645
BN412411,BN412411
AL50677,AL50677
BE249745,BE249745
BZ8032,BZ8276
DR94354,DR94354
EJ3049,EJ3049
AL191266,AL5494
DE311823,DE311823
DN111991,DN111991
EP102069,EP102069
DE198939,DE198939
BY538632,BY538632
EN36969,EN36969
DB263927,DB263927
CW733706,CW1097021
BL509977,BL509977
CW517755,CW347111
EH905393,EH1161314
CW1207523,CW1207523
CW374336,CW374336
BX22876,BX22876
DN106232,DN106232
AS81868,AS81868
EH432428,EH533862
BS10103,BL168138
CJ149747,CJ149747
DZ13036,DZ13036
AS83961,AS83961
EH827897,EH827897
AM83579,AM83579
CG73177,CG73177
BH57030,EH199707
DL232533,DL232533
AL109233,AL109233
CW138868,CW672046
BL283169,BL283169
EH570908,EH570908
EH729943,EH729943
DD149197,DD149197
BK44569,BK44569
DE292031,DE292031
EB20218,BC58923
CN42600,BM44636
CC26737,CC26737
BL447257,BL447257
DB193821,DB193821
AL157981,AL157981
DK19150,CW1080464
EH480837,EH480837
AL101744,AL101744
AJ42900,AJ42900
CW537925,CW1372055
BY582279,BY582279
DX23799,DX23799
BN367091,BN367091
EH562884,EH562884
EH570904,BL218077
CW805787,CW805787
AA154332,AA154332
CW889948,CW889948
CL48787,CB61784
BR34647,BR34647
BB98596,BB98596
CW1069135,CW1069135
EH614589,EH614589
EF18347,EF18347
DL256119,DL256119
EH957483,EH957483
CW440245,CW440245
EM27169,EM27169
DT142452,DT142452
CH53126,CH53126
CW56209,CW119932
CC141618,CC141618
EH1061401,EH668419
CW122110,CW54931
EH770566,EH770566
DZ71015,DT64036
DE322127,DE322127
AX41776,AX41776
BY714645,BY714645
EH773803,EH773803
EP23069,EP23069
EH1116492,EH1116492
DA107842,DA107842
AS96646,AS96646
AG63515,AG63515
CN97014,CN97014
AN40864,AN40864
AW212216,AW212216
AM27154,AM27154
EH523310,EH523310
BE137881,CB84333
AM87508,CB31258
CW820495,CW820495
BL504619,BL504619
BH123451,AS59257
EF13847,EF13847
BN366675,BN121712
BE286190,BE304692
AW125487,AW125487
CW658012,CW658012
CW347558,CW318872
BN449562,BN449562
DE287233,DE326043
AE29558,AE29558
DB221068,DB221068
DD192810,DD192810
EH323925,EH323925
BZ28717,BZ28717
ER40003,DH54460
CW1126819,CW1126819
BE174026,BE174026
BZ36404,BZ36404
CW772958,CW772958
CW883502,CW412811
BC68827,BC68827
CW431406,CW1123825
BY677877,BY677877
EH395687,EH395687
DE300599,DE300599
CW1072015,CW1101312
DD178879,DD178879
AM77025,AM77025
AA159369,DN133290
EH157899,EH157899
ER30357,EH568865
EH903175,EH903175
AK34180,AK34180
BN324825,BN324825
CW687847,CW687847
CW299279,CW299279
EH572052,EH572052
DR37710,DR37710
AL27439,AL27439
AB2847,AB4248
AR5839,AR5839
EH825545,EH825545
CW832834,CW237662
CM34706,CM34706
AN228269,AN228269
BY471169,BY471169
CW809104,CW955472
CW30364,CW30364
BY542202,BY542202
BL517432,BL517432
DZ6946,DZ6946
BL206364,BL206364
BZ66793,BZ66793
CJ132175,CJ132175
BB91819,BB91819
EA31499,EA31499
BN59401,BN59401
DT142240,DT142240
EH1110202,EH1110202
DX13417,DX13417
DB41628,DB13562
ED37292,ED37292
BE339631,BE339631
CW745359,CW745359
DR98517,DR98517
CW980612,CW980612
DR57497,DR101459
EH976657,EH170713
AN153798,AN153798
EH194945,EH194945
CW736905,CW1212223
AW168303,AW168303
CW1057101,CW1057101
EH1318377,EH1318377
EB34098,AC16498
EH1009066,EH1009066
BN456091,BN456091
EH834895,EH834895
EH732691,EH732691
EH630246,EH630246
CW120187,CW354406
BY548895,BY79082
CJ62722,CJ62722
EF133366,EF133366
AA165504,AA165504
EF107271,EF107271
DX61767,DX61767
DD154790,DD154790
EF130503,EF130503
CW448665,CW448665
BY637270,BY637270
AK3349,AK3349
AL60170,AL60170
AK56531,AK56531
AP80227,AP80227
BY492079,BY73814
AN64436,AN64436
DP17347,DP17347
CJ161288,CJ161288
EH821470,EH821470
EH756173,EH756173
CW705102,CW705102
BE293295,BE293295
DR117568,DR117568
DS102387,EH949350
BL347725,BL347725
BE343202,BE343202
AN175177,AN175177
CW18973,CW18973
CW845719,CW664745
BE391440,BE391440
CW774026,BB72755
EM129999,EM129999
DE290491,DE290491
AZ10275,AZ10275
BL162192,AP13404
BH80565,BH80565
CW104882,CW104882
BR222182,BR222182
BW48112,DN108345
CW138868,CW138868
AW93116,AW93116
BK28517,BK28517
DP24306,DP24306
CW225649,CW349195
CW1159478,CW1159478
BH51948,BH51948
DC6316,DC6316
CS24892,CS24892
EH1053611,EH1053611
CW485557,CW798930
BR149505,BR149505
EH827821,EH827821
CS10500,CS10500
BE435077,BE435077
DR96528,DR96528
EN58144,EN58144
BN156211,BN156211
CW910311,CW1092736
CW54353,CW54353
BN90028,BN90028
EH966875,EH966875
AA164797,AA164797
EH907959,EH907959
EH326691,EH326691
EH209535,EH209535
CW1016234,CW1023001
CG95107,CG95107
CW189258,CW189258
AL250682,AL250682
EH884706,EH884706
CW1151078,CW907725
EL89385,EL89385
BE267512,BE267512
BE149924,BE149924
CW1255402,CW830473
BY422997,BY422997
CW876492,CW876492
DT160348,DT160348
DS56960,DS56960
DE269171,DE279683
BL309974,BL309974
BE152140,BE152140
EH971136,EH971136
CW659779,CW659779
BY49830,BY49830
EH1128010,EH1128010
CB70127,CB70127
EJ23624,EJ23624
AW169892,AW169892
BG39369,BG39369
CW522743,CW522743
EF172914,EF172914
CW848067,CW848067
CC16373,CC16373
AW195847,AW195847
CC94603,CC94603
CL53820,CL53820
CA80070,BL272582
EH907321,EH907321
CW650275,CW525258
CW529112,CW414063
DL243792,DL243792
CW1159129,CW1159129
EH155472,EH155472
BY730023,BY730023
DA98283,DA98283
BR161851,BR161851
BC52046,BC52046
AL109533,AL109533
CW624334,CW624334
DL209736,DL114868
BF12921,BF12921
DR34586,BC49059
EH1242788,EH1242788
BW32097,BW32097
EH508953,EH508953
EH182021,EH401455
EH1072285,EH1072285
EH973354,EH973354
AG7123,AG7123
DE126173,DE113827
CW1266361,CW1266361
CW862478,CW862478
BY387987,BY387987
CN37370,BB38703
EH921303,EH921303
BJ18745,BJ18745
BE278914,BE278914
CW518861,CW1207388
EH702936,EH702936
DW51369,DW51369
DP39573,DP39573
DB252821,DB252821
EH295692,EB71495
EH892404,EH892404
CW408607,CW408607
BE29671,BB34458
EH872219,EH872219
BE379964,BE379964
CW61625,CW6170
DL208529,DL208529
AW32644,AW32644
EH526365,EH526365
EH666395,EH1312115
AX26121,AX26121
BL421822,BL421822
CW1026494,AA169583
CA8708,CA8708
CS21633,CS21633
DB221968,DB221968
BD25543,BD25543
CW1063169,CW1063169
EH828209,EH828209
CW151254,CW151254
DX58217,DX58217
CW1127474,CW949907
AN154170,AN154170
AL47148,AL27439
DB226239,DB226239
