globalID_A,globalID_B
AS62796,AS62796
CW1055619,CW420485
AL132675,BE94031
CW597970,CW445483
BL263402,BL245653
DR96172,DR96172
BR107935,BR107935
CW876308,CW876308
CW363789,CW398817
CW896146,CW859559
EH1154213,EH1154213
CH36563,AL173589
EH331060,BL165307
CW757729,CW431609
CW421656,CW469464
EH41064,BK10717
CE55285,CE55285
DP3250,DP3250
BC66583,BC66583
AA129795,DH34786
AL50791,AL50791
EH63420,DL116423
CW155476,CW155476
EH940689,EH285464
DR68908,DR68908
DB149771,DB169978
DA31077,DA89003
DE122047,EH137853
AG51425,BN497178
CW99478,CW99478
BR8783,BR8783
CW27845,CW10655
EF6832,EF59619
EH1074354,EH1074354
BB61123,BE210572
CW1176107,CW1176107
AL119535,AL87291
DB244350,DB162503
CW1258811,CW467725
DD145581,DX40893
EA26405,CW261058
AA108035,EL47655
CG35865,CC75864
BH123031,DS92767
EH694232,EL21583
CW1331169,CW1301526
AX19084,EH454420
BL197712,CW403385
EH637971,EH637971
BJ24995,AN82357
CB32958,CB33199
AN90698,BE262920
DL242027,DL242027
BW45817,BW45817
AL249025,AL249025
EL23028,CB52532
BW36965,CG128534
CL38142,BY682517
BE378062,BE378062
BB95698,BB95698
CW425693,CW231806
EH57349,EH166062
AN110068,DE11010
CW958322,CW501481
CW38730,CW175451
CC74865,BH96241
BR128112,EH451416
EH225065,EH225065
EH481271,EH438758
BR192583,BR140083
BJ35687,BJ35687
DT134409,DT134409
AE16597,CN45217
BN336585,BY390879
AL109570,AR5782
BN265698,BN205495
EH171189,EH171189
BY557433,BY557433
BL386019,BN359108
BR45261,BR45261
BB55638,BB72493
AG27625,DA58876
EH681219,EH681219
EH638865,EH638865
EM105472,DX10615
DE48730,DE51356
CW475722,CW1182829
CW531964,CW562318
DL198943,AS46613
DN94629,DN94629
BK10331,CW184004
EP45233,EP102555
BB36972,EH110200
DN61565,BB59852
CW733706,CW766653
EH321861,EH423288
BN451653,BN451653
AS67129,BY3943
CW707328,CW1361518
CJ47915,BG16997
CW866145,CW339630
BE23422,BE132075
CW513825,CW181271
BE342264,CJ144702
CW575864,EH576962
CW845894,CW845894
BN147276,BY268324
DN94774,DN94774
BY30760,CG76528
CW1090435,CW463427
CW92175,CW59498
CW514885,AK78826
BN157081,BN15521
BL407395,BL407395
BY578833,DL188171
AK146829,AK106726
DB9462,DB9462
ER17295,CP4198
DB124955,BH184479
EF73194,CB73432
DX13014,CX17061
AL246516,AL246516
BE45738,BE453043
CW343889,CW812867
CJ35795,EL47655
CW976327,CW976327
CW72702,CW72702
EH385411,DE250807
CJ135591,CJ135591
CA66987,BR51277
AK141045,DS71477
EF97025,EH521897
BW16521,BL198135
EF26246,EF26246
DA73458,DL180915
DB198915,DB284432
BH184408,BH184408
BL142648,BL164487
BE30483,BE30474
BL144640,BL199212
EH132911,EH110713
CW28782,BE9237
CA30275,EL13836
AA60261,DS34119
CG174441,CG160700
BN74650,BN74638
EM31517,EM17616
DX39165,DX39165
BW53951,BY613058
EG51000,EG51000
AW157174,EH535595
DB189321,DB165183
EH1076508,EH1076508
BL236897,EP30641
DR130877,CJ3454
AL199194,BL338665
BH3865,BH5742
CW992833,CW346791
EH768829,EH768829
DA23918,BM31203
BK45997,BK45997
AG24128,EH473435
CW247148,CW1260625
BN462678,BN171018
DP23822,CW644799
DL194974,DL194974
DK28923,CL34680
DL202138,DT114697
AJ37696,DB101583
BY442127,AK35755
DD65015,BL182975
EH1243288,EF36177
BE72140,BE88616
BE141443,CA104088
AN69894,AN206936
BN418977,BN418977
EH897325,EH897325
AL111317,AL111317
AN66456,AN66456
DL53447,DR73910
AA59653,AA103068
BH119063,BH119063
BN329253,AA195042
AA146746,AA72466
CW142482,CW142482
AA53538,DR126428
CN88818,CN88818
EH260245,DK17994
EH864237,EH864237
CW254180,CW211575
CW96492,CW71686
BE68604,BE68604
AD17849,AN98814
BN421649,BN443645
BN412411,BN412411
AL50677,AL50677
BR221741,CA94632
BM69394,DA110731
CW619648,CW793258
EJ3049,EJ3049
CA105068,CA78628
AL59263,AL106772
AZ8548,EH110713
DN111991,DN111991
CS14102,BL278537
AP14234,AP49036
CJ35795,EF100296
BY327241,BY478621
EH840564,EH1110202
EH247088,EH181659
AD14755,EP27440
CJ38394,BR186038
CW801005,CW1091768
EN36969,EN36969
BL102313,BL87630
CW733706,CW1097021
BL509977,BL509977
CW661767,CW1332591
CW171467,CW126284
CW517755,CW347111
EH905393,EH1161314
CG50551,AL239832
AW180489,CZ47542
BB113130,BY532055
CW1207523,CW1207523
CW128684,CW63905
DE308708,DE320243
BE325615,BE325615
EN74533,EH769815
CK11889,CK11889
EH432428,EH533862
CJ149747,CJ149747
CB74430,BA4731
CW1178925,CW499931
CW668832,CW462215
AS83961,AS83961
DL129280,CZ33909
CW528476,CW908787
CG73177,CG73177
DL232533,DL232533
CW887565,CW1220151
AL109233,AL109233
CW138868,CW672046
CG13040,CG13041
BY53046,BY460011
EH478083,BB80368
CW1131562,CW432710
CW464435,CW552002
AW19424,AW95751
CW96227,CW175636
DD149197,DD149197
DS108679,EH674552
CW423765,CW526034
BK44569,BK44569
DE292031,DE292031
BL447257,BL447257
DK19150,CW1080464
EH480837,EH480837
EH189952,EH245924
EG51649,BL89823
BY341421,BY252390
DE71456,DE96499
CW490170,CW629155
CW537925,CW1372055
AF23986,CN80083
CW169490,CW245163
EH570904,BL218077
CW805787,CW805787
DL166627,DB157403
AA154332,AA154332
CL48787,CB61784
CA121848,CW476427
CW127631,CW339630
EH957431,EH409522
DB172411,DB265613
BS7867,DN41692
BW35837,AP91680
BL381779,AA132878
DT109614,EH408480
BM23449,CZ81443
EH957483,EH957483
BR196901,AW220058
AD2805,BR6704
CG117666,BY401575
BE68994,CW151982
CW646827,CW916755
BE240268,BE453043
DT142452,DT142452
CW379796,CW267006
CW500809,CW339066
CH53126,CH53126
CW56209,CW119932
CW122110,CW54931
DZ71015,DT64036
BR8783,BR8779
CW140341,CW1090500
EN25836,EA13468
DE322127,DE322127
CW1110012,CW430951
BY714645,BY714645
BL403128,EH887953
EH773803,EH773803
EP23069,EP23069
DB268170,BY483826
AA67525,BL252350
DR55603,DR83488
AS96646,AS96646
AN40864,AN40864
