globalID_A,globalID_B
DR96172,DR96172
BL68936,BL68936
BR70611,BL116683
BP53557,BP53557
BH148364,BH148364
EH596792,DA58962
CW896146,CW859559
EH331060,BL165307
DH46486,DH46486
BL417902,BL417902
AL50791,AL50791
EH940689,EH285464
DR68908,DR68908
DX57928,DX57928
EH1013050,EH1013050
DE122047,EH137853
CW99478,CW99478
EH1074354,EH1074354
EH535597,EH741121
DD145581,DX40893
BH123031,DS92767
CL38142,BY682517
BE378062,BE378062
EH57349,EH166062
DW79972,DW79972
BR192583,BR140083
CE58173,CW1030276
DT134409,DT134409
AE16597,CN45217
BN265698,BN205495
EH171189,EH171189
BY557433,BY557433
AN217158,AN217158
BR45261,BR45261
AG39148,AG39148
CW639155,CW469837
EH638865,EH638865
EH651093,EH651093
DE48730,DE51356
CW475722,CW1182829
DN94629,DN94629
DN160666,DN160666
EP64728,DB136952
DN61565,BB59852
CW733706,CW766653
BD137298,BD137298
AN4402,AN4402
BN304755,BN304755
CW776598,CW776598
CW866145,CW339630
BE23422,BE132075
BE342264,CJ144702
CW575864,EH576962
DN94774,DN94774
CJ180866,CJ180866
BN157081,BN15521
ER17295,CP4198
CJ72768,CJ72768
CC68522,BH156707
AL246516,AL246516
CW343889,CW812867
CW976327,CW976327
BR164452,BR178639
CA66987,BR51277
BW16521,BL198135
CL31997,CL31997
DA73458,DL180915
CW1087095,CW1087095
DB198915,DB284432
BH184408,BH184408
BL142648,BL164487
BE30483,BE30474
AL228705,AL228705
AL120780,AL120780
BN74650,BN74638
EM31517,EM17616
EG51000,EG51000
DE220496,DE220496
DB189321,DB165183
CR9226,CR9226
BH3865,BH5742
EH768829,EH768829
EH1021621,EH1021621
CW247148,CW1260625
BN462678,BN171018
DP23822,CW644799
BE367609,BE367609
DX45629,AR5782
CW949093,CW949093
DL202138,DT114697
ER28949,ER28949
EH1155426,DL193666
EH339444,EH282923
EH1243288,EF36177
BE72140,BE88616
BN418977,BN418977
AN66456,AN66456
AS63442,AS63442
DB259254,DB259254
DE98703,DE178122
AA146746,AA72466
CW142482,CW142482
CM22138,DZ52813
EH260245,DK17994
CW181152,AP97952
EH864237,EH864237
BD138946,BD138946
BN412411,BN412411
AL50677,AL50677
CW989013,CW1062442
DE87317,AZ19395
AN144527,AN144527
DR94354,DR94354
EJ3049,EJ3049
AL191266,AL5494
EP102069,EP102069
CJ35795,EF100296
BY327241,BY478621
EH484217,AL244492
CW801005,CW1091768
CW733706,CW1097021
BL509977,BL509977
DX61622,EF31063
CW517755,CW347111
CG50551,AL239832
BB113130,BY532055
CW374336,CW374336
EN74533,EH769815
BY505473,BY370202
AS81868,AS81868
CW668832,CW462215
AS83961,AS83961
AM83579,AM83579
DL232533,DL232533
CW887565,CW1220151
DB237192,DB237192
CW138868,CW672046
BY53046,BY460011
EH478083,BB80368
BR128112,BR109620
BL283169,BL283169
CW464435,CW552002
EH570908,EH570908
CW96227,CW175636
DD149197,DD149197
BK44569,BK44569
EB20218,BC58923
AL157981,AL157981
DK19150,CW1080464
EH480837,EH480837
EH189952,EH245924
DN86526,DN86526
BY341421,BY252390
AF23986,CN80083
EH570904,BL218077
CW889948,CW889948
CL48787,CB61784
BB98596,BB98596
EF18347,EF18347
EH957483,EH957483
CG117666,BY401575
DT142452,DT142452
BY415790,DT108942
CW500809,CW339066
CH53126,CH53126
BY47925,BY176688
CW122110,CW54931
EH770566,EH770566
DZ71015,DT64036
CW140341,CW1090500
EN25836,EA13468
AX41776,AX41776
BY714645,BY714645
BL403128,EH887953
EH773803,EH773803
EH1116492,EH1116492
DA107842,DA107842
AN40864,AN40864
CN97014,CN97014
CW491034,CW699893
AW212216,AW212216
DN130546,EH936288
BY588273,BY533528
CW820495,CW820495
BN366675,BN121712
CW658012,CW658012
CW347558,CW318872
AH18733,CK11129
EH236514,EH164748
BN449562,BN449562
DB228152,DB300760
BN334881,BN341904
DE287233,DE326043
EM125483,DY29241
BH68682,CP18039
AE29558,AE29558
CW78789,CW52867
CW505774,CW1076955
CW1126819,CW1126819
EH439249,BL292001
CA115545,CW595746
AA88476,EJ10437
BC68827,BC68827
BY677877,BY677877
EH395687,EH395687
CW841295,CW420804
DE300599,DE300599
CW1072015,CW1101312
DD178879,DD178879
EH157899,EH157899
AM77025,AM77025
AF5004,AF2122
AK34180,AK34180
CW687847,CW687847
CW299279,CW299279
BR210362,EH1320643
EH572052,EH572052
AL27439,AL27439
AB2847,AB4248
BN257903,BN354910
EH171754,EH713403
EH825545,EH825545
CM34706,CM34706
CW809104,CW955472
CW30364,CW30364
BD50597,AP51678
CT13982,EP30087
DZ6946,DZ6946
BL206364,BL206364
CJ132175,CJ132175
BB91819,BB91819
EA31499,EA31499
CN54005,BL337576
BN59401,BN59401
DN134266,EH769815
BE339631,BE339631
CW745359,CW745359
CW1131245,CW835206
CZ52345,CZ49828
EH976657,EH170713
EH155433,EA24598
AN153798,AN153798
EH194945,EH194945
CW731420,CW837183
CH38118,EF167453
DD161442,DD124594
EH1004318,AD31540
DD35153,AP17480
CW1188780,CW1159478
BN456091,BN456091
EH732691,EH732691
EH454156,CT33344
CL13398,CL20657
CW120187,CW354406
BY548895,BY79082
CW639067,CW777732
CW944580,CW134743
BY736100,BY178255
DX61767,DX61767
EH47939,EH47939
BH162498,BH90865
AL60170,AL60170
EH426914,AH14399
BY492079,BY73814
BE431202,BE65481
AL112691,AP17480
CJ161288,CJ161288
EH821470,EH821470
CW705102,CW705102
BE293295,BE293295
CS14102,DN41692
BY456407,BY453591
EH189952,EN31321
DB124955,BD77965
BE343202,BE343202
AN175177,AN175177
CW18973,CW18973
DE290491,DE290491
EH231236,EH287400
BL162192,AP13404
CW68911,CW413073
CW104882,CW104882
EF163056,EF163056
BR222182,BR222182
CW223222,CW142777
AW93116,AW93116
CW225649,CW349195
BH51948,BH51948
DC6316,DC6316
EH1053611,EH1053611
EH827821,EH827821
BY301954,BY301954
BL178851,BL250576
CW910311,CW1092736
BB59894,BB63011
EH966875,EH966875
EH907959,EH907959
CG95107,CG95107
CW1315021,CW1041811
EL89385,EL89385
CW596989,CW617788
BY532055,BY528029
CW876492,CW876492
CW750177,CW625009
CW650951,EH949350
CW1164929,CW13665
BL309974,BL309974
BE332041,BE335518
EH971136,EH971136
CW707592,CW941451
EH1128010,EH1128010
CB70127,CB70127
AL95565,AL31189
AW169892,AW169892
BG39369,BG39369
CW522743,CW522743
CW920681,CW482709
CW361380,CW377407
BY337641,BN319536
EH189952,EH181736
CW848067,CW848067
BH5281,BH5742
CL53820,CL53820
DB143227,DB95684
AL76034,AM28736
EH907321,EH907321
CW650275,CW525258
DL243792,DL243792
DE215051,DE215051
EH1231253,DE313119
BY730023,BY730023
CW809968,CW781404
DA98283,DA98283
BC52046,BC52046
EB42237,DS68139
DR34586,BC49059
EH1242788,EH1242788
BW32097,BW32097
EH508953,EH508953
BY581477,BY626247
EH973354,EH973354
DE126173,DE113827
CW862478,CW862478
BY387987,BY387987
BN446573,BN462215
BL224977,DT100576
CW101068,CW63514
CC101971,CC65094
DD77566,CM66027
EH921303,EH921303
DF16755,DF16755
BZ58283,AP83848
CW518861,CW1207388
ED19071,ED13400
CW939294,CW443570
AG31722,CC68211
CW975643,CW175943
DP39573,DP39573
DB252821,DB252821
BR31477,EF161620
DD119089,AS87561
CW408607,CW408607
BL45751,BL154939
BE29671,BB34458
EH872219,EH872219
CW966697,CW1220151
EH266386,AN76170
EH526365,EH526365
CA8708,CA8708
DB221968,DB221968
CW1063169,CW1063169
BY453251,CB57799
CW127161,CW413431
DX58217,DX58217
EH398163,EH372954
AL47148,AL27439
DB226239,DB226239
BN415368,BN245892
AA143651,AA169664
BY364224,BY364224
CW495460,CW266772
CW811612,CW811612
CW751262,CW133941
BD116129,DE151280
AL252945,AL252945
BY626998,BY626998
EH822494,EH822494
AW184946,AW184946
CL38926,AR6305
EN21357,EN21357
CW1280192,CW485390
AS23825,BD44032
CW326311,CW1261560
AN8913,AN8913
AN99316,AN99316
EH235248,EH276576
DB116579,DX40819
BR156774,BR156774
AM39718,AM39718
DB237134,DB237134
DS102387,DL180915
EH189952,BR122736
DD35153,EF100296
CW1072015,CW555469
EH874873,EH874873
CJ10227,CJ10227
CW94210,CW805287
DL205386,DL29781
EH114287,EH876571
CW332015,CW530651
CN13589,CN13589
DE237210,DE187017
CW213246,CW213246
CW647270,CW1037075
DD83186,DD83186
EH811073,EH811073
BR98784,BR98784
CA41329,AP47183
CW785406,CW746583
CS14102,EH511095
CW997238,CW266772
DR87365,DR87365
BN485941,BN485941
AH18733,EH472410
CW167148,CW167148
EM95314,EM95314
AE16597,CW175943
CW835736,CW835736
AM102535,AM102535
CW384482,CW231806
BY619957,BY619957
CW782355,CW782355
EH1204622,EH1204622
CW1026088,CW885253
DD35153,EL47655
CW1082783,CW1082783
AG45307,AG45307
BZ49625,BZ49625
CG87453,CG87453
DD139105,CT56462
BY682573,BY682573
CB78542,CB78542
DB286502,DB286502
CW343889,CW163338
BN425405,BN425405
CW1103236,CW469190
DE295074,DE295074
CW251386,CW216625
EN71537,EN71537
EF2524,BR31965
CL38926,CE51226
AX32646,AX32646
CW147840,CW188047
CW321318,CW321318
BN401265,BN401265
EF191848,EF191848
CW167225,CW170091
AM65919,AM69189
CW469101,CW679551
AL248775,AL189245
BB49643,BB49643
EH629832,EH409522
CW669075,CW669075
CW959685,CW116387
CA3318,CA3318
DE78563,DE78563
EH1108340,DN152569
DN118218,DN118218
BY338449,BY338449
EF20424,EF20424
BY438561,BY106703
BZ7480,BZ7480
DN132817,DN132817
AG46137,AG46137
EH667095,EH667095
CW946990,CZ121627
EH240247,EH674237
CW543117,EN35640
BN167660,BN167660
DH56083,DH56083
DB11634,DB11634
EM105022,CB51367
CW776427,CW776427
AW99934,AW163901
BL489040,BL489040
CW861001,CW861001
EH715536,EH715536
CW1203746,CW1203746
DE261781,DE142303
CW214422,CW201071
CG118392,CG118392
BE379394,BE379394
EH133916,CW533615
AW197357,AW197357
CW200228,CW200228
CW746208,CW970636
BW56210,BW56210
AS85760,EH164982
AS78552,AS78552
DP29920,DP29920
CP11045,BR98484
DB222218,DB222218
CW18455,CW51261
CW543117,AE17255
EM10869,EM10869
EF157889,DW20687
CW189030,CW823091
CW372016,CW491786
EH976657,EH574357
BN478894,BN478894
CW313152,CW239385
DB273219,DB273219
DG59037,DG59037
CW274347,CW131739
BZ3276,BZ3276
AB41320,AB41320
