globalID_A,globalID_B
DR96172,DR96172
BL68936,BL68936
CW935955,CW935955
BP53557,BP53557
BH148364,BH148364
AP79283,AP79283
EH870816,EH870816
DN93603,EH431830
DE55589,DE55589
DH46486,DH46486
BL417902,BL417902
AL50791,AL50791
DR68908,DR68908
BL501956,BL501956
DX57928,DX57928
CW518629,CW518629
BE275934,BE275934
EH1013050,EH1013050
CW99478,CW99478
EH1074354,EH1074354
AL312812,AL312812
EH535597,EH741121
BN515859,BN515859
DD145581,DX40893
BL492441,BL492441
EH734216,EH734216
BD128610,BD128610
EH467363,EH467363
EM103312,EM103312
BH70011,BH70011
AL155807,AL155807
BE378062,BE378062
DW79972,DW79972
EH828746,EH828746
CE58173,CW1030276
DL220647,DL244270
DT134409,DT134409
DS65803,DS65803
DX7689,DX7689
EH171189,EH171189
BY557433,BY557433
AN217158,AN217158
AG39148,AG39148
BR45261,BR45261
DE281454,DE281454
CW639155,CW469837
EH638865,EH638865
EH651093,EH651093
CH51923,CH51923
CW475722,CW1182829
BN419071,BN419071
DN94629,DN94629
DD12044,DD12044
DN160666,DN160666
AN27611,AN27611
DD202483,DD202483
BL385307,BL385307
BS6734,BS6734
BR178747,BR178747
BK14738,BK14738
BD137298,BD137298
AN4402,AN4402
BN304755,BN304755
CW776598,CW776598
BP39837,CW644799
BH45790,BH45790
EH702716,EH702716
BL497251,BL497251
DN94774,DN94774
DW36346,DW36346
CJ180866,CJ180866
BW56516,BW56516
EH1122420,EH1122420
BE363367,BE363367
ER17295,CP4198
CJ72768,CJ72768
CW27539,CW143256
AL246516,AL246516
CW976327,CW976327
CC102983,CC102983
BE298480,BE298480
BG50638,BG50638
CW1035390,CW1035390
CL31997,CL31997
CW1087095,CW1087095
CW824801,CW824801
BH184408,BH184408
BL142648,BL164487
BN483084,BN483084
AL228705,AL228705
AL120780,AL120780
EG51000,EG51000
DE220496,DE220496
CR9226,CR9226
EH866775,EH866775
EH768829,EH768829
DB153840,DB153840
EH1021621,EH1021621
AK97846,AK97846
BH76847,BH76847
DP23822,CW644799
BE367609,BE367609
CW949093,CW949093
EA44824,EA44824
EH641878,EL58969
ER28949,ER28949
CC63778,CC63778
EH339444,EH282923
BN418977,BN418977
DA36452,DA36452
AK142289,AK142289
AN66456,AN66456
AS63442,AS63442
DB259254,DB259254
EH1107194,EH1107194
DR89025,DR89025
AA150365,AA150365
CW855896,CW855896
CW142482,CW142482
EH864237,EH864237
BD138946,BD138946
BN412411,BN412411
DB242998,DB242998
AL50677,AL50677
AN144527,AN144527
DR94354,DR94354
EJ3049,EJ3049
BN306933,BN306933
EP102069,EP102069
DX53346,DX53346
EH1074535,EH1074535
CW733706,CW1097021
BL509977,BL509977
CW517755,CW347111
CW908371,CW908371
DB257443,DB257443
DB48890,DB48890
CW774113,CW774113
CW374336,CW374336
BN505632,BN505632
EM100317,EM100317
AS81868,AS81868
DZ13036,DZ13036
EH556926,EH556926
AS83961,AS83961
AM83579,AM83579
DR50892,DR50892
DL232533,DL232533
DB237192,DB237192
BR128112,BR109620
BN325603,BN325603
BL283169,BL283169
EH570908,EH570908
CB56064,CB56064
DD149197,DD149197
BK44569,BK44569
CL54184,CL54184
EB20218,BC58923
AL157981,AL157981
EH480837,EH480837
BE159336,BE159336
EH1118629,EH1118629
DN86526,DN86526
AJ42900,AJ42900
CW889948,CW889948
BD103266,BD103266
EH757836,EH757836
BB98596,BB98596
BN85826,BN85826
EF18347,EF18347
BL455875,BL455875
EH957483,EH957483
CW1277932,CW1277932
EM27169,EM27169
DT142452,DT142452
CH53126,CH53126
BH147787,BH147787
EH770566,EH770566
DZ71015,DT64036
AX41776,AX41776
BY714645,BY714645
EH773803,EH773803
EH1116492,EH1116492
DA107842,DA107842
CZ40673,CZ40673
CN97014,CN97014
AN40864,AN40864
AW212216,AW212216
BL450963,BL450963
EM88867,EM88867
AN154371,AN154371
CW820495,CW820495
DB42558,DB42558
BE381483,BE381483
EP92296,EP92296
CW662372,CW662372
AW125487,AW125487
BC47902,BC47902
CW658012,CW658012
AH18733,CK11129
BN449562,BN449562
DE287233,DE326043
EM125483,DY29241
AE29558,AE29558
CW1126819,CW1126819
BZ44311,BZ44311
CB87162,CB87162
CW143256,CW143256
BC68827,BC68827
BY677877,BY677877
EH895217,EH895217
EH395687,EH395687
DE300599,DE300599
CW1072015,CW1101312
CW826293,CW826293
DD178879,DD178879
EH214495,EH214495
AM77025,AM77025
EH157899,EH157899
AF5004,AF2122
AK34180,AK34180
DR62358,EH922454
CW687847,CW687847
CW299279,CW299279
EH572052,EH572052
AL27439,AL27439
CW847903,CW847903
EH171754,EH713403
CW1156618,CW1156618
BE53550,BE53550
EH825545,EH825545
CM34706,CM34706
CW809104,CW955472
CW30364,CW30364
CJ72265,CJ72265
DE291085,DE291085
BL363447,BL363447
DZ6946,DZ6946
CW1159872,CW1159872
BL206364,BL206364
BY391044,BY391044
CJ132175,CJ132175
BB91819,BB91819
EA31499,EA31499
BL493311,BL493311
DK34694,DK34694
BN59401,BN59401
ED37292,ED37292
BE339631,BE339631
CW745359,CW745359
CW78484,CW78484
EH976657,EH170713
AN153798,AN153798
EH194945,EH194945
BE403246,BE312417
BN315027,BN315027
BN456091,BN456091
EH732691,EH732691
CW1094796,CW1094796
CW630036,CW630036
BM26061,BM26061
EH1080847,EH1080847
DB58236,DB58236
BY548895,BY79082
EH687975,EH687975
CW843687,CW843687
CW728982,CW109670
BZ16025,BZ16025
DX61767,DX61767
AP77086,AP77086
EH47939,EH47939
DR129831,DR129831
BE435184,BE435184
AL60170,AL60170
DC18353,DC18353
EH609676,EH609676
BY492079,BY73814
CJ161288,CJ161288
EH821470,EH821470
CW705102,CW705102
BE293295,BE293295
BK49786,BK49786
BE343202,BE343202
AN175177,AN175177
CW18973,CW18973
DE290491,DE290491
CL62577,EH500654
BL162192,AP13404
EF163056,EF163056
DX48334,DX48334
CW104882,CW104882
BR222182,BR222182
CW102540,CW102540
EH770176,EH770176
BH143336,BH143336
AW93116,AW93116
DP24306,DP24306
CW225649,CW349195
BH51948,BH51948
DC6316,DC6316
EH1053611,EH1053611
EH827821,EH827821
CR26944,CR26944
BY301954,BY301954
EH966875,EH966875
EH907959,EH907959
BH102187,BH102187
CG95107,CG95107
EL89385,EL89385
CW882313,CW882313
AB32163,AB32163
CW876492,CW876492
CW798727,CW798727
BL309974,BL309974
BL78637,BL78637
EH971136,EH971136
DW45304,DW45304
BE108702,BE108702
EH496037,EH496037
EH1128010,EH1128010
CB70127,CB70127
DJ14337,DJ14337
AW169892,AW169892
BG39369,BG39369
CW522743,CW522743
BY457731,BY457731
BL424998,BL424998
CW848067,CW848067
CB5259,CB5259
AA171690,AA171690
CL53820,CL53820
AN158705,AN158705
EH907321,EH907321
CW650275,CW525258
CK13250,CK13250
DL243792,DL243792
DE215051,DE215051
BY730023,BY730023
DA98283,DA98283
BC52046,BC52046
EH1242788,EH1242788
BW32097,BW32097
EH508953,EH508953
CW668329,CW407585
BY23505,BY23505
EH947862,EH947862
BE392889,BE392889
EH973354,EH973354
AG7123,AG7123
DE126173,DE113827
CW862478,CW862478
BY387987,BY387987
BN284577,BN284577
DD77566,CM66027
EH921303,EH921303
DF16755,DF16755
BJ18745,BJ18745
EL5284,EL5284
BL397839,BL397839
DP39573,DP39573
DB252821,DB252821
AL146984,AL146984
CW902307,CW902307
CW408607,CW408607
CW817593,BY549105
EH872219,EH872219
DD179359,DD179359
CH39937,CH39937
AL169976,AL169976
EH526365,EH526365
AW174022,AW174022
AW188895,DX52175
CM52189,BN311362
AS64008,AS64008
CA8708,CA8708
DB221968,DB221968
CW996024,CW996024
CW1063169,CW1063169
DX58217,DX58217
AL47148,AL27439
DB226239,DB226239
DA18459,DA18459
BY364224,BY364224
CW495460,CW266772
CW811612,CW811612
AL252945,AL252945
BY626998,BY626998
EM56764,EM56764
BL431849,BL431849
EH822494,EH822494
AY27818,AY27818
AW184946,AW184946
AE18356,AE18356
BN256674,BN256674
CW1302534,CW1302534
EN21357,EN21357
BZ38342,BZ38342
AS23825,BD44032
AN8913,AN8913
AN99316,AN99316
BZ43136,BZ43136
BR156774,BR156774
DZ67824,DZ67824
AM39718,AM39718
BL374934,BL374934
CW1292334,CW1292334
DB237134,DB237134
EH874873,EH874873
BL303161,BL303161
CJ10227,CJ10227
AL49719,AL49719
DY24226,DY24226
DX43185,DX43185
CW990202,CW990202
EH114287,EH876571
CN13589,CN13589
DE237210,DE187017
BR117752,BR117752
CW213246,CW213246
DD83186,DD83186
EH811073,EH811073
BR98784,BR98784
BH111677,BH121565
BR73840,BR73840
DA95620,EH450875
CW964704,CW964704
BY624069,BY624069
CW997238,CW266772
DB135612,DB135612
CZ92467,CZ92467
DR87365,DR87365
BN485941,BN485941
CM42405,CM42405
AH18733,EH472410
CW167148,CW167148
EM95314,EM95314
EH946271,EH946271
CW835736,CW835736
AM102535,AM102535
CW384482,CW231806
BY619957,BY619957
EP77874,EP77874
EM2217,EM2217
CW782355,CW782355
EH1204622,EH1204622
CW1082783,CW1082783
DT133510,DT133510
AG45307,AG45307
BZ49625,BZ49625
CG87453,CG87453
BY682573,BY682573
BY32081,DR65685
CB78542,CB78542
DB286502,DB286502
BN425405,BN425405
DE295074,DE295074
CW251386,CW216625
EN71537,EN71537
CG132911,CG132911
BL267101,BL267101
AX32646,AX32646
BE356250,BE356250
CW321318,CW321318
BN401265,BN401265
EF191848,EF191848
BC54340,BC54340
CW469101,CW679551
EH869264,EH869264
AL248775,AL189245
BB49643,BB49643
BE40540,BE40540
CW669075,CW669075
CL31929,CL31929
CA3318,CA3318
DE78563,DE78563
DN118218,DN118218
CH35147,DZ56277
BN250539,BN250539
BY338449,BY338449
EF20424,EF20424
CW490427,CW490427
AL167151,AL167151
BZ7480,BZ7480
CX9318,CX9318
DN132817,DN132817
AG46137,AG46137
DE253690,DE253690
EH667095,EH667095
EH240247,EH674237
EH1269084,EH1269084
CW543117,EN35640
CW931724,CW931724
EH1019212,EH1019212
BN167660,BN167660
DH56083,DH56083
DB11634,DB11634
BH65950,BH65950
CW776427,CW776427
BN409115,BN409115
AL70379,AL70379
AW99934,AW163901
EH1032760,EH1032760
DB54895,DB54895
BL489040,BL489040
CW861001,CW861001
EH715536,EH715536
CW1203746,CW1203746
CW826559,CW826559
DL193885,DL193885
CW214422,CW201071
CG118392,CG118392
EF13790,EF13790
BE379394,BE379394
EH133916,CW533615
EH1206421,EH1206421
