globalID_A,globalID_B
CK5176,BZ10879
CW520319,CW291805
EH301575,EH794455
BM22369,BM22369
DR96172,DR96172
BP53557,BP53557
BR107935,BR107935
CW876308,CW876308
AA138924,AA138924
EH151765,EH299061
BH137229,BH137229
BC66583,BC66583
CW280837,CW280837
BG51026,BG51026
DB171510,DB171510
AL303170,AL303170
EF99933,EF99933
DH58307,DL76801
DB149771,DB169978
CP39084,CP39084
CW813802,CW813802
CW99478,CW99478
BR8783,BR8783
EH1074354,EH1074354
AL119535,AL87291
CW1258811,CW467725
CW727586,CW122703
DD145581,DX40893
EH868352,EH868352
CW533974,BE94031
EH1094929,EH482716
EH694232,EL21583
EH637971,EH637971
EH1138041,DB182279
EH54636,EH188583
BE309090,BE309090
AL249025,AL249025
CW608300,CW608300
AW97330,AW97330
DB262140,DB262140
CW1066928,CW1066928
CW958322,CW501481
EH225065,EH225065
DA55812,DA55812
BR45261,BR45261
BB55638,BB72493
BY543711,BH136593
BB89109,BB89109
EJ25249,CW802880
DL223468,DL57250
CW475722,CW1182829
AA158604,AA158604
AA86039,CW135006
CW368088,CW283513
EH321861,EH423288
BN451653,BN451653
EH1142278,EH137689
DR7756,DR7756
CW119177,CW304074
BE8321,BE250862
DR46979,DR29611
CW715542,CP17984
CW845894,CW845894
BC57897,BC57897
CW92175,CW59498
BL407395,BL407395
ER17295,CP4198
CW298441,CW231025
DB124955,BH184479
AS30664,BC11367
BH21191,BH20338
CJ37473,CJ143474
CJ135591,CJ135591
AG36709,BR72621
DA43546,BM42959
CW252040,CW231806
CW1121713,CZ76360
BH184408,BH184408
BN8167,BN8167
CW109547,CW179109
BL142648,BL164487
CW1140326,CW1301526
CW28782,BE9237
EH257258,BB45083
EH420813,BL380928
EG51000,EG51000
CW151024,CW339066
CW1073992,CW1073992
EH1076508,EH1076508
BY620105,BY620105
CW596989,AN61634
EH768829,EH768829
DB12484,DB12484
CW1014351,CW1014351
DL194974,DL194974
CJ190315,CJ190315
CW974533,CW1347378
EH783279,CL64780
DP8259,DL134548
CJ44410,CJ44410
DL202138,DT114697
DD65015,BL182975
EM105022,BE203733
EH339444,EH282923
BP18002,BP18002
AN136043,BN402572
DH55535,DH55535
AA59653,AA103068
BH119063,BH119063
BY501085,BY133202
BY107106,BY326920
CW142482,CW142482
