globalID_A,globalID_B
CK5176,BZ10879
BL263402,BL245653
BM22369,BM22369
DR96172,DR96172
CW799927,CW799927
BR107935,BR107935
CW876308,CW876308
CC74493,CC74493
AA138924,AA138924
EH1154213,EH1154213
BH137229,BH137229
EP29512,CZ28505
CW872988,CW872988
DP3250,DP3250
CE55285,CE55285
BC66583,BC66583
CW280837,CW280837
BG51026,BG51026
CW155476,CW155476
DB171510,DB171510
AL303170,AL303170
EF99933,EF99933
EH828885,EH828885
DB149771,DB169978
CP39084,CP39084
CW813802,CW813802
CW99478,CW99478
CW491583,DL115405
CW1122379,CW1122379
BR8783,BR8783
EH1074354,EH1074354
AM49163,AM49163
CW1176107,CW1176107
AL119535,AL87291
CW1258811,CW467725
CW727586,CW122703
DD145581,DX40893
EH868352,EH868352
EH694232,EL21583
EH637971,EH637971
DL242027,DL242027
BW45817,BW45817
EH54636,EH188583
BE309090,BE309090
AL249025,AL249025
CW608300,CW608300
AW97330,AW97330
DB262140,DB262140
BB101331,BR205142
CW1066928,CW1066928
BB95698,BB95698
BE378062,BE378062
AN110068,DE11010
CW958322,CW501481
EH225065,EH225065
BJ35687,BJ35687
DT134409,DT134409
DA55812,DA55812
EH171189,EH171189
BP52629,BP52629
BY557433,BY557433
BR45261,BR45261
BB55638,BB72493
CH45416,CH45416
DE270687,DE270687
BR132731,BR132731
BY543711,BH136593
BB89109,BB89109
EH681219,EH681219
EA32643,EA32643
CW475722,CW1182829
DL198943,AS46613
DN94629,DN94629
BL417047,BL417047
AA158604,AA158604
BL326326,BL326326
BR160469,BR160469
BN451653,BN451653
DE289625,DE289625
BR141116,BR141116
AW83084,AW83084
EH1142278,EH137689
DR7756,DR7756
CW119177,CW304074
BE8321,BE250862
DR46979,DR29611
CW845894,CW845894
DN94774,DN94774
CW765780,EH1156720
BC57897,BC57897
CW92175,CW59498
BL407395,BL407395
CL22740,AC3148
DB9462,DB9462
ER17295,CP4198
BH21191,BH20338
EF73194,CB73432
DX13014,CX17061
AL246516,AL246516
CW976327,CW976327
CW72702,CW72702
EH385411,DE250807
CJ135591,CJ135591
CG12765,CG12765
AG36709,BR72621
DA43546,BM42959
EF26246,EF26246
CW252040,CW231806
CW199674,CW315477
BH184408,BH184408
BN8167,BN8167
CW109547,CW179109
BL142648,BL164487
CW1140326,CW1301526
EF151268,EF151268
EH420813,BL380928
DL90641,CA44294
DX39165,DX39165
BY401307,BY401307
CW574525,CW721737
EG51000,EG51000
DK41184,EH813473
CW1073992,CW1073992
EH1076508,EH1076508
BY620105,BY620105
CW596989,AN61634
AL199194,BL338665
EH768829,EH768829
AL128007,DR12513
DB12484,DB12484
DX13014,EF55832
BK45997,BK45997
DP23822,CW644799
CW1014351,CW1014351
DL194974,DL194974
CJ190315,CJ190315
CW974533,CW1347378
AH18033,AH18033
CJ44410,CJ44410
BP18002,BP18002
DZ55752,EH827821
BN418977,BN418977
AL111317,AL111317
DL53447,DR73910
DH55535,DH55535
CW142482,CW551581
AA59653,AA103068
BH119063,BH119063
CW142482,CW142482
CN88818,CN88818
DB248050,DB206231
EH681434,EH681434
EH864237,EH864237
AM89332,DD201553
AW87017,AW87017
BE68604,BE68604
BN412411,BN412411
AL50677,AL50677
EH650894,EH650894
DN111991,DN111991
CM67277,CM67277
DG39960,DG39960
AL166383,EH911500
EN36969,EN36969
CW733706,CW1097021
BL509977,BL509977
CW572403,CW545672
CW517755,CW347111
EH905393,EH1161314
BY82614,BY202801
CW997238,CW175943
CW1207523,CW1207523
EH448907,EH221470
DB66444,DB66444
CK11889,CK11889
CN88466,CN88466
EH432428,EH533862
CW347825,CW83972
CJ149747,CJ149747
CW1178925,CW499931
DL71957,CZ95494
CG73177,CG73177
DL232533,DL232533
BL376482,BL376482
CG97230,CG180834
BN62760,BN218058
EH825789,EH825789
AL239900,AL239900
CW259760,CW259760
BK44569,BK44569
AA189574,AA94070
DE292031,DE292031
EH773789,EH773789
AL249025,AL209818
BZ25461,BZ25461
BL447257,BL447257
EH480837,EH480837
DE71456,DE96499
AN18697,AN18697
DA43502,DA58133
BY468427,BY468427
DR104158,DR104158
CW805787,CW805787
EL82214,EL82214
BY670512,BY670512
CL48787,CB61784
DE271250,DE271250
DT106904,EN66150
EH414054,EH414054
DE241259,DE244411
DL209736,DL107567
CW845499,CW845499
CW185291,CW185291
EH957483,EH957483
CW1159478,CW368501
AD2805,BR6704
DT142452,DT142452
EH669405,EH64376
CH53126,CH53126
CW122110,CW54931
DZ71015,DT64036
DE322127,DE322127
CB70053,CB70053
BY543875,BY514246
AL57499,EH392320
EH773803,EH773803
EP23069,EP23069
DB268170,BY483826
CW460541,CW460541
BR174310,BR174310
AS96646,AS96646
AN40864,AN40864
DD85834,DD85834
CC125346,EL79453
CW72602,CW72602
CW820495,CW820495
DZ62088,AL364231
EH183221,BN194734
BN366675,BN121712
BS9529,BS9529
BE286190,BE304692
DE287233,DE326043
BE94541,BE94541
EH175808,EH245496
BE413950,BE413950
CJ128277,CJ128277
DY31903,DY31903
