globalID_A,globalID_B
AL132675,BE94031
AM31550,EF56244
DR96172,DR96172
CW935955,CW935955
BP53557,BP53557
BH148364,BH148364
AP79283,AP79283
EH870816,EH870816
DN93603,EH431830
DE55589,DE55589
DH46486,DH46486
BL417902,BL417902
AL50791,AL50791
DR68908,DR68908
BL501956,BL501956
EH680633,EH680633
DX57928,DX57928
CW518629,CW518629
BY381420,BY430721
BE275934,BE275934
EH1013050,EH1013050
CW99478,CW99478
EH1074354,EH1074354
AL312812,AL312812
EH535597,EH741121
CW359599,CW67334
BN515859,BN515859
DD145581,DX40893
DS107356,DS68139
EB31315,EF31063
EB34098,CA90184
BD128610,BD128610
AT22339,BY534976
CL38142,BY682517
EH467363,EH467363
BH70011,BH70011
BE378062,BE378062
DW79972,DW79972
EH828746,EH828746
DT134409,DT134409
EH171189,EH171189
BY557433,BY557433
EH736025,BL212743
AN217158,AN217158
AG39148,AG39148
BR45261,BR45261
DE281454,DE281454
EJ25249,CW802880
EH638865,EH638865
EH651093,EH651093
CH51923,CH51923
CW475722,CW1182829
BN419071,BN419071
DN94629,DN94629
DD12044,DD12044
DN160666,DN160666
AN27611,AN27611
DD202483,DD202483
BL385307,BL385307
DN61565,BB59852
BK14738,BK14738
CW733706,CW766653
BD137298,BD137298
AA124519,CW925849
AN4402,AN4402
CW776598,CW776598
BL497251,BL497251
DN94774,DN94774
DW36346,DW36346
CM52088,CM52088
BN157081,BN15521
BW56516,BW56516
CW533974,BM26019
EH1122420,EH1122420
ER17295,CP4198
DB124955,BH184479
CJ72768,CJ72768
EF73194,CB73432
CJ37473,CJ143474
AL246516,AL246516
CW976327,CW976327
BR164452,BR178639
CC102983,CC102983
BE298480,BE298480
BG50638,BG50638
CW1035390,CW1035390
BN476704,DL218790
CL31997,CL31997
CW1087095,CW1087095
CW824801,CW824801
BH184408,BH184408
BL142648,BL164487
AL228705,AL228705
AL120780,AL120780
AP69785,AB31177
DX39165,DX39165
EG51000,EG51000
DE220496,DE220496
CR9226,CR9226
DN48937,DN25855
EH866775,EH866775
EH768829,EH768829
DB153840,DB153840
EH1021621,EH1021621
AK97846,AK97846
BH76847,BH76847
CW247148,CW1260625
BE367609,BE367609
CW628878,AL255383
EM6171,EM6171
CW949093,CW949093
EA44824,EA44824
EH641878,EL58969
DL202138,DT114697
ER28949,ER28949
EH1155426,DL193666
CC63778,CC63778
EH339444,EH282923
EH1243288,EF36177
BE69060,AN22044
EF208319,DD123069
AK142289,AK142289
AN66456,AN66456
AS63442,AS63442
AA59653,AA103068
DB259254,DB259254
DR89025,DR89025
EH62363,EH92268
AA150365,AA150365
AL112691,EF100296
CW855896,CW855896
CW142482,CW142482
CW181152,AP97952
EH864237,EH864237
CW254180,CW211575
BE116703,BE175797
BD138946,BD138946
BN412411,BN412411
DB242998,DB242998
AL50677,AL50677
DR94354,DR94354
EJ3049,EJ3049
EP102069,EP102069
DX53346,DX53346
BN157970,CW269822
BY327241,BY478621
EH474899,EH1121927
AD14755,EP27440
EH1074535,EH1074535
CW733706,CW1097021
BL509977,BL509977
DX61622,EF31063
CW517755,CW347111
DB48890,DB48890
BB113130,BY532055
CW1207523,CW1207523
CW774113,CW774113
CW374336,CW374336
AS81868,AS81868
DZ13036,DZ13036
AS83961,AS83961
AM83579,AM83579
DL232533,DL232533
AL109233,AL109233
DB237192,DB237192
CW138868,CW672046
BR128112,BR109620
CW464435,CW552002
BL283169,BL283169
EH570908,EH570908
CW96227,CW175636
DD149197,DD149197
BK44569,BK44569
EB20218,BC58923
DC4232,AX14269
EH1047967,EH1047967
AL157981,AL157981
CW89800,CW717134
DK19150,CW1080464
EH480837,EH480837
DE260311,EH684387
BE159336,BE159336
DE71456,DE96499
AJ42900,AJ42900
AF23986,CN80083
EH570904,BL218077
CW889948,CW889948
CL48787,CB61784
BD103266,BD103266
EH757836,EH757836
BB98596,BB98596
CW623419,CW655034
EH614589,EH614589
EF18347,EF18347
BL455875,BL455875
EH957483,EH957483
EM27169,EM27169
DT142452,DT142452
CW500809,CW339066
CC141618,CC141618
BL405608,BL405608
CW122110,CW54931
EH770566,EH770566
DZ71015,DT64036
EN25836,EA13468
AX41776,AX41776
BY714645,BY714645
BR141334,BR141334
EH1116492,EH1116492
DA107842,DA107842
CN97014,CN97014
AN40864,AN40864
EH1189521,EH272404
AW212216,AW212216
BL450963,BL450963
EM88867,EM88867
CW820495,CW820495
DB42558,DB42558
BE381483,BE381483
BN366675,BN121712
EP77473,CT48183
EP92296,EP92296
CW662372,CW662372
AW125487,AW125487
BC47902,BC47902
CW658012,CW658012
CW347558,CW318872
BN449562,BN449562
DE287233,DE326043
AE29558,AE29558
DB188586,DB188586
CW1126819,CW1126819
DT138318,CE42218
EH1126051,EH997946
AA88476,EJ10437
CW883502,CW412811
BC68827,BC68827
BY677877,BY677877
EH895217,EH895217
EH395687,EH395687
DE300599,DE300599
CW1072015,CW1101312
CW826293,CW826293
DD178879,DD178879
EH214495,EH214495
AM77025,AM77025
EH157899,EH157899
BR193001,BP60081
AF5004,AF2122
AK34180,AK34180
CW299279,CW299279
EH572052,EH572052
AL27439,AL27439
CW847903,CW847903
AB2847,AB4248
CW378693,CW285437
CW1156618,CW1156618
BE53550,BE53550
EH825545,EH825545
CM34706,CM34706
CW809104,CW955472
CW30364,CW30364
BD50597,AP51678
CJ72265,CJ72265
DE291085,DE291085
DZ6946,DZ6946
CW1159872,CW1159872
BL206364,BL206364
CJ132175,CJ132175
BB91819,BB91819
EA31499,EA31499
BL493311,BL493311
DK34694,DK34694
BN59401,BN59401
DA87354,EB45789
ED37292,ED37292
BE339631,BE339631
EH402309,EH103505
CW745359,CW745359
CW1131245,CW835206
CA66650,BY362021
CW78484,CW78484
EH683813,EH683813
EH976657,EH170713
EH155433,EA24598
AN153798,AN153798
EH194945,EH194945
DD161442,DD124594
EH1004318,AD31540
CW290677,CW514195
DB296329,DB296329
BE403246,BE312417
DD35153,AP17480
AM37972,CC28222
BN315027,BN315027
BN456091,BN456091
EH732691,EH732691
EH454156,CT33344
BM26061,BM26061
CL13398,CL20657
CW120187,CW354406
EH1080847,EH1080847
BY548895,BY79082
CW728982,CW109670
CW944580,CW134743
BY542748,BY542748
BZ16025,BZ16025
BY736100,BY178255
DX61767,DX61767
EH47939,EH47939
BE435184,BE435184
AL60170,AL60170
DC18353,DC18353
BY492079,BY73814
CJ161288,CJ161288
EH821470,EH821470
CW705102,CW705102
BE293295,BE293295
CS14102,DN41692
BY456407,BY453591
DB124955,BD77965
BK49786,BK49786
BE343202,BE343202
AN175177,AN175177
CW18973,CW18973
CW774026,BB72755
DE290491,DE290491
CL62577,EH500654
CW68911,CW413073
DX48334,DX48334
CW104882,CW104882
BR222182,BR222182
CW102540,CW102540
EH770176,EH770176
CW223222,CW142777
AW93116,AW93116
DP24306,DP24306
CW225649,CW349195
BH51948,BH51948
DC6316,DC6316
EH1053611,EH1053611
DH55881,CH36948
EH827821,EH827821
BY301954,BY301954
BW13520,AA102140
CW910311,CW1092736
DE277569,DE310141
EH966875,EH966875
EH907959,EH907959
CW1016234,CW1023001
CG95107,CG95107
CW1315021,CW1041811
EL89385,EL89385
CW882313,CW882313
AB32163,AB32163
BY532055,BY528029
CW876492,CW876492
CW798727,CW798727
CW1164929,CW13665
BL309974,BL309974
BL78637,BL78637
EH971136,EH971136
BE108702,BE108702
EH496037,EH496037
EH1128010,EH1128010
CB70127,CB70127
DJ14337,DJ14337
AW169892,AW169892
BG39369,BG39369
CW522743,CW522743
BY457731,BY457731
BY337641,BN319536
CW848067,CW848067
CL53820,CL53820
EH907321,EH907321
CW650275,CW525258
CW99807,CW99807
CK13250,CK13250
DL243792,DL243792
BY730023,BY730023
CW809968,CW781404
DA98283,DA98283
BC52046,BC52046
DR34586,BC49059
EH1242788,EH1242788
BW32097,BW32097
DS73864,CW596684
EH508953,EH508953
BY581477,BY626247
BY23505,BY23505
AM97130,AM97130
BE392889,BE392889
EH973354,EH973354
AG7123,AG7123
DE126173,DE113827
CW862478,CW862478
BY387987,BY387987
EH921303,EH921303
CW1151414,CW164423
BJ18745,BJ18745
CW518861,CW1207388
EL5284,EL5284
CW401357,CW497080
AK113306,CW1181800
AG31722,CC68211
BL397839,BL397839
DP39573,DP39573
DB252821,DB252821
AL146984,AL146984
CW408607,CW408607
CW817593,BY549105
BL45751,BL154939
EH872219,EH872219
DD179359,DD179359
CH39937,CH39937
AL169976,AL169976
EH526365,EH526365
CM52189,BN311362
CA8708,CA8708
DB221968,DB221968
CW996024,CW996024
CW1063169,CW1063169
CW127161,CW413431
DX58217,DX58217
AL47148,AL27439
DB226239,DB226239
DA18459,DA18459
BN415368,BN245892
BY364224,BY364224
CW495460,CW266772
CW811612,CW811612
AL252945,AL252945
BY626998,BY626998
EM56764,EM56764
EH822494,EH822494
BE303282,BE303282
AY27818,AY27818
AW184946,AW184946
AE18356,AE18356
BN256674,BN256674
CW1302534,CW1302534
EN21357,EN21357
DH47835,AJ16046
AS23825,BD44032
CC21890,CC85608
AN8913,AN8913
AN99316,AN99316
BZ43136,BZ43136
BR156774,BR156774
DZ67824,DZ67824
AM39718,AM39718
BL374934,BL374934
DB237134,DB237134
DS102387,DL180915
DD35153,EF100296
EH874873,EH874873
BM43752,BM43752
CJ10227,CJ10227
CW94210,CW805287
DE186891,CA73956
AL49719,AL49719
DY24226,DY24226
DX43185,DX43185
BD66992,CW1025693
CW990202,CW990202
EH114287,EH876571
CN13589,CN13589
DE237210,DE187017
BR117752,BR117752
CW213246,CW213246
CW647270,CW1037075
DD83186,DD83186
EH811073,EH811073
BR98784,BR98784
BR73840,BR73840
CA41329,AP47183
CW785406,CW746583
BY624069,BY624069
CW997238,CW266772
DL218937,ER25307
CZ92467,CZ92467
DR87365,DR87365
BN485941,BN485941
CM42405,CM42405
CW167148,CW167148
EM95314,EM95314
EH946271,EH946271
CW835736,CW835736
AM102535,AM102535
CW384482,CW231806
BY619957,BY619957
EM2217,EM2217
CW782355,CW782355
EH1204622,EH1204622
CW1026088,CW885253
CW1082783,CW1082783
DT133510,DT133510
AG45307,AG45307
BZ49625,BZ49625
CG87453,CG87453
DD139105,CT56462
CB78542,CB78542
DB286502,DB286502
CW1103236,CW469190
BL199955,CC101842
CW251386,CW216625
EN71537,EN71537
CG132911,CG132911
BL267101,BL267101
CW61579,CW267882
AL251373,DX10615
AX32646,AX32646
BE356250,BE356250
CW147840,CW188047
CW321318,CW321318
BN401265,BN401265
EF191848,EF191848
BC54340,BC54340
AM65919,AM69189
EH869264,EH869264
AL248775,AL189245
BB49643,BB49643
BE40540,BE40540
CW669075,CW669075
BW17763,EH123852
CA3318,CA3318
DE78563,DE78563
EH1108340,DN152569
CW245537,CW361017
DN118218,DN118218
CH35147,DZ56277
BN250539,BN250539
BY338449,BY338449
EF20424,EF20424
CW490427,CW490427
BY575174,BY557999
BY438561,BY106703
BZ7480,BZ7480
CX9318,CX9318
DE253690,DE253690
CW946990,CZ121627
EH240247,EH674237
CW543117,EN35640
CW931724,CW931724
EH1019212,EH1019212
BN167660,BN167660
DB11634,DB11634
CW776427,CW776427
AL70379,AL70379
AW99934,AW163901
BL292070,BL292070
EH1032760,EH1032760
BY365893,BY112776
BL489040,BL489040
CW861001,CW861001
EH715536,EH715536
CW1203746,CW1203746
CW826559,CW826559
CW214422,CW201071
CG118392,CG118392
EF13790,EF13790
BE379394,BE379394
AW197357,AW197357
DL188232,DL188232
BZ22994,BZ22994
CW200228,CW200228
CW746208,CW970636
DT137346,BH105228
EB29311,EB29311
BW56210,BW56210
AS85760,EH164982
AS78552,AS78552
DP29920,DP29920
DB222218,DB222218
EM10869,EM10869
EF157889,DW20687
CW189030,CW823091
BW63405,BW63405
CW372016,CW491786
BN478894,BN478894
DB273219,DB273219
DG59037,DG59037
DT79346,DT79346
AW73058,AW73058
BZ3276,BZ3276
AB41320,AB41320
AW198068,AW198068
CW6429,CW6429
EG28457,BF13511
CW1237487,CW145548
AL140928,AM18706
CW348082,CW524370
CW1276007,CW1276007
BN325471,BN325471
BR180879,BR180879
EH515849,EH515849
DD113075,DD113075
CW982542,CW370349
BL11784,BL11784
DT106904,DS71477
CW765122,CW1072935
AL11603,AL84694
BE24579,BE296005
AM98391,BJ8688
CW793752,CW793752
AL225945,AL225945
AN80469,AP94948
EH886335,EH886335
CT16171,CT16171
CW352726,CW894047
DP34281,DP34281
DL254223,BE203733
DA82873,DA82873
DT52507,CZ32294
BM30169,BM30169
AM91630,AM91630
DW25255,AN56182
CW219497,CW741616
BR121694,BR121694
CW1001555,CW1001555
AS44469,AS44469
DE276223,DE276223
BE267497,DL149326
BY591199,BY591199
CJ171097,CJ171097
DD136187,EH470249
AL67069,AL129500
BB87770,BB87770
AW173139,AW173139
EH930024,EH930024
CW106399,CW106399
DN141327,DN141327
CW744397,CW744397
ED23587,ED23587
BN302959,BN302959
EH1204000,EH1204000
DW66158,DW66158
AM95605,AM95605
AL220394,AL220394
CM11599,CM11599
BR172315,DN146390
AW169857,DE295664
EH1130547,EH1130547
ER43988,ER43988
CS22025,EH637241
AL182530,AL182530
BH130969,BH130969
EH1084375,EH1084375
DF18812,DF18812
CW1142248,CW764053
CW1227813,CW1227813
BR116598,DZ56707
DT139152,AW227835
EH1127497,EH1127497
CW840203,CW840546
EH61568,EH61568
AK4787,AK4787
BZ20578,BZ20578
CW359599,CW359599
BL361395,BL361395
CW1242459,CW582593
DR30624,DR30624
CW458450,CW1123825
DC10731,DC10731
DS66772,EM56900
AN31932,AN31932
CW1055127,CW1055127
EP44872,CL43684
BL141979,BL141979
EH1128583,EH1128583
CW235090,CW170495
BH89385,BH113294
BH11240,BH11240
EF106799,EF241227
AL57499,CG54139
BE303185,CW577267
CW199837,CW346125
AP81115,AP81115
EH897744,EH897744
BH70377,BH70377
BE110724,DE128679
DE298891,DE298891
AL186798,AL186798
CJ200945,CJ83035
EF17489,EF17489
DZ56858,DZ56858
AW128357,AW128357
CW390025,CW1032752
CW204632,CW124933
EF114239,EF114239
CW417581,CW393936
CW937089,CW937089
DA102098,DA102098
CL10273,CJ59168
AW119138,AW49569
CW1237502,EH955223
CS26584,CS21468
EH859804,DS85325
EH980504,EH980504
EM56696,EM56696
DA46404,DA46404
DY12360,DY12360
CL53233,DZ65960
BY204237,BY204237
BN123571,BN144525
CW489717,CW489717
AL350921,AL350921
EH902684,EH902684
BY141073,BY141073
EH784424,EH784424
CW150632,CW150632
DB34986,DB17038
CM72331,ER40280
BB68217,DY12659
BY97115,BY97115
BL317203,BL317203
BE309493,BE309493
CW853384,CW853384
DX56425,DX56425
CS32169,CS32169
BJ26413,BJ26413
DZ66731,DZ66731
DZ44296,BB64974
BF14080,BF14080
CW878908,CW878908
BR172315,AS45378
BY515853,BY515853
EH256403,EH256403
CW1040828,CW1040828
BB90582,EH936999
AW178552,AW178552
DE293425,DE293425
EH641900,EH641900
CW773569,CW800519
EH660867,EH1204122
CN66180,CN66180
DL191022,DL191022
EM133410,EM133410
BN403190,BN403190
DZ61730,DZ61730
AG46971,AG46971
BN390866,BN390866
CW307667,CW307667
DR90871,DR90871
BE399010,BE399010
BE158248,BE66432
BM30270,BM30270
BN248865,BN451048
CG46108,CG46108
EH1106649,EH1106649
CW629125,CW629125
CL53803,CL53803
EN35926,CA24128
CW1122374,CW1122374
AD25012,AD25012
BH148400,BH148400
AY22112,CW575407
DL219544,EB66074
CW766016,CW610855
CW297866,AL57499
CW850345,CW850345
EH1022931,EH1022931
CW704113,CW864325
BN202052,BN202052
AA164934,CN80083
AN100629,EB45789
DE275727,DE275727
AL266747,AL266747
EH876488,EH876488
EH487725,EH487725
BD105667,BD44025
BR155607,BR155607
AN77823,DE149402
CW1146662,CW819839
CW1155769,CW1155769
AL183582,AL183582
EH629929,EH629929
BJ21875,BJ21875
EH1316351,EH1316351
BD45732,BD45732
BL280068,BL280068
BK12195,DR34066
CG108183,CG108183
EH594846,EH594846
CW239949,CW239949
BL270763,BL270763
BL274025,BL274025
CA133028,BY412905
BZ43925,BZ43925
BN400652,BN400652
BN519430,BN459001
DB199576,DB199576
CW119097,CW119097
BN108524,BN108524
CW32924,BL238496
CW484272,CW467909
CW601501,CW601501
CW1175994,CW1175994
BE6571,BE88368
CW199673,CW199673
CW103815,CW250835
BY685576,BY685576
EH1126936,EH1126936
ER40210,ER40210
BD146178,BD146178
BY341421,BY338296
CW153410,CW837799
CW815019,CW815019
AL74175,EF51813
AP62876,AP62876
EH328151,EH328151
BY134362,BY134361
CW563288,CW563288
AN205791,AN205791
BE428991,BE428991
DS14255,DP23556
BL353351,BL353351
CS5027,CS5027
CW12504,CW12504
DS87655,DS87655
AN176040,EL68445
CW902274,CW1278283
DR83058,DR83058
DB209605,EH764795
BH79927,BH79927
CH48182,CH48182
EH1127566,EH1127566
CW988204,CW988204
CW955472,CW955472
CW871872,CW871872
EH488147,EH387978
AM53014,CW151881
EH959190,EH959190
DC4232,AJ16046
BZ38328,BZ38328
BF28611,BF28611
BY387643,BY387643
EH952417,EH952417
DN119981,DN119981
EH1021388,DE289947
BN399522,BN399522
CW534276,CW181469
CW498346,CW498346
ED20558,ED45438
DT155200,DT155200
BK38887,BK38887
DW9512,DW9236
AD30420,AD30420
EF76009,EF76009
CW277832,CW263265
CW543117,CT28398
DD2525,DD38185
EH536200,EH536200
BB113130,BD145180
EH242086,EH112981
DT158172,DT158172
CW1120699,CW1120699
EH1215961,EH1215961
CW672716,CW672716
CA115824,CA115824
CW319343,CW319343
BE289780,BE326339
CC140651,CC140651
CW974331,CW974331
DN137655,DN137655
CW42052,CW174126
CW664359,CW1013097
EH258197,EH258197
BY572724,BY572724
CW116260,CW707632
CB79350,BB20165
BH143610,BH143610
DW55215,DW55215
CW643614,CW223164
BN401482,BN401482
CA100803,CA100803
DL129280,BH54346
CW775331,CW775331
CW8489,CW355777
CN82423,CN82423
CW1085819,CW1085819
CW41993,CW15486
BY142417,BY142417
DT34663,DT34663
CW531299,CW531299
DZ68879,DZ68879
CW707632,CW707632
DR44286,DR44286
AW154834,AW154834
CW235083,CW231025
AL97255,AL97255
BB17009,AY17629
DN57521,DN57521
BL410579,BL410579
BY434852,BY322156
CW425988,CW425988
DL216788,DL216788
DE201700,DE198281
EH244533,EH244533
CW862385,CW553195
BN9703,BN22785
CW448846,CW448846
CW1146993,CW1146993
CC102309,BN389567
CW1242459,CW1106834
CM13498,CM13498
CW846691,CW846691
AN89718,AN89718
EH1178182,EH1178182
CW912643,CW912643
CZ73644,CZ73644
CW616547,CW484302
CW765780,CW985828
AA114349,AA114349
AM90512,AM90512
BN436855,BN436855
DD126749,DD126749
AS95670,AS95670
DL160856,CS16502
BG6392,BG6392
AN84187,AN84187
CG149896,CG149896
DH35867,DH35867
EH1134219,EH1134219
EH885995,EH885995
BE346853,CJ128860
EH1153565,EH1153565
BL132839,CW134743
BL385260,BL385260
CW838284,CW838284
DE267341,DE267341
CW890163,CW890163
AN92250,AN92250
CC86285,CC60650
AW52065,AW52065
BE221968,BE221968
DB135988,DB188200
DD178589,DD178589
CA97989,CA97989
AR5185,AR5185
BY710855,BY710855
CC112232,CC112232
AL85094,AL85094
CC81349,CC49877
AL255589,AL255589
AF23986,BN364847
CW470177,CW470177
DS31727,DS31727
EL81853,EL81853
DN126037,DN126037
EH226712,EH226712
EH570561,EH570561
CT10769,CT7197
BH9089,BH9089
DC3210,DC3210
DK31983,DK31983
CW326355,CW202857
DH61216,DH61216
CW239132,CW208884
CG191958,CG191958
EG47732,EG47732
AN191573,AN170101
BR201814,BR201814
AN18924,AN18924
AR12010,EH170800
