globalID_A,globalID_B
AW195754,AW195754
CK5176,BZ10879
BL243547,BL243547
CW520319,CW291805
BM22369,BM22369
DR96172,DR96172
DW54149,DW54149
DP23822,DB118889
BR107935,BR107935
CW876308,CW876308
BE50192,BE80120
CW241655,CW241655
AA138924,AA138924
BY303933,BY303933
EH151765,EH299061
BH137229,BH137229
BY106808,BY441616
BN86510,BN114205
BC66583,BC66583
CW280837,CW280837
ES14809,ES14809
DB171510,DB171510
EH735724,AP65662
BY117494,BY174307
DE274205,DD116885
CX12963,CX12963
AL303170,AL303170
EF99933,EF99933
DB149771,DB169978
CP39084,CP39084
CW813802,CW813802
CW658829,CW521786
CW693493,CW467596
EH1193485,EH1193485
CW99478,CW99478
BR8783,BR8783
DE186891,DE199626
EH1074354,EH1074354
AX29263,AX29263
AL119535,AL87291
EM52636,EM52636
CW727586,CW122703
DD145581,DX40893
DT25593,DT149720
DB223643,AK73104
EH694232,EL21583
CW57420,CW440428
EH637971,EH637971
AA144118,BG11024
BK48029,BK48029
BE309090,BE309090
CW465056,CW357365
DB262140,DB262140
CW1066928,CW1066928
DK15728,BY356221
EH664004,AW209591
EH225065,EH225065
CW512123,CW208884
BC29839,BC29839
DA55812,DA55812
CC106947,DR62297
BR45261,BR45261
BB55638,BB72493
CW796386,CW796386
AK60086,AK60086
CW613388,CW613388
CW851651,CW333889
BB89109,BB89109
EJ25249,CW802880
BR69902,AY36493
DP57559,DP57559
CW475722,CW1182829
BE115075,BE109167
BE346449,BE346449
AA158604,AA158604
AA86039,CW135006
DE186891,AL211408
BL93535,BL217365
DL139617,DL139617
BY607212,BY422931
EH1118292,EH732311
EH1142278,EH137689
DR7756,DR7756
CW119177,CW304074
BE8321,BE250862
DR46979,DR29611
CA61965,CA61965
CW845894,CW845894
BC57897,BC57897
CW92175,CW59498
BL407395,BL407395
CW894539,CW368501
AN184633,DD165353
AM85257,AM85257
ER17295,CP4198
AE25021,EN39415
BR172252,BR172252
AS30664,BC11367
BH21191,BH20338
BY355773,BY286799
CW63771,CW239512
EP62266,BC41546
CW250849,CW250849
EH824791,EH824791
AG36709,BR72621
AL90315,AA94070
BH23048,BH23048
BH184408,BH184408
BN8167,BN8167
CW109547,CW179109
BL142648,BL164487
DF16254,CP10935
DT37847,DT37847
EH420813,BL380928
CW356388,CW401016
BL483843,BL483843
CW1073992,CW1073992
BY620105,BY620105
CW596989,AN61634
BY56107,BY165019
EH768829,EH768829
DB12484,DB12484
EF152082,EF152082
DB6783,DB6783
DL194974,DL194974
BL227893,BL227893
AA68308,DL106094
DP8259,BN402572
CJ190315,CJ190315
CW974533,CW1347378
EH783279,CL64780
DC25836,DC25836
AH9613,CS14883
CJ44410,CJ44410
CW530099,CW870781
EH1116031,EH1116031
EH339444,EH282923
CW376273,CW715122
CW359050,CW295975
BP18002,BP18002
DE274205,CA50534
AG46854,AG46854
CW769188,CW769188
DX5078,DX5078
EH421263,DK20408
AA196773,AA196773
DH55535,DH55535
AA59653,AA103068
BH119063,BH119063
BY501085,BY133202
BY107106,BY326920
DR14675,DR14675
BL229364,BL206131
CW468243,CW468243
CC34043,CC75864
CN88818,CN88818
BR207748,EP103948
DB248050,DB206231
EH864237,EH864237
EH681434,EH681434
AM89332,DD201553
DS74316,DS74316
BE116703,BE175797
DN146643,DN146643
CS21276,CS21276
DZ64817,DZ64817
CW562887,CW562887
AW88886,AP17480
EH664004,AA102710
EH827855,EH827855
BN157970,CW269822
EP33620,EP33620
AL166383,EH911500
EN36969,EN36969
CW733706,CW1097021
CW572403,CW545672
BL71635,BL91579
EH22322,CS7371
CW517755,CW347111
BY383173,BY243677
BY422424,BY73814
BY707703,BY707703
EH905393,EH1161314
CS36314,CS36314
CW961510,CW488825
CW1153690,CW783479
BY82614,BY202801
CW997238,CW175943
EH448907,EH221470
EH637638,EH288346
CW1052322,CW1052322
AP37605,CT23876
CN88466,CN88466
EH432428,EH533862
CW347825,CW83972
CW405845,CW1098817
CG165479,CG165479
CJ167787,CJ167787
BR122750,DT114697
BY391218,BH139193
CW97441,CW239782
BR36114,BR36114
CW650275,CW623571
AT8781,AT8781
CJ140093,CJ140093
EH324058,EN28794
CG97230,CG180834
DA87972,DA87972
BN62760,BN218058
BL251150,BL251150
AN117011,AN117011
DL138074,CZ39741
BN293396,CS35825
CW1025058,CW402823
CW331510,CW184873
BK44569,BK44569
AA189574,AA94070
EH773789,EH773789
EB20218,BC58923
EH480837,EH480837
DB27546,CB37889
DE71456,DE96499
DL254223,EF120086
DA43502,DA58133
CC78507,CC45462
EH426836,EH426836
EL70102,EL70102
DR104158,DR104158
CT33878,CT33878
DS23075,DS49928
BL243799,BL243799
DB143317,DB129431
EH1194878,EH1194878
DE271250,DE271250
DB136062,DC12821
CW1255069,CW1255069
BD109694,BD109694
AN163608,AW78487
DR104579,DR104579
DE241259,DE244411
DL209736,DL107567
CW417581,CW785916
DB242281,DB242281
CW185291,CW185291
CZ94282,ER40280
BE162727,BE162727
DE277557,DE277557
EH570183,BY458753
DT142452,DT142452
BE78572,BE53649
DZ71015,DT64036
EH989284,EH989284
CB70053,CB70053
BY543875,BY514246
AL190590,BA4081
EH604971,CB23662
DE122428,BM37670
AE27919,BG19054
CW259934,CW108029
BR174310,BR174310
CW1149082,CW1149082
CW111175,CW393082
AK72925,AK165984
DS96994,DS96994
CW368960,CW330768
CW820495,CW820495
DT24093,DT24093
CW997238,CW287954
BE99586,BE215103
EH183221,BN194734
BL291828,BL291828
BY491161,EF120086
CW440145,CW136894
BE286190,BE304692
BN463715,BN463715
CW272535,CW584856
AG59701,AG59701
EF8412,EF8412
DE287233,DE326043
BE94541,BE94541
AC4178,BH117538
EH175808,EH245496
EF177885,EF177885
DB188586,DB188586
CW1197527,CW1197527
BE41943,BE250862
DN67324,BY114176
CW840501,CW581226
CW73926,CW73926
DL168486,DL168486
EH627088,EH440782
BY677877,BY677877
DE300599,DE300599
CW1072015,CW1101312
EH864237,EH867814
CW986706,CW97953
BY530125,BN374083
BB10650,BB10650
EH290114,EH530580
AF5004,AF2122
EH577238,EH577238
DH2376,DH2376
BN324825,BN324825
CJ185567,CJ185567
EH1002600,EH1002600
CZ44838,CZ44838
DE237064,DE237064
CA83786,CA83786
DP32096,DP47428
DB227661,DB146289
BC65294,BC65294
EH825545,EH825545
EH323668,BE115648
BL59351,BL61282
EL74751,EL54523
BL210971,BL456475
DN134266,DN134266
CJ132175,CJ132175
AA166619,AA166619
BE444695,BB71198
DF19610,DF19610
EH101696,EN32249
DB41628,DB13562
CW1243740,CW377484
DR98517,DR98517
BY286797,BY584585
BN390229,BN390229
DR57497,DR101459
AA82218,AA82218
CW79224,CW304074
EH976657,EH170713
DS117790,DS117790
CW736905,CW1212223
EM63098,EH554638
EH1318377,EH1318377
EB34098,AC16498
CW290677,CW514195
CW101613,CW211014
DW71769,DW71769
ES19254,ES19254
CW290677,CW1017319
BY548895,BY79082
CM51450,CM51450
DL184103,DL184103
CJ62722,CJ62722
AX52302,AX52302
BY515569,BY370202
BG4964,EM21789
DX61767,DX61767
EH460275,EH460275
DB293480,DB293480
CW639155,CW421589
BH130653,BH130653
CY28085,CY28085
CW176652,CW293096
BY491161,BN216283
EH47939,EH47939
AL316126,AL224801
AW102993,AW102993
BN521198,BN521198
AK3349,AK3349
CW180744,CW1328943
