globalID_A,globalID_B
AL132675,BE94031
BL263402,BL245653
DR96172,DR96172
BH148364,BH148364
CW896146,CW859559
EH331060,BL165307
DH46486,DH46486
BL417902,BL417902
AL50791,AL50791
EH940689,EH285464
DR68908,DR68908
DX57928,DX57928
EH680633,EH680633
BY381420,BY430721
EH1013050,EH1013050
DE122047,EH137853
CW99478,CW99478
EH1074354,EH1074354
DD145581,DX40893
BH123031,DS92767
EH927285,CW964158
BJ24995,AN82357
AN90698,BE262920
CL38142,BY682517
BE378062,BE378062
EH57349,EH166062
AN110068,DE11010
CW38730,CW175451
CC74865,BH96241
DW79972,DW79972
BR192583,BR140083
DT134409,DT134409
AE16597,CN45217
AL109570,AR5782
BN265698,BN205495
EH171189,EH171189
BY557433,BY557433
AN217158,AN217158
BR45261,BR45261
AG39148,AG39148
AG27625,DA58876
EH638865,EH638865
EH651093,EH651093
EM105472,DX10615
DE48730,DE51356
CW475722,CW1182829
DL198943,AS46613
DN94629,DN94629
BK10331,CW184004
DN160666,DN160666
DN61565,BB59852
CW733706,CW766653
BD137298,BD137298
AN4402,AN4402
CW776598,CW776598
CW866145,CW339630
BE23422,BE132075
BE342264,CJ144702
CW575864,EH576962
DN94774,DN94774
CJ180866,CJ180866
BN157081,BN15521
AK146829,AK106726
ER17295,CP4198
DB124955,BH184479
CJ72768,CJ72768
EF73194,CB73432
AL246516,AL246516
CW343889,CW812867
CJ35795,EL47655
CW976327,CW976327
EH385411,DE250807
CA66987,BR51277
BW16521,BL198135
CL31997,CL31997
DA73458,DL180915
CW1087095,CW1087095
DB198915,DB284432
BH184408,BH184408
BL142648,BL164487
BE30483,BE30474
AL228705,AL228705
AL120780,AL120780
CA30275,EL13836
BN74650,BN74638
EM31517,EM17616
DX39165,DX39165
BW53951,BY613058
EG51000,EG51000
DE220496,DE220496
DB189321,DB165183
CR9226,CR9226
DR130877,CJ3454
AL199194,BL338665
BH3865,BH5742
EH768829,EH768829
DA23918,BM31203
EH1021621,EH1021621
CW247148,CW1260625
BN462678,BN171018
DP23822,CW644799
BE367609,BE367609
DK28923,CL34680
CW949093,CW949093
DL202138,DT114697
ER28949,ER28949
EH1243288,EF36177
BE72140,BE88616
EF208319,DD123069
BN418977,BN418977
AN66456,AN66456
AS63442,AS63442
AA59653,AA103068
DB259254,DB259254
BN329253,AA195042
AA146746,AA72466
CW142482,CW142482
AA53538,DR126428
EH260245,DK17994
EH864237,EH864237
CW254180,CW211575
BD138946,BD138946
BN412411,BN412411
AL50677,AL50677
CW989013,CW1062442
AN144527,AN144527
BM69394,DA110731
CW619648,CW793258
DR94354,DR94354
EJ3049,EJ3049
AL191266,AL5494
AZ8548,EH110713
EP102069,EP102069
CJ35795,EF100296
DE198939,DE198939
BY327241,BY478621
AD14755,EP27440
CW801005,CW1091768
CW733706,CW1097021
BL509977,BL509977
CW517755,CW347111
CG50551,AL239832
BB113130,BY532055
CW1207523,CW1207523
CW374336,CW374336
BE325615,BE325615
EN74533,EH769815
AS81868,AS81868
CW1178925,CW499931
CW668832,CW462215
AS83961,AS83961
AM83579,AM83579
CW528476,CW908787
DL232533,DL232533
CW887565,CW1220151
AL109233,AL109233
CW138868,CW672046
BY53046,BY460011
EH478083,BB80368
BR128112,BR109620
BL283169,BL283169
CW464435,CW552002
EH570908,EH570908
CW96227,CW175636
DD149197,DD149197
CW423765,CW526034
BK44569,BK44569
AL157981,AL157981
DK19150,CW1080464
EH480837,EH480837
EH189952,EH245924
BY341421,BY252390
DE71456,DE96499
AF23986,CN80083
CW169490,CW245163
EH570904,BL218077
CW889948,CW889948
CL48787,CB61784
CA121848,CW476427
CW127631,CW339630
BB98596,BB98596
EF18347,EF18347
BL508317,BL508317
EH957483,EH957483
BR196901,AW220058
AD2805,BR6704
CG117666,BY401575
DT142452,DT142452
CW500809,CW339066
CH53126,CH53126
CW56209,CW119932
CC141618,CC141618
CW122110,CW54931
EH770566,EH770566
DZ71015,DT64036
CW140341,CW1090500
EN25836,EA13468
AX41776,AX41776
BY714645,BY714645
BL403128,EH887953
EH773803,EH773803
BR141334,BR141334
DB268170,BY483826
EH1116492,EH1116492
DA107842,DA107842
AN40864,AN40864
CN97014,CN97014
EH1189521,EH272404
AW212216,AW212216
DN130546,EH936288
BY588273,BY533528
CW820495,CW820495
BL107823,BL38213
BN366675,BN121712
CW658012,CW658012
CW347558,CW318872
EH236514,EH164748
BN449562,BN449562
DB228152,DB300760
BN334881,BN341904
DE287233,DE326043
AE29558,AE29558
DK24814,BR174123
DB188586,DB188586
CW78789,CW52867
CW505774,CW1076955
CC134300,BY303065
ER40003,DH54460
EH439249,BL292001
EH1126051,EH997946
AA88476,EJ10437
CW883502,CW412811
BC68827,BC68827
DB260464,DB260464
BY677877,BY677877
EH395687,EH395687
CW841295,CW420804
CW159258,CW439183
DE300599,DE300599
CW1072015,CW1101312
DD178879,DD178879
EH157899,EH157899
AM77025,AM77025
AF5004,AF2122
AK34180,AK34180
CW299279,CW299279
EH572052,EH572052
AL27439,AL27439
AB2847,AB4248
BN257903,BN354910
EH171754,EH713403
EH825545,EH825545
CM34706,CM34706
CW809104,CW955472
CW30364,CW30364
CT13982,EP30087
DZ6946,DZ6946
DD147526,DD152420
BL206364,BL206364
CJ132175,CJ132175
BB91819,BB91819
EA31499,EA31499
BW56481,DE166965
DA87354,EB45789
DN134266,EH769815
BE339631,BE339631
CW745359,CW745359
EH402309,EH103505
CW1131245,CW835206
CZ52345,CZ49828
EH976657,EH170713
EH155433,EA24598
AN153798,AN153798
EH194945,EH194945
CW731420,CW837183
EH1004318,AD31540
AM37972,CC28222
CW1188780,CW1159478
BN456091,BN456091
EH732691,EH732691
EH454156,CT33344
CL13398,CL20657
CW120187,CW354406
BY548895,BY79082
CW639067,CW777732
BY736100,BY178255
DX61767,DX61767
EH47939,EH47939
BH162498,BH90865
BY637270,BY637270
AL60170,AL60170
BY492079,BY73814
BE431202,BE65481
CJ161288,CJ161288
EH821470,EH821470
CW705102,CW705102
BE293295,BE293295
CS14102,DN41692
BY456407,BY453591
DB124955,BD77965
BE343202,BE343202
AN175177,AN175177
CW18973,CW18973
CW845719,CW664745
CW774026,BB72755
DE290491,DE290491
BL162192,AP13404
CW68911,CW413073
