globalID_A,globalID_B
CK5176,BZ10879
CW520319,CW291805
CW1055619,CW420485
AL132675,BE94031
BM22369,BM22369
DR96172,DR96172
BR107935,BR107935
CW915211,CW929855
CW876308,CW876308
EH66770,EH392320
CC74493,CC74493
AA138924,AA138924
CW819661,CW419689
EH1154213,EH1154213
CH36563,AL173589
BH137229,BH137229
EH41064,BK10717
CW872988,CW872988
BC66583,BC66583
CW280837,CW280837
BG51026,BG51026
AN85314,AN214341
DB171510,DB171510
AL303170,AL303170
EF99933,EF99933
DB149771,DB169978
CP39084,CP39084
CW813802,CW813802
CW99478,CW99478
CW491583,DL115405
CW1122379,CW1122379
BR8783,BR8783
EH1074354,EH1074354
AL119535,AL87291
CW1258811,CW467725
AG49812,EA30411
CW727586,CW122703
DD145581,DX40893
AA189574,CW399851
CG35865,CC75864
EH868352,EH868352
EH694232,EL21583
EH637971,EH637971
EH1138041,DB182279
BW45817,BW45817
EH54636,EH188583
BE309090,BE309090
AL249025,AL249025
BE284336,BE456245
BH112284,BH88895
EL23028,CB52532
AW97330,AW97330
CW350114,CW1290228
DB262140,DB262140
BB101331,BR205142
CL38142,BY682517
CW1066928,CW1066928
CW379796,CW263319
BB95698,BB95698
AN110068,DE11010
CW958322,CW501481
CW470795,CW348728
EH225065,EH225065
CE58173,CW1030276
CW343638,CW464827
CW1252681,CW581381
BE187931,BE307040
DA55812,DA55812
BY557433,BY557433
AL313558,BL32007
BR45261,BR45261
BB55638,BB72493
AA108035,EF100296
DE270687,DE270687
BR132731,BR132731
BY543711,BH136593
CW639155,CW469837
BB89109,BB89109
EJ25249,CW802880
EH681219,EH681219
DL223468,DL57250
CW475722,CW1182829
DL198943,AS46613
CW1121259,CW659406
AA158604,AA158604
CW368088,CW283513
AK21293,DL227027
DN61565,BB59852
EH62497,CJ27858
DN35997,DN3746
CW733706,CW766653
EG18693,CC68545
EH321861,EH423288
CA61300,DB205917
BN451653,BN451653
AS67129,BY3943
BR141116,BR141116
EH1142278,EH137689
DR7756,DR7756
CW119177,CW304074
BE8321,BE250862
DR46979,DR29611
BN227804,BN195669
CW845894,CW845894
BC57897,BC57897
CW92175,CW59498
BN157081,BN15521
BL281242,AW150647
BL407395,BL407395
CW533974,BM26019
CL22740,AC3148
DB9462,DB9462
ER17295,CP4198
