globalID_A,globalID_B
CW549185,CW549185
CJ140315,CJ140315
AL132675,BE94031
AK12554,AK12554
BL263402,BL245653
DR96172,DR96172
DL239263,DL239263
BH148364,BH148364
AL172802,AL172802
AP79283,AP79283
EH870816,EH870816
CW736876,CW736876
DN93603,EH431830
BH6503,BH6503
AK26386,AK26386
EH1123347,EH1123347
CT24903,CT24903
DH46486,DH46486
BL417902,BL417902
CW105988,CW16941
AL50791,AL50791
BE221549,BE221549
DR68908,DR68908
AW29846,AW29846
DT140810,DT140810
AL283971,AL283971
DX57928,DX57928
CW789903,CW789903
BS5930,BS5930
CJ44514,CJ44514
BY381420,BY430721
BE275934,BE275934
CW99478,CW99478
BZ17465,BZ17465
EH1074354,EH1074354
AL312812,AL312812
BR46080,BR46080
CW573430,CW573430
AS53491,AS53491
BL492441,BL492441
DS107356,DS68139
BL101080,BL101080
CW489947,CW489947
CT6785,CT6785
EH734216,EH734216
AA36052,AA36052
BD128610,BD128610
EH467363,EH467363
BN448531,BN448531
EH642364,EH642364
BH70011,BH70011
AL155807,AL155807
BE378062,BE378062
AN110068,DE11010
DA100642,DA100642
DL220647,DL244270
EF109599,EF109599
EH171189,EH171189
BY557433,BY557433
DE265301,DE265301
AR16012,AR16012
AK34562,AK34562
DE281454,DE281454
EH429752,EH429752
EH651093,EH651093
CH51923,CH51923
AG46958,BH130365
DL198943,AS46613
DN94629,DN94629
AZ15436,AZ15436
BL385307,BL385307
DB116579,BL440511
AA70580,AA70580
BS6734,BS6734
DL93775,DL93775
CT29270,CT29270
BD137298,BD137298
EP60452,EP60452
AL60739,AL104882
BJ25701,BJ25701
CW776598,CW776598
BG7935,BG7935
BE23422,BE132075
AX71812,AX71812
CW805794,CW805794
DW36346,DW36346
BE283515,BE283515
DL127851,CW843609
BN157081,BN15521
BW56516,BW56516
DB182074,DB182074
CW1010123,CW1010123
BE363367,BE363367
EH1128123,EH1128123
ER17295,CP4198
DB124955,BH184479
CW27539,CW143256
DZ54112,DZ54112
BP2983,BP2983
CC102983,CC102983
BY683405,BY424841
BY562922,BY562922
CW771660,CW771660
CW749468,CW749468
DE159623,BL307531
CW824801,CW824801
BN483084,BN483084
BM74817,BM74817
AL120780,AL120780
CW829152,CW848529
CT21804,DR96229
DX39165,DX39165
EM107290,EM107290
EG51000,EG51000
CR9226,CR9226
BW26876,BW26876
DR130877,CJ3454
DB285649,DB285649
AL199194,BL338665
EH866775,EH866775
AE14506,AE14506
AK97846,AK97846
CW247148,CW1260625
DP23822,CW644799
BE367609,BE367609
AC11739,AL134540
DB243572,DB243572
CJ138907,AL82874
EH641878,EL58969
CW599171,CW599171
EF208319,DD123069
BL415979,BL415979
DA36452,DA36452
EF3524,EF3524
DB259254,DB259254
EH1107194,EH1107194
DR89025,DR89025
BN27650,BN27650
EH843267,EH843267
CW855896,CW855896
CW142482,CW142482
EH864237,EH864237
BY532552,BY532552
CW254180,CW211575
BN412411,BN412411
DB242998,DB242998
DC18333,DC18333
DR94354,DR94354
AZ8548,EH110713
DX53346,DX53346
DE198939,DE198939
BN537574,BN537574
BD137466,BD137466
EH1074535,EH1074535
CW853204,AN152959
CW517755,CW347111
BR150029,BY409682
CW908371,CW908371
BE431025,BE431025
CW947355,CW947355
CW904262,CW904262
AS81868,AS81868
EN72244,EN72244
AL169362,AL169362
EH556926,EH556926
CW1178925,CW499931
AX53493,AX53493
DB244892,DB244892
AM83579,AM83579
CW83679,CW83679
BE326289,BE309136
DR50892,DR50892
DL232533,DL232533
CW98690,CW71363
AL109233,AL109233
CW138868,CW672046
EH688075,EH688075
CW824623,CW824623
BN325603,BN325603
BL283169,BL283169
CW564105,CW564105
CW680137,CW680137
EL19501,EL19501
DD149197,DD149197
DB141576,EA31079
CL54184,CL54184
BN493179,BN493179
CW613847,CW613847
AL157981,AL157981
EB14878,EB14878
EH480837,EH480837
DE260311,EH684387
BE159336,BE159336
BR127228,BR127228
EF6686,EF6686
AF23986,CN80083
CW125848,CW125848
EH670857,EH670857
EH757836,EH757836
EH826722,EH826722
BB98596,BB98596
BC42984,DH40272
DL182256,DL182256
BN85826,BN85826
BL508317,BL508317
EH957483,EH957483
DT140487,DT140487
AD2805,BR6704
BZ50438,BZ50438
DT132527,DT132527
CW500809,CW339066
CJ41559,AA116976
CH53126,CH53126
CW56209,CW119932
BE403321,BE403321
BH147787,BH147787
EH671269,EH671269
CW122110,CW54931
EH770566,EH770566
EN25836,EA13468
AC7961,AC7961
AX41776,AX41776
AL315289,AL315289
BY714645,BY714645
EH773803,EH773803
CK12596,CK12596
EH863562,EH731867
CN97014,CN97014
AN40864,AN40864
AW212216,AW212216
BL450963,BL450963
EM88867,EM88867
AN154371,AN154371
EH923210,EH923210
BE381483,BE381483
BN268455,BN268455
BN366675,BN121712
EP92296,EP92296
CW1127559,CW1127559
BN449562,BN449562
BY470387,BY470387
DK24814,BR174123
DB188586,DB188586
ER40003,DH54460
BN426052,BN426052
BZ44311,BZ44311
EH1031859,EH1031859
EH1126051,EH997946
EH1201025,EH1201025
DN83425,DN83425
BY677877,BY677877
EH395687,EH395687
CW1072015,CW1101312
DD178879,DD178879
AM77025,AM77025
BJ36273,BJ36273
DR17449,DR17449
AF5004,AF2122
CG96986,CA84620
CW1044410,CW1044410
CG150710,CG150710
AL27439,AL27439
CW847903,CW847903
AB2847,AB4248
CW378693,CW285437
CW1156618,CW1156618
BE53550,BE53550
BR162465,BR162465
EH825545,EH825545
BL519816,BL519816
CW42383,CW42383
CW809104,CW955472
BC27797,BC27797
AN41352,AN41352
CJ72265,CJ72265
DE291085,DE291085
AL13771,AL13771
CW1159872,CW1159872
BY391044,BY391044
CJ132175,CJ132175
EA31499,EA31499
BK43807,BK43807
BY669267,BY669267
BL493311,BL493311
CW66964,CW66964
DA87354,EB45789
ED37292,ED37292
CW23083,CW44197
EH828717,EH828717
DT144694,DT144694
DE301951,DE301951
CW1131245,CW835206
EH32311,EH32311
CW78484,CW78484
DD103882,DD103882
EH683813,EH683813
DX19900,DX19900
EH194945,EH194945
EH336859,EH365889
EA10545,EA10545
EH1004318,AD31540
DB291053,DB291053
DB296329,DB296329
AM37972,CC28222
BN315027,BN315027
BW25266,BW25266
EH454156,CT33344
BM26061,BM26061
AT27370,AT27370
CL13398,CL20657
EH1080847,EH1080847
