globalID_A,globalID_B
CW520319,CW291805
CW1055619,CW420485
AL132675,BE94031
AM31550,EF56244
DR96172,DR96172
BP53557,BP53557
BR107935,BR107935
CW876308,CW876308
DY31993,BE116338
EH151765,EH299061
EH1154213,EH1154213
CH36563,AL173589
EH331060,BL165307
DP3250,DP3250
CE55285,CE55285
BC66583,BC66583
DH58307,DL76801
DB149771,DB169978
AG51425,BN497178
CW99478,CW99478
BR8783,BR8783
CW27845,CW10655
EH1074354,EH1074354
AL119535,AL87291
CW1258811,CW467725
DD145581,DX40893
CG35865,CC75864
CA54646,BL111696
CW533974,BE94031
EH694232,EL21583
EB31315,EF31063
EH637971,EH637971
BW45817,BW45817
CW237392,CW1045288
AL249025,AL249025
EL23028,CB52532
CL38142,BY682517
CW958322,CW501481
CW38730,CW175451
DL189803,EP90637
EH225065,EH225065
EH481271,EH438758
CW343638,CW464827
BJ35687,BJ35687
AE16597,CN45217
CW1252681,CW581381
EH171189,EH171189
BY557433,BY557433
EH736025,BL212743
BR45261,BR45261
BB55638,BB72493
AA108035,EF100296
EJ25249,CW802880
EH681219,EH681219
EM105472,DX10615
DE48730,DE51356
CW475722,CW1182829
DN61565,BB59852
CW733706,CW766653
EH321861,EH423288
BN451653,BN451653
AA124519,CW925849
CW806278,CW699893
AS67129,BY3943
CW715542,CP17984
CW845894,CW845894
BN147276,BY268324
CW92175,CW59498
BN157081,BN15521
BL407395,BL407395
CW533974,BM26019
BY675123,DD116885
DB9462,DB9462
ER17295,CP4198
DB124955,BH184479
AS30664,BC11367
EF73194,CB73432
CJ37473,CJ143474
AL246516,AL246516
BE45738,BE453043
BR164452,BR178639
CJ135591,CJ135591
EF26246,EF26246
BH184408,BH184408
BL142648,BL164487
BE30483,BE30474
BL144640,BL199212
CW28782,BE9237
EH257258,BB45083
AP69785,AB31177
BN74650,BN74638
EG51000,EG51000
DB189321,DB165183
EH1076508,EH1076508
BL236897,EP30641
DN48937,DN25855
BH3865,BH5742
EH768829,EH768829
CW247148,CW1260625
DL194974,DL194974
CW628878,AL255383
DX45629,AR5782
ED18854,AX14269
EH783279,CL64780
DP8259,DL134548
DL202138,DT114697
EH1155426,DL193666
DD65015,BL182975
EM105022,BE203733
EH339444,EH282923
EH1243288,EF36177
BE72140,BE88616
BE69060,AN22044
CW27449,CW71748
AL111317,AL111317
AA59653,AA103068
BH119063,BH119063
EH62363,EH92268
AL112691,EF100296
CW142482,CW142482
CN88818,CN88818
CW181152,AP97952
EH864237,EH864237
CW254180,CW211575
BE116703,BE175797
CW96492,CW71686
AD17849,AN98814
BN421649,BN443645
AL50677,AL50677
CS14102,BL278537
BN157970,CW269822
DT10727,CW419258
BY327241,BY478621
AD14755,EP27440
EN36969,EN36969
BL102313,BL87630
CW733706,CW1097021
BL509977,BL509977
CW661767,CW1332591
DX61622,EF31063
CW517755,CW347111
EH905393,EH1161314
CW1207523,CW1207523
EH432428,EH533862
CJ149747,CJ149747
CB74430,BA4731
CG73177,CG73177
BE418668,AA150797
DL232533,DL232533
CW138868,CW672046
CG13040,CG13041
EH324058,EN28794
CW464435,CW552002
CW96227,CW175636
CW1025058,CW402823
BK44569,BK44569
DE292031,DE292031
EB20218,BC58923
BP3416,DF2764
DK19150,CW1080464
EH480837,EH480837
EH189952,EH245924
DE71456,DE96499
CW537925,CW1372055
AF23986,CN80083
EH570904,BL218077
CW805787,CW805787
CL48787,CB61784
EH957431,EH409522
DB172411,DB265613
CG117666,BY401575
BE68994,CW151982
CW646827,CW916755
BH43293,BH23478
DT142452,DT142452
CW500809,CW339066
CW122110,CW54931
BL261971,DN90936
DZ71015,DT64036
DE322127,DE322127
CW1110012,CW430951
DR55603,DR83488
EH1189521,EH272404
CC125346,EL79453
BE137881,CB84333
CW820495,CW820495
DT104884,EF95445
BN366675,BN121712
EP77473,CT48183
DB197105,DB107399
BE286190,BE304692
DE197697,BL170670
CW347558,CW318872
CW272535,CW584856
DB228152,DB300760
DE287233,DE326043
DB188586,DB188586
DT138318,CE42218
EH1126051,EH997946
AA88476,EJ10437
CW883502,CW412811
BC68827,BC68827
BY677877,BY677877
DE300599,DE300599
CW1072015,CW1101312
AM77025,AM77025
DE228744,DE191604
BR193001,BP60081
AF5004,AF2122
CW236300,CW911796
AK34180,AK34180
BN324825,BN324825
CW299279,CW299279
CZ44838,CZ44838
BR210362,EH1320643
EH572052,EH572052
DR37710,DR37710
BE429465,BE333614
EH825545,EH825545
CW832834,CW237662
CW809104,CW955472
BD50597,AP51678
BY95094,BY208043
AN77823,EF64432
CW650570,CW287954
DR4615,DT163847
CW763749,CW664663
CW194620,CW361017
BZ66793,BZ66793
CJ132175,CJ132175
BB91819,BB91819
BN59401,BN59401
EH1110202,EH1110202
DA87354,EB45789
DX13417,DX13417
DB41628,DB13562
EH402309,EH103505
DR98517,DR98517
CW1131245,CW835206
CW341233,CW261073
DR57497,DR101459
EH976657,EH170713
EH155433,EA24598
AN153798,AN153798
CW736905,CW1212223
DN35472,AH14399
DD161442,DD124594
EH1004318,AD31540
EH1318377,EH1318377
EB34098,AC16498
CW290677,CW514195
EH1038175,EH1038175
DD35153,AP17480
AM37972,CC28222
AP40325,AP58802
EH630246,EH630246
EH454156,CT33344
CL13398,CL20657
CW120187,CW354406
BY548895,BY79082
CJ62722,CJ62722
BY736100,BY178255
EF107271,EF107271
DX61767,DX61767
DA73458,AW104861
CW639155,CW421589
EH47939,EH47939
AK3349,AK3349
EH426914,AH14399
BY492079,BY73814
AN64436,AN64436
DP17347,DP17347
BY179925,DA32632
EH821470,EH821470
EH756173,EH756173
BR201124,AY28300
CG46589,AL170953
CS14102,DN41692
BY456407,BY453591
EH189952,EN31321
DS102387,EH949350
DB124955,BD77965
BE343202,BE343202
BE67568,BE94607
CW774026,BB72755
BW63890,BY622921
EM129999,EM129999
AZ10275,AZ10275
BH80565,BH80565
CW68911,CW413073
BH54931,AL193354
BR222182,BR222182
CW138868,CW138868
CW561548,CW1210527
CW223222,CW142777
CW225649,CW349195
CW1159478,CW1159478
BR149505,BR149505
EH827821,EH827821
BY301954,BY301954
BE435077,BE435077
BW13520,AA102140
BN156211,BN156211
CW910311,CW1092736
BE50528,BE218418
CW54353,CW54353
BN90028,BN90028
EH966875,EH966875
EH907959,EH907959
CW1016234,CW1023001
CW1315021,CW1041811
CW1151078,CW907725
BE361646,BE366426
BN204249,BN367840
BE267512,BE267512
BL108873,BG33825
CW1255402,CW830473
BD117573,DE253483
DS56960,DS56960
CW1164929,CW13665
BL309974,BL309974
CW659779,CW659779
EH1128010,EH1128010
EH1138041,DT95445
CB70127,CB70127
ED45394,CB33199
DZ17772,DZ44855
CW176848,CW425686
BG39369,BG39369
CW267326,CW356785
CW522743,CW522743
CW215281,CW346125
EF172914,EF172914
BY337641,BN319536
EH189952,EH181736
DD196720,BN365488
AW195847,AW195847
AL66846,AL148942
EH907321,EH907321
CW650275,CW525258
DA98283,DA98283
DL209736,DL114868
DR34586,BC49059
EH1242788,EH1242788
DS73864,CW596684
EH182021,EH401455
EH188742,EH476086
BY581477,BY626247
DE126173,DE113827
BY107837,BY106591
BL224977,DT100576
DD76116,DD73646
DD191153,CC121521
CW1151414,CW164423
CW518861,CW1207388
CW401357,CW497080
AK113306,CW1181800
AG31722,CC68211
DP39573,DP39573
BR31477,EF161620
EH295692,EB71495
CW408607,CW408607
BL45751,BL154939
CJ139338,DL127714
BE379964,BE379964
CW61625,CW6170
DL208529,DL208529
AW32644,AW32644
EH666395,EH1312115
EH601338,BN267064
CW1026494,AA169583
DB221968,DB221968
EH828209,EH828209
CW127161,CW413431
AN154170,AN154170
CW470919,CW517545
EP90808,EP90808
DT148835,DT60803
DD191153,AL173589
BN415368,BN245892
CW811612,CW811612
EH822494,EH822494
BE303282,BE303282
AL132675,BM26019
AW184946,AW184946
BY51429,BY101788
CW123262,CW1043750
EB31315,EB28538
EH455259,EH429064
BY242447,BY242447
BY418243,BY418243
CW805792,CW805792
EH321861,BL182975
DH47835,AJ16046
AN103529,AN103529
CC21890,CC85608
AE14341,EH511540
DS102387,BY327808
BR49865,BR49865
DR102054,DR102054
AM39718,AM39718
DB237134,DB237134
DS102387,DL180915
EH189952,BR122736
DD35153,EF100296
CW233197,CW420633
CJ10227,CJ10227
CW94210,CW805287
DE186891,CA73956
BD66992,CW1025693
EH114287,EH876571
DE237210,DE187017
BN317680,EF27918
CW213246,CW213246
CW647270,CW1037075
DD83186,DD83186
EE3398,EE3398
BR98784,BR98784
AA167820,AA167820
BY370121,BY656042
BY445481,BY483041
CW785406,CW746583
DT29550,BM26019
DE243999,DE243999
CW997238,CW266772
DR87365,DR87365
EH200658,AW48587
CH42725,BM25230
AE16597,CW175943
CW835736,CW835736
AM102535,AM102535
CW384482,CW231806
